elec120V_readymix_plant,natgas_readymix_plant,electricity_120V,trans_truck,natgas_clinker,naturalgas,coal,"concrete, 17.2 Mpa - national avg, A1-A3 q_PC","concrete, 17.2 Mpa - national avg, A1-A3 q_electricity","concrete, 17.2 Mpa - national avg, A1-A3 q_NG","concrete, 17.2 Mpa - national avg, A1-A3 msw",market for Portland cement t_km,market for sand t_km,"market for gravel, crushed t_km",clinker production - North American q_coal,gwp,ap,ep,odp,pocp,gwp_IPCC,gwp_EF2,gwp_CML
"Electricity; at user; consumption mix - Southern Company Services, Inc. - Trans - BA",natural gas extraction and processing - Appalachian,"Electricity; at user; consumption mix - Midcontinent Independent System Operator, Inc. - BA","market for transport, freight, lorry 16-32 metric ton, EURO6 | transport, freight, lorry 16-32 metric ton, EURO6 | Cutoff, U",natural gas extraction and processing - Appalachian,natural gas extraction and processing - Green River,"coal extraction and processing - Rocky Mountain, SUB, Surface",205.06128440554772,3.8344021482081736,0.5789845333818382,0.0,0.12186921754826373,0.05191680174486624,0.0664761520224726,0.10932434861957843,241.9205,0.7694268428504989,0.10875207141409801,9.321107871783349e-06,10.19938126810846,242.847,244.2862,242.1948
"Electricity; at user; consumption mix - Southern Company Services, Inc. - Trans - BA",natural gas extraction and processing - Appalachian,"Electricity; at user; consumption mix - Midcontinent Independent System Operator, Inc. - BA","market for transport, freight, lorry 16-32 metric ton, EURO6 | transport, freight, lorry 16-32 metric ton, EURO6 | Cutoff, U",natural gas extraction and processing - Appalachian,natural gas extraction and processing - Green River,"coal extraction and processing - Rocky Mountain, SUB, Surface",216.34942715473287,4.577956619847058,0.18252050880629722,0.0,0.10766384845009275,0.0680648024055164,0.07049982416460562,0.13914875853372866,270.1144,0.8925059676913303,0.11212996924937506,1.0341514119354256e-05,10.13522414210571,271.0005,272.6277,270.3419
"Electricity; at user; consumption mix - Southern Company Services, Inc. - Trans - BA",natural gas extraction and processing - Appalachian,"Electricity; at user; consumption mix - Midcontinent Independent System Operator, Inc. - BA","market for transport, freight, lorry 16-32 metric ton, EURO6 | transport, freight, lorry 16-32 metric ton, EURO6 | Cutoff, U",natural gas extraction and processing - Appalachian,natural gas extraction and processing - Green River,"coal extraction and processing - Rocky Mountain, SUB, Surface",221.81102764250085,3.680632063317044,-0.12463558808530684,0.0,0.1253088051542342,0.06432321134090158,0.07088261522194846,0.09646166709817863,243.4259,0.6815049207165398,0.10805976745581103,1.0035540390769248e-05,7.487089449308763,244.2344,245.5702,243.6768
"Electricity; at user; consumption mix - Southern Company Services, Inc. - Trans - BA",natural gas extraction and processing - Appalachian,"Electricity; at user; consumption mix - Midcontinent Independent System Operator, Inc. - BA","market for transport, freight, lorry 16-32 metric ton, EURO6 | transport, freight, lorry 16-32 metric ton, EURO6 | Cutoff, U",natural gas extraction and processing - Appalachian,natural gas extraction and processing - Green River,"coal extraction and processing - Rocky Mountain, SUB, Surface",215.59446081140018,4.394041630622276,0.6556836298822375,0.0,0.10559420160271688,0.0645336608358864,0.06632306582101831,0.10961677495910563,254.7742,0.8120994001719127,0.11217135671661327,9.78158700561749e-06,10.860274237411598,255.7425,257.2606,255.0595
"Electricity; at user; consumption mix - Southern Company Services, Inc. - Trans - BA",natural gas extraction and processing - Appalachian,"Electricity; at user; consumption mix - Midcontinent Independent System Operator, Inc. - BA","market for transport, freight, lorry 16-32 metric ton, EURO6 | transport, freight, lorry 16-32 metric ton, EURO6 | Cutoff, U",natural gas extraction and processing - Appalachian,natural gas extraction and processing - Green River,"coal extraction and processing - Rocky Mountain, SUB, Surface",208.92213622828152,3.597280422840144,-0.7067988233151316,0.0,0.11372775890775284,0.06378354705950794,0.06472841235158795,0.0902589383585524,218.8778,0.5515861967007948,0.10009161885023861,9.390185845334347e-06,4.587121101095567,219.5284,220.6591,219.0902
"Electricity; at user; consumption mix - Southern Company Services, Inc. - Trans - BA",natural gas extraction and processing - Appalachian,"Electricity; at user; consumption mix - Midcontinent Independent System Operator, Inc. - BA","market for transport, freight, lorry 16-32 metric ton, EURO6 | transport, freight, lorry 16-32 metric ton, EURO6 | Cutoff, U",natural gas extraction and processing - Appalachian,natural gas extraction and processing - Green River,"coal extraction and processing - Rocky Mountain, SUB, Surface",223.35341188977884,4.340123051923173,1.5105714765352158,0.0,0.10636058110742522,0.06806675961258649,0.07431394952212131,0.07923087090571151,254.3064,0.7989309419913397,0.11917932174805171,1.0096834263162299e-05,13.374255820413799,255.4722,256.9978,254.6844
"Electricity; at user; consumption mix - Southern Company Services, Inc. - Trans - BA",natural gas extraction and processing - Appalachian,"Electricity; at user; consumption mix - Midcontinent Independent System Operator, Inc. - BA","market for transport, freight, lorry 16-32 metric ton, EURO6 | transport, freight, lorry 16-32 metric ton, EURO6 | Cutoff, U",natural gas extraction and processing - Appalachian,natural gas extraction and processing - Green River,"coal extraction and processing - Rocky Mountain, SUB, Surface",209.36107237244767,4.111657244479399,0.12056649675309095,0.0,0.11758217005383634,0.076576131426241,0.07438398343494482,0.09262512339177092,234.737,0.6679314637092812,0.10971075760903339,1.031631986678157e-05,8.09089441434131,235.5945,236.9093,235.0093
"Electricity; at user; consumption mix - Southern Company Services, Inc. - Trans - BA",natural gas extraction and processing - Appalachian,"Electricity; at user; consumption mix - Midcontinent Independent System Operator, Inc. - BA","market for transport, freight, lorry 16-32 metric ton, EURO6 | transport, freight, lorry 16-32 metric ton, EURO6 | Cutoff, U",natural gas extraction and processing - Appalachian,natural gas extraction and processing - Green River,"coal extraction and processing - Rocky Mountain, SUB, Surface",221.87916745444528,4.020242461229079,1.2832554520389592,0.0,0.11701391382988025,0.05985756291824947,0.058488449321534866,0.10916333001691941,266.5423,0.8963775534952543,0.1160244131168287,9.545512900082312e-06,13.430884888930223,267.6454,269.2872,266.8659
"Electricity; at user; consumption mix - Southern Company Services, Inc. - Trans - BA",natural gas extraction and processing - Appalachian,"Electricity; at user; consumption mix - Midcontinent Independent System Operator, Inc. - BA","market for transport, freight, lorry 16-32 metric ton, EURO6 | transport, freight, lorry 16-32 metric ton, EURO6 | Cutoff, U",natural gas extraction and processing - Appalachian,natural gas extraction and processing - Green River,"coal extraction and processing - Rocky Mountain, SUB, Surface",197.77384589977333,4.424424746375389,1.4333008278216464,0.0,0.11693047669791251,0.06991913056338094,0.07126454190226102,0.08415395498526303,234.0041,0.7554898324231791,0.11535079017163177,9.806551462998063e-06,12.668288411981683,235.1204,236.5568,234.3637
"Electricity; at user; consumption mix - Electric Reliability Council of Texas, Inc. - BA",natural gas extraction and processing - Gulf,"Electricity; at user; consumption mix - Electric Reliability Council of Texas, Inc. - BA","market for transport, freight, lorry 16-32 metric ton, EURO6 | transport, freight, lorry 16-32 metric ton, EURO6 | Cutoff, U",natural gas extraction and processing - Fort Worth,natural gas extraction and processing - Appalachian,"coal extraction and processing - West/Northwest, BIT, Underground",200.87874579520152,4.14835634572554,1.0005724306568402,0.0,0.1103966200243111,0.06915568867704756,0.061608485382493444,0.08536025653656436,227.5354,0.7134171658203554,0.11124994329288035,9.158731452686903e-06,11.235443381894918,228.578,229.9888,227.8824
"Electricity; at user; consumption mix - Electric Reliability Council of Texas, Inc. - BA",natural gas extraction and processing - Gulf,"Electricity; at user; consumption mix - Electric Reliability Council of Texas, Inc. - BA","market for transport, freight, lorry 16-32 metric ton, EURO6 | transport, freight, lorry 16-32 metric ton, EURO6 | Cutoff, U",natural gas extraction and processing - Fort Worth,natural gas extraction and processing - Appalachian,"coal extraction and processing - West/Northwest, BIT, Underground",212.04314402317436,4.431478302526393,0.31915328547571187,0.0,0.10037037203737859,0.0727220893395996,0.0653907377981587,0.08433164739429361,229.2855,0.6571725745679572,0.1087871757751622,9.43906850310505e-06,8.816134855741593,230.2022,231.5473,229.5968
"Electricity; at user; consumption mix - Electric Reliability Council of Texas, Inc. - BA",natural gas extraction and processing - Gulf,"Electricity; at user; consumption mix - Electric Reliability Council of Texas, Inc. - BA","market for transport, freight, lorry 16-32 metric ton, EURO6 | transport, freight, lorry 16-32 metric ton, EURO6 | Cutoff, U",natural gas extraction and processing - Fort Worth,natural gas extraction and processing - Appalachian,"coal extraction and processing - West/Northwest, BIT, Underground",201.3557983290932,4.147644312434132,0.952155013806646,0.0,0.09752884878059094,0.06766682538440016,0.060172837514797246,0.0877419036243658,227.9317,0.716572568642507,0.11026035427730146,8.97478314948272e-06,11.105256712502767,228.9593,230.3709,228.2714
"Electricity; at user; consumption mix - Electric Reliability Council of Texas, Inc. - BA",natural gas extraction and processing - Gulf,"Electricity; at user; consumption mix - Electric Reliability Council of Texas, Inc. - BA","market for transport, freight, lorry 16-32 metric ton, EURO6 | transport, freight, lorry 16-32 metric ton, EURO6 | Cutoff, U",natural gas extraction and processing - Fort Worth,natural gas extraction and processing - Appalachian,"coal extraction and processing - West/Northwest, BIT, Underground",217.50998067697947,3.9837318376140036,2.164246768668261,0.0,0.10686138283449431,0.06951473502066305,0.06572025040649317,0.09875480821493059,265.7031,0.9468438181969308,0.12344120077209744,9.720579193917902e-06,16.74219217780313,267.0315,268.7925,266.117
"Electricity; at user; consumption mix - Electric Reliability Council of Texas, Inc. - BA",natural gas extraction and processing - Gulf,"Electricity; at user; consumption mix - Electric Reliability Council of Texas, Inc. - BA","market for transport, freight, lorry 16-32 metric ton, EURO6 | transport, freight, lorry 16-32 metric ton, EURO6 | Cutoff, U",natural gas extraction and processing - Fort Worth,natural gas extraction and processing - Appalachian,"coal extraction and processing - West/Northwest, BIT, Underground",221.90538295329864,3.8235194749062305,0.8743906425553954,0.0,0.10138935782060478,0.07768561227116352,0.05745994864180538,0.11145519966020022,261.7804,0.8640319054667177,0.1153971223790748,9.724419987975787e-06,12.214180176492635,262.8334,264.4611,262.0955
"Electricity; at user; consumption mix - Electric Reliability Council of Texas, Inc. - BA",natural gas extraction and processing - Gulf,"Electricity; at user; consumption mix - Electric Reliability Council of Texas, Inc. - BA","market for transport, freight, lorry 16-32 metric ton, EURO6 | transport, freight, lorry 16-32 metric ton, EURO6 | Cutoff, U",natural gas extraction and processing - Fort Worth,natural gas extraction and processing - Appalachian,"coal extraction and processing - West/Northwest, BIT, Underground",197.0104402409538,3.9430459070304575,2.100869197913068,0.0,0.12517226649583132,0.05859365851221588,0.0696319485647755,0.09436631686579665,243.1221,0.8692522167931684,0.11930826190379856,9.32486864589813e-06,15.790305878015914,244.4023,246.0304,243.5289
