elec120V_readymix_plant,natgas_readymix_plant,electricity_120V,trans_truck,natgas_clinker,naturalgas,coal,"concrete, 17.2 MPa - national avg, A1-A3 total_cementitious","concrete, 17.2 MPa - national avg, A1-A3 pct_scm","concrete, 17.2 MPa - national avg, A1-A3 pct_scm_flyash","concrete, 17.2 MPa - national avg, A1-A3 q_electricity","concrete, 17.2 MPa - national avg, A1-A3 q_NG","concrete, 17.2 MPa - national avg, A1-A3 plc_boolean","concrete, 17.2 MPa - national avg, A1-A3 msw",Portland cement q_electricity,Portland limestone cement production q_electricity,market for Portland cement t_km,market for sand t_km,"market for gravel, crushed t_km",clinker production - North American q_coal,gwp,ap,ep,odp,pocp,gwp_IPCC,gwp_EF2,gwp_CML
Electricity; at user; consumption mix - Tennessee Valley Authority - BA,natural gas extraction and processing - Appalachian,"Electricity; at user; consumption mix - Southern Company Services, Inc. - Trans - BA","market for transport, freight, lorry 16-32 metric ton, EURO6 | transport, freight, lorry 16-32 metric ton, EURO6 | Cutoff, U",natural gas extraction and processing - Anadarko,natural gas extraction and processing - East Texas,"coal extraction and processing - West/Northwest, SUB, Underground",257.7881104074251,0.4,0.0,3.9222773746940507,0.6741548984368149,0.0,0.0,0.1547368653242367,0.1472520470329371,0.12259825430962398,0.06817531240561671,0.05795773858105339,0.09878580411633878,205.1303,0.6545296212957391,0.11890806653858076,1.24085523391862e-05,10.078047893587884,206.111,207.3526,205.4342
Electricity; at user; consumption mix - Tennessee Valley Authority - BA,natural gas extraction and processing - Appalachian,"Electricity; at user; consumption mix - Southern Company Services, Inc. - Trans - BA","market for transport, freight, lorry 16-32 metric ton, EURO6 | transport, freight, lorry 16-32 metric ton, EURO6 | Cutoff, U",natural gas extraction and processing - Anadarko,natural gas extraction and processing - East Texas,"coal extraction and processing - West/Northwest, SUB, Underground",263.7052869129609,0.4,0.5,3.9895833351999572,1.5547808522734274,1.0,0.0,0.1649353557907521,0.14681127908308061,0.12700618292890023,0.07352222904537009,0.07816089487418015,0.12105273011936463,210.9209,0.7775718809232476,0.11954520161077148,1.1347376460543118e-05,13.437032330502264,212.0503,213.4565,211.2559
Electricity; at user; consumption mix - Tennessee Valley Authority - BA,natural gas extraction and processing - Appalachian,"Electricity; at user; consumption mix - Southern Company Services, Inc. - Trans - BA","market for transport, freight, lorry 16-32 metric ton, EURO6 | transport, freight, lorry 16-32 metric ton, EURO6 | Cutoff, U",natural gas extraction and processing - Anadarko,natural gas extraction and processing - East Texas,"coal extraction and processing - West/Northwest, SUB, Underground",248.59271508807512,0.1,1.0,4.098159783778552,-0.02878993425454046,0.0,0.0,0.13998050524355546,0.11172228173812786,0.10315744459640463,0.06480943675808223,0.07541884654578782,0.10160439455741203,244.5846,0.692121447264034,0.10698466069323939,9.441355258598577e-06,7.730435784056519,245.3719,246.7026,244.8175
Electricity; at user; consumption mix - Tennessee Valley Authority - BA,natural gas extraction and processing - Appalachian,"Electricity; at user; consumption mix - Southern Company Services, Inc. - Trans - BA","market for transport, freight, lorry 16-32 metric ton, EURO6 | transport, freight, lorry 16-32 metric ton, EURO6 | Cutoff, U",natural gas extraction and processing - Anadarko,natural gas extraction and processing - East Texas,"coal extraction and processing - West/Northwest, SUB, Underground",268.99712629225814,0.5,1.0,4.04129972746336,1.656051907077452,0.0,0.0,0.14058798173694054,0.13348274338434496,0.10842586781052778,0.06244793315329622,0.06690552846932957,0.1042313986692428,182.0347,0.6696074771373366,0.10423254101931641,7.976932061476532e-06,12.152778647744926,183.0661,184.2861,182.3547
Electricity; at user; consumption mix - Tennessee Valley Authority - BA,natural gas extraction and processing - Appalachian,"Electricity; at user; consumption mix - Southern Company Services, Inc. - Trans - BA","market for transport, freight, lorry 16-32 metric ton, EURO6 | transport, freight, lorry 16-32 metric ton, EURO6 | Cutoff, U",natural gas extraction and processing - Anadarko,natural gas extraction and processing - East Texas,"coal extraction and processing - West/Northwest, SUB, Underground",242.0965599162944,0.4,1.0,3.7584733389564926,-0.6283485249227138,0.0,0.0,0.17257976202793562,0.08758615931092995,0.1461913710291645,0.06723625324026838,0.06610261876324194,0.07063623612321723,153.608,0.3399999958674653,0.08987548966190273,8.141426813377034e-06,2.7565382576987636,154.1717,154.97,153.8235
Electricity; at user; consumption mix - Tennessee Valley Authority - BA,natural gas extraction and processing - Appalachian,"Electricity; at user; consumption mix - Southern Company Services, Inc. - Trans - BA","market for transport, freight, lorry 16-32 metric ton, EURO6 | transport, freight, lorry 16-32 metric ton, EURO6 | Cutoff, U",natural gas extraction and processing - Anadarko,natural gas extraction and processing - East Texas,"coal extraction and processing - West/Northwest, SUB, Underground",258.4060226226712,0.5,1.0,3.8637139600618533,0.41592551818867657,0.0,0.0,0.12499043588716027,0.130866732682936,0.09237084045074773,0.06179469560350422,0.06677284360209959,0.10959491931108503,162.0691,0.5223520715383815,0.09423668677348444,7.729641942529897e-06,7.156537619341222,162.8138,163.7923,162.2974
Electricity; at user; consumption mix - Tennessee Valley Authority - BA,natural gas extraction and processing - Appalachian,"Electricity; at user; consumption mix - Southern Company Services, Inc. - Trans - BA","market for transport, freight, lorry 16-32 metric ton, EURO6 | transport, freight, lorry 16-32 metric ton, EURO6 | Cutoff, U",natural gas extraction and processing - Anadarko,natural gas extraction and processing - East Texas,"coal extraction and processing - West/Northwest, SUB, Underground",260.6080248457361,0.3,0.0,3.889527196262054,1.2075804150505791,0.0,0.0,0.19061472095009996,0.10375956801107827,0.09911989162912346,0.059490533149759266,0.05985466261154741,0.0880857446027429,229.9082,0.733204606275984,0.12056861459065665,1.1369742926119738e-05,12.347793417958394,231.0175,232.4498,230.2702
Electricity; at user; consumption mix - Tennessee Valley Authority - BA,natural gas extraction and processing - Appalachian,"Electricity; at user; consumption mix - Southern Company Services, Inc. - Trans - BA","market for transport, freight, lorry 16-32 metric ton, EURO6 | transport, freight, lorry 16-32 metric ton, EURO6 | Cutoff, U",natural gas extraction and processing - Anadarko,natural gas extraction and processing - East Texas,"coal extraction and processing - West/Northwest, SUB, Underground",270.27323405345726,0.0,0.5,3.4503323221120414,-0.7496691876674245,0.0,0.0,0.14440998466894392,0.11136060263858795,0.1019406612741581,0.06054484145439024,0.05828470674835985,0.09504678801305626,270.6028,0.6803621525274721,0.1048544978584945,9.122969603277679e-06,5.650259683060195,271.2697,272.6248,270.8025
Electricity; at user; consumption mix - Tennessee Valley Authority - BA,natural gas extraction and processing - Appalachian,"Electricity; at user; consumption mix - Southern Company Services, Inc. - Trans - BA","market for transport, freight, lorry 16-32 metric ton, EURO6 | transport, freight, lorry 16-32 metric ton, EURO6 | Cutoff, U",natural gas extraction and processing - Anadarko,natural gas extraction and processing - East Texas,"coal extraction and processing - West/Northwest, SUB, Underground",258.07849920248884,0.5,0.5,4.462115170632925,0.769660087938255,0.0,0.0,0.0989822092652491,0.1303145183602537,0.11451451048201097,0.06427977682834689,0.06801649655479106,0.10367996045090788,174.3475,0.5864689386745627,0.10920137592266915,1.063878197037903e-05,9.239461654300511,175.2501,176.3149,174.6186
"Electricity; at user; consumption mix - Electric Reliability Council of Texas, Inc. - BA",natural gas extraction and processing - East Texas,"Electricity; at user; consumption mix - Midcontinent Independent System Operator, Inc. - BA","market for transport, freight, lorry 16-32 metric ton, EURO6 | transport, freight, lorry 16-32 metric ton, EURO6 | Cutoff, U",natural gas extraction and processing - Gulf,natural gas extraction and processing - Appalachian,"coal extraction and processing - Central Interior, BIT, Underground",262.8843848025623,0.2,1.0,4.090131012779625,1.0862227959170263,0.0,0.0,0.15496944828212553,0.14318853494371991,0.12084605129183972,0.07340013098326574,0.06494696894117882,0.08752228430139597,247.5372,0.7648150689372155,0.11327876548336877,9.563365585651097e-06,11.805914134627205,248.8924,251.3233,248.1997
"Electricity; at user; consumption mix - Electric Reliability Council of Texas, Inc. - BA",natural gas extraction and processing - East Texas,"Electricity; at user; consumption mix - Midcontinent Independent System Operator, Inc. - BA","market for transport, freight, lorry 16-32 metric ton, EURO6 | transport, freight, lorry 16-32 metric ton, EURO6 | Cutoff, U",natural gas extraction and processing - Gulf,natural gas extraction and processing - Appalachian,"coal extraction and processing - Central Interior, BIT, Underground",250.47778045260577,0.2,0.5,4.296754638224484,1.868288813387684,0.0,0.0,0.13824991745911386,0.15124365825267785,0.114896298257355,0.06137291567090757,0.0695974994799246,0.09217717698151277,251.7134,0.8582906526425313,0.12084519434393076,1.0229032842605198e-05,14.995658451379176,253.2413,255.7826,252.4174
"Electricity; at user; consumption mix - Electric Reliability Council of Texas, Inc. - BA",natural gas extraction and processing - East Texas,"Electricity; at user; consumption mix - Midcontinent Independent System Operator, Inc. - BA","market for transport, freight, lorry 16-32 metric ton, EURO6 | transport, freight, lorry 16-32 metric ton, EURO6 | Cutoff, U",natural gas extraction and processing - Gulf,natural gas extraction and processing - Appalachian,"coal extraction and processing - Central Interior, BIT, Underground",244.84674229537944,0.3,1.0,4.214648566571264,0.49731025528710837,0.0,0.0,0.108693343485223,0.1489907847665337,0.12876523640562695,0.05729637440754639,0.07986007828695668,0.10960013494458105,210.5562,0.6682245471777999,0.10408449899196812,9.072546206397029e-06,8.901238105695217,211.7117,213.9249,211.1347
"Electricity; at user; consumption mix - Electric Reliability Council of Texas, Inc. - BA",natural gas extraction and processing - East Texas,"Electricity; at user; consumption mix - Midcontinent Independent System Operator, Inc. - BA","market for transport, freight, lorry 16-32 metric ton, EURO6 | transport, freight, lorry 16-32 metric ton, EURO6 | Cutoff, U",natural gas extraction and processing - Gulf,natural gas extraction and processing - Appalachian,"coal extraction and processing - Central Interior, BIT, Underground",252.36352642523593,0.4,0.0,3.385366698416785,2.2666905625552785,0.0,0.0,0.13494149252170015,0.14798516079247961,0.08367738467454296,0.06776619881804154,0.059738374704486175,0.09664500687391439,223.5673,0.8402045514926395,0.12891853092257743,1.2358904719555567e-05,16.374979903055088,225.136,227.4001,224.2308
"Electricity; at user; consumption mix - Electric Reliability Council of Texas, Inc. - BA",natural gas extraction and processing - East Texas,"Electricity; at user; consumption mix - Midcontinent Independent System Operator, Inc. - BA","market for transport, freight, lorry 16-32 metric ton, EURO6 | transport, freight, lorry 16-32 metric ton, EURO6 | Cutoff, U",natural gas extraction and processing - Gulf,natural gas extraction and processing - Appalachian,"coal extraction and processing - Central Interior, BIT, Underground",253.05942210812816,0.0,0.5,3.7913746306190066,1.1246772919493673,0.0,0.0,0.140800718507968,0.07723709088718816,0.11421417426680387,0.06672511717757318,0.06744526660162688,0.08574569868569842,282.9129,0.8518970977334355,0.1187409465512397,9.941479782925229e-06,12.76863345315938,284.371,287.1182,283.6401
"Electricity; at user; consumption mix - Electric Reliability Council of Texas, Inc. - BA",natural gas extraction and processing - East Texas,"Electricity; at user; consumption mix - Midcontinent Independent System Operator, Inc. - BA","market for transport, freight, lorry 16-32 metric ton, EURO6 | transport, freight, lorry 16-32 metric ton, EURO6 | Cutoff, U",natural gas extraction and processing - Gulf,natural gas extraction and processing - Appalachian,"coal extraction and processing - Central Interior, BIT, Underground",258.35663113428046,0.0,0.5,4.76960144736192,0.09359959411137786,0.0,0.0,0.0939739541220724,0.15527041823326287,0.10142367922349914,0.06495093193033379,0.05901764333499705,0.10212527021034434,278.1368,0.8049698364276351,0.11041866519700388,9.44116735598831e-06,9.078891536695119,279.405,282.2482,278.8264
