elec120V_readymix_plant,natgas_readymix_plant,electricity_120V,trans_truck,natgas_clinker,naturalgas,coal,"concrete, 17.2 Mpa - national avg, A1-A3 q_PC","concrete, 17.2 Mpa - national avg, A1-A3 q_electricity","concrete, 17.2 Mpa - national avg, A1-A3 q_NG","concrete, 17.2 Mpa - national avg, A1-A3 plc_boolean","concrete, 17.2 Mpa - national avg, A1-A3 msw",Portland cement q_electricity,market for Portland cement t_km,market for sand t_km,"market for gravel, crushed t_km",clinker production - North American q_coal,Portland limestone cement production q_electricity,gwp,ap,ep,odp,pocp,gwp_IPCC,gwp_EF2,gwp_CML
Electricity; at user; consumption mix - Western Area Power Administration - Upper Great Plains West - BA,natural gas extraction and processing - Fort Worth,"Electricity; at user; consumption mix - Electric Reliability Council of Texas, Inc. - BA","market for transport, freight, lorry 7.5-16 metric ton, EURO5 | transport, freight, lorry 7.5-16 metric ton, EURO5 | Cutoff, U",natural gas extraction and processing - San Juan,natural gas extraction and processing - Appalachian,"coal extraction and processing - Central Interior, BIT, Surface",206.3721608723304,3.5594941500837023,0.285694367443012,1.0,0.0,0.1412003459808534,0.09717180979757567,0.06779705739582984,0.06999906363547112,0.10603024292081718,0.11002859739024684,422.72,1.2946462337061093,0.15102370361445397,1.393312517149771e-05,16.05136344356079,424.1116,426.889,423.1933
Electricity; at user; consumption mix - Western Area Power Administration - Upper Great Plains West - BA,natural gas extraction and processing - Fort Worth,"Electricity; at user; consumption mix - Electric Reliability Council of Texas, Inc. - BA","market for transport, freight, lorry 7.5-16 metric ton, EURO5 | transport, freight, lorry 7.5-16 metric ton, EURO5 | Cutoff, U",natural gas extraction and processing - San Juan,natural gas extraction and processing - Appalachian,"coal extraction and processing - Central Interior, BIT, Surface",214.98647150696002,3.4873509579553263,0.04912592257831183,0.0,0.0,0.16049423099965746,0.1001733601818374,0.06253281352466723,0.07311117753737574,0.09104980922819444,0.11987113608421505,242.059,0.7192718482760109,0.11992304493350196,1.1107693138277503e-05,9.598889222476835,243.0735,244.6804,242.4299
Electricity; at user; consumption mix - Western Area Power Administration - Upper Great Plains West - BA,natural gas extraction and processing - Fort Worth,"Electricity; at user; consumption mix - Electric Reliability Council of Texas, Inc. - BA","market for transport, freight, lorry 7.5-16 metric ton, EURO5 | transport, freight, lorry 7.5-16 metric ton, EURO5 | Cutoff, U",natural gas extraction and processing - San Juan,natural gas extraction and processing - Appalachian,"coal extraction and processing - Central Interior, BIT, Surface",210.76798058801342,4.271286697157559,0.810790001021066,0.0,0.0,0.1363206655922741,0.1234747504259122,0.06714549692323418,0.06555075801184064,0.08934853735660611,0.15449355890179042,243.5992,0.7820426098468704,0.12440457131073594,1.1113017751400983e-05,12.242265537649367,244.7479,246.3933,243.9989
Electricity; at user; consumption mix - Western Area Power Administration - Upper Great Plains West - BA,natural gas extraction and processing - Fort Worth,"Electricity; at user; consumption mix - Electric Reliability Council of Texas, Inc. - BA","market for transport, freight, lorry 7.5-16 metric ton, EURO5 | transport, freight, lorry 7.5-16 metric ton, EURO5 | Cutoff, U",natural gas extraction and processing - San Juan,natural gas extraction and processing - Appalachian,"coal extraction and processing - Central Interior, BIT, Surface",205.04784468799477,4.477121855399758,0.8642646368538417,0.0,0.0,0.12195678156713534,0.12215122210376361,0.06514331790197808,0.07085768244910587,0.08352451227204953,0.11039163732657019,234.3031,0.7471038259004521,0.12400853171014824,1.1120313536081507e-05,12.027023869672378,235.4389,236.9905,234.6954
Electricity; at user; consumption mix - Western Area Power Administration - Upper Great Plains West - BA,natural gas extraction and processing - Fort Worth,"Electricity; at user; consumption mix - Electric Reliability Council of Texas, Inc. - BA","market for transport, freight, lorry 7.5-16 metric ton, EURO5 | transport, freight, lorry 7.5-16 metric ton, EURO5 | Cutoff, U",natural gas extraction and processing - San Juan,natural gas extraction and processing - Appalachian,"coal extraction and processing - Central Interior, BIT, Surface",209.78352616083598,3.989982154891195,0.9782302313671136,0.0,0.0,0.16834452011675832,0.10465831005033441,0.058947375052721664,0.07444197401389024,0.08399469570868576,0.14554778147131853,245.2231,0.7868032747017932,0.12519910629208295,1.1002081197992868e-05,12.935468871402334,246.431,248.1331,245.659
Electricity; at user; consumption mix - Western Area Power Administration - Upper Great Plains West - BA,natural gas extraction and processing - Fort Worth,"Electricity; at user; consumption mix - Electric Reliability Council of Texas, Inc. - BA","market for transport, freight, lorry 7.5-16 metric ton, EURO5 | transport, freight, lorry 7.5-16 metric ton, EURO5 | Cutoff, U",natural gas extraction and processing - San Juan,natural gas extraction and processing - Appalachian,"coal extraction and processing - Central Interior, BIT, Surface",198.80254478092513,3.5117824234293105,1.8789459779399036,0.0,0.0,0.1729297174039417,0.11836598158343596,0.06713787137459641,0.06400892808233871,0.09974343187867753,0.1594320254394489,256.198,0.9314238819187384,0.13076563120579196,1.101533784397633e-05,16.7640993536359,257.5978,259.5143,256.6796
Electricity; at user; consumption mix - Western Area Power Administration - Upper Great Plains West - BA,natural gas extraction and processing - Fort Worth,"Electricity; at user; consumption mix - Electric Reliability Council of Texas, Inc. - BA","market for transport, freight, lorry 7.5-16 metric ton, EURO5 | transport, freight, lorry 7.5-16 metric ton, EURO5 | Cutoff, U",natural gas extraction and processing - San Juan,natural gas extraction and processing - Appalachian,"coal extraction and processing - Central Interior, BIT, Surface",208.39860387152555,3.6939335043173838,-0.5135157582690003,1.0,0.0,0.13989063122058432,0.11915920154944536,0.06871364231411961,0.0652649944547088,0.092935416859618,0.17298373864944966,407.6171,1.1244125782467518,0.14545467032159878,1.381626171359498e-05,12.621043669626083,408.8803,411.4944,408.0991
Electricity; at user; consumption mix - Western Area Power Administration - Upper Great Plains West - BA,natural gas extraction and processing - Fort Worth,"Electricity; at user; consumption mix - Electric Reliability Council of Texas, Inc. - BA","market for transport, freight, lorry 7.5-16 metric ton, EURO5 | transport, freight, lorry 7.5-16 metric ton, EURO5 | Cutoff, U",natural gas extraction and processing - San Juan,natural gas extraction and processing - Appalachian,"coal extraction and processing - Central Interior, BIT, Surface",208.3552315837331,4.191407896834973,0.9420150866368732,0.0,0.0,0.17456667843281687,0.12236145081329923,0.062021498307930786,0.06402079279720913,0.10678346597213809,0.1168507065588172,257.8334,0.8762254882965568,0.12533619915963645,1.0994865224889034e-05,13.556197830459,259.0506,260.9177,258.2589
Electricity; at user; consumption mix - Western Area Power Administration - Upper Great Plains West - BA,natural gas extraction and processing - Fort Worth,"Electricity; at user; consumption mix - Electric Reliability Council of Texas, Inc. - BA","market for transport, freight, lorry 7.5-16 metric ton, EURO5 | transport, freight, lorry 7.5-16 metric ton, EURO5 | Cutoff, U",natural gas extraction and processing - San Juan,natural gas extraction and processing - Appalachian,"coal extraction and processing - Central Interior, BIT, Surface",198.76352067125129,3.6079393211979833,1.090614631853485,0.0,0.0,0.12506319230628032,0.11371472704776409,0.07041722414472584,0.07034522813952347,0.08589560478415478,0.1385800185530988,233.743,0.7716168839887466,0.12539219624989953,1.1182446216044206e-05,12.905049877383403,234.9257,236.5104,234.1478
"Electricity; at user; consumption mix - PJM Interconnection, LLC - BA",natural gas extraction and processing - Arkla,Electricity; at user; consumption mix - Southwest Power Pool - BA,"market for transport, freight, lorry 16-32 metric ton, EURO6 | transport, freight, lorry 16-32 metric ton, EURO6 | Cutoff, U",natural gas extraction and processing - Arkla,natural gas extraction and processing - Permian,"coal extraction and processing - Northern Appalachia, WC, Surface",198.64994248228487,3.5373417546410084,1.2951232331326694,1.0,0.0,0.11346064386508027,0.10213501246271069,0.06755924759689663,0.06361601658639261,0.0980186219777162,0.1193837221514508,421.0767,1.2584405024363385,0.14174280415715051,1.2279594176174749e-05,16.96429910735043,423.3967,428.9838,422.5336
"Electricity; at user; consumption mix - PJM Interconnection, LLC - BA",natural gas extraction and processing - Arkla,Electricity; at user; consumption mix - Southwest Power Pool - BA,"market for transport, freight, lorry 16-32 metric ton, EURO6 | transport, freight, lorry 16-32 metric ton, EURO6 | Cutoff, U",natural gas extraction and processing - Arkla,natural gas extraction and processing - Permian,"coal extraction and processing - Northern Appalachia, WC, Surface",217.51749577011313,4.256378358370777,0.8882713312318243,0.0,0.0,0.08618709437209746,0.12029205600170573,0.07035878277164742,0.06715240605038035,0.10670235631584023,0.1636637787097438,256.3541,0.8121975779454844,0.11425449383335853,9.979288128494532e-06,11.225645761325447,257.9556,261.445,257.303
"Electricity; at user; consumption mix - PJM Interconnection, LLC - BA",natural gas extraction and processing - Arkla,Electricity; at user; consumption mix - Southwest Power Pool - BA,"market for transport, freight, lorry 16-32 metric ton, EURO6 | transport, freight, lorry 16-32 metric ton, EURO6 | Cutoff, U",natural gas extraction and processing - Arkla,natural gas extraction and processing - Permian,"coal extraction and processing - Northern Appalachia, WC, Surface",212.53655653907396,3.7102500351034275,0.26707509795377227,0.0,0.0,0.1192798448969429,0.10254724682817021,0.060401341252941526,0.06213656028446732,0.08878590318935725,0.08085946525252308,233.2947,0.6528040483037449,0.10557940267277352,9.118772984746039e-06,8.076477582678692,234.6309,237.5302,234.1013
"Electricity; at user; consumption mix - PJM Interconnection, LLC - BA",natural gas extraction and processing - Arkla,Electricity; at user; consumption mix - Southwest Power Pool - BA,"market for transport, freight, lorry 16-32 metric ton, EURO6 | transport, freight, lorry 16-32 metric ton, EURO6 | Cutoff, U",natural gas extraction and processing - Arkla,natural gas extraction and processing - Permian,"coal extraction and processing - Northern Appalachia, WC, Surface",208.85092934112333,3.8480878727329273,-0.4341778158352473,1.0,0.0,0.08669828043670685,0.11700020637960021,0.06377291113245256,0.06418236743599715,0.09157827267802468,0.17740975920580657,405.7682,1.0406632332124712,0.13072028164713953,1.2314874154702762e-05,10.121035740277241,407.6973,412.8717,407.0962
"Electricity; at user; consumption mix - PJM Interconnection, LLC - BA",natural gas extraction and processing - Arkla,Electricity; at user; consumption mix - Southwest Power Pool - BA,"market for transport, freight, lorry 16-32 metric ton, EURO6 | transport, freight, lorry 16-32 metric ton, EURO6 | Cutoff, U",natural gas extraction and processing - Arkla,natural gas extraction and processing - Permian,"coal extraction and processing - Northern Appalachia, WC, Surface",219.69549541645563,3.344059318717136,0.9478876941032871,0.0,0.0,0.13697841269879402,0.1101754981238768,0.05444019806872631,0.06473786051462688,0.0982916323289633,0.11182120226539008,257.4141,0.7967855207473264,0.11222271944662957,9.374630490168695e-06,11.375138366896444,258.9934,262.3582,258.342
"Electricity; at user; consumption mix - PJM Interconnection, LLC - BA",natural gas extraction and processing - Arkla,Electricity; at user; consumption mix - Southwest Power Pool - BA,"market for transport, freight, lorry 16-32 metric ton, EURO6 | transport, freight, lorry 16-32 metric ton, EURO6 | Cutoff, U",natural gas extraction and processing - Arkla,natural gas extraction and processing - Permian,"coal extraction and processing - Northern Appalachia, WC, Surface",215.25231677695564,4.8215039815483225,0.21641274054870008,0.0,0.0,0.1487990810960598,0.10396509428320855,0.06059071337074093,0.05885601808839517,0.07796867153013955,0.12859427883124594,232.1177,0.615772515824732,0.10496455608918757,9.043961580887037e-06,7.716716349734798,233.4065,236.117,232.8887
"Electricity; at user; consumption mix - PJM Interconnection, LLC - BA",natural gas extraction and processing - Arkla,Electricity; at user; consumption mix - Southwest Power Pool - BA,"market for transport, freight, lorry 16-32 metric ton, EURO6 | transport, freight, lorry 16-32 metric ton, EURO6 | Cutoff, U",natural gas extraction and processing - Arkla,natural gas extraction and processing - Permian,"coal extraction and processing - Northern Appalachia, WC, Surface",196.72014469300294,3.8374618931736606,-0.2022985090808852,0.0,0.0,0.2060350314363816,0.10233739170215886,0.07367598021949874,0.07302267109739438,0.10202954505697409,0.1457662663663062,237.2121,0.6521811362314325,0.10567104791831493,1.0113979230499626e-05,6.902257121332883,238.537,241.6165,238.0513
"Electricity; at user; consumption mix - PJM Interconnection, LLC - BA",natural gas extraction and processing - Arkla,Electricity; at user; consumption mix - Southwest Power Pool - BA,"market for transport, freight, lorry 16-32 metric ton, EURO6 | transport, freight, lorry 16-32 metric ton, EURO6 | Cutoff, U",natural gas extraction and processing - Arkla,natural gas extraction and processing - Permian,"coal extraction and processing - Northern Appalachia, WC, Surface",217.7464204562456,4.1063924413203585,1.5187221903163468,0.0,0.0,0.14919462785173954,0.1031898333283244,0.07414530399153338,0.06798110170544566,0.08610265040191166,0.1261120371138962,259.1903,0.816290907721716,0.11844225504856806,1.0044568148433301e-05,13.327300276568753,260.8419,264.0202,260.0993
"Electricity; at user; consumption mix - PJM Interconnection, LLC - BA",natural gas extraction and processing - Arkla,Electricity; at user; consumption mix - Southwest Power Pool - BA,"market for transport, freight, lorry 16-32 metric ton, EURO6 | transport, freight, lorry 16-32 metric ton, EURO6 | Cutoff, U",natural gas extraction and processing - Arkla,natural gas extraction and processing - Permian,"coal extraction and processing - Northern Appalachia, WC, Surface",203.41933810676278,3.327568256505268,0.9040684979236884,1.0,0.0,0.1261565638456388,0.11357083465448131,0.06594378809963446,0.06900258390133651,0.10844378624751928,0.18298986361407235,446.1972,1.3369723227598993,0.14313434608449394,1.2986138274508845e-05,16.6917976628539,448.6195,454.7928,447.7775
"Electricity; at user; consumption mix - PJM Interconnection, LLC - BA",natural gas extraction and processing - Arkla,Electricity; at user; consumption mix - Southwest Power Pool - BA,"market for transport, freight, lorry 16-32 metric ton, EURO6 | transport, freight, lorry 16-32 metric ton, EURO6 | Cutoff, U",natural gas extraction and processing - Arkla,natural gas extraction and processing - Permian,"coal extraction and processing - Northern Appalachia, WC, Surface",210.88040603977305,4.180759353628558,0.7640131830328604,0.0,0.0,0.12148638813822635,0.09286390428897887,0.060599675961979405,0.06958064005816762,0.09581848696719925,0.13938397110169265,244.2471,0.740786290538946,0.11029557516613472,9.421173251770942e-06,10.30992265782915,245.7376,248.8898,245.1222
Electricity; at user; consumption mix - Florida Power & Light Co. - BA,natural gas extraction and processing - Gulf,"Electricity; at user; consumption mix - Electric Reliability Council of Texas, Inc. - BA","market for transport, freight, lorry 16-32 metric ton, EURO5 | transport, freight, lorry 16-32 metric ton, EURO5 | Cutoff, U",natural gas extraction and processing - Appalachian,natural gas extraction and processing - Appalachian,"coal extraction and processing - Import, BIT, Underground",208.96256216840615,4.1904930668356,1.5337509350957887,1.0,0.0,0.11621473306320768,0.09470739272704942,0.06876390803306891,0.06860040466032741,0.09050838542176592,0.10874355176058549,418.5455,1.289697143894897,0.1478016018924006,1.221662258695973e-05,19.445962031017263,420.6157,424.9746,419.6362
Electricity; at user; consumption mix - Florida Power & Light Co. - BA,natural gas extraction and processing - Gulf,"Electricity; at user; consumption mix - Electric Reliability Council of Texas, Inc. - BA","market for transport, freight, lorry 16-32 metric ton, EURO5 | transport, freight, lorry 16-32 metric ton, EURO5 | Cutoff, U",natural gas extraction and processing - Appalachian,natural gas extraction and processing - Appalachian,"coal extraction and processing - Import, BIT, Underground",220.94759258183575,4.0491301595581195,-0.9358567056520305,0.0,0.0,0.11297664005631125,0.10783444288048225,0.06021138761361627,0.061500339869983434,0.09852592897591388,0.13708609803546667,229.5006,0.6069885579203353,0.10139033547759298,9.151399219562526e-06,5.233606403942371,230.507,232.8825,230.0905
