providers_electricity,providers_heat,providers_billet_steel,providers_iron_forEAF,providers_naturalgas,providers_iron_forBOF,providers_coal,"fabrication, rebar wf","fabrication, rebar elec","hot rolling, billets elec","hot rolling, billets wf","steel production, EAF scrap_pct","steel production, EAF wf","steel production, EAF kWh_EAF","steel production, BOF scrap_pct","steel production, BOF wf","iron production, blast furnace co2_kg",gwp,ap,ep,odp,pocp
Electricity; at grid; generation mix - Public Service Company of New Mexico,"heat generation, natural gas","steel production, EAF","iron production, direct reduction, other",natural gas extraction and processing - Appalachian,"iron production, blast furnace","coal extraction and processing - Central Interior, BIT, Underground",0.075409015,0.0770167,0.153888326,0,0.978497331,0.046781483,0.473139907,0.146177117,0.085062878,0.937935736,1.2438,0.002497749,0.001045806,3.03E-08,0.065031539
"Electricity; at grid; generation mix - Midcontinent Independent System Operator, Inc.","heat generation, natural gas","steel production, EAF","iron production, direct reduction, other",natural gas extraction and processing - Permian,"iron production, blast furnace","coal extraction and processing - West/Northwest, WC, Surface",0.08320611,0.077121576,0.135162015,0,0.961631901,0.016861171,0.645193422,0.1455286,0.05705208,0.98442002,1.2295,0.003468198,0.001084569,3.13E-08,0.073127652
Electricity; at grid; generation mix - Southwest Power Pool,"heat generation, natural gas","steel production, EAF","iron production, direct reduction, other",natural gas extraction and processing - Appalachian,"iron production, blast furnace","coal extraction and processing - West/Northwest, SUB, Surface",0.080713934,0.076312511,0.161110007,0,0.969094698,0.041402381,0.624716598,0.152401314,0.141047339,0.876302236,1.1687,0.0031148,0.001067368,2.99E-08,0.063293985
Electricity; at grid; generation mix - Salt River Project Agricultural Improvement and Power District,"heat generation, natural gas","steel production, EAF","iron production, blast furnace",natural gas extraction and processing - San Juan,"iron production, blast furnace","coal extraction and processing - Central Interior, BIT, Underground",0.059428005,0.075936106,0.14432318,0,0.969327726,0.016317826,0.568339207,0.14714243,0.107151003,1.012691819,0.9533,0.002374243,0.00104186,2.19E-08,0.059169652
Electricity; at grid; generation mix - Florida Power & Light Co.,"heat generation, natural gas","steel production, EAF","iron production, direct reduction, ENERGIRON",natural gas extraction and processing - Appalachian,"iron production, blast furnace","coal extraction and processing - Gulf Lignite, LIG, Surface",0.050203526,0.076797391,0.148243101,0,0.974804366,0.040022807,0.604363027,0.150889575,0.130190481,0.863546775,0.865,0.002260531,0.001021206,1.47E-08,0.06077407
Electricity; at grid; generation mix - Western Area Power Administration - Rocky Mountain Region,"heat generation, natural gas","steel production, EAF","iron production, blast furnace",natural gas extraction and processing - Arkla,"iron production, blast furnace","coal extraction and processing - Central Appalachia, BIT, Surface",0.08911538,0.076436526,0.134829161,0,0.961085516,0.031804298,0.566838726,0.143015057,0.141881547,0.993037817,1.4616,0.002939214,0.001088205,3.15E-08,0.064618545
"Electricity; at grid; generation mix - Midcontinent Independent System Operator, Inc.","heat generation, natural gas","steel production, EAF","iron production, direct reduction, other",natural gas extraction and processing - East Texas,"iron production, blast furnace","coal extraction and processing - Rocky Mountain, SUB, Surface",0.087007287,0.078018059,0.160602699,0,0.96408072,0.036400181,0.518167962,0.152968694,0.072626149,0.896595929,1.1573,0.003257188,0.001076719,2.96E-08,0.069736535
Electricity; at grid; generation mix - California Independent System Operator,"heat generation, natural gas","steel production, EAF","iron production, blast furnace",natural gas extraction and processing - Gulf,"iron production, blast furnace","coal extraction and processing - West/Northwest, SUB, Surface",0.071507371,0.075448706,0.159119168,0,0.978789472,0.031294083,0.635208209,0.151489329,0.118389735,0.833867047,0.9069,0.002889168,0.00108379,1.68E-08,0.089987322
Electricity; at grid; generation mix - Duke Energy Carolinas,"heat generation, natural gas","steel production, EAF","iron production, blast furnace",natural gas extraction and processing - Gulf,"iron production, blast furnace","coal extraction and processing - Rocky Mountain, WC, Surface",0.064973153,0.07633475,0.142814749,0,0.960957454,0.028316094,0.607520658,0.147870064,0.074031242,0.974926997,0.9111,0.002763603,0.00107942,2.09E-08,0.06962954
Electricity; at grid; generation mix - Florida Power & Light Co.,"heat generation, natural gas","steel production, EAF","iron production, direct reduction, other",natural gas extraction and processing - Appalachian,"iron production, blast furnace","coal extraction and processing - West/Northwest, BIT, Surface",0.075554827,0.075370717,0.156204638,0,0.963877074,0.036084161,0.625109053,0.148429594,0.135693902,0.93173161,0.8989,0.002352019,0.001053442,1.53E-08,0.063216932
Electricity; at grid; generation mix - Tennessee Valley Authority,"heat generation, natural gas","steel production, EAF","iron production, blast furnace",natural gas extraction and processing - Permian,"iron production, blast furnace","coal extraction and processing - Powder River Basin, BIT, Surface",0.055105478,0.076141476,0.133793596,0,0.974668291,0.04584805,0.584447587,0.143676992,0.073650336,0.907909234,0.9669,0.002585494,0.001025109,2.27E-08,0.053372767
"Electricity; at grid; generation mix - PJM Interconnection, LLC","heat generation, natural gas","steel production, EAF","iron production, direct reduction, other",natural gas extraction and processing - Permian,"iron production, blast furnace","coal extraction and processing - Northern Appalachia, BIT, Processing",0.080613931,0.076217962,0.146674347,0,0.966702505,0.038406293,0.444092561,0.156412664,0.101438991,0.804278783,0.9125,0.002416624,0.001034901,2.07E-08,0.051824114
"Electricity; at grid; generation mix - Midcontinent Independent System Operator, Inc.","heat generation, natural gas","steel production, EAF","iron production, direct reduction, other",natural gas extraction and processing - San Juan,"iron production, blast furnace","coal extraction and processing - Illinois Basin, BIT, Surface",0.089350458,0.075471057,0.150157495,0,0.967576554,0.012112621,0.504361116,0.143052324,0.115413001,0.892735716,1.1678,0.003302979,0.001081333,2.93E-08,0.072438631
Electricity; at grid; generation mix - Duke Energy Carolinas,"heat generation, natural gas","steel production, EAF","iron production, direct reduction, other",natural gas extraction and processing - Arkla,"iron production, blast furnace","coal extraction and processing - Rocky Mountain, BIT, Processing",0.053095173,0.076579083,0.135538628,0,0.974780654,0.038047439,0.46970511,0.149311255,0.05663487,1.076880394,0.7419,0.001927818,0.000994369,1.82E-08,0.045987196
Electricity; at grid; generation mix - Tennessee Valley Authority,"heat generation, natural gas","steel production, EAF","iron production, direct reduction, other",natural gas extraction and processing - Permian,"iron production, blast furnace","coal extraction and processing - Central Appalachia, BIT, Processing",0.068449906,0.075721149,0.134141853,0,0.963648496,0.034792366,0.547502528,0.14242406,0.086719927,0.958632079,0.9219,0.002460672,0.001023911,2.18E-08,0.051805632
Electricity; at grid; generation mix - Florida Municipal Power Pool,"heat generation, natural gas","steel production, EAF","iron production, direct reduction, other",natural gas extraction and processing - Arkoma,"iron production, blast furnace","coal extraction and processing - Central Interior, LIG, Surface",0.071996762,0.07547128,0.149589818,0,0.979365712,0.023738903,0.55613001,0.143296875,0.070926311,0.882291742,1.1449,0.002485111,0.001034581,2.23E-08,0.061166865
"Electricity; at grid; generation mix - Electric Reliability Council of Texas, Inc.","heat generation, natural gas","steel production, EAF","iron production, blast furnace",natural gas extraction and processing - Strawn,"iron production, blast furnace","coal extraction and processing - Northern Appalachia, WC, Surface",0.051076784,0.075317599,0.136687282,0,0.978468256,0.019363088,0.484941452,0.14739234,0.102366943,0.952118903,1.0123,0.003025621,0.001049653,2.14E-08,0.071056437
"Electricity; at grid; generation mix - Midcontinent Independent System Operator, Inc.","heat generation, natural gas","steel production, EAF","iron production, direct reduction, ENERGIRON",natural gas extraction and processing - Permian,"iron production, blast furnace","coal extraction and processing - Rocky Mountain, BIT, Processing",0.068436354,0.076536501,0.153005662,0,0.961025484,0.011208848,0.578087182,0.155277839,0.107836917,0.875696911,1.1748,0.003323669,0.001065744,3.01E-08,0.070318694
Electricity; at grid; generation mix - New York Independent System Operator,"heat generation, natural gas","steel production, EAF","iron production, direct reduction, other",natural gas extraction and processing - Appalachian,"iron production, blast furnace","coal extraction and processing - Rocky Mountain, SUB, Surface",0.080369074,0.077355282,0.16205091,0,0.965368097,0.045696675,0.561083258,0.147025431,0.142889483,1.009447834,0.7941,0.00219527,0.001044962,1.58E-08,0.055369013
"Electricity; at grid; generation mix - Midcontinent Independent System Operator, Inc.","heat generation, natural gas","steel production, EAF","iron production, blast furnace",natural gas extraction and processing - East Texas,"iron production, blast furnace","coal extraction and processing - Central Interior, LIG, Surface",0.085410257,0.074293921,0.133596349,0,0.961214015,0.017467152,0.466513817,0.142150985,0.112237054,0.892621404,1.1509,0.003288249,0.001097399,2.99E-08,0.069410332
"Electricity; at grid; generation mix - Midcontinent Independent System Operator, Inc.","heat generation, natural gas","steel production, EAF","iron production, blast furnace",natural gas extraction and processing - Appalachian,"iron production, blast furnace","coal extraction and processing - Northern Appalachia, BIT, Surface",0.057359557,0.076006363,0.142185042,0,0.96876456,0.028512823,0.64231523,0.150253959,0.080980053,0.895295081,1.251,0.003532223,0.00108112,3.18E-08,0.073695393
"Electricity; at grid; generation mix - Electric Reliability Council of Texas, Inc.","heat generation, natural gas","steel production, EAF","iron production, blast furnace",natural gas extraction and processing - East Texas,"iron production, blast furnace","coal extraction and processing - Rocky Mountain, WC, Surface",0.070352854,0.076293572,0.163162755,0,0.975485345,0.018724792,0.496232029,0.150382132,0.143877193,0.939731582,1.0612,0.003165852,0.001076024,2.22E-08,0.0741281
"Electricity; at grid; generation mix - Electric Reliability Council of Texas, Inc.","heat generation, natural gas","steel production, EAF","iron production, direct reduction, other",natural gas extraction and processing - Arkla,"iron production, blast furnace","coal extraction and processing - West/Northwest, BIT, Underground",0.056882523,0.076809636,0.148651499,0,0.97031319,0.023847087,0.536862861,0.152081697,0.09734739,1.016076479,1.0257,0.003075391,0.001051264,2.12E-08,0.07285799
Electricity; at grid; generation mix - Seminole Electric Cooperative,"heat generation, natural gas","steel production, EAF","iron production, direct reduction, ENERGIRON",natural gas extraction and processing - Appalachian,"iron production, blast furnace","coal extraction and processing - Gulf Lignite, LIG, Surface",0.068864327,0.07534843,0.143248568,0,0.970613505,0.038201881,0.515401521,0.14913462,0.071221105,0.900552352,1.2356,0.002631682,0.001030571,2.66E-08,0.055018579
"Electricity; at grid; generation mix - PJM Interconnection, LLC","heat generation, natural gas","steel production, EAF","iron production, blast furnace",natural gas extraction and processing - Green River,"iron production, blast furnace","coal extraction and processing - West/Northwest, BIT, Underground",0.087899926,0.075965698,0.143859948,0,0.963549848,0.010629422,0.480355643,0.143382802,0.115267817,0.928160945,0.9936,0.002630996,0.001070437,2.27E-08,0.055183596
"Electricity; at grid; generation mix - PJM Interconnection, LLC","heat generation, natural gas","steel production, EAF","iron production, blast furnace",natural gas extraction and processing - Gulf,"iron production, blast furnace","coal extraction and processing - Illinois Basin, BIT, Underground",0.056109702,0.078085959,0.13450106,0,0.972595007,0.017830049,0.482627251,0.149038751,0.104798623,0.909647867,0.9944,0.003037032,0.001062011,2.16E-08,0.071394494
Electricity; at grid; generation mix - PacifiCorp West,"heat generation, natural gas","steel production, EAF","iron production, blast furnace",natural gas extraction and processing - Appalachian,"iron production, blast furnace","coal extraction and processing - West/Northwest, WC, Surface",0.088132975,0.074710298,0.152208695,0,0.979787539,0.020847119,0.521921361,0.155030988,0.081873408,0.915691403,0.7712,0.001990624,0.001043326,1.72E-08,0.05101906
Electricity; at grid; generation mix - New York Independent System Operator,"heat generation, natural gas","steel production, EAF","iron production, direct reduction, other",natural gas extraction and processing - Anadarko,"iron production, blast furnace","coal extraction and processing - Rocky Mountain, SUB, Surface",0.063630359,0.077775039,0.155168783,0,0.96481861,0.04444519,0.503648196,0.146906147,0.097345152,0.913103859,0.7701,0.002167218,0.001024568,1.55E-08,0.05481589
"Electricity; at grid; generation mix - Electric Reliability Council of Texas, Inc.","heat generation, natural gas","steel production, EAF","iron production, direct reduction, other",natural gas extraction and processing - Anadarko,"iron production, blast furnace","coal extraction and processing - Central Interior, LIG, Surface",0.078549609,0.077102931,0.155609658,0,0.962960036,0.019678111,0.517751509,0.153002663,0.06119438,0.783510114,1.0498,0.003165898,0.001078109,2.17E-08,0.075276386
Electricity; at grid; generation mix - Florida Power & Light Co.,"heat generation, natural gas","steel production, EAF","iron production, blast furnace",natural gas extraction and processing - Strawn,"iron production, blast furnace","coal extraction and processing - Central Appalachia, BIT, Processing",0.055664052,0.078226694,0.155867703,0,0.96447951,0.046193898,0.569953448,0.148343,0.104766721,0.966749761,0.9133,0.00243496,0.001051102,1.64E-08,0.063298586
Electricity; at grid; generation mix - Southwest Power Pool,"heat generation, natural gas","steel production, EAF","iron production, blast furnace",natural gas extraction and processing - Uinta,"iron production, blast furnace","coal extraction and processing - Illinois Basin, BIT, Underground",0.073004928,0.077081002,0.159582882,0,0.969044733,0.013261173,0.482966748,0.150984129,0.129109661,0.947919615,1.1155,0.003006463,0.001066747,2.89E-08,0.06107629
"Electricity; at grid; generation mix - PJM Interconnection, LLC","heat generation, natural gas","steel production, EAF","iron production, blast furnace",natural gas extraction and processing - Appalachian,"iron production, blast furnace","coal extraction and processing - Illinois Basin, BIT, Surface",0.088790424,0.077882549,0.16210131,0,0.972191306,0.040664877,0.501913587,0.139962382,0.129727238,1.011923694,1.0099,0.002651546,0.001068467,2.25E-08,0.055737342
Electricity; at grid; generation mix - Southwest Power Pool,"heat generation, natural gas","steel production, EAF","iron production, blast furnace",natural gas extraction and processing - East Texas,"iron production, blast furnace","coal extraction and processing - West/Northwest, SUB, Underground",0.083708148,0.076041864,0.153516264,0,0.969027826,0.023727416,0.51420239,0.151961492,0.082905527,0.788621466,1.1316,0.00307789,0.001079396,2.95E-08,0.062573359
Electricity; at grid; generation mix - Public Utility District No. 1 of Chelan County,"heat generation, natural gas","steel production, EAF","iron production, blast furnace",natural gas extraction and processing - Green River,"iron production, blast furnace","coal extraction and processing - West/Northwest, SUB, Surface",0.060820807,0.074963571,0.141788342,0,0.97967442,0.027898203,0.480170963,0.150401046,0.109360644,0.793987273,0.4849,0.001523181,0.0009781,1.52E-08,0.036382774
"Electricity; at grid; generation mix - Duke Energy Florida, Inc.","heat generation, natural gas","steel production, EAF","iron production, direct reduction, other",natural gas extraction and processing - San Juan,"iron production, blast furnace","coal extraction and processing - Illinois Basin, BIT, Underground",0.05840698,0.07606805,0.163588888,0,0.978690142,0.020846383,0.570372629,0.145371773,0.078096461,0.875153847,1.1967,0.00284316,0.001047411,2.05E-08,0.071866102
"Electricity; at grid; generation mix - Electric Reliability Council of Texas, Inc.","heat generation, natural gas","steel production, EAF","iron production, blast furnace",natural gas extraction and processing - Fort Worth,"iron production, blast furnace","coal extraction and processing - Import, BIT, Underground",0.081795665,0.077003971,0.149523605,0,0.975439801,0.020727041,0.418545145,0.143941886,0.09421979,0.982976491,1.0177,0.003060261,0.001080594,2.17E-08,0.072195905
Electricity; at grid; generation mix - Southwest Power Pool,"heat generation, natural gas","steel production, EAF","iron production, blast furnace",natural gas extraction and processing - Appalachian,"iron production, blast furnace","coal extraction and processing - Rocky Mountain, BIT, Underground",0.053651434,0.075367454,0.138307006,0,0.963676018,0.03228371,0.641028211,0.147779476,0.088055887,0.837929592,1.1892,0.003214459,0.001068878,3.07E-08,0.064234951
Electricity; at grid; generation mix - Western Area Power Administration - Rocky Mountain Region,"heat generation, natural gas","steel production, EAF","iron production, blast furnace",natural gas extraction and processing - Appalachian,"iron production, blast furnace","coal extraction and processing - Import, BIT, Surface",0.080714457,0.074681238,0.142993642,0,0.968079612,0.032723727,0.485553786,0.155260585,0.13550789,0.875917288,1.3563,0.002751855,0.001067821,2.96E-08,0.06097388
"Electricity; at grid; generation mix - Midcontinent Independent System Operator, Inc.","heat generation, natural gas","steel production, EAF","iron production, blast furnace",natural gas extraction and processing - Gulf,"iron production, blast furnace","coal extraction and processing - Central Interior, BIT, Processing",0.078678642,0.076137764,0.154312722,0,0.973177962,0.035694525,0.401898817,0.150624774,0.132620221,1.009837861,1.1361,0.003642172,0.00110535,2.83E-08,0.084706913
Electricity; at grid; generation mix - Public Service Company of Colorado,"heat generation, natural gas","steel production, EAF","iron production, direct reduction, other",natural gas extraction and processing - Gulf,"iron production, blast furnace","coal extraction and processing - Northern Appalachia, BIT, Surface",0.083755317,0.075456262,0.138880834,0,0.960217088,0.027016185,0.49274032,0.148611233,0.123235357,0.955877632,1.0314,0.0028755,0.001087578,2.33E-08,0.074982586
Electricity; at grid; generation mix - Florida Power & Light Co.,"heat generation, natural gas","steel production, EAF","iron production, direct reduction, other",natural gas extraction and processing - Gulf,"iron production, blast furnace","coal extraction and processing - West/Northwest, SUB, Underground",0.078852286,0.075147822,0.139222308,0,0.966134063,0.012584988,0.55630865,0.148889989,0.061639901,0.903582032,0.9063,0.002809433,0.001079385,1.53E-08,0.079572072
"Electricity; at grid; generation mix - Midcontinent Independent System Operator, Inc.","heat generation, natural gas","steel production, EAF","iron production, direct reduction, other",natural gas extraction and processing - Appalachian,"iron production, blast furnace","coal extraction and processing - Rocky Mountain, BIT, Underground",0.088390698,0.075512706,0.141135664,0,0.971029507,0.025077786,0.664084784,0.151530258,0.112509246,0.860095899,1.2538,0.003508807,0.001090602,3.17E-08,0.074222102
Electricity; at grid; generation mix - Tucson Electric Power,"heat generation, natural gas","steel production, EAF","iron production, direct reduction, other",natural gas extraction and processing - Appalachian,"iron production, blast furnace","coal extraction and processing - West/Northwest, BIT, Underground",0.067021781,0.074829011,0.1479616,0,0.975244462,0.027528066,0.541584673,0.154431837,0.11760469,0.868709896,1.3692,0.00299786,0.001047638,3.70E-08,0.063562359
Electricity; at grid; generation mix - Bonneville Power Administration,"heat generation, natural gas","steel production, EAF","iron production, blast furnace",natural gas extraction and processing - Strawn,"iron production, blast furnace","coal extraction and processing - Northern Appalachia, WC, Underground",0.086855292,0.075267124,0.153838173,0,0.963908263,0.023081794,0.50483324,0.15017312,0.066134146,0.797334282,0.6429,0.00194159,0.001043162,1.88E-08,0.04594252
"Electricity; at grid; generation mix - Midcontinent Independent System Operator, Inc.","heat generation, natural gas","steel production, EAF","iron production, direct reduction, other",natural gas extraction and processing - Gulf,"iron production, blast furnace","coal extraction and processing - Central Interior, BIT, Processing",0.051250816,0.075692499,0.141844033,0,0.974725294,0.03110287,0.604731185,0.1543623,0.093592483,0.871775968,1.2099,0.003790765,0.001074644,2.97E-08,0.087665708
Electricity; at grid; generation mix - Western Area Power Administration - Rocky Mountain Region,"heat generation, natural gas","steel production, EAF","iron production, blast furnace",natural gas extraction and processing - Appalachian,"iron production, blast furnace","coal extraction and processing - Illinois Basin, BIT, Underground",0.050404543,0.077654186,0.152379566,0,0.971854753,0.034793982,0.494647403,0.152000236,0.124371814,0.911766107,1.3396,0.002691703,0.001035143,2.90E-08,0.059711662
"Electricity; at grid; generation mix - PJM Interconnection, LLC","heat generation, natural gas","steel production, EAF","iron production, blast furnace",natural gas extraction and processing - Appalachian,"iron production, blast furnace","coal extraction and processing - Northern Appalachia, WC, Underground",0.079155902,0.076062152,0.143025313,0,0.973449558,0.022274275,0.533452817,0.151256436,0.103605048,0.883752628,1.0055,0.00263207,0.001058174,2.24E-08,0.055339885
Electricity; at grid; generation mix - Western Area Power Administration - Rocky Mountain Region,"heat generation, natural gas","steel production, EAF","iron production, direct reduction, other",natural gas extraction and processing - Appalachian,"iron production, blast furnace","coal extraction and processing - West/Northwest, SUB, Underground",0.08808058,0.074661123,0.157256105,0,0.971723968,0.036568712,0.462989356,0.152958151,0.098230355,0.916205625,1.3083,0.002595388,0.0010495,2.83E-08,0.058856773
"Electricity; at grid; generation mix - PJM Interconnection, LLC","heat generation, natural gas","steel production, EAF","iron production, blast furnace",natural gas extraction and processing - Appalachian,"iron production, blast furnace","coal extraction and processing - Rocky Mountain, WC, Surface",0.084419895,0.073528938,0.144759869,0,0.962534195,0.033301024,0.510286822,0.153316691,0.133897206,0.888561006,1.0113,0.002683808,0.001075555,2.29E-08,0.0561402
Electricity; at grid; generation mix - Southwest Power Pool,"heat generation, natural gas","steel production, EAF","iron production, blast furnace",natural gas extraction and processing - Arkoma,"iron production, blast furnace","coal extraction and processing - Central Appalachia, BIT, Processing",0.084445993,0.075951388,0.154960825,0,0.970538052,0.04286211,0.538018374,0.150308993,0.092979688,0.945185371,1.1644,0.003131169,0.001081177,2.98E-08,0.063789972
Electricity; at grid; generation mix - PacifiCorp East,"heat generation, natural gas","steel production, EAF","iron production, direct reduction, ENERGIRON",natural gas extraction and processing - Appalachian,"iron production, blast furnace","coal extraction and processing - Northern Appalachia, WC, Surface",0.073809061,0.074802239,0.146210321,0,0.97921153,0.046384687,0.435153833,0.144080193,0.129585078,1.042215324,1.149,0.002773494,0.001040777,2.94E-08,0.063308771
"Electricity; at grid; generation mix - Midcontinent Independent System Operator, Inc.","heat generation, natural gas","steel production, EAF","iron production, blast furnace",natural gas extraction and processing - Green River,"iron production, blast furnace","coal extraction and processing - Central Appalachia, BIT, Underground",0.080154815,0.07672363,0.16242031,0,0.971443743,0.021502285,0.572601624,0.146971733,0.126687714,0.874570632,1.235,0.003472549,0.001091072,3.15E-08,0.072710386
Electricity; at grid; generation mix - Salt River Project Agricultural Improvement and Power District,"heat generation, natural gas","steel production, EAF","iron production, blast furnace",natural gas extraction and processing - Green River,"iron production, blast furnace","coal extraction and processing - Central Interior, BIT, Surface",0.06534205,0.076600684,0.164128495,0,0.979754693,0.041384952,0.507658883,0.153170777,0.097847534,0.918138982,0.8836,0.002181879,0.001025525,2.11E-08,0.053552706
"Electricity; at grid; generation mix - PJM Interconnection, LLC","heat generation, natural gas","steel production, EAF","iron production, direct reduction, other",natural gas extraction and processing - Gulf,"iron production, blast furnace","coal extraction and processing - Rocky Mountain, SUB, Surface",0.062287633,0.073662113,0.161851387,0,0.960186637,0.024436889,0.508772582,0.146022385,0.13426432,0.959575371,0.9868,0.002987631,0.0010579,2.11E-08,0.0710754
