providers_electricity,providers_heat,providers_billet_steel,providers_iron_forEAF,providers_naturalgas,providers_iron_forBOF,providers_coal,"fabrication, rebar wf","fabrication, rebar elec","hot rolling, billets elec","hot rolling, billets wf","steel production, EAF scrap_pct","steel production, EAF wf","steel production, EAF kWh_EAF","steel production, BOF scrap_pct","steel production, BOF wf","iron production, blast furnace co2_kg",gwp,ap,ep,odp,pocp
Electricity; at grid; generation mix - Tennessee Valley Authority,"heat generation, natural gas","steel production, EAF","iron production, blast furnace",natural gas extraction and processing - Fort Worth,"iron production, blast furnace","coal extraction and processing - Central Appalachia, BIT, Surface",0.059441775,0.074071355,0.147398093,0,0.974323198,0.034506159,0.623336259,0.15709704,0.097747097,0.966712095,1.006,0.002673726,0.001034927,2.32E-08,0.056037177
"Electricity; at grid; generation mix - Duke Energy Florida, Inc.","heat generation, natural gas","steel production, EAF","iron production, blast furnace",natural gas extraction and processing - Fort Worth,"iron production, blast furnace","coal extraction and processing - Import, BIT, Surface",0.067698653,0.076062752,0.151670632,0,0.968730096,0.045564486,0.660245091,0.160011788,0.07261743,0.93635584,1.2905,0.003080762,0.001086232,2.26E-08,0.075274426
"Electricity; at grid; generation mix - PJM Interconnection, LLC","heat generation, natural gas","steel production, EAF","iron production, blast furnace",natural gas extraction and processing - San Juan,"iron production, blast furnace","coal extraction and processing - Northern Appalachia, BIT, Underground",0.074845533,0.074980044,0.15887516,0,0.968856407,0.027131141,0.547833202,0.145539161,0.130494753,1.075006307,1.0654,0.002780331,0.001063003,2.28E-08,0.059924241
"Electricity; at grid; generation mix - Southern Company Services, Inc. - Trans","heat generation, natural gas","steel production, EAF","iron production, blast furnace",natural gas extraction and processing - Appalachian,"iron production, blast furnace","coal extraction and processing - Northern Appalachia, BIT, Surface",0.07822301,0.077232939,0.137328177,0,0.961151934,0.047661037,0.485450705,0.140954239,0.082375558,0.89431453,1.0582,0.002651853,0.001083175,2.24E-08,0.063220849
Electricity; at grid; generation mix - Idaho Power Company,"heat generation, natural gas","steel production, EAF","iron production, blast furnace",natural gas extraction and processing - Gulf,"iron production, blast furnace","coal extraction and processing - Central Interior, BIT, Surface",0.062596873,0.076791287,0.160244139,0,0.970897825,0.019457533,0.560153223,0.147011217,0.11111316,0.911857653,0.649,0.002377448,0.001050149,1.59E-08,0.064545466
Electricity; at grid; generation mix - Bonneville Power Administration,"heat generation, natural gas","steel production, EAF","iron production, direct reduction, ENERGIRON",natural gas extraction and processing - Permian,"iron production, blast furnace","coal extraction and processing - Central Appalachia, BIT, Surface",0.072605279,0.076207454,0.142292049,0,0.979060029,0.03606957,0.581704607,0.140001727,0.098738367,0.941849815,0.5853,0.001745645,0.000997425,1.70E-08,0.042527907
Electricity; at grid; generation mix - Bonneville Power Administration,"heat generation, natural gas","steel production, EAF","iron production, direct reduction, other",natural gas extraction and processing - Permian,"iron production, blast furnace","coal extraction and processing - Northern Appalachia, BIT, Processing",0.069033319,0.074346509,0.138770555,0,0.976601829,0.041838677,0.441612271,0.154048077,0.106885243,0.767282182,0.5638,0.001698177,0.000991864,1.66E-08,0.041344522
"Electricity; at grid; generation mix - PJM Interconnection, LLC","heat generation, natural gas","steel production, EAF","iron production, direct reduction, other",natural gas extraction and processing - Appalachian,"iron production, blast furnace","coal extraction and processing - Rocky Mountain, BIT, Underground",0.080109287,0.075994892,0.15976177,0,0.967343055,0.01633025,0.487564718,0.150188822,0.088824088,0.827843524,0.9461,0.002471353,0.001041634,2.12E-08,0.053032885
"Electricity; at grid; generation mix - Electric Reliability Council of Texas, Inc.","heat generation, natural gas","steel production, EAF","iron production, blast furnace",natural gas extraction and processing - Appalachian,"iron production, blast furnace","coal extraction and processing - Northern Appalachia, WC, Processing",0.053843513,0.075799262,0.144838943,0,0.979805405,0.026654415,0.68339126,0.15006333,0.112035454,0.948168087,1.1488,0.003408951,0.001074913,2.29E-08,0.079626259
"Electricity; at grid; generation mix - PJM Interconnection, LLC","heat generation, natural gas","steel production, EAF","iron production, direct reduction, ENERGIRON",natural gas extraction and processing - Appalachian,"iron production, blast furnace","coal extraction and processing - Rocky Mountain, BIT, Processing",0.079743521,0.076631202,0.152453272,0,0.962403185,0.02582325,0.542741749,0.154212288,0.137658452,0.97229485,0.9743,0.002534092,0.00104651,2.16E-08,0.054093591
"Electricity; at grid; generation mix - Midcontinent Independent System Operator, Inc.","heat generation, natural gas","steel production, EAF","iron production, blast furnace",natural gas extraction and processing - Permian,"iron production, blast furnace","coal extraction and processing - Powder River Basin, SUB, Surface",0.050461042,0.076982673,0.14109673,0,0.973741102,0.023871227,0.504917452,0.140160916,0.116156918,0.776579867,1.1244,0.003216048,0.001051913,2.91E-08,0.067579351
"Electricity; at grid; generation mix - PJM Interconnection, LLC","heat generation, natural gas","steel production, EAF","iron production, blast furnace",natural gas extraction and processing - Strawn,"iron production, blast furnace","coal extraction and processing - Rocky Mountain, BIT, Underground",0.05504712,0.076569519,0.13787752,0,0.978584586,0.035155635,0.46128456,0.151558515,0.134057215,0.877279201,0.9274,0.002452923,0.001019584,2.10E-08,0.052413333
"Electricity; at grid; generation mix - Midcontinent Independent System Operator, Inc.","heat generation, natural gas","steel production, EAF","iron production, blast furnace",natural gas extraction and processing - Anadarko,"iron production, blast furnace","coal extraction and processing - West/Northwest, BIT, Surface",0.056022474,0.077000344,0.148376156,0,0.972168621,0.044593188,0.478274508,0.150759975,0.116705911,0.961226411,1.1355,0.003248031,0.001060244,2.90E-08,0.069030252
"Electricity; at grid; generation mix - Electric Reliability Council of Texas, Inc.","heat generation, natural gas","steel production, EAF","iron production, blast furnace",natural gas extraction and processing - Strawn,"iron production, blast furnace","coal extraction and processing - Central Interior, BIT, Underground",0.062415348,0.075956824,0.16444385,0,0.974679152,0.019452006,0.643318952,0.148206473,0.090591054,0.952013705,1.1511,0.00343085,0.001083809,2.33E-08,0.080167703
Electricity; at grid; generation mix - Salt River Project Agricultural Improvement and Power District,"heat generation, natural gas","steel production, EAF","iron production, blast furnace",natural gas extraction and processing - Permian,"iron production, blast furnace","coal extraction and processing - Central Appalachia, BIT, Underground",0.073868584,0.077194002,0.146009312,0,0.961839381,0.049414302,0.464005889,0.154134704,0.053468356,0.947043515,0.8991,0.002296228,0.001054841,2.19E-08,0.054801083
Electricity; at grid; generation mix - Tennessee Valley Authority,"heat generation, natural gas","steel production, EAF","iron production, direct reduction, other",natural gas extraction and processing - Anadarko,"iron production, blast furnace","coal extraction and processing - Central Interior, BIT, Processing",0.087996972,0.076524276,0.160295325,0,0.964225225,0.029366459,0.628642602,0.146406865,0.134754768,1.068095735,1.0087,0.002671968,0.001050665,2.31E-08,0.056456545
Electricity; at grid; generation mix - Southwest Power Pool,"heat generation, natural gas","steel production, EAF","iron production, blast furnace",natural gas extraction and processing - Appalachian,"iron production, blast furnace","coal extraction and processing - West/Northwest, BIT, Underground",0.059523371,0.074297947,0.135313371,0,0.964357796,0.04447409,0.482517126,0.143099921,0.066682761,0.955277872,1.0826,0.002960113,0.001061723,2.83E-08,0.060084048
"Electricity; at grid; generation mix - PJM Interconnection, LLC","heat generation, natural gas","steel production, EAF","iron production, direct reduction, other",natural gas extraction and processing - Arkla,"iron production, blast furnace","coal extraction and processing - Central Interior, BIT, Surface",0.060313711,0.075199165,0.140490524,0,0.972701905,0.015884246,0.513890984,0.155873027,0.056908566,0.917067768,0.9321,0.002439277,0.00101656,2.08E-08,0.052364458
Electricity; at grid; generation mix - Duke Energy Progress East,"heat generation, natural gas","steel production, EAF","iron production, direct reduction, other",natural gas extraction and processing - Appalachian,"iron production, blast furnace","coal extraction and processing - Central Interior, LIG, Surface",0.080196781,0.075193344,0.153282974,0,0.962588154,0.0278689,0.555578193,0.141227423,0.069546052,0.940094887,0.8634,0.002289445,0.001043705,2.23E-08,0.053233127
"Electricity; at grid; generation mix - Southern Company Services, Inc. - Trans","heat generation, natural gas","steel production, EAF","iron production, blast furnace",natural gas extraction and processing - Appalachian,"iron production, blast furnace","coal extraction and processing - West/Northwest, BIT, Surface",0.076379223,0.077115118,0.139919634,0,0.97505401,0.032888899,0.563430627,0.148858205,0.109775278,1.026827703,1.0885,0.002650446,0.001069621,2.22E-08,0.064121
Electricity; at grid; generation mix - California Independent System Operator,"heat generation, natural gas","steel production, EAF","iron production, blast furnace",natural gas extraction and processing - East Texas,"iron production, blast furnace","coal extraction and processing - Illinois Basin, BIT, Surface",0.056355549,0.077677422,0.144073271,0,0.971954772,0.046687034,0.54633084,0.141494326,0.092341125,0.925060477,0.8304,0.002291269,0.001037923,1.68E-08,0.067869904
Electricity; at grid; generation mix - California Independent System Operator,"heat generation, natural gas","steel production, EAF","iron production, blast furnace",natural gas extraction and processing - East Texas,"iron production, blast furnace","coal extraction and processing - Northern Appalachia, WC, Processing",0.071766566,0.073973304,0.132409729,0,0.968559733,0.017244956,0.53547755,0.145017482,0.085065964,0.930535478,0.8425,0.002320995,0.001055674,1.73E-08,0.068208777
Electricity; at grid; generation mix - PacifiCorp East,"heat generation, natural gas","steel production, EAF","iron production, direct reduction, other",natural gas extraction and processing - Appalachian,"iron production, blast furnace","coal extraction and processing - West/Northwest, BIT, Underground",0.069825315,0.076622236,0.133132786,0,0.9604853,0.047509386,0.644573863,0.152878566,0.117611382,0.792527033,1.3247,0.003126985,0.00106246,3.33E-08,0.070622758
"Electricity; at grid; generation mix - Midcontinent Independent System Operator, Inc.","heat generation, natural gas","steel production, EAF","iron production, blast furnace",natural gas extraction and processing - San Juan,"iron production, blast furnace","coal extraction and processing - Central Interior, LIG, Surface",0.086595659,0.075322998,0.159490571,0,0.968625555,0.025212196,0.578085632,0.144932701,0.121968057,0.809406998,1.276,0.003625324,0.0011083,3.19E-08,0.077685396
Electricity; at grid; generation mix - PacifiCorp West,"heat generation, natural gas","steel production, EAF","iron production, blast furnace",natural gas extraction and processing - East Texas,"iron production, blast furnace","coal extraction and processing - Rocky Mountain, BIT, Underground",0.055272338,0.075524709,0.132518244,0,0.961329285,0.042230674,0.500141121,0.142354719,0.102700292,0.901301297,0.7704,0.002026679,0.00102856,1.76E-08,0.050816501
"Electricity; at grid; generation mix - Duke Energy Florida, Inc.","heat generation, natural gas","steel production, EAF","iron production, direct reduction, other",natural gas extraction and processing - Appalachian,"iron production, blast furnace","coal extraction and processing - Central Appalachia, BIT, Processing",0.083219052,0.076291095,0.164039709,0,0.974749019,0.034960769,0.486935627,0.157356241,0.079614218,0.902462674,1.1266,0.002695842,0.001064685,2.05E-08,0.06673601
"Electricity; at grid; generation mix - PJM Interconnection, LLC","heat generation, natural gas","steel production, EAF","iron production, blast furnace",natural gas extraction and processing - Permian,"iron production, blast furnace","coal extraction and processing - Import, BIT, Surface",0.084448448,0.076190312,0.156079007,0,0.973929134,0.041286264,0.473815111,0.146641518,0.067727273,0.908055704,0.977,0.002592499,0.001055741,2.21E-08,0.054421728
Electricity; at grid; generation mix - California Independent System Operator,"heat generation, natural gas","steel production, EAF","iron production, blast furnace",natural gas extraction and processing - Gulf,"iron production, blast furnace","coal extraction and processing - Illinois Basin, BIT, Surface",0.052865197,0.075518791,0.145806875,0,0.964183422,0.031412246,0.603372309,0.145266771,0.141872243,0.97612098,0.9032,0.002896627,0.00108029,1.73E-08,0.088316204
Electricity; at grid; generation mix - California Independent System Operator,"heat generation, natural gas","steel production, EAF","iron production, direct reduction, other",natural gas extraction and processing - Appalachian,"iron production, blast furnace","coal extraction and processing - Central Appalachia, BIT, Surface",0.067251475,0.076335453,0.140896261,0,0.972843694,0.04239068,0.511123464,0.137190168,0.145444699,0.94180787,0.7774,0.002138122,0.001029729,1.58E-08,0.064906083
"Electricity; at grid; generation mix - PJM Interconnection, LLC","heat generation, natural gas","steel production, EAF","iron production, direct reduction, ENERGIRON",natural gas extraction and processing - Permian,"iron production, blast furnace","coal extraction and processing - Illinois Basin, BIT, Underground",0.073025429,0.075287591,0.145645716,0,0.964637186,0.033251424,0.628422604,0.153408825,0.109611141,0.878969017,1.0111,0.002619032,0.001039374,2.20E-08,0.055171106
Electricity; at grid; generation mix - Salt River Project Agricultural Improvement and Power District,"heat generation, natural gas","steel production, EAF","iron production, blast furnace",natural gas extraction and processing - Gulf,"iron production, blast furnace","coal extraction and processing - Central Interior, BIT, Underground",0.06489999,0.077106779,0.163723725,0,0.966248064,0.036633818,0.623940689,0.155009306,0.103709335,0.808965673,1.0039,0.002897154,0.001082022,2.27E-08,0.0759407
Electricity; at grid; generation mix - Bonneville Power Administration,"heat generation, natural gas","steel production, EAF","iron production, direct reduction, other",natural gas extraction and processing - Permian,"iron production, blast furnace","coal extraction and processing - Northern Appalachia, WC, Surface",0.058506818,0.076340283,0.138113424,0,0.978953201,0.048343108,0.550867382,0.145618719,0.141809802,0.92227436,0.5729,0.001712006,0.000983263,1.66E-08,0.041702461
"Electricity; at grid; generation mix - Midcontinent Independent System Operator, Inc.","heat generation, natural gas","steel production, EAF","iron production, blast furnace",natural gas extraction and processing - Green River,"iron production, blast furnace","coal extraction and processing - Southern Appalachia, BIT, Underground",0.069545126,0.075232379,0.164025338,0,0.977172209,0.022639867,0.592197528,0.146150326,0.124810895,0.927966331,1.2345,0.0034438,0.001075155,3.12E-08,0.072238389
"Electricity; at grid; generation mix - Duke Energy Florida, Inc.","heat generation, natural gas","steel production, EAF","iron production, blast furnace",natural gas extraction and processing - East Texas,"iron production, blast furnace","coal extraction and processing - West/Northwest, BIT, Underground",0.064311008,0.078805915,0.154642426,0,0.969285887,0.025416123,0.577389626,0.154135598,0.10813454,0.87165816,1.2207,0.002927988,0.001073798,2.20E-08,0.07109143
Electricity; at grid; generation mix - Tennessee Valley Authority,"heat generation, natural gas","steel production, EAF","iron production, blast furnace",natural gas extraction and processing - Appalachian,"iron production, blast furnace","coal extraction and processing - Lignite, LIG, Surface",0.06417158,0.075789917,0.161463277,0,0.979847205,0.036547545,0.542371056,0.14831177,0.066020964,0.918614679,0.96,0.002548048,0.001031013,2.25E-08,0.053175462
Electricity; at grid; generation mix - South Carolina Electric & Gas Company,"heat generation, natural gas","steel production, EAF","iron production, direct reduction, other",natural gas extraction and processing - Arkoma,"iron production, blast furnace","coal extraction and processing - Powder River Basin, BIT, Surface",0.086963449,0.075537493,0.156829787,0,0.96510384,0.040671037,0.476519535,0.151535192,0.111519725,0.921701152,0.9415,0.002249843,0.001040158,2.02E-08,0.052864172
Electricity; at grid; generation mix - PacifiCorp East,"heat generation, natural gas","steel production, EAF","iron production, blast furnace",natural gas extraction and processing - Gulf,"iron production, blast furnace","coal extraction and processing - West/Northwest, SUB, Surface",0.07720897,0.07513468,0.138569283,0,0.977398597,0.039700875,0.503751434,0.149282771,0.131617943,0.981105115,1.288,0.003535759,0.001095514,3.16E-08,0.085986643
Electricity; at grid; generation mix - Arizona Public Service Company,"heat generation, natural gas","steel production, EAF","iron production, direct reduction, other",natural gas extraction and processing - Appalachian,"iron production, blast furnace","coal extraction and processing - Central Appalachia, BIT, Surface",0.065088138,0.075806269,0.149733739,0,0.971714301,0.040599186,0.548357726,0.148196512,0.056770851,0.955115459,1.2204,0.003164428,0.001073332,2.57E-08,0.082248245
"Electricity; at grid; generation mix - PJM Interconnection, LLC","heat generation, natural gas","steel production, EAF","iron production, blast furnace",natural gas extraction and processing - Anadarko,"iron production, blast furnace","coal extraction and processing - West/Northwest, SUB, Underground",0.051281822,0.07683691,0.143903965,0,0.96774637,0.029986431,0.578950194,0.146169915,0.091463337,0.953073769,1.0242,0.002707175,0.001039373,2.25E-08,0.056935013
Electricity; at grid; generation mix - California Independent System Operator,"heat generation, natural gas","steel production, EAF","iron production, blast furnace",natural gas extraction and processing - Appalachian,"iron production, blast furnace","coal extraction and processing - Illinois Basin, BIT, Surface",0.071459932,0.076795657,0.147819096,0,0.969496855,0.020734907,0.427356904,0.145470522,0.11437923,0.880025868,0.797,0.002242707,0.00105306,1.71E-08,0.0647619
"Electricity; at grid; generation mix - PJM Interconnection, LLC","heat generation, natural gas","steel production, EAF","iron production, blast furnace",natural gas extraction and processing - Appalachian,"iron production, blast furnace","coal extraction and processing - Illinois Basin, BIT, Surface",0.062179959,0.077374238,0.138848738,0,0.962891164,0.032026884,0.529463585,0.15832522,0.080772534,1.025871574,1.005,0.002650909,0.001054226,2.25E-08,0.055356576
Electricity; at grid; generation mix - California Independent System Operator,"heat generation, natural gas","steel production, EAF","iron production, direct reduction, other",natural gas extraction and processing - Appalachian,"iron production, blast furnace","coal extraction and processing - Rocky Mountain, SUB, Surface",0.083220639,0.075983299,0.152180916,0,0.961543981,0.012775175,0.651322755,0.152799033,0.109860687,0.898950042,0.8485,0.00230926,0.001061153,1.65E-08,0.071484441
Electricity; at grid; generation mix - Southwest Power Pool,"heat generation, natural gas","steel production, EAF","iron production, blast furnace",natural gas extraction and processing - Uinta,"iron production, blast furnace","coal extraction and processing - Northern Appalachia, BIT, Processing",0.062266508,0.075259568,0.156682615,0,0.969656622,0.026547241,0.581978673,0.154946459,0.142120447,0.923732764,1.1739,0.003130156,0.001062467,3.00E-08,0.062996346
"Electricity; at grid; generation mix - Duke Energy Florida, Inc.","heat generation, natural gas","steel production, EAF","iron production, blast furnace",natural gas extraction and processing - Gulf,"iron production, blast furnace","coal extraction and processing - Central Interior, BIT, Processing",0.086162927,0.076752758,0.135352992,0,0.970734371,0.025426808,0.532016468,0.157905975,0.083968834,0.92878622,1.2338,0.00341897,0.001121991,2.19E-08,0.088524822
Electricity; at grid; generation mix - Southwest Power Pool,"heat generation, natural gas","steel production, EAF","iron production, direct reduction, other",natural gas extraction and processing - Arkla,"iron production, blast furnace","coal extraction and processing - West/Northwest, BIT, Surface",0.057070443,0.07608925,0.136688078,0,0.960482223,0.035945368,0.636695758,0.154954324,0.095066096,0.949757338,1.1361,0.003049685,0.001044147,2.92E-08,0.06208038
"Electricity; at grid; generation mix - Midcontinent Independent System Operator, Inc.","heat generation, natural gas","steel production, EAF","iron production, direct reduction, other",natural gas extraction and processing - Appalachian,"iron production, blast furnace","coal extraction and processing - Central Appalachia, BIT, Surface",0.052983514,0.077206674,0.164655165,0,0.960766289,0.035586899,0.603481848,0.155614966,0.074369426,0.801870714,1.1888,0.003341109,0.001057262,3.03E-08,0.070802951
Electricity; at grid; generation mix - Tennessee Valley Authority,"heat generation, natural gas","steel production, EAF","iron production, blast furnace",natural gas extraction and processing - East Texas,"iron production, blast furnace","coal extraction and processing - Import, BIT, Surface",0.077170581,0.07476525,0.156197917,0,0.965323429,0.013802391,0.564178165,0.144453472,0.073689227,0.95656447,1.0064,0.002675865,0.001057316,2.37E-08,0.055497585
"Electricity; at grid; generation mix - Electric Reliability Council of Texas, Inc.","heat generation, natural gas","steel production, EAF","iron production, direct reduction, other",natural gas extraction and processing - East Texas,"iron production, blast furnace","coal extraction and processing - Southern Appalachia, BIT, Surface",0.060582516,0.077232694,0.164097476,0,0.973685945,0.013398471,0.56332095,0.150194553,0.114428225,0.916192627,1.0594,0.003148381,0.001056833,2.16E-08,0.074763269
"Electricity; at grid; generation mix - Midcontinent Independent System Operator, Inc.","heat generation, natural gas","steel production, EAF","iron production, blast furnace",natural gas extraction and processing - Gulf,"iron production, blast furnace","coal extraction and processing - Rocky Mountain, BIT, Processing",0.069273782,0.075305412,0.137054888,0,0.972978614,0.010182578,0.457113303,0.142305415,0.061230756,0.887062062,1.1517,0.00368257,0.001099412,2.88E-08,0.085354261
"Electricity; at grid; generation mix - PJM Interconnection, LLC","heat generation, natural gas","steel production, EAF","iron production, direct reduction, ENERGIRON",natural gas extraction and processing - South Oklahoma,"iron production, blast furnace","coal extraction and processing - Lignite, LIG, Surface",0.085211318,0.076264602,0.164408284,0,0.966641015,0.015130398,0.600053037,0.147851566,0.130748791,0.75394372,1.0443,0.002990647,0.001072575,2.22E-08,0.06888439
Electricity; at grid; generation mix - ISO-NE,"heat generation, natural gas","steel production, EAF","iron production, direct reduction, ENERGIRON",natural gas extraction and processing - Anadarko,"iron production, blast furnace","coal extraction and processing - Central Appalachia, BIT, Underground",0.054301527,0.075036529,0.132955833,0,0.966000119,0.041938717,0.567700984,0.149380967,0.090388729,0.808637045,0.8604,0.002165625,0.001020187,2.12E-08,0.055543486
"Electricity; at grid; generation mix - Midcontinent Independent System Operator, Inc.","heat generation, natural gas","steel production, EAF","iron production, direct reduction, other",natural gas extraction and processing - Appalachian,"iron production, blast furnace","coal extraction and processing - Illinois Basin, BIT, Surface",0.061985315,0.075723113,0.138958186,0,0.962437529,0.033854392,0.554690594,0.14864945,0.069785795,0.780939384,1.1395,0.003214888,0.001058523,2.92E-08,0.068520339
"Electricity; at grid; generation mix - Southern Company Services, Inc. - Trans","heat generation, natural gas","steel production, EAF","iron production, blast furnace",natural gas extraction and processing - Appalachian,"iron production, blast furnace","coal extraction and processing - Northern Appalachia, WC, Underground",0.058796563,0.078029578,0.159342106,0,0.963328046,0.012990202,0.480037446,0.154176879,0.082642596,0.945294615,1.0539,0.002607545,0.001062074,2.21E-08,0.062371922
Electricity; at grid; generation mix - Public Service Company of Colorado,"heat generation, natural gas","steel production, EAF","iron production, direct reduction, other",natural gas extraction and processing - Arkla,"iron production, blast furnace","coal extraction and processing - Illinois Basin, BIT, Surface",0.069930512,0.075382609,0.13391198,0,0.968473652,0.027818504,0.442428697,0.1469646,0.128867003,0.932995231,0.9394,0.002257249,0.00103299,2.23E-08,0.054355745
Electricity; at grid; generation mix - Florida Power & Light Co.,"heat generation, natural gas","steel production, EAF","iron production, blast furnace",natural gas extraction and processing - Gulf,"iron production, blast furnace","coal extraction and processing - Rocky Mountain, BIT, Processing",0.07213172,0.077864175,0.136938386,0,0.962085485,0.02881488,0.499912589,0.153828421,0.116438121,0.779669512,0.9296,0.002936866,0.001098036,1.67E-08,0.080313006
Electricity; at grid; generation mix - PacifiCorp East,"heat generation, natural gas","steel production, EAF","iron production, blast furnace",natural gas extraction and processing - Appalachian,"iron production, blast furnace","coal extraction and processing - West/Northwest, SUB, Underground",0.05611498,0.074483148,0.149980622,0,0.979344081,0.02870333,0.583013088,0.151608074,0.107057775,1.082025833,1.2996,0.003088998,0.001050386,3.27E-08,0.069129672
Electricity; at grid; generation mix - Salt River Project Agricultural Improvement and Power District,"heat generation, natural gas","steel production, EAF","iron production, direct reduction, other",natural gas extraction and processing - Appalachian,"iron production, blast furnace","coal extraction and processing - Central Interior, BIT, Processing",0.085942037,0.077814358,0.151817827,0,0.976985711,0.034405137,0.615152146,0.149075616,0.108480297,0.768468921,0.9155,0.002211913,0.001042421,2.14E-08,0.055496603
Electricity; at grid; generation mix - California Independent System Operator,"heat generation, natural gas","steel production, EAF","iron production, direct reduction, other",natural gas extraction and processing - East Texas,"iron production, blast furnace","coal extraction and processing - Northern Appalachia, BIT, Underground",0.073585452,0.077369743,0.162006259,0,0.974759913,0.014834595,0.488494402,0.153227692,0.141127104,0.869296003,0.7842,0.002146842,0.001031005,1.59E-08,0.065436861
Electricity; at grid; generation mix - Southwest Power Pool,"heat generation, natural gas","steel production, EAF","iron production, blast furnace",natural gas extraction and processing - Appalachian,"iron production, blast furnace","coal extraction and processing - Northern Appalachia, WC, Underground",0.060105948,0.076135027,0.150019383,0,0.976424482,0.039603732,0.521400753,0.15114576,0.071233812,1.033868925,1.1083,0.002979619,0.001051575,2.85E-08,0.060523471
Electricity; at grid; generation mix - ISO-NE,"heat generation, natural gas","steel production, EAF","iron production, blast furnace",natural gas extraction and processing - Appalachian,"iron production, blast furnace","coal extraction and processing - Rocky Mountain, SUB, Surface",0.069344375,0.075955672,0.164895654,0,0.974895718,0.028573326,0.500280514,0.150271852,0.090730672,0.85078655,0.8812,0.002230045,0.00104721,2.21E-08,0.055564255
"Electricity; at grid; generation mix - Midcontinent Independent System Operator, Inc.","heat generation, natural gas","steel production, EAF","iron production, direct reduction, other",natural gas extraction and processing - San Juan,"iron production, blast furnace","coal extraction and processing - Southern Appalachia, BIT, Underground",0.06098558,0.075556609,0.153231853,0,0.974474857,0.044077667,0.559718722,0.15402306,0.054095055,0.967214024,1.1828,0.003327968,0.001054332,2.93E-08,0.072607228
Electricity; at grid; generation mix - Florida Power & Light Co.,"heat generation, natural gas","steel production, EAF","iron production, blast furnace",natural gas extraction and processing - Appalachian,"iron production, blast furnace","coal extraction and processing - Illinois Basin, BIT, Underground",0.088937243,0.077347143,0.154936451,0,0.97754178,0.049143145,0.513338844,0.153012082,0.145977169,0.848090872,0.8924,0.002380927,0.001068248,1.61E-08,0.062190781
Electricity; at grid; generation mix - PacifiCorp East,"heat generation, natural gas","steel production, EAF","iron production, blast furnace",natural gas extraction and processing - Appalachian,"iron production, blast furnace","coal extraction and processing - Rocky Mountain, BIT, Underground",0.084906814,0.075668149,0.136127796,0,0.966850027,0.031316831,0.572799005,0.147754083,0.133374796,1.003863128,1.3345,0.003209482,0.001092778,3.38E-08,0.07130823
"Electricity; at grid; generation mix - Southern Company Services, Inc. - Trans","heat generation, natural gas","steel production, EAF","iron production, blast furnace",natural gas extraction and processing - Appalachian,"iron production, blast furnace","coal extraction and processing - Central Appalachia, BIT, Surface",0.073177339,0.076426841,0.159825084,0,0.972636103,0.017127056,0.508866712,0.155672656,0.088686985,0.94004454,1.0638,0.002616674,0.001068257,2.20E-08,0.063140319
"Electricity; at grid; generation mix - Midcontinent Independent System Operator, Inc.","heat generation, natural gas","steel production, EAF","iron production, direct reduction, other",natural gas extraction and processing - Permian,"iron production, blast furnace","coal extraction and processing - Central Appalachia, BIT, Underground",0.068841105,0.075029329,0.150231774,0,0.96975216,0.03570962,0.538722492,0.157081087,0.053093486,0.899541902,1.14,0.00322607,0.001057134,2.92E-08,0.068487349
Electricity; at grid; generation mix - Public Service Company of New Mexico,"heat generation, natural gas","steel production, EAF","iron production, direct reduction, ENERGIRON",natural gas extraction and processing - Appalachian,"iron production, blast furnace","coal extraction and processing - Central Appalachia, BIT, Underground",0.050792766,0.076485124,0.153397123,0,0.963947527,0.019625652,0.444713852,0.146549291,0.134261163,0.935939616,1.1914,0.00242436,0.001027903,2.93E-08,0.06292749
Electricity; at grid; generation mix - PacifiCorp East,"heat generation, natural gas","steel production, EAF","iron production, direct reduction, other",natural gas extraction and processing - Appalachian,"iron production, blast furnace","coal extraction and processing - Illinois Basin, BIT, Processing",0.053725957,0.075921852,0.144438695,0,0.972996274,0.017327551,0.564132131,0.156113065,0.112172212,0.865714803,1.2429,0.002949475,0.001035264,3.15E-08,0.066881288
Electricity; at grid; generation mix - California Independent System Operator,"heat generation, natural gas","steel production, EAF","iron production, blast furnace",natural gas extraction and processing - Appalachian,"iron production, blast furnace","coal extraction and processing - Southern Appalachia, BIT, Underground",0.058174465,0.075931665,0.153429355,0,0.977856126,0.046896338,0.489964315,0.144363548,0.097942985,0.814294743,0.8055,0.002220519,0.001033723,1.64E-08,0.065560711
"Electricity; at grid; generation mix - Midcontinent Independent System Operator, Inc.","heat generation, natural gas","steel production, EAF","iron production, blast furnace",natural gas extraction and processing - Appalachian,"iron production, blast furnace","coal extraction and processing - Northern Appalachia, WC, Surface",0.059979871,0.076145535,0.158754121,0,0.972811382,0.04586441,0.559799035,0.149494334,0.133262897,0.951280993,1.2032,0.003386396,0.001072787,3.05E-08,0.07106045
"Electricity; at grid; generation mix - Electric Reliability Council of Texas, Inc.","heat generation, natural gas","steel production, EAF","iron production, direct reduction, other",natural gas extraction and processing - Arkla,"iron production, blast furnace","coal extraction and processing - Southern Appalachia, BIT, Underground",0.077236315,0.074697842,0.159934908,0,0.97476919,0.019438771,0.664487829,0.143188004,0.072087822,0.798567574,1.1352,0.003386193,0.001082675,2.27E-08,0.080053576
