elec120V_readymix_plant,natgas_readymix_plant,electricity_120V,trans_truck,natgas_clinker,naturalgas,coal,"concrete, 17.2 MPa - national avg, A1-A3 total_cementitious","concrete, 17.2 MPa - national avg, A1-A3 pct_scm","concrete, 17.2 MPa - national avg, A1-A3 pct_scm_flyash","concrete, 17.2 MPa - national avg, A1-A3 q_electricity","concrete, 17.2 MPa - national avg, A1-A3 q_NG","concrete, 17.2 MPa - national avg, A1-A3 plc_boolean","concrete, 17.2 MPa - national avg, A1-A3 msw",Portland cement q_electricity,Portland limestone cement production q_electricity,market for Portland cement t_km,market for sand t_km,"market for gravel, crushed t_km",clinker production - North American q_coal,gwp,ap,ep,odp,pocp,gwp_IPCC,gwp_EF2,gwp_CML
"Electricity; at user; consumption mix - PJM Interconnection, LLC - BA",natural gas extraction and processing - Green River,Electricity; at user; consumption mix - Southwest Power Pool - BA,"market for transport, freight, lorry 16-32 metric ton, EURO5 | transport, freight, lorry 16-32 metric ton, EURO5 | Cutoff, U",natural gas extraction and processing - Appalachian,natural gas extraction and processing - Appalachian,"coal extraction and processing - Powder River Basin, SUB, Surface",248.1420303947832,0.4,1.0,4.572762224898546,1.4320750826539526,0.0,0.0,0.15780332413777987,0.10275850653447904,0.10150750186689153,0.06418742553748441,0.06460867450954115,0.08878429728408081,189.8243,0.6746420966933007,0.10598915628075387,8.298527326104453e-06,12.234867424059402,190.8629,192.076,190.1505
"Electricity; at user; consumption mix - PJM Interconnection, LLC - BA",natural gas extraction and processing - Green River,Electricity; at user; consumption mix - Southwest Power Pool - BA,"market for transport, freight, lorry 16-32 metric ton, EURO5 | transport, freight, lorry 16-32 metric ton, EURO5 | Cutoff, U",natural gas extraction and processing - Appalachian,natural gas extraction and processing - Appalachian,"coal extraction and processing - Powder River Basin, SUB, Surface",253.18378565225473,0.2,0.0,5.152638458460416,0.6063570634097109,0.0,0.0,0.12100721732382291,0.12629355388825572,0.08830189725654491,0.0638814017621779,0.06239726208850955,0.12058902411907901,250.8423,0.8522793019806787,0.11790995553102404,1.109760029020385e-05,11.762911585370363,251.8216,253.2863,251.0969
"Electricity; at user; consumption mix - PJM Interconnection, LLC - BA",natural gas extraction and processing - Green River,Electricity; at user; consumption mix - Southwest Power Pool - BA,"market for transport, freight, lorry 16-32 metric ton, EURO5 | transport, freight, lorry 16-32 metric ton, EURO5 | Cutoff, U",natural gas extraction and processing - Appalachian,natural gas extraction and processing - Appalachian,"coal extraction and processing - Powder River Basin, SUB, Surface",268.853464399434,0.0,0.0,4.449597721947205,0.6256606191559135,0.0,0.0,0.13527128745043854,0.13365710508923628,0.129319843688739,0.06177856562881137,0.0626734228100487,0.07995657198208482,278.5529,0.8056705453924345,0.11737675840971656,9.910252573330196e-06,11.399738790631737,279.5578,281.0245,278.8559
"Electricity; at user; consumption mix - PJM Interconnection, LLC - BA",natural gas extraction and processing - Green River,Electricity; at user; consumption mix - Southwest Power Pool - BA,"market for transport, freight, lorry 16-32 metric ton, EURO5 | transport, freight, lorry 16-32 metric ton, EURO5 | Cutoff, U",natural gas extraction and processing - Appalachian,natural gas extraction and processing - Appalachian,"coal extraction and processing - Powder River Basin, SUB, Surface",233.97587312580757,0.0,0.5,4.4712801730337395,0.1898884207080761,0.0,0.0,0.10157009590196749,0.1444692719291418,0.10287056003782113,0.06343502943101167,0.06749986172807065,0.09761307900949683,249.5105,0.7516264203801918,0.10980358661527276,9.432065685212365e-06,9.386772469229298,250.3584,251.6721,249.7391
"Electricity; at user; consumption mix - PJM Interconnection, LLC - BA",natural gas extraction and processing - Green River,Electricity; at user; consumption mix - Southwest Power Pool - BA,"market for transport, freight, lorry 16-32 metric ton, EURO5 | transport, freight, lorry 16-32 metric ton, EURO5 | Cutoff, U",natural gas extraction and processing - Appalachian,natural gas extraction and processing - Appalachian,"coal extraction and processing - Powder River Basin, SUB, Surface",257.97203366004436,0.0,1.0,3.9626816749473135,0.911985271538942,0.0,0.0,0.1663696663100112,0.12486915883505159,0.12348533127981844,0.06373111587084071,0.07173472673772763,0.1103670296508367,302.806,0.9934388125609269,0.1223844273535235,1.059385021225434e-05,13.932765988227812,303.9032,305.6462,303.102
"Electricity; at user; consumption mix - PJM Interconnection, LLC - BA",natural gas extraction and processing - Green River,Electricity; at user; consumption mix - Southwest Power Pool - BA,"market for transport, freight, lorry 16-32 metric ton, EURO5 | transport, freight, lorry 16-32 metric ton, EURO5 | Cutoff, U",natural gas extraction and processing - Appalachian,natural gas extraction and processing - Appalachian,"coal extraction and processing - Powder River Basin, SUB, Surface",271.49582712823,0.1,0.0,4.102110845589397,-0.617211478505966,0.0,0.0,0.17298841273526477,0.14870461585108177,0.10181588691044983,0.08486644983515147,0.07522727451244143,0.08895133402692802,263.5185,0.6996198298897085,0.11579725271330944,1.1861241207378195e-05,7.247415728582225,264.316,265.6478,263.7586
"Electricity; at user; consumption mix - PJM Interconnection, LLC - BA",natural gas extraction and processing - Green River,Electricity; at user; consumption mix - Southwest Power Pool - BA,"market for transport, freight, lorry 16-32 metric ton, EURO5 | transport, freight, lorry 16-32 metric ton, EURO5 | Cutoff, U",natural gas extraction and processing - Appalachian,natural gas extraction and processing - Appalachian,"coal extraction and processing - Powder River Basin, SUB, Surface",259.54408281351755,0.5,0.0,4.296944332663757,1.606878606419658,0.0,0.0,0.13742451034142625,0.14484597284875825,0.1195341296313977,0.06602068750759175,0.059397802698737866,0.09365233364353692,196.5946,0.7374729514693652,0.1281098672776944,1.3393070443590795e-05,14.2211742882028,197.8053,199.0926,196.9604
"Electricity; at user; consumption mix - PJM Interconnection, LLC - BA",natural gas extraction and processing - Green River,Electricity; at user; consumption mix - Southwest Power Pool - BA,"market for transport, freight, lorry 16-32 metric ton, EURO5 | transport, freight, lorry 16-32 metric ton, EURO5 | Cutoff, U",natural gas extraction and processing - Appalachian,natural gas extraction and processing - Appalachian,"coal extraction and processing - Powder River Basin, SUB, Surface",254.94996332647017,0.1,0.5,4.3997479792200815,-0.08051257875378515,0.0,0.0,0.1387767835142293,0.13785424228931314,0.12383016957978504,0.07164035248255565,0.0626808111668996,0.09551685739906421,249.9629,0.7251291962543022,0.11130670898714697,1.0273767783575168e-05,8.618850731668566,250.7956,252.1117,250.2001
"Electricity; at user; consumption mix - PJM Interconnection, LLC - BA",natural gas extraction and processing - Green River,Electricity; at user; consumption mix - Southwest Power Pool - BA,"market for transport, freight, lorry 16-32 metric ton, EURO5 | transport, freight, lorry 16-32 metric ton, EURO5 | Cutoff, U",natural gas extraction and processing - Appalachian,natural gas extraction and processing - Appalachian,"coal extraction and processing - Powder River Basin, SUB, Surface",250.846044128983,0.5,0.0,3.6804883195266354,1.1652174866490583,0.0,0.0,0.18438015168276947,0.1311277137014662,0.1156511901171256,0.06675201724181595,0.07656730490759317,0.08062242830976835,188.1578,0.6585433795202607,0.12646102635612652,1.3819207364095548e-05,12.403631086668323,189.2942,190.4901,188.5164
"Electricity; at user; consumption mix - Midcontinent Independent System Operator, Inc. - BA",natural gas extraction and processing - Anadarko,Electricity; at user; consumption mix - ISO-NE - BA,"market for transport, freight, lorry 16-32 metric ton, EURO6 | transport, freight, lorry 16-32 metric ton, EURO6 | Cutoff, U",natural gas extraction and processing - Appalachian,natural gas extraction and processing - Green River,"coal extraction and processing - West/Northwest, SUB, Underground",260.2499862397384,0.3,0.0,4.398785221928591,0.6003078602129532,0.0,0.0,0.1103493639428435,0.15471191834953935,0.1314295687951101,0.0654524412841245,0.0605888224488827,0.08967219476622805,212.4188,0.650479026522836,0.11706958976280936,1.1727206653572536e-05,9.537929837617686,213.3537,214.5183,212.6878
"Electricity; at user; consumption mix - Midcontinent Independent System Operator, Inc. - BA",natural gas extraction and processing - Anadarko,Electricity; at user; consumption mix - ISO-NE - BA,"market for transport, freight, lorry 16-32 metric ton, EURO6 | transport, freight, lorry 16-32 metric ton, EURO6 | Cutoff, U",natural gas extraction and processing - Appalachian,natural gas extraction and processing - Green River,"coal extraction and processing - West/Northwest, SUB, Underground",245.04491042963792,0.4,1.0,3.87705546461168,0.9314134687710438,0.0,0.0,0.1529289355024629,0.16397002045493897,0.1339081771765591,0.07281803949215108,0.06497639784703328,0.09434586603879895,178.9741,0.5862194591220687,0.10221800273639148,8.4978256346115e-06,9.326844334735268,179.8655,180.9408,179.2448
"Electricity; at user; consumption mix - Midcontinent Independent System Operator, Inc. - BA",natural gas extraction and processing - Anadarko,Electricity; at user; consumption mix - ISO-NE - BA,"market for transport, freight, lorry 16-32 metric ton, EURO6 | transport, freight, lorry 16-32 metric ton, EURO6 | Cutoff, U",natural gas extraction and processing - Appalachian,natural gas extraction and processing - Green River,"coal extraction and processing - West/Northwest, SUB, Underground",259.7987607019186,0.4,0.5,4.312677248011524,1.079501128008415,0.0,0.0,0.19115156492054883,0.10926318426151761,0.10319994626183626,0.06930903319567935,0.06375764430325545,0.1132877910267877,207.5969,0.7172270254096771,0.11398946664000531,1.0627855548346894e-05,11.381017457371977,208.6077,209.8986,207.8872
"Electricity; at user; consumption mix - Midcontinent Independent System Operator, Inc. - BA",natural gas extraction and processing - Anadarko,Electricity; at user; consumption mix - ISO-NE - BA,"market for transport, freight, lorry 16-32 metric ton, EURO6 | transport, freight, lorry 16-32 metric ton, EURO6 | Cutoff, U",natural gas extraction and processing - Appalachian,natural gas extraction and processing - Green River,"coal extraction and processing - West/Northwest, SUB, Underground",257.4201017646265,0.2,0.0,4.051182679661083,0.364038249746161,0.0,0.0,0.137917504527299,0.17265908869255353,0.1040959395494464,0.0572294911236936,0.06045901892426171,0.08186746582885676,220.2915,0.6236166301317956,0.11165680148233056,1.0389266327034194e-05,8.502017190102409,221.1625,222.319,220.5508
"Electricity; at user; consumption mix - Midcontinent Independent System Operator, Inc. - BA",natural gas extraction and processing - Anadarko,Electricity; at user; consumption mix - ISO-NE - BA,"market for transport, freight, lorry 16-32 metric ton, EURO6 | transport, freight, lorry 16-32 metric ton, EURO6 | Cutoff, U",natural gas extraction and processing - Appalachian,natural gas extraction and processing - Green River,"coal extraction and processing - West/Northwest, SUB, Underground",260.03568400869125,0.1,0.5,4.463933940738796,0.5363345446445669,0.0,0.0,0.14660538742231638,0.1402909742985513,0.11495751157392799,0.07279365009829684,0.06374567757969592,0.08892667691405816,248.407,0.7200598568714623,0.11350822528980127,9.993530269086774e-06,9.682652089404385,249.326,250.6485,248.6707
"Electricity; at user; consumption mix - Midcontinent Independent System Operator, Inc. - BA",natural gas extraction and processing - Anadarko,Electricity; at user; consumption mix - ISO-NE - BA,"market for transport, freight, lorry 16-32 metric ton, EURO6 | transport, freight, lorry 16-32 metric ton, EURO6 | Cutoff, U",natural gas extraction and processing - Appalachian,natural gas extraction and processing - Green River,"coal extraction and processing - West/Northwest, SUB, Underground",254.13116397493943,0.4,1.0,3.784377466145163,0.9445883151221415,0.0,0.0,0.1327242305294221,0.1569511036522645,0.0897353213674266,0.06548967211146892,0.07497940485343164,0.11319503494784135,190.745,0.655414380971767,0.10332132284796533,8.559074509402385e-06,9.90906885131601,191.6385,192.7904,190.9951
"Electricity; at user; consumption mix - Midcontinent Independent System Operator, Inc. - BA",natural gas extraction and processing - Anadarko,Electricity; at user; consumption mix - ISO-NE - BA,"market for transport, freight, lorry 16-32 metric ton, EURO6 | transport, freight, lorry 16-32 metric ton, EURO6 | Cutoff, U",natural gas extraction and processing - Appalachian,natural gas extraction and processing - Green River,"coal extraction and processing - West/Northwest, SUB, Underground",258.51397968011605,0.2,0.5,4.111443210086916,0.12363642352018711,0.0,0.0,0.13578631849396636,0.15485035115716392,0.12859750422793384,0.06728844699161506,0.06782101372570806,0.09227418221685399,223.338,0.633511635610532,0.10940549080407715,1.0231417988631516e-05,7.705433656569395,224.1483,225.315,223.5681
"Electricity; at user; consumption mix - Midcontinent Independent System Operator, Inc. - BA",natural gas extraction and processing - Anadarko,Electricity; at user; consumption mix - ISO-NE - BA,"market for transport, freight, lorry 16-32 metric ton, EURO6 | transport, freight, lorry 16-32 metric ton, EURO6 | Cutoff, U",natural gas extraction and processing - Appalachian,natural gas extraction and processing - Green River,"coal extraction and processing - West/Northwest, SUB, Underground",256.1257232548109,0.3,0.0,3.952342088144209,0.3786361811105493,1.0,0.0,0.12140956667138621,0.1293306314379518,0.10358170081465934,0.07432890582779282,0.06484317895765522,0.10085836275723425,201.4759,0.6287457927425429,0.11526627976271438,1.1941280483023925e-05,8.815813776871398,202.3663,203.5017,201.7296
"Electricity; at user; consumption mix - Midcontinent Independent System Operator, Inc. - BA",natural gas extraction and processing - Anadarko,Electricity; at user; consumption mix - ISO-NE - BA,"market for transport, freight, lorry 16-32 metric ton, EURO6 | transport, freight, lorry 16-32 metric ton, EURO6 | Cutoff, U",natural gas extraction and processing - Appalachian,natural gas extraction and processing - Green River,"coal extraction and processing - West/Northwest, SUB, Underground",250.3815394080704,0.3,1.0,3.5441227483788675,1.672309391436976,0.0,0.0,0.12718729918548846,0.14615246183499297,0.11927273697771155,0.06524705670928539,0.06221707878999782,0.07855914613865639,200.8723,0.6726452862515561,0.10866310173921823,8.333528192649965e-06,12.272949491115172,201.9326,203.1367,201.1971
"Electricity; at user; consumption mix - Midcontinent Independent System Operator, Inc. - BA",natural gas extraction and processing - Anadarko,Electricity; at user; consumption mix - ISO-NE - BA,"market for transport, freight, lorry 16-32 metric ton, EURO6 | transport, freight, lorry 16-32 metric ton, EURO6 | Cutoff, U",natural gas extraction and processing - Appalachian,natural gas extraction and processing - Green River,"coal extraction and processing - West/Northwest, SUB, Underground",267.48952816815563,0.3,0.5,4.08683948644338,1.0481883919848463,0.0,0.0,0.11003200501258087,0.13303264027674588,0.10487395255690303,0.07102905052513186,0.06460876688594176,0.09004253299291655,216.2837,0.6925540175093066,0.11460358543909732,1.0388919433136464e-05,10.929388027487713,217.2756,218.4999,216.5694
"Electricity; at user; consumption mix - Electric Reliability Council of Texas, Inc. - BA",natural gas extraction and processing - Anadarko,"Electricity; at user; consumption mix - PJM Interconnection, LLC - BA","market for transport, freight, lorry 7.5-16 metric ton, EURO6 | transport, freight, lorry 7.5-16 metric ton, EURO6 | Cutoff, U",natural gas extraction and processing - San Juan,natural gas extraction and processing - Appalachian,"coal extraction and processing - Central Appalachia, BIT, Surface",260.28687459128093,0.5,0.5,3.7329894910865606,0.5282999439336327,0.0,0.0,0.1283387874701927,0.1938811209567887,0.10587634632108468,0.07114574703123185,0.05887287344390163,0.10995371443346673,182.5008,0.6009940493922957,0.11751001778663223,1.199537847040651e-05,8.700108415011757,183.4544,184.7061,182.8213
