elec120V_cmu_plant,natgas_cmu_plant,electricity_120V,trans_truck,natgas_clinker,naturalgas,coal,elec_medV_forExClay,heat_forExClay,"CMU, light-weight, A1-A3 q_cement",Portland cement q_electricity,Portland limestone cement production q_electricity,market for Portland cement t_km,market for sand t_km,"market for gravel, crushed t_km",clinker production - North American q_coal,expanded clay production q_elec,expanded clay production kiln_temp,expanded clay production kiln_e_base,expanded clay production kiln_e_internals,gwp,ap,ep,odp,pocp,gwp_IPCC,gwp_EF2,gwp_CML
Electricity; at user; consumption mix - California Independent System Operator - BA,natural gas extraction and processing - Arkoma,Electricity; at user; consumption mix - Duke Energy Carolinas - BA,"market for transport, freight, lorry 7.5-16 metric ton, EURO6 | transport, freight, lorry 7.5-16 metric ton, EURO6 | Cutoff, U",natural gas extraction and processing - Appalachian,natural gas extraction and processing - Green River,"coal extraction and processing - Powder River Basin, BIT, Surface","Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","heat, from municipal waste incineration to generic market for heat district or industrial, other than natural gas | heat, district or industrial, other than natural gas | Cutoff, U",190.10788633159726,0.11732399056965813,0.15523207692940205,0.09942675137759531,0.06699725053758568,0.0668010839298147,0.08822532290539194,0.029304771407614744,1241.3610862740602,0.7216574378401204,0.15803761777205866,310.4698,0.784294571211308,0.5788089422032358,1.0036121769536672e-05,12.436578072337358,316.7337,325.5032,315.5193
Electricity; at user; consumption mix - California Independent System Operator - BA,natural gas extraction and processing - Arkoma,Electricity; at user; consumption mix - Duke Energy Carolinas - BA,"market for transport, freight, lorry 7.5-16 metric ton, EURO6 | transport, freight, lorry 7.5-16 metric ton, EURO6 | Cutoff, U",natural gas extraction and processing - Appalachian,natural gas extraction and processing - Green River,"coal extraction and processing - Powder River Basin, BIT, Surface","Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","heat, from municipal waste incineration to generic market for heat district or industrial, other than natural gas | heat, district or industrial, other than natural gas | Cutoff, U",190.7924926988906,0.14697019869581338,0.12334932902626028,0.11869848275819554,0.06334829542191596,0.07043712143288572,0.08880569979679753,0.0269066048520837,1125.9858405721695,0.8913138334244647,0.09794732306704615,312.6814,0.7901399069625439,0.5799091409842557,1.0250699086250614e-05,12.51687673577799,318.9494,327.7212,317.7293
Electricity; at user; consumption mix - California Independent System Operator - BA,natural gas extraction and processing - Arkoma,Electricity; at user; consumption mix - Duke Energy Carolinas - BA,"market for transport, freight, lorry 7.5-16 metric ton, EURO6 | transport, freight, lorry 7.5-16 metric ton, EURO6 | Cutoff, U",natural gas extraction and processing - Appalachian,natural gas extraction and processing - Green River,"coal extraction and processing - Powder River Basin, BIT, Surface","Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","heat, from municipal waste incineration to generic market for heat district or industrial, other than natural gas | heat, district or industrial, other than natural gas | Cutoff, U",169.10039616989087,0.16883853824890618,0.1602815452578997,0.1011925982203565,0.07022205505919152,0.05087167511223914,0.09897548022514803,0.02432618549703223,1137.8516651248128,0.8938178332590294,0.17829117771973652,297.4536,0.773667021390664,0.5757936570395055,9.712203628261269e-06,12.291746924941611,303.6828,312.387,302.4792
Electricity; at user; consumption mix - California Independent System Operator - BA,natural gas extraction and processing - Arkoma,Electricity; at user; consumption mix - Duke Energy Carolinas - BA,"market for transport, freight, lorry 7.5-16 metric ton, EURO6 | transport, freight, lorry 7.5-16 metric ton, EURO6 | Cutoff, U",natural gas extraction and processing - Appalachian,natural gas extraction and processing - Green River,"coal extraction and processing - Powder River Basin, BIT, Surface","Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","heat, from municipal waste incineration to generic market for heat district or industrial, other than natural gas | heat, district or industrial, other than natural gas | Cutoff, U",184.934571041946,0.1634586136437631,0.1735721287528162,0.11278955243933993,0.06308030021759052,0.05907170270861824,0.0953344515073927,0.01560033421273124,1220.0985625354444,0.7753481552730059,0.17351624962362894,304.1087,0.78659870890181,0.57798761102085,9.96403239588865e-06,12.34841056988083,310.3125,318.9253,309.0965
Electricity; at user; consumption mix - California Independent System Operator - BA,natural gas extraction and processing - Arkoma,Electricity; at user; consumption mix - Duke Energy Carolinas - BA,"market for transport, freight, lorry 7.5-16 metric ton, EURO6 | transport, freight, lorry 7.5-16 metric ton, EURO6 | Cutoff, U",natural gas extraction and processing - Appalachian,natural gas extraction and processing - Green River,"coal extraction and processing - Powder River Basin, BIT, Surface","Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","heat, from municipal waste incineration to generic market for heat district or industrial, other than natural gas | heat, district or industrial, other than natural gas | Cutoff, U",193.04170701250922,0.12863130243566545,0.14491611872498766,0.10813020352244396,0.0644718886361809,0.06518420587454672,0.11225359174609813,0.02713236806640091,1153.923631860195,0.6267055050730106,0.18102128654896987,326.3625,0.8839607723589293,0.5808244671380457,1.031866211678336e-05,13.262514071494778,332.6301,341.5118,331.3816
Electricity; at user; consumption mix - California Independent System Operator - BA,natural gas extraction and processing - Arkoma,Electricity; at user; consumption mix - Duke Energy Carolinas - BA,"market for transport, freight, lorry 7.5-16 metric ton, EURO6 | transport, freight, lorry 7.5-16 metric ton, EURO6 | Cutoff, U",natural gas extraction and processing - Appalachian,natural gas extraction and processing - Green River,"coal extraction and processing - Powder River Basin, BIT, Surface","Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","heat, from municipal waste incineration to generic market for heat district or industrial, other than natural gas | heat, district or industrial, other than natural gas | Cutoff, U",194.9476205550916,0.14404804424459713,0.12287033676211268,0.11315462022490223,0.06780889747493386,0.06496333992118342,0.10686879379408268,0.03393121384141328,1155.3264045371209,0.8967391992070204,0.11695744764867261,330.9109,0.8794834296934434,0.5817068612606892,1.0447333101943701e-05,13.341433148203782,337.2225,346.2107,335.9747
Electricity; at user; consumption mix - California Independent System Operator - BA,natural gas extraction and processing - Arkoma,Electricity; at user; consumption mix - Duke Energy Carolinas - BA,"market for transport, freight, lorry 7.5-16 metric ton, EURO6 | transport, freight, lorry 7.5-16 metric ton, EURO6 | Cutoff, U",natural gas extraction and processing - Appalachian,natural gas extraction and processing - Green River,"coal extraction and processing - Powder River Basin, BIT, Surface","Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","heat, from municipal waste incineration to generic market for heat district or industrial, other than natural gas | heat, district or industrial, other than natural gas | Cutoff, U",209.8023486431819,0.15706493803962185,0.15107449144670998,0.13191670656394422,0.06594276891281564,0.07708928282062535,0.10373556196868162,0.03499204769783356,1198.1078610750726,0.6583333262608658,0.055167154227105976,345.5553,0.910058083723136,0.5853941844262279,1.0969356083664419e-05,13.695412829859292,351.9031,360.9774,350.6359
Electricity; at user; consumption mix - California Independent System Operator - BA,natural gas extraction and processing - Arkoma,Electricity; at user; consumption mix - Duke Energy Carolinas - BA,"market for transport, freight, lorry 7.5-16 metric ton, EURO6 | transport, freight, lorry 7.5-16 metric ton, EURO6 | Cutoff, U",natural gas extraction and processing - Appalachian,natural gas extraction and processing - Green River,"coal extraction and processing - Powder River Basin, BIT, Surface","Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","heat, from municipal waste incineration to generic market for heat district or industrial, other than natural gas | heat, district or industrial, other than natural gas | Cutoff, U",216.30133543681555,0.13827141487279745,0.13683744045223345,0.13602173120910818,0.05525187957862498,0.07368723663891882,0.10459418083716493,0.024355046867164328,1247.257327501475,0.7096978604309315,0.1085225145115014,343.2259,0.9123023775004186,0.5852970481019482,1.0900373196284205e-05,13.571691374082041,349.5168,358.4316,348.2464
Electricity; at user; consumption mix - California Independent System Operator - BA,natural gas extraction and processing - Arkoma,Electricity; at user; consumption mix - Duke Energy Carolinas - BA,"market for transport, freight, lorry 7.5-16 metric ton, EURO6 | transport, freight, lorry 7.5-16 metric ton, EURO6 | Cutoff, U",natural gas extraction and processing - Appalachian,natural gas extraction and processing - Green River,"coal extraction and processing - Powder River Basin, BIT, Surface","Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","heat, from municipal waste incineration to generic market for heat district or industrial, other than natural gas | heat, district or industrial, other than natural gas | Cutoff, U",177.54710760039444,0.14762160441642944,0.133897082811023,0.10249657529674777,0.06287843952994022,0.06893755609863175,0.1012410548488281,0.0316656136467694,1070.6531404622253,0.9332762319282132,0.05939603856691329,310.3287,0.8112388406662474,0.5781577444826487,1.0033908108096675e-05,12.69529030855141,316.6046,325.4559,315.3853
Electricity; at user; consumption mix - Florida Power & Light Co. - BA,natural gas extraction and processing - Gulf,"Electricity; at user; consumption mix - PJM Interconnection, LLC - BA","market for transport, freight, lorry 7.5-16 metric ton, EURO6 | transport, freight, lorry 7.5-16 metric ton, EURO6 | Cutoff, U",natural gas extraction and processing - Permian,natural gas extraction and processing - Permian,"coal extraction and processing - Northern Appalachia, BIT, Underground","Electricity; at grid; consumption mix - Southern Company Services, Inc. - Trans - BA","heat and power co-generation, hard coal | heat, district or industrial, other than natural gas | Cutoff, U",184.866572589652,0.1461538555682255,0.19047804805951188,0.08857989710250042,0.06254628427044975,0.06589940064801995,0.10855512064546013,0.02394346563901275,1107.55651838084,0.5976981506280266,0.1936185848778563,548.6251,2.3976782983453404,1.4942575595582426,1.3253156177190492e-05,29.33703101570878,558.5644,572.679,556.8696
Electricity; at user; consumption mix - Florida Power & Light Co. - BA,natural gas extraction and processing - Gulf,"Electricity; at user; consumption mix - PJM Interconnection, LLC - BA","market for transport, freight, lorry 7.5-16 metric ton, EURO6 | transport, freight, lorry 7.5-16 metric ton, EURO6 | Cutoff, U",natural gas extraction and processing - Permian,natural gas extraction and processing - Permian,"coal extraction and processing - Northern Appalachia, BIT, Underground","Electricity; at grid; consumption mix - Southern Company Services, Inc. - Trans - BA","heat and power co-generation, hard coal | heat, district or industrial, other than natural gas | Cutoff, U",200.13106802260782,0.14913656660446306,0.15333181147123864,0.1193252724217373,0.06257219191197003,0.07262384332649204,0.10769686939563655,0.034706444296950544,1084.01194479892,0.7417786937285407,0.053484306071632855,557.1329,2.345732369927603,1.431578594665986,1.3691649538379275e-05,29.11957212493443,566.9627,581.1714,565.2777
Electricity; at user; consumption mix - Florida Power & Light Co. - BA,natural gas extraction and processing - Gulf,"Electricity; at user; consumption mix - PJM Interconnection, LLC - BA","market for transport, freight, lorry 7.5-16 metric ton, EURO6 | transport, freight, lorry 7.5-16 metric ton, EURO6 | Cutoff, U",natural gas extraction and processing - Permian,natural gas extraction and processing - Permian,"coal extraction and processing - Northern Appalachia, BIT, Underground","Electricity; at grid; consumption mix - Southern Company Services, Inc. - Trans - BA","heat and power co-generation, hard coal | heat, district or industrial, other than natural gas | Cutoff, U",184.07525199036886,0.09857127211058972,0.1289845081716499,0.10962692385117684,0.07349607105890582,0.0689987549158316,0.09608058713008269,0.03486694245759692,1122.0622897689643,0.7843800432241637,0.030861230676233913,529.4672,2.2511460388787636,1.4295435110601227,1.323557462571327e-05,28.190573847817156,539.1201,552.6956,537.4597
Electricity; at user; consumption mix - Florida Power & Light Co. - BA,natural gas extraction and processing - Gulf,"Electricity; at user; consumption mix - PJM Interconnection, LLC - BA","market for transport, freight, lorry 7.5-16 metric ton, EURO6 | transport, freight, lorry 7.5-16 metric ton, EURO6 | Cutoff, U",natural gas extraction and processing - Permian,natural gas extraction and processing - Permian,"coal extraction and processing - Northern Appalachia, BIT, Underground","Electricity; at grid; consumption mix - Southern Company Services, Inc. - Trans - BA","heat and power co-generation, hard coal | heat, district or industrial, other than natural gas | Cutoff, U",164.09860147686683,0.16314744814884438,0.15177224395698394,0.1118145847505626,0.06358358529643052,0.07583597065363534,0.09809724308074033,0.03459624092860768,1099.742996344742,0.8863882889297283,0.0007066546006168006,497.1803,2.0800939910136593,1.338027975823402,1.2731950766427577e-05,26.67016304811848,506.5039,519.6429,504.9012
Electricity; at user; consumption mix - Florida Power & Light Co. - BA,natural gas extraction and processing - Gulf,"Electricity; at user; consumption mix - PJM Interconnection, LLC - BA","market for transport, freight, lorry 7.5-16 metric ton, EURO6 | transport, freight, lorry 7.5-16 metric ton, EURO6 | Cutoff, U",natural gas extraction and processing - Permian,natural gas extraction and processing - Permian,"coal extraction and processing - Northern Appalachia, BIT, Underground","Electricity; at grid; consumption mix - Southern Company Services, Inc. - Trans - BA","heat and power co-generation, hard coal | heat, district or industrial, other than natural gas | Cutoff, U",177.14526442020875,0.10421849903375957,0.13890106538112096,0.11415391950184826,0.06297336111496483,0.06547557725683194,0.10308177030269838,0.015553441702531952,1081.9551419556178,0.6831393938214915,0.2098264428320243,493.9167,2.1032595186719476,1.3448488035720465,1.2672275963361797e-05,26.38610972755888,503.2315,516.3597,501.6245
Electricity; at user; consumption mix - Florida Power & Light Co. - BA,natural gas extraction and processing - Gulf,"Electricity; at user; consumption mix - PJM Interconnection, LLC - BA","market for transport, freight, lorry 7.5-16 metric ton, EURO6 | transport, freight, lorry 7.5-16 metric ton, EURO6 | Cutoff, U",natural gas extraction and processing - Permian,natural gas extraction and processing - Permian,"coal extraction and processing - Northern Appalachia, BIT, Underground","Electricity; at grid; consumption mix - Southern Company Services, Inc. - Trans - BA","heat and power co-generation, hard coal | heat, district or industrial, other than natural gas | Cutoff, U",198.99933214163337,0.15566835892438022,0.10092661899704403,0.11059386668991637,0.061050216664461025,0.06593354586906795,0.08971465885259317,0.03307386161744539,1199.5916984231299,0.5741109318858221,0.17769907374323357,590.6767,2.59291830373369,1.633440253637194,1.4075905703714973e-05,31.4580431390322,601.0785,615.6062,599.3077
