elec120V_cmu_plant,natgas_cmu_plant,electricity_120V,trans_truck,natgas_clinker,naturalgas,coal,elec_medV_forExClay,heat,"CMU, light-weight, A1-A3 q_cement",Portland cement q_electricity,Portland limestone cement production q_electricity,market for Portland cement t_km,market for sand t_km,"market for gravel, crushed t_km",clinker production - North American q_coal,"A5, construction d_vol",gwp,ap,ep,odp,pocp,gwp_IPCC,gwp_EF2,gwp_CML
Electricity; at user; consumption mix - Southwest Power Pool - BA,natural gas extraction and processing - Appalachian,Electricity; at user; consumption mix - Southwest Power Pool - BA,"market for transport, freight, lorry 7.5-16 metric ton, EURO5 | transport, freight, lorry 7.5-16 metric ton, EURO5 | Cutoff, U",natural gas extraction and processing - Appalachian,natural gas extraction and processing - East Texas,"coal extraction and processing - West/Northwest, BIT, Underground",Electricity; at grid; consumption mix - Florida Power & Light Co. - BA,"heat, from natural gas, in industrial boiler",179.4374310386269,0.11268418945657406,0.17296743273820148,0.12597600068683024,0.06896785900811835,0.06663424207017024,0.1057613215593743,0.0,328.1033,0.8859986805849457,0.5824497823781448,1.0764608150796695e-05,13.57140734415042,334.0592,341.7504,332.7561
Electricity; at user; consumption mix - Southwest Power Pool - BA,natural gas extraction and processing - Appalachian,Electricity; at user; consumption mix - Southwest Power Pool - BA,"market for transport, freight, lorry 7.5-16 metric ton, EURO5 | transport, freight, lorry 7.5-16 metric ton, EURO5 | Cutoff, U",natural gas extraction and processing - Appalachian,natural gas extraction and processing - East Texas,"coal extraction and processing - West/Northwest, BIT, Underground",Electricity; at grid; consumption mix - Florida Power & Light Co. - BA,"heat, from natural gas, in industrial boiler",160.63696307249913,0.12541524026388315,0.14918931860182708,0.0955693560038072,0.06286718763304469,0.06555816084964923,0.134385494358849,0.0,324.264,0.9287583261168084,0.5794941609296372,1.0382701304510234e-05,13.812345231092024,330.1972,337.933,328.8925
Electricity; at user; consumption mix - Southwest Power Pool - BA,natural gas extraction and processing - Appalachian,Electricity; at user; consumption mix - Southwest Power Pool - BA,"market for transport, freight, lorry 7.5-16 metric ton, EURO5 | transport, freight, lorry 7.5-16 metric ton, EURO5 | Cutoff, U",natural gas extraction and processing - Appalachian,natural gas extraction and processing - East Texas,"coal extraction and processing - West/Northwest, BIT, Underground",Electricity; at grid; consumption mix - Florida Power & Light Co. - BA,"heat, from natural gas, in industrial boiler",183.81987474499812,0.15085127318403416,0.1755777297569835,0.09238272451054444,0.06737123717744226,0.07089078219655494,0.11263160801147279,0.0,339.7064,0.9306172322637554,0.5827082465138256,1.0719268953647397e-05,14.000350367224243,345.6805,353.4654,344.3647
Electricity; at user; consumption mix - Southwest Power Pool - BA,natural gas extraction and processing - Appalachian,Electricity; at user; consumption mix - Southwest Power Pool - BA,"market for transport, freight, lorry 7.5-16 metric ton, EURO5 | transport, freight, lorry 7.5-16 metric ton, EURO5 | Cutoff, U",natural gas extraction and processing - Appalachian,natural gas extraction and processing - East Texas,"coal extraction and processing - West/Northwest, BIT, Underground",Electricity; at grid; consumption mix - Florida Power & Light Co. - BA,"heat, from natural gas, in industrial boiler",199.2270053284276,0.12244509375262788,0.12946010179987963,0.1052148590813785,0.07068820032826584,0.05557742076677448,0.09326167648899615,0.0,339.3721,0.8863370203970262,0.5835580136766226,1.0710624358296517e-05,13.629225371225202,345.346,353.0632,344.0409
Electricity; at user; consumption mix - Southwest Power Pool - BA,natural gas extraction and processing - Appalachian,Electricity; at user; consumption mix - Southwest Power Pool - BA,"market for transport, freight, lorry 7.5-16 metric ton, EURO5 | transport, freight, lorry 7.5-16 metric ton, EURO5 | Cutoff, U",natural gas extraction and processing - Appalachian,natural gas extraction and processing - East Texas,"coal extraction and processing - West/Northwest, BIT, Underground",Electricity; at grid; consumption mix - Florida Power & Light Co. - BA,"heat, from natural gas, in industrial boiler",206.8332505855518,0.17075795966088242,0.14614020756336105,0.10104178463906228,0.06811400287174443,0.0682202516023494,0.07462297575806273,0.0,342.0188,0.8431607569629935,0.5846077709950382,1.0872294427650827e-05,13.452698013381013,348.029,355.7508,346.7309
Electricity; at user; consumption mix - Southwest Power Pool - BA,natural gas extraction and processing - Appalachian,Electricity; at user; consumption mix - Southwest Power Pool - BA,"market for transport, freight, lorry 7.5-16 metric ton, EURO5 | transport, freight, lorry 7.5-16 metric ton, EURO5 | Cutoff, U",natural gas extraction and processing - Appalachian,natural gas extraction and processing - East Texas,"coal extraction and processing - West/Northwest, BIT, Underground",Electricity; at grid; consumption mix - Florida Power & Light Co. - BA,"heat, from natural gas, in industrial boiler",198.37176551123048,0.13513026191661331,0.13218161967967218,0.13168168089292906,0.05857672703588011,0.06807904116529004,0.1159024958203837,0.0,355.0204,0.9843675505219018,0.5864438978129247,1.122992721408346e-05,14.52529139696254,361.0155,368.8702,359.6723
Electricity; at user; consumption mix - Southwest Power Pool - BA,natural gas extraction and processing - Appalachian,Electricity; at user; consumption mix - Southwest Power Pool - BA,"market for transport, freight, lorry 7.5-16 metric ton, EURO5 | transport, freight, lorry 7.5-16 metric ton, EURO5 | Cutoff, U",natural gas extraction and processing - Appalachian,natural gas extraction and processing - East Texas,"coal extraction and processing - West/Northwest, BIT, Underground",Electricity; at grid; consumption mix - Florida Power & Light Co. - BA,"heat, from natural gas, in industrial boiler",186.0176622927331,0.16198067771162333,0.1473714348963154,0.12842544844622172,0.056120260525523324,0.07480342565786434,0.10667198815868029,0.0,341.2509,0.9219501781998336,0.5843035837118379,1.1029965301750194e-05,14.022613979730583,347.2424,355.0317,345.9223
Electricity; at user; consumption mix - Southwest Power Pool - BA,natural gas extraction and processing - Appalachian,Electricity; at user; consumption mix - Southwest Power Pool - BA,"market for transport, freight, lorry 7.5-16 metric ton, EURO5 | transport, freight, lorry 7.5-16 metric ton, EURO5 | Cutoff, U",natural gas extraction and processing - Appalachian,natural gas extraction and processing - East Texas,"coal extraction and processing - West/Northwest, BIT, Underground",Electricity; at grid; consumption mix - Florida Power & Light Co. - BA,"heat, from natural gas, in industrial boiler",201.50592768394498,0.1471633153800769,0.13326722164861102,0.11170489543440182,0.06776882346661595,0.07904071125527667,0.09362442959570491,0.0,346.3146,0.9054994547341148,0.5856561077499207,1.110067377365351e-05,13.917173333125039,352.3152,360.0862,350.9961
Electricity; at user; consumption mix - Southwest Power Pool - BA,natural gas extraction and processing - Appalachian,Electricity; at user; consumption mix - Southwest Power Pool - BA,"market for transport, freight, lorry 7.5-16 metric ton, EURO5 | transport, freight, lorry 7.5-16 metric ton, EURO5 | Cutoff, U",natural gas extraction and processing - Appalachian,natural gas extraction and processing - East Texas,"coal extraction and processing - West/Northwest, BIT, Underground",Electricity; at grid; consumption mix - Florida Power & Light Co. - BA,"heat, from natural gas, in industrial boiler",195.13165206291214,0.15874157731701583,0.14748496302236222,0.13355498747588487,0.06459260715746598,0.05974901750986421,0.0974261732511778,0.0,344.192,0.9086575838210893,0.5850390507401868,1.106380645372679e-05,13.943369054000318,350.1913,357.971,348.8729
"Electricity; at user; consumption mix - PJM Interconnection, LLC - BA",natural gas extraction and processing - Arkla,"Electricity; at user; consumption mix - PJM Interconnection, LLC - BA","market for transport, freight, lorry 7.5-16 metric ton, EURO6 | transport, freight, lorry 7.5-16 metric ton, EURO6 | Cutoff, U",natural gas extraction and processing - Anadarko,natural gas extraction and processing - Fort Worth,"coal extraction and processing - Southern Appalachia, BIT, Underground","Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA","heat, from natural gas, in industrial boiler",210.0773377700541,0.1103594974935799,0.10923040075867263,0.09875877821173168,0.06206871037291211,0.07408512514577144,0.11674451716479779,0.0,378.2047,1.0164792170188521,0.5856141328357976,1.1260132685336164e-05,14.288207409453229,385.653,398.3486,384.4384
