elec120V_readymix_plant,natgas_readymix_plant,electricity_120V,trans_truck,natgas_clinker,naturalgas,coal,"concrete, 41.5 Mpa - national avg, A1-A3 total_cementitious","concrete, 41.5 Mpa - national avg, A1-A3 q_electricity","concrete, 41.5 Mpa - national avg, A1-A3 q_NG","concrete, 41.5 Mpa - national avg, A1-A3 percent_SCM_replacement","concrete, 41.5 Mpa - national avg, A1-A3 plc_boolean","concrete, 41.5 Mpa - national avg, A1-A3 msw",Portland cement q_electricity,Portland limestone cement production q_electricity,market for Portland cement t_km,market for sand t_km,"market for gravel, crushed t_km",clinker production - North American q_coal,"A5, construction d_vol",gwp,ap,ep,odp,pocp,gwp_IPCC,gwp_EF2,gwp_CML
Electricity; at user; consumption mix - PacifiCorp East - BA,natural gas extraction and processing - Appalachian,"Electricity; at user; consumption mix - Midcontinent Independent System Operator, Inc. - BA","market for transport, freight, lorry 16-32 metric ton, EURO6 | transport, freight, lorry 16-32 metric ton, EURO6 | Cutoff, U",natural gas extraction and processing - Appalachian,natural gas extraction and processing - Appalachian,"coal extraction and processing - Illinois Basin, BIT, Underground",423.30920703372385,4.503370868029866,0.44779907148815673,0.0,0.0,0.0,0.10348305906192026,0.1478617553644925,0.10209198867948008,0.07133445146051064,0.06756011907373638,0.10371696310690257,0.0,438.4168,1.2838358450671317,0.13585241962625516,1.2127110211915995e-05,14.77025766561889,439.76,442.7377,438.9219
Electricity; at user; consumption mix - PacifiCorp East - BA,natural gas extraction and processing - Appalachian,"Electricity; at user; consumption mix - Midcontinent Independent System Operator, Inc. - BA","market for transport, freight, lorry 16-32 metric ton, EURO6 | transport, freight, lorry 16-32 metric ton, EURO6 | Cutoff, U",natural gas extraction and processing - Appalachian,natural gas extraction and processing - Appalachian,"coal extraction and processing - Illinois Basin, BIT, Underground",433.5510656315799,3.5217562703176366,0.750660659752036,0.3,0.0,0.0,0.0897667092820093,0.18312939657749694,0.12491160519131587,0.07263667612013999,0.06103624550858148,0.09231230988318953,0.0,320.1934,0.9439890275716616,0.12368844717191693,1.1338916065027752e-05,12.484023697595887,321.3806,323.513,320.6295
Electricity; at user; consumption mix - PacifiCorp East - BA,natural gas extraction and processing - Appalachian,"Electricity; at user; consumption mix - Midcontinent Independent System Operator, Inc. - BA","market for transport, freight, lorry 16-32 metric ton, EURO6 | transport, freight, lorry 16-32 metric ton, EURO6 | Cutoff, U",natural gas extraction and processing - Appalachian,natural gas extraction and processing - Appalachian,"coal extraction and processing - Illinois Basin, BIT, Underground",415.3714613627094,3.168363157639429,0.48096828094392235,0.0,0.0,0.0,0.166001350061984,0.121471291919174,0.10000763394202507,0.07070654083359525,0.07693945434004164,0.08738531646502168,0.0,429.6957,1.1774084231475463,0.13615323019362452,1.2385086933735612e-05,14.458555027793993,431.0863,433.953,430.2629
Electricity; at user; consumption mix - PacifiCorp East - BA,natural gas extraction and processing - Appalachian,"Electricity; at user; consumption mix - Midcontinent Independent System Operator, Inc. - BA","market for transport, freight, lorry 16-32 metric ton, EURO6 | transport, freight, lorry 16-32 metric ton, EURO6 | Cutoff, U",natural gas extraction and processing - Appalachian,natural gas extraction and processing - Appalachian,"coal extraction and processing - Illinois Basin, BIT, Underground",391.26941216457226,4.19323638638093,1.3934910496496045,0.3,0.0,0.0,0.13851644239533667,0.18024460412696958,0.11155500777344944,0.0668661565664381,0.06135142103342177,0.0662180684077318,0.0,288.2183,0.8238394841481947,0.12106967746852722,1.0430904776501941e-05,13.525205910264786,289.4869,291.3683,288.7065
Electricity; at user; consumption mix - PacifiCorp East - BA,natural gas extraction and processing - Appalachian,"Electricity; at user; consumption mix - Midcontinent Independent System Operator, Inc. - BA","market for transport, freight, lorry 16-32 metric ton, EURO6 | transport, freight, lorry 16-32 metric ton, EURO6 | Cutoff, U",natural gas extraction and processing - Appalachian,natural gas extraction and processing - Appalachian,"coal extraction and processing - Illinois Basin, BIT, Underground",468.2976304231253,4.309667146664397,1.613313866838405,0.3,0.0,0.0,0.1384563011297938,0.14712602385382614,0.11157785732098964,0.05207628051651858,0.07447067612144548,0.08108387739973884,0.0,352.6656,1.0551664570144161,0.13271635127786482,1.1601272822439381e-05,16.401172775660886,354.1128,356.5083,353.2137
Electricity; at user; consumption mix - PacifiCorp East - BA,natural gas extraction and processing - Appalachian,"Electricity; at user; consumption mix - Midcontinent Independent System Operator, Inc. - BA","market for transport, freight, lorry 16-32 metric ton, EURO6 | transport, freight, lorry 16-32 metric ton, EURO6 | Cutoff, U",natural gas extraction and processing - Appalachian,natural gas extraction and processing - Appalachian,"coal extraction and processing - Illinois Basin, BIT, Underground",432.95015238928676,4.177888922077039,1.5617036141487979,0.0,1.0,0.0,0.13930365894729335,0.13973316647251596,0.09051274647206484,0.06864638448707726,0.05359529486725316,0.07739823263337516,0.0,404.3755,1.1642430311306704,0.13731053988704486,1.1400222953947972e-05,17.61074002493605,405.9111,408.6057,404.9756
Electricity; at user; consumption mix - PacifiCorp East - BA,natural gas extraction and processing - Appalachian,"Electricity; at user; consumption mix - Midcontinent Independent System Operator, Inc. - BA","market for transport, freight, lorry 16-32 metric ton, EURO6 | transport, freight, lorry 16-32 metric ton, EURO6 | Cutoff, U",natural gas extraction and processing - Appalachian,natural gas extraction and processing - Appalachian,"coal extraction and processing - Illinois Basin, BIT, Underground",474.0145898834984,4.487163362885749,1.1614085451111982,0.4,0.0,0.0,0.1729199705206263,0.13499704182374014,0.09456520156101605,0.07195393948022742,0.0712011878140942,0.09168448883101368,0.0,328.1913,0.997679511625056,0.128113125483842,1.1977392808241164e-05,14.671648411375312,329.5404,331.8603,328.7102
Electricity; at user; consumption mix - PacifiCorp East - BA,natural gas extraction and processing - Appalachian,"Electricity; at user; consumption mix - Midcontinent Independent System Operator, Inc. - BA","market for transport, freight, lorry 16-32 metric ton, EURO6 | transport, freight, lorry 16-32 metric ton, EURO6 | Cutoff, U",natural gas extraction and processing - Appalachian,natural gas extraction and processing - Appalachian,"coal extraction and processing - Illinois Basin, BIT, Underground",452.99521865099314,4.361986118012825,0.7281314815153005,0.3,0.0,0.0,0.11935485459483337,0.11658373910589359,0.11871982004901213,0.06802349325562133,0.056303133535437824,0.09392186804740486,0.0,339.9223,0.9998550986048049,0.1251503759958378,1.1371155530553922e-05,13.118967891698372,341.1588,343.4651,340.3899
Electricity; at user; consumption mix - PacifiCorp East - BA,natural gas extraction and processing - Appalachian,"Electricity; at user; consumption mix - Midcontinent Independent System Operator, Inc. - BA","market for transport, freight, lorry 16-32 metric ton, EURO6 | transport, freight, lorry 16-32 metric ton, EURO6 | Cutoff, U",natural gas extraction and processing - Appalachian,natural gas extraction and processing - Appalachian,"coal extraction and processing - Illinois Basin, BIT, Underground",385.99530987770163,3.875373475432713,0.3671216450585218,0.1,0.0,0.0,0.11806243731251934,0.1396791501339076,0.11166597894070573,0.05977109738511009,0.06452358101252931,0.10163250744962693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Electricity; at user; consumption mix - PacifiCorp East - BA,natural gas extraction and processing - Appalachian,"Electricity; at user; consumption mix - Midcontinent Independent System Operator, Inc. - BA","market for transport, freight, lorry 16-32 metric ton, EURO6 | transport, freight, lorry 16-32 metric ton, EURO6 | Cutoff, U",natural gas extraction and processing - Appalachian,natural gas extraction and processing - Appalachian,"coal extraction and processing - Illinois Basin, BIT, Underground",456.0601357955008,4.163748146132008,0.7244526091357038,0.5,0.0,0.0,0.14990800262409587,0.13068619036356777,0.11043581481775258,0.06220726403699488,0.07758882124608941,0.09469533843348077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
