elec120V_readymix_plant,natgas_readymix_plant,electricity_120V,trans_truck,natgas_clinker,naturalgas,coal,"concrete, 17.2 MPa - national avg, A1-A3 total_cementitious","concrete, 17.2 MPa - national avg, A1-A3 pct_scm","concrete, 17.2 MPa - national avg, A1-A3 pct_scm_flyash","concrete, 17.2 MPa - national avg, A1-A3 q_electricity","concrete, 17.2 MPa - national avg, A1-A3 q_NG","concrete, 17.2 MPa - national avg, A1-A3 plc_boolean","concrete, 17.2 MPa - national avg, A1-A3 msw",Portland cement q_electricity,Portland limestone cement production q_electricity,market for Portland cement t_km,market for sand t_km,"market for gravel, crushed t_km",clinker production - North American q_coal,gwp,ap,ep,odp,pocp,gwp_IPCC,gwp_EF2,gwp_CML
Electricity; at user; consumption mix - Tennessee Valley Authority - BA,natural gas extraction and processing - Gulf,"Electricity; at user; consumption mix - Midcontinent Independent System Operator, Inc. - BA","market for transport, freight, lorry 7.5-16 metric ton, EURO6 | transport, freight, lorry 7.5-16 metric ton, EURO6 | Cutoff, U",natural gas extraction and processing - Gulf,natural gas extraction and processing - Appalachian,"coal extraction and processing - Northern Appalachia, BIT, Processing",272.9214801101498,0.3,0.0,4.2166319606936735,1.1907181665362128,0.0,0.0,0.12053797307240856,0.13679449045871853,0.0948704758504212,0.06515374913701427,0.06089684763741706,0.11511361811307488,262.3127,0.8830447697525012,0.13341895322159383,1.363790595942801e-05,13.489415381631526,264.0765,267.608,263.2928
Electricity; at user; consumption mix - Tennessee Valley Authority - BA,natural gas extraction and processing - Gulf,"Electricity; at user; consumption mix - Midcontinent Independent System Operator, Inc. - BA","market for transport, freight, lorry 7.5-16 metric ton, EURO6 | transport, freight, lorry 7.5-16 metric ton, EURO6 | Cutoff, U",natural gas extraction and processing - Gulf,natural gas extraction and processing - Appalachian,"coal extraction and processing - Northern Appalachia, BIT, Processing",258.50041987873044,0.0,0.0,3.736284501038095,0.7100362117449962,0.0,0.0,0.13253018036425482,0.16326618720122243,0.11248743021919771,0.06681176367931586,0.06275865802702975,0.08881404549480959,291.6803,0.8395112540544865,0.12554902325692385,1.1386822639138374e-05,11.387810765811007,293.3632,296.9953,292.6841
Electricity; at user; consumption mix - Tennessee Valley Authority - BA,natural gas extraction and processing - Gulf,"Electricity; at user; consumption mix - Midcontinent Independent System Operator, Inc. - BA","market for transport, freight, lorry 7.5-16 metric ton, EURO6 | transport, freight, lorry 7.5-16 metric ton, EURO6 | Cutoff, U",natural gas extraction and processing - Gulf,natural gas extraction and processing - Appalachian,"coal extraction and processing - Northern Appalachia, BIT, Processing",266.4556730798697,0.0,0.0,4.083359562470612,2.029268838785069,0.0,0.0,0.1462714294367432,0.13119970889665683,0.12311185323886972,0.06552047327147695,0.07006794192764158,0.0876449706290726,319.1468,1.0173372118955148,0.1384661221154695,1.209304070433658e-05,16.94386130943892,321.1668,325.1339,320.2662
Electricity; at user; consumption mix - Tennessee Valley Authority - BA,natural gas extraction and processing - Gulf,"Electricity; at user; consumption mix - Midcontinent Independent System Operator, Inc. - BA","market for transport, freight, lorry 7.5-16 metric ton, EURO6 | transport, freight, lorry 7.5-16 metric ton, EURO6 | Cutoff, U",natural gas extraction and processing - Gulf,natural gas extraction and processing - Appalachian,"coal extraction and processing - Northern Appalachia, BIT, Processing",257.0740714912469,0.0,0.5,4.595423171607748,0.6315100092008572,0.0,0.0,0.15454667344766804,0.13623925195558395,0.09242027722511505,0.07016289303266246,0.05719215449652788,0.07181909215609172,278.0604,0.7450577175355719,0.12215563945685987,1.0872372087360128e-05,10.459383431004992,279.6072,282.7477,278.9613
Electricity; at user; consumption mix - Tennessee Valley Authority - BA,natural gas extraction and processing - Gulf,"Electricity; at user; consumption mix - Midcontinent Independent System Operator, Inc. - BA","market for transport, freight, lorry 7.5-16 metric ton, EURO6 | transport, freight, lorry 7.5-16 metric ton, EURO6 | Cutoff, U",natural gas extraction and processing - Gulf,natural gas extraction and processing - Appalachian,"coal extraction and processing - Northern Appalachia, BIT, Processing",260.24631202193115,0.4,1.0,3.9037711060796703,0.09746872374031479,0.0,0.0,0.14578764483117293,0.14941005980655603,0.10352464263388858,0.07436498670480207,0.05902047191225229,0.09837990496875151,195.3471,0.5629040040343858,0.10622058238447656,9.911072651980264e-06,6.836911203042848,196.5586,199.0337,196.0563
Electricity; at user; consumption mix - Tennessee Valley Authority - BA,natural gas extraction and processing - Gulf,"Electricity; at user; consumption mix - Midcontinent Independent System Operator, Inc. - BA","market for transport, freight, lorry 7.5-16 metric ton, EURO6 | transport, freight, lorry 7.5-16 metric ton, EURO6 | Cutoff, U",natural gas extraction and processing - Gulf,natural gas extraction and processing - Appalachian,"coal extraction and processing - Northern Appalachia, BIT, Processing",253.0470903831727,0.3,1.0,4.014538695812589,0.31105869702181077,0.0,0.0,0.15371558887598297,0.12193379623543785,0.11448537125745246,0.07202300820347417,0.06334600772552304,0.08193381840117238,210.8576,0.5868221779009776,0.11124410137095109,1.0363877688082549e-05,7.817858332315603,212.1306,214.6052,211.5821
Electricity; at user; consumption mix - Tennessee Valley Authority - BA,natural gas extraction and processing - Gulf,"Electricity; at user; consumption mix - Midcontinent Independent System Operator, Inc. - BA","market for transport, freight, lorry 7.5-16 metric ton, EURO6 | transport, freight, lorry 7.5-16 metric ton, EURO6 | Cutoff, U",natural gas extraction and processing - Gulf,natural gas extraction and processing - Appalachian,"coal extraction and processing - Northern Appalachia, BIT, Processing",255.09354480727134,0.2,0.5,3.745906189332403,1.0615739974377436,0.0,0.0,0.1285469781793393,0.13475759977159255,0.11050468662349829,0.06621382206555507,0.06534722969691399,0.1024582679072604,258.4487,0.8245433318987025,0.12544787437988336,1.1814662065257451e-05,12.262250635444769,260.1131,263.4864,259.3919
Electricity; at user; consumption mix - Tennessee Valley Authority - BA,natural gas extraction and processing - Gulf,"Electricity; at user; consumption mix - Midcontinent Independent System Operator, Inc. - BA","market for transport, freight, lorry 7.5-16 metric ton, EURO6 | transport, freight, lorry 7.5-16 metric ton, EURO6 | Cutoff, U",natural gas extraction and processing - Gulf,natural gas extraction and processing - Appalachian,"coal extraction and processing - Northern Appalachia, BIT, Processing",247.5074672027395,0.1,0.0,4.295873662236867,0.607267276534544,0.0,0.0,0.09854528520983902,0.15377972536964704,0.09679346180937787,0.07748795016464305,0.06244716851085663,0.09674959203417419,262.9031,0.7838878620482028,0.12496847057784907,1.2087142055082581e-05,10.53070753115189,264.4912,267.8441,263.8311
Electricity; at user; consumption mix - Tennessee Valley Authority - BA,natural gas extraction and processing - Gulf,"Electricity; at user; consumption mix - Midcontinent Independent System Operator, Inc. - BA","market for transport, freight, lorry 7.5-16 metric ton, EURO6 | transport, freight, lorry 7.5-16 metric ton, EURO6 | Cutoff, U",natural gas extraction and processing - Gulf,natural gas extraction and processing - Appalachian,"coal extraction and processing - Northern Appalachia, BIT, Processing",254.02194050514174,0.5,0.5,3.737303794075996,0.47846746946526153,1.0,0.0,0.1435204071477812,0.16462227802389082,0.10599491423702304,0.07328220523622009,0.06676581339276434,0.11038667961634599,179.6939,0.5824037103287175,0.116313821634214,1.2384036220157092e-05,8.644790662731898,180.9664,183.2217,180.3646
"Electricity; at user; consumption mix - Electric Reliability Council of Texas, Inc. - BA",natural gas extraction and processing - Appalachian,Electricity; at user; consumption mix - ISO-NE - BA,"market for transport, freight, lorry 7.5-16 metric ton, EURO5 | transport, freight, lorry 7.5-16 metric ton, EURO5 | Cutoff, U",natural gas extraction and processing - Green River,natural gas extraction and processing - Arkoma,"coal extraction and processing - Illinois Basin, BIT, Surface",255.67375980088156,0.2,1.0,3.9900234230945637,1.4186550949003327,0.0,0.0,0.13708584159649562,0.13217853786148753,0.10084217068494995,0.06715719519306956,0.06491520577255216,0.09050836771868331,237.7921,0.8057700044124299,0.1238459768627522,1.0372180548351275e-05,13.785810031989161,238.9561,240.4422,238.145
