elec120V_readymix_plant,natgas_readymix_plant,electricity_120V,trans_truck,natgas_clinker,naturalgas,coal,"concrete, 27.6 Mpa - national avg, A1-A3 total_cementitious","concrete, 27.6 Mpa - national avg, A1-A3 q_electricity","concrete, 27.6 Mpa - national avg, A1-A3 q_NG","concrete, 27.6 Mpa - national avg, A1-A3 percent_SCM_replacement","concrete, 27.6 Mpa - national avg, A1-A3 plc_boolean","concrete, 27.6 Mpa - national avg, A1-A3 msw",Portland cement q_electricity,Portland limestone cement production q_electricity,market for Portland cement t_km,market for sand t_km,"market for gravel, crushed t_km",clinker production - North American q_coal,"A5, construction d_vol",gwp,ap,ep,odp,pocp,gwp_IPCC,gwp_EF2,gwp_CML
"Electricity; at user; consumption mix - PJM Interconnection, LLC - BA",natural gas extraction and processing - Strawn,Electricity; at user; consumption mix - South Carolina Public Service Authority - BA,"market for transport, freight, lorry 16-32 metric ton, EURO6 | transport, freight, lorry 16-32 metric ton, EURO6 | Cutoff, U",natural gas extraction and processing - Appalachian,natural gas extraction and processing - Appalachian,"coal extraction and processing - Southern Appalachia, BIT, Surface",359.43282528398714,4.300418082367361,1.0871994640477434,0.4,0.0,0.0,0.12785335306304765,0.13924210348972912,0.09150437785519347,0.07037879728620808,0.06091118425772644,0.10585422772448846,0.0,263.4388,0.8391915385962772,0.1215535258659853,1.6002837721074472e-05,12.336553596106462,264.7665,266.3528,263.6982
"Electricity; at user; consumption mix - PJM Interconnection, LLC - BA",natural gas extraction and processing - Strawn,Electricity; at user; consumption mix - South Carolina Public Service Authority - BA,"market for transport, freight, lorry 16-32 metric ton, EURO6 | transport, freight, lorry 16-32 metric ton, EURO6 | Cutoff, U",natural gas extraction and processing - Appalachian,natural gas extraction and processing - Appalachian,"coal extraction and processing - Southern Appalachia, BIT, Surface",327.4489241422804,3.560399368400531,0.459924498663284,0.0,0.0,0.0,0.12926706955834064,0.149151146317616,0.11932869120286499,0.07052768364835638,0.054867176272738453,0.08705552908478768,0.0,341.6211,0.9147678728824398,0.12900755511110976,1.6305363252418153e-05,11.31029845573812,342.9891,344.8457,341.8987
"Electricity; at user; consumption mix - PJM Interconnection, LLC - BA",natural gas extraction and processing - Strawn,Electricity; at user; consumption mix - South Carolina Public Service Authority - BA,"market for transport, freight, lorry 16-32 metric ton, EURO6 | transport, freight, lorry 16-32 metric ton, EURO6 | Cutoff, U",natural gas extraction and processing - Appalachian,natural gas extraction and processing - Appalachian,"coal extraction and processing - Southern Appalachia, BIT, Surface",331.8490748362299,4.0851938981854925,1.8188025695934273,0.3,0.0,0.0,0.1896068475594967,0.14713519215836918,0.12468685519582956,0.058691454092268634,0.06516744042418951,0.08851743470252191,0.0,288.2315,0.8970543137343165,0.12791620749973448,1.6075402267348566e-05,15.200321104949872,289.899,291.6749,288.6194
"Electricity; at user; consumption mix - PJM Interconnection, LLC - BA",natural gas extraction and processing - Strawn,Electricity; at user; consumption mix - South Carolina Public Service Authority - BA,"market for transport, freight, lorry 16-32 metric ton, EURO6 | transport, freight, lorry 16-32 metric ton, EURO6 | Cutoff, U",natural gas extraction and processing - Appalachian,natural gas extraction and processing - Appalachian,"coal extraction and processing - Southern Appalachia, BIT, Surface",330.8821969217855,3.8854662644731155,1.8810337142954472,0.3,0.0,0.0,0.14445442468095726,0.1247838075049801,0.11819058065134959,0.06372364771169198,0.07397010070974154,0.10016979318101144,0.0,288.6471,0.9499173062538614,0.13017766111796236,1.6443672470922912e-05,15.701455420735176,290.2663,292.0178,288.9838
"Electricity; at user; consumption mix - PJM Interconnection, LLC - BA",natural gas extraction and processing - Strawn,Electricity; at user; consumption mix - South Carolina Public Service Authority - BA,"market for transport, freight, lorry 16-32 metric ton, EURO6 | transport, freight, lorry 16-32 metric ton, EURO6 | Cutoff, U",natural gas extraction and processing - Appalachian,natural gas extraction and processing - Appalachian,"coal extraction and processing - Southern Appalachia, BIT, Surface",345.69901776435347,4.441528933844691,0.18284293213473213,0.0,0.0,0.0,0.1339863502627151,0.11299199579865483,0.07634861228881688,0.06485963780506185,0.06541467052007932,0.09159226550865608,0.0,360.1642,0.9546671055842119,0.1291426027920272,1.6294056997754847e-05,10.895053866503638,361.5281,363.4804,360.4342
"Electricity; at user; consumption mix - PJM Interconnection, LLC - BA",natural gas extraction and processing - Strawn,Electricity; at user; consumption mix - South Carolina Public Service Authority - BA,"market for transport, freight, lorry 16-32 metric ton, EURO6 | transport, freight, lorry 16-32 metric ton, EURO6 | Cutoff, U",natural gas extraction and processing - Appalachian,natural gas extraction and processing - Appalachian,"coal extraction and processing - Southern Appalachia, BIT, Surface",325.5521518500863,3.9390073109168218,0.00960352655816843,0.1,0.0,0.0,0.1311175522806178,0.13884338935256155,0.10349981764199656,0.0659879911940817,0.06657314304964095,0.088778708146547,0.0,308.098,0.801913987860065,0.12200126734080657,1.6166945015028627e-05,8.960243432650763,309.2699,310.9671,308.3348
"Electricity; at user; consumption mix - PJM Interconnection, LLC - BA",natural gas extraction and processing - Strawn,Electricity; at user; consumption mix - South Carolina Public Service Authority - BA,"market for transport, freight, lorry 16-32 metric ton, EURO6 | transport, freight, lorry 16-32 metric ton, EURO6 | Cutoff, U",natural gas extraction and processing - Appalachian,natural gas extraction and processing - Appalachian,"coal extraction and processing - Southern Appalachia, BIT, Surface",312.2963058240591,4.086770841638198,0.15118703635605235,0.2,1.0,0.0,0.1462173348897592,0.12124195159344026,0.11773870134792759,0.06646274250194466,0.06699036096300745,0.08453936222495925,0.0,247.7695,0.6607201856773625,0.11449281042681997,1.5679591055142817e-05,8.183603707787237,248.8236,250.2519,247.9955
"Electricity; at user; consumption mix - PJM Interconnection, LLC - BA",natural gas extraction and processing - Strawn,Electricity; at user; consumption mix - South Carolina Public Service Authority - BA,"market for transport, freight, lorry 16-32 metric ton, EURO6 | transport, freight, lorry 16-32 metric ton, EURO6 | Cutoff, U",natural gas extraction and processing - Appalachian,natural gas extraction and processing - Appalachian,"coal extraction and processing - Southern Appalachia, BIT, Surface",350.24264151692637,4.0868894132943865,-0.8309630597630177,0.5,0.0,0.0,0.073372562750349,0.10020992554680488,0.12257184240837721,0.07001150577332349,0.06818267918256722,0.09323853537044065,0.0,188.0554,0.4620617888988243,0.10299401918029889,1.5754481588139503e-05,3.264604798155823,188.6336,189.7107,188.1477
"Electricity; at user; consumption mix - PJM Interconnection, LLC - BA",natural gas extraction and processing - Strawn,Electricity; at user; consumption mix - South Carolina Public Service Authority - BA,"market for transport, freight, lorry 16-32 metric ton, EURO6 | transport, freight, lorry 16-32 metric ton, EURO6 | Cutoff, U",natural gas extraction and processing - Appalachian,natural gas extraction and processing - Appalachian,"coal extraction and processing - Southern Appalachia, BIT, Surface",324.5537185781133,4.147652490096587,0.38048256580187034,0.5,1.0,0.0,0.07885724054826129,0.1769493834533939,0.10501320225487211,0.061389373575056985,0.06982778329346762,0.0973575197996236,0.0,194.7006,0.5724431064083897,0.10743352398249524,1.546188465583539e-05,8.032522227491983,195.7304,197.0064,194.9387
Electricity; at user; consumption mix - Idaho Power Company - BA,natural gas extraction and processing - Arkla,"Electricity; at user; consumption mix - Duke Energy Florida, Inc. - BA","market for transport, freight, lorry 7.5-16 metric ton, EURO5 | transport, freight, lorry 7.5-16 metric ton, EURO5 | Cutoff, U",natural gas extraction and processing - East Texas,natural gas extraction and processing - Appalachian,"coal extraction and processing - Central Interior, BIT, Underground",323.0848111781881,4.221340692908955,0.06244210382486626,0.2,0.0,0.0,0.16557047826716428,0.1496553298690085,0.10691946471074538,0.07107272629962008,0.07183883973168464,0.0866782486950946,0.0,290.1333,0.7991542131072106,0.13332104076064888,1.7721867877058964e-05,10.59141991860755,291.953,294.3166,290.7185
