elec120V_readymix_plant,natgas_readymix_plant,electricity_120V,trans_truck,natgas_clinker,naturalgas,coal,"concrete, 20.7 Mpa - national avg, A1-A3 q_cement","concrete, 20.7 Mpa - national avg, A1-A3 q_electricity","concrete, 20.7 Mpa - national avg, A1-A3 q_NG","concrete, 20.7 Mpa - national avg, A1-A3 plc_boolean","concrete, 20.7 Mpa - national avg, A1-A3 msw",Portland cement q_electricity,Portland limestone cement production q_electricity,market for Portland cement t_km,market for sand t_km,"market for gravel, crushed t_km",clinker production - North American q_coal,"A5, construction d_vol",gwp,ap,ep,odp,pocp,gwp_IPCC,gwp_EF2,gwp_CML
"Electricity; at user; consumption mix - Electric Reliability Council of Texas, Inc. - BA",natural gas extraction and processing - Anadarko,Electricity; at user; consumption mix - Southwest Power Pool - BA,"market for transport, freight, lorry 7.5-16 metric ton, EURO5 | transport, freight, lorry 7.5-16 metric ton, EURO5 | Cutoff, U",natural gas extraction and processing - Appalachian,natural gas extraction and processing - East Texas,"coal extraction and processing - Rocky Mountain, BIT, Underground",210.8107128593764,4.200026627185615,-0.3603356084965327,0.0,0.0,0.12081390313317748,0.11887414033629826,0.0935063377735678,0.06297355563775352,0.05622524199445668,0.09306201678775071,0.0,229.1029,0.6386764302894685,0.11040819539953757,1.0276949374882131e-05,7.022213784342864,229.9455,231.3877,229.4095
"Electricity; at user; consumption mix - Electric Reliability Council of Texas, Inc. - BA",natural gas extraction and processing - Anadarko,Electricity; at user; consumption mix - Southwest Power Pool - BA,"market for transport, freight, lorry 7.5-16 metric ton, EURO5 | transport, freight, lorry 7.5-16 metric ton, EURO5 | Cutoff, U",natural gas extraction and processing - Appalachian,natural gas extraction and processing - East Texas,"coal extraction and processing - Rocky Mountain, BIT, Underground",221.42662104006925,4.363153622172838,0.772718280937791,0.0,0.0,0.15369834301190313,0.1538345550746361,0.11879598112903932,0.05577151098199568,0.06872925531450508,0.0936647202871522,0.0,260.8147,0.8194518981306471,0.12353576768280318,1.121128523637515e-05,12.163170732138145,261.9648,263.734,261.2216
"Electricity; at user; consumption mix - Electric Reliability Council of Texas, Inc. - BA",natural gas extraction and processing - Anadarko,Electricity; at user; consumption mix - Southwest Power Pool - BA,"market for transport, freight, lorry 7.5-16 metric ton, EURO5 | transport, freight, lorry 7.5-16 metric ton, EURO5 | Cutoff, U",natural gas extraction and processing - Appalachian,natural gas extraction and processing - East Texas,"coal extraction and processing - Rocky Mountain, BIT, Underground",224.8135192332722,3.6508027942648673,1.2049431017165952,1.0,0.0,0.1377271685268426,0.1595181837748734,0.12932569750435163,0.06299648418868707,0.0724109174064425,0.09287050541416854,0.0,252.6472,0.8327159042675191,0.12499052003446019,1.130710889361941e-05,13.589835855059837,253.8764,255.6421,253.079
"Electricity; at user; consumption mix - Electric Reliability Council of Texas, Inc. - BA",natural gas extraction and processing - Anadarko,Electricity; at user; consumption mix - Southwest Power Pool - BA,"market for transport, freight, lorry 7.5-16 metric ton, EURO5 | transport, freight, lorry 7.5-16 metric ton, EURO5 | Cutoff, U",natural gas extraction and processing - Appalachian,natural gas extraction and processing - East Texas,"coal extraction and processing - Rocky Mountain, BIT, Underground",247.693018950249,4.204242914199499,1.4531438842261768,0.0,0.0,0.09460541474575201,0.1356615444806312,0.11631561855567102,0.05633882313014894,0.062312776059006626,0.0874688871950265,0.0,277.4885,0.9032864983574913,0.12941932004184303,1.1075790535247498e-05,14.755601433749959,278.7718,280.6287,277.9239
"Electricity; at user; consumption mix - Electric Reliability Council of Texas, Inc. - BA",natural gas extraction and processing - Anadarko,Electricity; at user; consumption mix - Southwest Power Pool - BA,"market for transport, freight, lorry 7.5-16 metric ton, EURO5 | transport, freight, lorry 7.5-16 metric ton, EURO5 | Cutoff, U",natural gas extraction and processing - Appalachian,natural gas extraction and processing - East Texas,"coal extraction and processing - Rocky Mountain, BIT, Underground",224.06788675018822,4.041415632328771,1.1572873076778483,0.0,0.0,0.11823720184107933,0.1094079328588996,0.12567105548674326,0.0627676433187435,0.05142033042040359,0.08595000378627107,0.0,254.963,0.8148792956569769,0.12320833771889815,1.0604092715197541e-05,13.081524608272813,256.1514,257.858,255.3755
"Electricity; at user; consumption mix - Electric Reliability Council of Texas, Inc. - BA",natural gas extraction and processing - Anadarko,Electricity; at user; consumption mix - Southwest Power Pool - BA,"market for transport, freight, lorry 7.5-16 metric ton, EURO5 | transport, freight, lorry 7.5-16 metric ton, EURO5 | Cutoff, U",natural gas extraction and processing - Appalachian,natural gas extraction and processing - East Texas,"coal extraction and processing - Rocky Mountain, BIT, Underground",246.35529978815148,4.635904788427533,0.19349644077916728,0.0,0.0,0.14616986348455532,0.17365139202833693,0.10819721842260312,0.0651531095436549,0.0693284504359022,0.08742143111553557,0.0,272.5628,0.7841071910810515,0.12428779951214489,1.179024489867484e-05,10.299845045902712,273.6282,275.3734,272.9493
"Electricity; at user; consumption mix - Electric Reliability Council of Texas, Inc. - BA",natural gas extraction and processing - Anadarko,Electricity; at user; consumption mix - Southwest Power Pool - BA,"market for transport, freight, lorry 7.5-16 metric ton, EURO5 | transport, freight, lorry 7.5-16 metric ton, EURO5 | Cutoff, U",natural gas extraction and processing - Appalachian,natural gas extraction and processing - East Texas,"coal extraction and processing - Rocky Mountain, BIT, Underground",231.85874003482576,3.9545290701885567,1.9139721392467859,0.0,0.0,0.13390538556790121,0.11608932025692952,0.11188965844265664,0.058416770992198365,0.06423225012859335,0.10783350304206774,0.0,290.4326,1.0340175570163015,0.13301281607327956,1.1340277637682221e-05,17.291168482366512,291.8482,293.9645,290.9062
"Electricity; at user; consumption mix - Electric Reliability Council of Texas, Inc. - BA",natural gas extraction and processing - Anadarko,Electricity; at user; consumption mix - Southwest Power Pool - BA,"market for transport, freight, lorry 7.5-16 metric ton, EURO5 | transport, freight, lorry 7.5-16 metric ton, EURO5 | Cutoff, U",natural gas extraction and processing - Appalachian,natural gas extraction and processing - East Texas,"coal extraction and processing - Rocky Mountain, BIT, Underground",228.47921221443414,4.083153902616061,0.028172788769958546,0.0,0.0,0.18177719045404292,0.19076994469190442,0.10602927896419138,0.060580380870305026,0.06480984822891098,0.07586531443793021,0.0,249.5742,0.6751537493148013,0.11792689538995232,1.106020049948686e-05,8.83173634867265,250.5635,252.1174,249.9505
"Electricity; at user; consumption mix - Electric Reliability Council of Texas, Inc. - BA",natural gas extraction and processing - Anadarko,Electricity; at user; consumption mix - Southwest Power Pool - BA,"market for transport, freight, lorry 7.5-16 metric ton, EURO5 | transport, freight, lorry 7.5-16 metric ton, EURO5 | Cutoff, U",natural gas extraction and processing - Appalachian,natural gas extraction and processing - East Texas,"coal extraction and processing - Rocky Mountain, BIT, Underground",226.37101495278887,3.843338934761029,0.8371602074437016,1.0,0.0,0.11181554866018371,0.07522683953795761,0.11514122498032668,0.07032497960792868,0.07120261266822257,0.07525648375140696,0.0,226.3237,0.6929494656145256,0.12133278009071014,1.1116310368586934e-05,11.138611829473057,227.4082,228.8439,226.6975
Electricity; at user; consumption mix - Los Angeles Department of Water and Power - BA,natural gas extraction and processing - Green River,Electricity; at user; consumption mix - Tennessee Valley Authority - BA,"market for transport, freight, lorry 7.5-16 metric ton, EURO6 | transport, freight, lorry 7.5-16 metric ton, EURO6 | Cutoff, U",natural gas extraction and processing - Strawn,natural gas extraction and processing - Anadarko,"coal extraction and processing - Powder River Basin, BIT, Surface",220.13849840642473,3.6874516798636012,2.320632776002145,0.0,0.0,0.13317686768137052,0.16398426913983444,0.11072342517467756,0.07074936377815111,0.07029666441206842,0.07329134805947433,0.0,257.2531,0.850807763605654,0.13242473447487527,1.1422423801247483e-05,15.930060869476659,258.5908,260.1711,257.6805
