elec120V_cmu_plant,natgas_cmu_plant,electricity_120V,trans_truck,natgas_clinker,naturalgas,coal,"CMU, normal-weight, A1-A3 q_cement",Portland cement q_electricity,Portland limestone cement production q_electricity,market for Portland cement t_km,market for sand t_km,"market for gravel, crushed t_km",clinker production - North American q_coal,"A5, construction d_vol",gwp,ap,ep,odp,pocp,gwp_IPCC,gwp_EF2,gwp_CML
"Electricity; at user; consumption mix - Electric Reliability Council of Texas, Inc. - BA",natural gas extraction and processing - Appalachian,Electricity; at user; consumption mix - PacifiCorp East - BA,"market for transport, freight, lorry 16-32 metric ton, EURO5 | transport, freight, lorry 16-32 metric ton, EURO5 | Cutoff, U",natural gas extraction and processing - Arkla,natural gas extraction and processing - Gulf,"coal extraction and processing - West/Northwest, BIT, Surface",162.25079001085047,0.16081735384755022,0.15670489519703582,0.11053451296741766,0.0730282849930568,0.0676420911952336,0.10172690980911821,0.0,306.9782,0.7709895138231394,1.3885307497772528,1.2504699196330819e-05,12.267248229778325,315.0418,337.8043,314.3799
"Electricity; at user; consumption mix - Electric Reliability Council of Texas, Inc. - BA",natural gas extraction and processing - Appalachian,Electricity; at user; consumption mix - PacifiCorp East - BA,"market for transport, freight, lorry 16-32 metric ton, EURO5 | transport, freight, lorry 16-32 metric ton, EURO5 | Cutoff, U",natural gas extraction and processing - Arkla,natural gas extraction and processing - Gulf,"coal extraction and processing - West/Northwest, BIT, Surface",197.82409087404895,0.14406179984151804,0.11240509527107995,0.13716906504142384,0.06859523914653586,0.06386581828980398,0.08287793993302275,0.0,327.4743,0.7818529869980855,1.392683571407515,1.273258470463581e-05,12.480731031953207,335.5694,358.3707,334.8896
"Electricity; at user; consumption mix - Electric Reliability Council of Texas, Inc. - BA",natural gas extraction and processing - Appalachian,Electricity; at user; consumption mix - PacifiCorp East - BA,"market for transport, freight, lorry 16-32 metric ton, EURO5 | transport, freight, lorry 16-32 metric ton, EURO5 | Cutoff, U",natural gas extraction and processing - Arkla,natural gas extraction and processing - Gulf,"coal extraction and processing - West/Northwest, BIT, Surface",154.5273894626337,0.11468028517292653,0.10929101892373456,0.1253279457184424,0.06655018449493026,0.06444363297285038,0.09950313781191396,0.0,290.9195,0.7272448146153279,1.385149834557856,1.1909135927799992e-05,11.652926030260314,298.9208,321.5987,298.3077
"Electricity; at user; consumption mix - Electric Reliability Council of Texas, Inc. - BA",natural gas extraction and processing - Appalachian,Electricity; at user; consumption mix - PacifiCorp East - BA,"market for transport, freight, lorry 16-32 metric ton, EURO5 | transport, freight, lorry 16-32 metric ton, EURO5 | Cutoff, U",natural gas extraction and processing - Arkla,natural gas extraction and processing - Gulf,"coal extraction and processing - West/Northwest, BIT, Surface",164.9323116961382,0.12062021842817774,0.15258988232401732,0.1098384825778618,0.07465188636656814,0.06562854259092779,0.09629361192790423,0.0,301.2604,0.7490383369509205,1.3882290324341782,1.238709434477314e-05,11.970061621670084,309.2903,332.0094,308.6534
"Electricity; at user; consumption mix - Electric Reliability Council of Texas, Inc. - BA",natural gas extraction and processing - Appalachian,Electricity; at user; consumption mix - PacifiCorp East - BA,"market for transport, freight, lorry 16-32 metric ton, EURO5 | transport, freight, lorry 16-32 metric ton, EURO5 | Cutoff, U",natural gas extraction and processing - Arkla,natural gas extraction and processing - Gulf,"coal extraction and processing - West/Northwest, BIT, Surface",170.47214155290266,0.12815813056748276,0.1459408418596567,0.1077745086843058,0.08005822063638104,0.06872135584204975,0.10614921289846611,0.0,313.9634,0.8041102356909304,1.3912906413545818,1.2915427979828114e-05,12.548198580346543,322.029,344.8192,321.3504
"Electricity; at user; consumption mix - Electric Reliability Council of Texas, Inc. - BA",natural gas extraction and processing - Appalachian,Electricity; at user; consumption mix - PacifiCorp East - BA,"market for transport, freight, lorry 16-32 metric ton, EURO5 | transport, freight, lorry 16-32 metric ton, EURO5 | Cutoff, U",natural gas extraction and processing - Arkla,natural gas extraction and processing - Gulf,"coal extraction and processing - West/Northwest, BIT, Surface",165.849467635087,0.12224587908457678,0.1542176518055953,0.11082977803958098,0.07316292048855133,0.06081925191161544,0.09105997141741216,0.0,298.8036,0.7306608575975317,1.3871111231134852,1.2135852139730123e-05,11.782377695497487,306.8256,329.5246,306.2014
"Electricity; at user; consumption mix - Electric Reliability Council of Texas, Inc. - BA",natural gas extraction and processing - Appalachian,Electricity; at user; consumption mix - PacifiCorp East - BA,"market for transport, freight, lorry 16-32 metric ton, EURO5 | transport, freight, lorry 16-32 metric ton, EURO5 | Cutoff, U",natural gas extraction and processing - Arkla,natural gas extraction and processing - Gulf,"coal extraction and processing - West/Northwest, BIT, Surface",185.47747383198205,0.1308322449998221,0.13066306154092946,0.11715744301586357,0.06079433676609315,0.05578019677430199,0.08638438994797243,0.0,312.7119,0.7517226754313204,1.3870945082663158,1.1718163058152484e-05,11.951300876320847,320.756,343.4912,320.1157
"Electricity; at user; consumption mix - Electric Reliability Council of Texas, Inc. - BA",natural gas extraction and processing - Appalachian,Electricity; at user; consumption mix - PacifiCorp East - BA,"market for transport, freight, lorry 16-32 metric ton, EURO5 | transport, freight, lorry 16-32 metric ton, EURO5 | Cutoff, U",natural gas extraction and processing - Arkla,natural gas extraction and processing - Gulf,"coal extraction and processing - West/Northwest, BIT, Surface",165.06950303446808,0.15916373190983937,0.16714210873886295,0.12484416796661887,0.06282738890846537,0.062449692572321025,0.10354067279142404,0.0,308.0937,0.7758925388131175,1.3865977821550346,1.1994921167970188e-05,12.207200781580095,316.1504,338.9112,315.492
"Electricity; at user; consumption mix - Electric Reliability Council of Texas, Inc. - BA",natural gas extraction and processing - Appalachian,Electricity; at user; consumption mix - PacifiCorp East - BA,"market for transport, freight, lorry 16-32 metric ton, EURO5 | transport, freight, lorry 16-32 metric ton, EURO5 | Cutoff, U",natural gas extraction and processing - Arkla,natural gas extraction and processing - Gulf,"coal extraction and processing - West/Northwest, BIT, Surface",167.46538628229072,0.16001277104204858,0.12949011241438296,0.1100888369117272,0.055873325932351045,0.05612386123441543,0.08920424196328446,0.0,300.7759,0.7242194510145015,1.3834449601724101,1.1288060098728892e-05,11.669967422407838,308.808,331.5101,308.1861
"Electricity; at user; consumption mix - PJM Interconnection, LLC - BA",natural gas extraction and processing - Permian,"Electricity; at user; consumption mix - PJM Interconnection, LLC - BA","market for transport, freight, lorry 7.5-16 metric ton, EURO5 | transport, freight, lorry 7.5-16 metric ton, EURO5 | Cutoff, U",natural gas extraction and processing - Green River,natural gas extraction and processing - Uinta,"coal extraction and processing - Northern Appalachia, BIT, Processing",168.70420699208069,0.1446115904679297,0.14123077682278493,0.11173420668619524,0.061313409938516424,0.0682257289275953,0.07541505886216894,0.0,295.6149,0.6747637253667937,1.3935938259796883,1.3099191544784743e-05,10.684062058282285,304.5362,328.307,303.5283
