elec120V_readymix_plant,natgas_readymix_plant,electricity_120V,trans_truck,natgas_clinker,naturalgas,coal,"concrete, 17.2 MPa - national avg, A1-A3 total_cementitious","concrete, 17.2 MPa - national avg, A1-A3 pct_scm","concrete, 17.2 MPa - national avg, A1-A3 pct_scm_flyash","concrete, 17.2 MPa - national avg, A1-A3 q_electricity","concrete, 17.2 MPa - national avg, A1-A3 q_NG","concrete, 17.2 MPa - national avg, A1-A3 plc_boolean","concrete, 17.2 MPa - national avg, A1-A3 msw",Portland cement q_electricity,Portland limestone cement production q_electricity,market for Portland cement t_km,market for sand t_km,"market for gravel, crushed t_km",clinker production - North American q_coal,gwp,ap,ep,odp,pocp,gwp_IPCC,gwp_EF2,gwp_CML
"Electricity; at user; consumption mix - PJM Interconnection, LLC - BA",natural gas extraction and processing - Green River,Electricity; at user; consumption mix - New York Independent System Operator - BA,"market for transport, freight, lorry 7.5-16 metric ton, EURO5 | transport, freight, lorry 7.5-16 metric ton, EURO5 | Cutoff, U",natural gas extraction and processing - Appalachian,natural gas extraction and processing - Gulf,"coal extraction and processing - Central Interior, BIT, Underground",252.80774311768806,0.1,0.0,4.241858676172497,0.5713296618609465,0.0,0.0,0.12812053336508206,0.1210364742324477,0.1066899060571358,0.0595297522882446,0.073204513951874,0.10688331219476419,265.064,0.8525707567830606,0.12759589669087884,1.1859945691801244e-05,11.900236777542887,266.4749,269.2519,265.7621
"Electricity; at user; consumption mix - PJM Interconnection, LLC - BA",natural gas extraction and processing - Green River,Electricity; at user; consumption mix - New York Independent System Operator - BA,"market for transport, freight, lorry 7.5-16 metric ton, EURO5 | transport, freight, lorry 7.5-16 metric ton, EURO5 | Cutoff, U",natural gas extraction and processing - Appalachian,natural gas extraction and processing - Gulf,"coal extraction and processing - Central Interior, BIT, Underground",250.05461999641116,0.1,0.0,4.317777821078927,-0.6851913914865072,0.0,0.0,0.13948224916613938,0.14914213645292512,0.12307946747729964,0.06622257738534165,0.0671626197529569,0.09601300164715207,241.0017,0.6536760643513815,0.11843861724600016,1.1797167706681598e-05,6.549193170542812,242.0986,244.4596,241.5896
"Electricity; at user; consumption mix - PJM Interconnection, LLC - BA",natural gas extraction and processing - Green River,Electricity; at user; consumption mix - New York Independent System Operator - BA,"market for transport, freight, lorry 7.5-16 metric ton, EURO5 | transport, freight, lorry 7.5-16 metric ton, EURO5 | Cutoff, U",natural gas extraction and processing - Appalachian,natural gas extraction and processing - Gulf,"coal extraction and processing - Central Interior, BIT, Underground",267.9528834566373,0.2,1.0,3.605030588978873,1.0356245488128946,0.0,0.0,0.13794713528165037,0.11368240900411669,0.11878303142545935,0.07219758843380206,0.06236381702633236,0.0923590177459153,245.1527,0.7954573310057572,0.12392085364267194,1.0638615643968963e-05,12.59027415163273,246.5445,249.0047,245.8107
"Electricity; at user; consumption mix - PJM Interconnection, LLC - BA",natural gas extraction and processing - Green River,Electricity; at user; consumption mix - New York Independent System Operator - BA,"market for transport, freight, lorry 7.5-16 metric ton, EURO5 | transport, freight, lorry 7.5-16 metric ton, EURO5 | Cutoff, U",natural gas extraction and processing - Appalachian,natural gas extraction and processing - Gulf,"coal extraction and processing - Central Interior, BIT, Underground",257.91042459478814,0.2,0.0,4.72092023436126,0.46514432170198583,1.0,0.0,0.1316896453137987,0.11077454737008977,0.0963630077021461,0.0630868124300863,0.06237496263961886,0.10086049997888306,224.7914,0.7205156720088349,0.12230817807167119,1.1877409116070923e-05,10.445013478925027,226.0567,228.3335,225.394
"Electricity; at user; consumption mix - PJM Interconnection, LLC - BA",natural gas extraction and processing - Green River,Electricity; at user; consumption mix - New York Independent System Operator - BA,"market for transport, freight, lorry 7.5-16 metric ton, EURO5 | transport, freight, lorry 7.5-16 metric ton, EURO5 | Cutoff, U",natural gas extraction and processing - Appalachian,natural gas extraction and processing - Gulf,"coal extraction and processing - Central Interior, BIT, Underground",253.65382220000814,0.4,1.0,4.242402797286769,0.8825242968101291,0.0,0.0,0.13825360238200785,0.12924568719945823,0.11855891315992476,0.05062177015707225,0.07219289133337761,0.08515898751765116,183.1884,0.605666138655051,0.11065350673405565,9.252502621736317e-06,10.195194352582973,184.3459,186.1401,183.7112
"Electricity; at user; consumption mix - PJM Interconnection, LLC - BA",natural gas extraction and processing - Green River,Electricity; at user; consumption mix - New York Independent System Operator - BA,"market for transport, freight, lorry 7.5-16 metric ton, EURO5 | transport, freight, lorry 7.5-16 metric ton, EURO5 | Cutoff, U",natural gas extraction and processing - Appalachian,natural gas extraction and processing - Gulf,"coal extraction and processing - Central Interior, BIT, Underground",259.0676724018922,0.0,1.0,4.515984641378592,0.49575756547588207,0.0,0.0,0.12024887128899363,0.12388808345373813,0.10852032405308773,0.07009212146671527,0.058751712314589054,0.0916807297134998,274.8618,0.824064670289532,0.12484866303244108,1.0833239775452693e-05,11.294535009675297,276.2358,278.9599,275.5543
"Electricity; at user; consumption mix - PJM Interconnection, LLC - BA",natural gas extraction and processing - Green River,Electricity; at user; consumption mix - New York Independent System Operator - BA,"market for transport, freight, lorry 7.5-16 metric ton, EURO5 | transport, freight, lorry 7.5-16 metric ton, EURO5 | Cutoff, U",natural gas extraction and processing - Appalachian,natural gas extraction and processing - Gulf,"coal extraction and processing - Central Interior, BIT, Underground",252.69694151043353,0.0,0.0,4.145100493486583,0.902995589687544,0.0,0.0,0.12127923616791285,0.13037336484361714,0.09127181672738814,0.06853124582106408,0.07142748152285941,0.10562143284655592,286.9293,0.9345612800445627,0.12956353685626792,1.1274314365407423e-05,13.467566726632237,288.4477,291.4727,287.6827
"Electricity; at user; consumption mix - PJM Interconnection, LLC - BA",natural gas extraction and processing - Green River,Electricity; at user; consumption mix - New York Independent System Operator - BA,"market for transport, freight, lorry 7.5-16 metric ton, EURO5 | transport, freight, lorry 7.5-16 metric ton, EURO5 | Cutoff, U",natural gas extraction and processing - Appalachian,natural gas extraction and processing - Gulf,"coal extraction and processing - Central Interior, BIT, Underground",245.946115148752,0.5,0.0,4.039088793441372,1.3274370952859864,0.0,0.0,0.11799628932182533,0.1115605610776977,0.10685230364109391,0.06560808536400115,0.05803109320847948,0.09736091262906027,188.0146,0.6969514594083136,0.13169087896513446,1.3943507541336651e-05,13.11048039799931,189.3693,191.2214,188.5699
"Electricity; at user; consumption mix - PJM Interconnection, LLC - BA",natural gas extraction and processing - Green River,Electricity; at user; consumption mix - New York Independent System Operator - BA,"market for transport, freight, lorry 7.5-16 metric ton, EURO5 | transport, freight, lorry 7.5-16 metric ton, EURO5 | Cutoff, U",natural gas extraction and processing - Appalachian,natural gas extraction and processing - Gulf,"coal extraction and processing - Central Interior, BIT, Underground",243.40294677656067,0.5,1.0,4.059125773426758,0.22975276228304797,0.0,0.0,0.094801748453625,0.16494516972371104,0.08855528534385891,0.07351150833427772,0.05837649194608276,0.10206708803543432,154.1525,0.5040924290601325,0.10224646406245604,8.986554976023945e-06,7.216998275236771,155.1162,156.6808,154.5978
Electricity; at user; consumption mix - Los Angeles Department of Water and Power - BA,natural gas extraction and processing - Arkla,Electricity; at user; consumption mix - Tennessee Valley Authority - BA,"market for transport, freight, lorry 7.5-16 metric ton, EURO5 | transport, freight, lorry 7.5-16 metric ton, EURO5 | Cutoff, U",natural gas extraction and processing - Appalachian,natural gas extraction and processing - Appalachian,"coal extraction and processing - Illinois Basin, BIT, Surface",256.242839805619,0.2,0.0,3.7980878200561103,-0.07183130569241336,0.0,0.0,0.1276470004714967,0.12556930571749367,0.10039102806603899,0.06261804271794717,0.0714774244144171,0.10740645270048556,241.7455,0.7440822002011973,0.12400956415220658,1.2719659691370303e-05,9.103831161248866,242.6512,244.0577,242.0095
Electricity; at user; consumption mix - Los Angeles Department of Water and Power - BA,natural gas extraction and processing - Arkla,Electricity; at user; consumption mix - Tennessee Valley Authority - BA,"market for transport, freight, lorry 7.5-16 metric ton, EURO5 | transport, freight, lorry 7.5-16 metric ton, EURO5 | Cutoff, U",natural gas extraction and processing - Appalachian,natural gas extraction and processing - Appalachian,"coal extraction and processing - Illinois Basin, BIT, Surface",252.48559226993692,0.3,0.5,4.055227223308556,0.4006104331323093,0.0,0.0,0.12696622981341657,0.17652595214695294,0.11619073100407125,0.06152903424584738,0.06101563884188289,0.11515812525399201,221.3202,0.7381384603209529,0.11886231666889366,1.140543024998552e-05,10.171377652854344,222.2636,223.6337,221.5956
Electricity; at user; consumption mix - Los Angeles Department of Water and Power - BA,natural gas extraction and processing - Arkla,Electricity; at user; consumption mix - Tennessee Valley Authority - BA,"market for transport, freight, lorry 7.5-16 metric ton, EURO5 | transport, freight, lorry 7.5-16 metric ton, EURO5 | Cutoff, U",natural gas extraction and processing - Appalachian,natural gas extraction and processing - Appalachian,"coal extraction and processing - Illinois Basin, BIT, Surface",253.0099804684278,0.3,1.0,3.6178173631004267,0.6979420735864393,0.0,0.0,0.13945632377219477,0.15685897579581967,0.11124063742387251,0.061920932723344695,0.06823347355382386,0.1006791670525101,213.4177,0.7048543842684574,0.11495733756416464,1.0083338813469842e-05,10.544657440673115,214.3849,215.7114,213.7157
Electricity; at user; consumption mix - Los Angeles Department of Water and Power - BA,natural gas extraction and processing - Arkla,Electricity; at user; consumption mix - Tennessee Valley Authority - BA,"market for transport, freight, lorry 7.5-16 metric ton, EURO5 | transport, freight, lorry 7.5-16 metric ton, EURO5 | Cutoff, U",natural gas extraction and processing - Appalachian,natural gas extraction and processing - Appalachian,"coal extraction and processing - Illinois Basin, BIT, Surface",257.91678972256295,0.4,0.5,4.058431788084387,1.2943996704414258,0.0,0.0,0.1693002566155009,0.13227767988742772,0.10572594672290499,0.058125421401655844,0.06517276924181871,0.093998103703851,207.1224,0.7285648026728379,0.12339831241020964,1.1574962653209965e-05,12.84369390115604,208.2532,209.6232,207.4814
Electricity; at user; consumption mix - Los Angeles Department of Water and Power - BA,natural gas extraction and processing - Arkla,Electricity; at user; consumption mix - Tennessee Valley Authority - BA,"market for transport, freight, lorry 7.5-16 metric ton, EURO5 | transport, freight, lorry 7.5-16 metric ton, EURO5 | Cutoff, U",natural gas extraction and processing - Appalachian,natural gas extraction and processing - Appalachian,"coal extraction and processing - Illinois Basin, BIT, Surface",268.96241079512,0.1,0.0,4.282107638023981,1.1165569495802434,0.0,0.0,0.16465267874707057,0.15204849425037947,0.1470504018899889,0.06440410666031182,0.0683362643291431,0.09584408338091896,285.2985,0.9254125693989355,0.135673334204872,1.2766288459700776e-05,14.273009061280051,286.5122,288.2705,285.6736
Electricity; at user; consumption mix - Los Angeles Department of Water and Power - BA,natural gas extraction and processing - Arkla,Electricity; at user; consumption mix - Tennessee Valley Authority - BA,"market for transport, freight, lorry 7.5-16 metric ton, EURO5 | transport, freight, lorry 7.5-16 metric ton, EURO5 | Cutoff, U",natural gas extraction and processing - Appalachian,natural gas extraction and processing - Appalachian,"coal extraction and processing - Illinois Basin, BIT, Surface",260.04237802347365,0.3,0.5,4.715598391518858,1.0716627087452135,0.0,0.0,0.1329762233300202,0.11496893765071826,0.10931592982697583,0.06473407783995892,0.0654862715919746,0.11297465001562954,235.8682,0.8299025685774193,0.1261175964833677,1.1875547181224849e-05,13.045120475416407,236.9804,238.5039,236.1968
