elec120V_readymix_plant,natgas_readymix_plant,electricity_120V,trans_truck,natgas_clinker,naturalgas,coal,"concrete, 41.5 Mpa - national avg, A1-A3 total_cementitious","concrete, 41.5 Mpa - national avg, A1-A3 q_electricity","concrete, 41.5 Mpa - national avg, A1-A3 q_NG","concrete, 41.5 Mpa - national avg, A1-A3 percent_SCM_replacement","concrete, 41.5 Mpa - national avg, A1-A3 plc_boolean","concrete, 41.5 Mpa - national avg, A1-A3 msw",Portland cement q_electricity,Portland limestone cement production q_electricity,market for Portland cement t_km,market for sand t_km,"market for gravel, crushed t_km",clinker production - North American q_coal,"A5, construction d_vol",gwp,ap,ep,odp,pocp,gwp_IPCC,gwp_EF2,gwp_CML
Electricity; at user; consumption mix - NorthWestern Corporation - BA,natural gas extraction and processing - Arkoma,Electricity; at user; consumption mix - Bonneville Power Administration - BA,"market for transport, freight, lorry 7.5-16 metric ton, EURO6 | transport, freight, lorry 7.5-16 metric ton, EURO6 | Cutoff, U",natural gas extraction and processing - Appalachian,natural gas extraction and processing - Anadarko,"coal extraction and processing - Illinois Basin, BIT, Underground",411.6619509893559,4.139409803351742,1.5611069329070082,0.3,0.0,0.0,0.13490917532271982,0.16173863683217884,0.11480828232261144,0.0597238737253151,0.06463786165289234,0.11147149639108851,0.0,324.5628,1.0904186546945391,0.13514113328697172,1.2200105975237647e-05,15.737942807889507,325.9092,328.2064,325.0091
Electricity; at user; consumption mix - NorthWestern Corporation - BA,natural gas extraction and processing - Arkoma,Electricity; at user; consumption mix - Bonneville Power Administration - BA,"market for transport, freight, lorry 7.5-16 metric ton, EURO6 | transport, freight, lorry 7.5-16 metric ton, EURO6 | Cutoff, U",natural gas extraction and processing - Appalachian,natural gas extraction and processing - Anadarko,"coal extraction and processing - Illinois Basin, BIT, Underground",476.91206251330306,3.713171305418768,1.4307243330830794,0.0,0.0,0.0,0.128768339148619,0.11626811489712761,0.11355978551999531,0.07450501263346546,0.07929060577463456,0.10271425332825945,0.0,481.6041,1.4785610159663964,0.16335991268357009,1.5083932017578343e-05,18.935158269202145,483.2047,486.396,482.1394
Electricity; at user; consumption mix - NorthWestern Corporation - BA,natural gas extraction and processing - Arkoma,Electricity; at user; consumption mix - Bonneville Power Administration - BA,"market for transport, freight, lorry 7.5-16 metric ton, EURO6 | transport, freight, lorry 7.5-16 metric ton, EURO6 | Cutoff, U",natural gas extraction and processing - Appalachian,natural gas extraction and processing - Anadarko,"coal extraction and processing - Illinois Basin, BIT, Underground",466.2079358005999,3.5703607667084913,0.9761728947541113,0.2,0.0,0.0,0.07380718684787277,0.13984763246120424,0.08785518781932558,0.06717152807708177,0.06802360084764496,0.08783694254645968,0.0,362.5155,1.0508099282255619,0.1395287938916169,1.2692271688409984e-05,13.72301347660548,363.7872,366.0434,362.9486
