elec120V_readymix_plant,natgas_readymix_plant,electricity_120V,trans_truck,natgas_clinker,naturalgas,coal,"concrete, 17.2 MPa - national avg, A1-A3 total_cementitious","concrete, 17.2 MPa - national avg, A1-A3 pct_scm","concrete, 17.2 MPa - national avg, A1-A3 pct_scm_flyash","concrete, 17.2 MPa - national avg, A1-A3 q_electricity","concrete, 17.2 MPa - national avg, A1-A3 q_NG","concrete, 17.2 MPa - national avg, A1-A3 plc_boolean","concrete, 17.2 MPa - national avg, A1-A3 msw",Portland cement q_electricity,Portland limestone cement production q_electricity,market for Portland cement t_km,market for sand t_km,"market for gravel, crushed t_km",clinker production - North American q_coal,gwp,ap,ep,odp,pocp,gwp_IPCC,gwp_EF2,gwp_CML
"Electricity; at user; consumption mix - Electric Reliability Council of Texas, Inc. - BA",natural gas extraction and processing - Appalachian,"Electricity; at user; consumption mix - Midcontinent Independent System Operator, Inc. - BA","market for transport, freight, lorry 7.5-16 metric ton, EURO5 | transport, freight, lorry 7.5-16 metric ton, EURO5 | Cutoff, U",natural gas extraction and processing - Appalachian,natural gas extraction and processing - East Texas,"coal extraction and processing - Rocky Mountain, WC, Surface",254.79650679196587,0.3,0.5,3.8889869028576554,0.9511279392853684,0.0,0.0,0.0909932300522152,0.10038352957547134,0.12721598864866268,0.06441236616543222,0.06735013974484105,0.10197168425870451,226.0818,0.7736211068640887,0.1253419913402027,1.1995268238055111e-05,12.363377130165057,227.2172,228.7664,226.4526
"Electricity; at user; consumption mix - Electric Reliability Council of Texas, Inc. - BA",natural gas extraction and processing - Appalachian,"Electricity; at user; consumption mix - Midcontinent Independent System Operator, Inc. - BA","market for transport, freight, lorry 7.5-16 metric ton, EURO5 | transport, freight, lorry 7.5-16 metric ton, EURO5 | Cutoff, U",natural gas extraction and processing - Appalachian,natural gas extraction and processing - East Texas,"coal extraction and processing - Rocky Mountain, WC, Surface",267.57287114903886,0.3,1.0,4.3051645553550175,0.39962758365230755,0.0,0.0,0.14048818059117443,0.17702893906301664,0.11139365085165448,0.057770913565981,0.08461109017160504,0.09971034943046932,228.6557,0.7250340420777777,0.11861294442317401,1.106470494320601e-05,10.313607215532524,229.684,231.2304,229.0129
"Electricity; at user; consumption mix - Electric Reliability Council of Texas, Inc. - BA",natural gas extraction and processing - Appalachian,"Electricity; at user; consumption mix - Midcontinent Independent System Operator, Inc. - BA","market for transport, freight, lorry 7.5-16 metric ton, EURO5 | transport, freight, lorry 7.5-16 metric ton, EURO5 | Cutoff, U",natural gas extraction and processing - Appalachian,natural gas extraction and processing - East Texas,"coal extraction and processing - Rocky Mountain, WC, Surface",261.701141755232,0.2,0.5,3.828421669601705,0.5513914231983683,0.0,0.0,0.069849486166496,0.12000905587375618,0.11190442307344375,0.0693851772374528,0.07066646189806021,0.09475432643687166,240.7875,0.7631396934139949,0.1254860337394046,1.2055767664169822e-05,11.078350974969977,241.8548,243.3993,241.1357
"Electricity; at user; consumption mix - Electric Reliability Council of Texas, Inc. - BA",natural gas extraction and processing - Appalachian,"Electricity; at user; consumption mix - Midcontinent Independent System Operator, Inc. - BA","market for transport, freight, lorry 7.5-16 metric ton, EURO5 | transport, freight, lorry 7.5-16 metric ton, EURO5 | Cutoff, U",natural gas extraction and processing - Appalachian,natural gas extraction and processing - East Texas,"coal extraction and processing - Rocky Mountain, WC, Surface",253.40603677029603,0.0,0.5,4.208394706158564,0.9565054784675617,0.0,0.0,0.12161874639012402,0.1523555920224557,0.11447108849677061,0.06780056584837227,0.06674219468698407,0.11130795197815502,301.9804,1.0063315526831385,0.13162050148943363,1.180762637264349e-05,14.490915740750099,303.2329,305.312,302.3942
"Electricity; at user; consumption mix - Electric Reliability Council of Texas, Inc. - BA",natural gas extraction and processing - Appalachian,"Electricity; at user; consumption mix - Midcontinent Independent System Operator, Inc. - BA","market for transport, freight, lorry 7.5-16 metric ton, EURO5 | transport, freight, lorry 7.5-16 metric ton, EURO5 | Cutoff, U",natural gas extraction and processing - Appalachian,natural gas extraction and processing - East Texas,"coal extraction and processing - Rocky Mountain, WC, Surface",257.9303763879186,0.5,0.0,4.641250778745199,1.9127336894042783,0.0,0.0,0.09766823412208907,0.12594629513775202,0.11115964214444438,0.06920061748668005,0.05486900537255027,0.09077404110819237,202.3895,0.7804351019073864,0.13813630206298202,1.447855377623661e-05,15.75773569977463,203.7533,205.2393,202.8308
"Electricity; at user; consumption mix - Electric Reliability Council of Texas, Inc. - BA",natural gas extraction and processing - Appalachian,"Electricity; at user; consumption mix - Midcontinent Independent System Operator, Inc. - BA","market for transport, freight, lorry 7.5-16 metric ton, EURO5 | transport, freight, lorry 7.5-16 metric ton, EURO5 | Cutoff, U",natural gas extraction and processing - Appalachian,natural gas extraction and processing - East Texas,"coal extraction and processing - Rocky Mountain, WC, Surface",263.6114175382653,0.4,0.0,3.3924002168209446,2.002204236008469,0.0,0.0,0.09614034380848566,0.1383083278542171,0.1010254828832538,0.06706287925740538,0.07033805825667325,0.09314477387534247,228.2118,0.8584659585290421,0.14183198201810018,1.4545886927740004e-05,16.68593121910928,229.6263,231.2647,228.6658
"Electricity; at user; consumption mix - Electric Reliability Council of Texas, Inc. - BA",natural gas extraction and processing - Appalachian,"Electricity; at user; consumption mix - Midcontinent Independent System Operator, Inc. - BA","market for transport, freight, lorry 7.5-16 metric ton, EURO5 | transport, freight, lorry 7.5-16 metric ton, EURO5 | Cutoff, U",natural gas extraction and processing - Appalachian,natural gas extraction and processing - East Texas,"coal extraction and processing - Rocky Mountain, WC, Surface",247.0422213666235,0.5,1.0,4.414517000767827,0.33740858398346035,0.0,0.0,0.12364948295456682,0.11616282214253877,0.08976767043681204,0.08025951103202039,0.06778849837921123,0.10372381078286788,167.1966,0.5580826234592652,0.10788781141528368,1.0013571945426264e-05,8.356619123095326,168.0908,169.2616,167.5042
"Electricity; at user; consumption mix - Electric Reliability Council of Texas, Inc. - BA",natural gas extraction and processing - Appalachian,"Electricity; at user; consumption mix - Midcontinent Independent System Operator, Inc. - BA","market for transport, freight, lorry 7.5-16 metric ton, EURO5 | transport, freight, lorry 7.5-16 metric ton, EURO5 | Cutoff, U",natural gas extraction and processing - Appalachian,natural gas extraction and processing - East Texas,"coal extraction and processing - Rocky Mountain, WC, Surface",279.84827134129023,0.0,1.0,4.006762976816806,0.42736644850036976,0.0,0.0,0.15289652164423911,0.1190326748427262,0.12226610997580091,0.06446401649509997,0.07209830811549534,0.1009876370002661,319.7947,0.9798179398481184,0.13317992308776888,1.2453524747201135e-05,13.03975557058974,321.0041,323.1229,320.2174
"Electricity; at user; consumption mix - Electric Reliability Council of Texas, Inc. - BA",natural gas extraction and processing - Appalachian,"Electricity; at user; consumption mix - Midcontinent Independent System Operator, Inc. - BA","market for transport, freight, lorry 7.5-16 metric ton, EURO5 | transport, freight, lorry 7.5-16 metric ton, EURO5 | Cutoff, U",natural gas extraction and processing - Appalachian,natural gas extraction and processing - East Texas,"coal extraction and processing - Rocky Mountain, WC, Surface",251.320926313452,0.3,1.0,3.6967197816800237,0.7657126946462951,0.0,0.0,0.18377333497127857,0.1517082279752462,0.09918316104082492,0.05988709158023184,0.06517155716699334,0.08210469313703965,213.9836,0.673647506251519,0.11423896836038425,9.897497674192356e-06,10.868803945333587,215.0486,216.5091,214.3711
"Electricity; at user; consumption mix - Midcontinent Independent System Operator, Inc. - BA",natural gas extraction and processing - Appalachian,Electricity; at user; consumption mix - Florida Power & Light Co. - BA,"market for transport, freight, lorry 7.5-16 metric ton, EURO5 | transport, freight, lorry 7.5-16 metric ton, EURO5 | Cutoff, U",natural gas extraction and processing - Appalachian,natural gas extraction and processing - Arkla,"coal extraction and processing - Southern Appalachia, BIT, Surface",265.1806304248444,0.0,0.5,3.970598131881666,0.09309297190887056,0.0,0.0,0.13050250228521956,0.17465260297500582,0.11781782005256569,0.06386979965979857,0.059399931785787584,0.09382414853276426,278.0666,0.8110277721035244,0.12310797670357738,1.0807248436248487e-05,10.299005901920346,279.0289,280.6295,278.3682
