elec_steel_fab,elec_steel_rolling,steel_plate,steel_slab,elec_EAF,iron_forEAF,elec_DRI,natgas_DRI,elec_BOF,iron_forBOF,elec,coal,"fabrication, plate.wf","fabrication, plate.elec","fabrication, plate.trans_co2","rolling, slab.elec","rolling, slab.heat","steelmaking, electric arc furnace.scrap_pct","steelmaking, electric arc furnace.wf","steelmaking, electric arc furnace.kWh_EAF","steelmaking, electric arc furnace.trans_co2","ironmaking, direct reduction, MIDREX.co2_kg","ironmaking, direct reduction, MIDREX.elec","ironmaking, direct reduction, MIDREX.ng_mj","ironmaking, direct reduction, MIDREX.ore_kg","ironmaking, direct reduction, MIDREX.trans_co2","steelmaking, basic oxygen converter.elec","steelmaking, basic oxygen converter.scrap_pct","steelmaking, basic oxygen converter.wf","steelmaking, basic oxygen converter.co2_kg","ironmaking, blast furnace.elec","ironmaking, blast furnace.co2_kg",coking.co2_kg,sintering.co2_kg,zinc production.co2_kg,gwp,gwp_be,gep_bu,ap,ep,odp,pocp,gwp_AR5,gwp_EF2,gwp_CML,sim_type
Electricity; at grid; consumption mix - LG&E and KU Services Company as agent for Louisville Gas and Electric Company and Kentucky Utilities Company - BA,"Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","rolling, slab","steelmaking, basic oxygen converter","Electricity; at grid; consumption mix - Southern Company Services, Inc. - Trans - BA","ironmaking, direct reduction, MIDREX","Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA",natural gas extraction and processing - South Oklahoma,"Electricity; at grid; consumption mix - Puget Sound Energy, Inc. - BA","ironmaking, blast furnace","Electricity; at grid; consumption mix - Southern Company Services, Inc. - Trans - BA","coal extraction and processing - Import, BIT, Underground",0.051168646272458526,0.2063675798699594,0.05962227272444058,0.04316441804366476,0.8672248058652426,0.6707319809612917,0.0244434859373952,0.6068060325190989,0.009983292010315387,0.5214194207389933,0.12567382432605664,9.430864881624887,1.3490352386129396,0.009885059512626405,0.03699680604255572,0.1526454595269985,0.127880400816352,0.05734811648545747,0.09716315285198383,1.214567395566104,0.11028541448381009,0.4788417327960986,1.3839318531460014,2.892,0.0,0.0,0.0017615001393242174,0.00014112828917505033,1.1383139322360879e-08,0.040998363151233584,2.9271,3.0407,2.9292,mca
Electricity; at grid; consumption mix - LG&E and KU Services Company as agent for Louisville Gas and Electric Company and Kentucky Utilities Company - BA,"Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","rolling, slab","steelmaking, basic oxygen converter","Electricity; at grid; consumption mix - Southern Company Services, Inc. - Trans - BA","ironmaking, direct reduction, MIDREX","Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA",natural gas extraction and processing - South Oklahoma,"Electricity; at grid; consumption mix - Puget Sound Energy, Inc. - BA","ironmaking, blast furnace","Electricity; at grid; consumption mix - Southern Company Services, Inc. - Trans - BA","coal extraction and processing - Import, BIT, Underground",0.036390434047776955,0.19356559666460854,0.04119973602678727,0.0430669256760053,0.7368587089119835,0.8422351564945463,0.03549784282782025,0.4923336474471053,0.010380125805805268,0.5296730079923081,0.12510026510997999,9.53733279492078,1.2732299441605874,0.010058384437716823,0.023669921346084425,0.14935171682445122,0.14545517988375356,0.10305019139331938,0.0666865645936982,0.9602495072513211,0.1287485623214675,0.3935413274450445,1.7604960633172526,2.4824,0.0,0.0,0.0016913307074950576,0.00013644124214216204,1.1165654542172033e-08,0.038984075220763484,2.5152,2.6212,2.5171,mca
Electricity; at grid; consumption mix - LG&E and KU Services Company as agent for Louisville Gas and Electric Company and Kentucky Utilities Company - BA,"Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","rolling, slab","steelmaking, basic oxygen converter","Electricity; at grid; consumption mix - Southern Company Services, Inc. - Trans - BA","ironmaking, direct reduction, MIDREX","Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA",natural gas extraction and processing - South Oklahoma,"Electricity; at grid; consumption mix - Puget Sound Energy, Inc. - BA","ironmaking, blast furnace","Electricity; at grid; consumption mix - Southern Company Services, Inc. - Trans - BA","coal extraction and processing - Import, BIT, Underground",0.04357360035395231,0.18134202038399364,0.0515783524180122,0.03604878636136762,0.7956381172561853,0.681337193326716,0.0356991489881762,0.4776393321065207,0.010235578760871524,0.5237708832967924,0.1215983437667509,10.307665633301603,1.2543237001563121,0.010247628086475903,0.031643803735705064,0.1410359484633128,0.12750618241429115,0.09371853093661617,0.06827535481743806,1.1967801814701058,0.14582488321420659,0.45987916042713123,2.1591665661661885,2.8188,0.0,0.0,0.0016855148514467234,0.00013653889245535244,1.1007828198077228e-08,0.039148296334708704,2.8526,2.9619,2.8547,mca
Electricity; at grid; consumption mix - LG&E and KU Services Company as agent for Louisville Gas and Electric Company and Kentucky Utilities Company - BA,"Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","rolling, slab","steelmaking, basic oxygen converter","Electricity; at grid; consumption mix - Southern Company Services, Inc. - Trans - BA","ironmaking, direct reduction, MIDREX","Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA",natural gas extraction and processing - South Oklahoma,"Electricity; at grid; consumption mix - Puget Sound Energy, Inc. - BA","ironmaking, blast furnace","Electricity; at grid; consumption mix - Southern Company Services, Inc. - Trans - BA","coal extraction and processing - Import, BIT, Underground",0.04820469931116382,0.20154365438761737,0.04031072227742128,0.03275694787682384,0.8882912347765489,0.8014146412615414,0.03661572579221505,0.6626291027017219,0.009785629213425519,0.516406664066328,0.12247417852776311,9.639053536688895,1.3117142598944225,0.009692996231883723,0.0413222662289861,0.151363253162427,0.12265730026743674,0.06670183447069183,0.10574792532678114,1.0515326414733641,0.12365167999164378,0.45525479669608504,1.7511516113808003,2.6748,0.0,0.0,0.001746190908400644,0.00014040251178442525,1.1219838609281964e-08,0.04083949694201594,2.7101,2.8241,2.7122,mca
Electricity; at grid; consumption mix - LG&E and KU Services Company as agent for Louisville Gas and Electric Company and Kentucky Utilities Company - BA,"Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","rolling, slab","steelmaking, basic oxygen converter","Electricity; at grid; consumption mix - Southern Company Services, Inc. - Trans - BA","ironmaking, direct reduction, MIDREX","Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA",natural gas extraction and processing - South Oklahoma,"Electricity; at grid; consumption mix - Puget Sound Energy, Inc. - BA","ironmaking, blast furnace","Electricity; at grid; consumption mix - Southern Company Services, Inc. - Trans - BA","coal extraction and processing - Import, BIT, Underground",0.07080301960360909,0.16451898624368025,0.04400230448655159,0.03342969503593315,0.8225969476095465,0.5848794362222153,0.039550559798499585,0.49445584534398285,0.01041367294918891,0.5248309399133317,0.1204763606021249,9.942273117643381,1.2779110912242548,0.009888063607889835,0.022973728838968775,0.15636387747557712,0.13865633733848037,0.09921569767067108,0.0552320668543117,1.1523932741715035,0.11355341533230597,0.3267078526166429,1.8552268313320834,2.6347,0.0,0.0,0.0016862699809683849,0.00013738868785448266,1.0963445817116724e-08,0.03935344675201951,2.6695,2.7823,2.6717,mca
Electricity; at grid; consumption mix - LG&E and KU Services Company as agent for Louisville Gas and Electric Company and Kentucky Utilities Company - BA,"Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","rolling, slab","steelmaking, basic oxygen converter","Electricity; at grid; consumption mix - Southern Company Services, Inc. - Trans - BA","ironmaking, direct reduction, MIDREX","Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA",natural gas extraction and processing - South Oklahoma,"Electricity; at grid; consumption mix - Puget Sound Energy, Inc. - BA","ironmaking, blast furnace","Electricity; at grid; consumption mix - Southern Company Services, Inc. - Trans - BA","coal extraction and processing - Import, BIT, Underground",0.05127211660850248,0.20351801852303944,0.054220537220782364,0.03611997681319942,0.8819824507925933,0.6586611822563947,0.032485463739646565,0.48893565334948563,0.009923116677415666,0.5294649287453345,0.11960593232922634,9.773783685543458,1.3100628883717849,0.010458509349953744,0.028596065397374585,0.15453669692311514,0.09785241750732586,0.0409130063416225,0.1053611060349973,1.0756057783409423,0.14896213746261563,0.36302582210258794,1.7968268525339641,2.584,0.0,0.0,0.0017285482774354517,0.00013857821338513973,1.1142268228238433e-08,0.04038840936186,2.6188,2.7312,2.6209,mca
Electricity; at grid; consumption mix - LG&E and KU Services Company as agent for Louisville Gas and Electric Company and Kentucky Utilities Company - BA,"Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","rolling, slab","steelmaking, basic oxygen converter","Electricity; at grid; consumption mix - Southern Company Services, Inc. - Trans - BA","ironmaking, direct reduction, MIDREX","Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA",natural gas extraction and processing - South Oklahoma,"Electricity; at grid; consumption mix - Puget Sound Energy, Inc. - BA","ironmaking, blast furnace","Electricity; at grid; consumption mix - Southern Company Services, Inc. - Trans - BA","coal extraction and processing - Import, BIT, Underground",0.07367437647115034,0.16500927633721732,0.04506955192191679,0.044488419886991176,0.7305301365681219,0.6864379053367302,0.029259326762108545,0.39741895359751095,0.010231166917302843,0.5094586465551223,0.11795830793405047,9.828756690422411,1.361840250797582,0.009505743714466039,0.029051506333906185,0.15616516129013294,0.0553612399259157,0.08542327824151157,0.07283808024982225,0.9831849576107818,0.14553313339781587,0.4579362375184931,1.228681649968145,2.472,0.0,0.0,0.0016163258255402848,0.00013113868844543422,1.0654059593744944e-08,0.037537890585445016,2.504,2.6076,2.5059,mca
Electricity; at grid; consumption mix - LG&E and KU Services Company as agent for Louisville Gas and Electric Company and Kentucky Utilities Company - BA,"Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","rolling, slab","steelmaking, basic oxygen converter","Electricity; at grid; consumption mix - Southern Company Services, Inc. - Trans - BA","ironmaking, direct reduction, MIDREX","Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA",natural gas extraction and processing - South Oklahoma,"Electricity; at grid; consumption mix - Puget Sound Energy, Inc. - BA","ironmaking, blast furnace","Electricity; at grid; consumption mix - Southern Company Services, Inc. - Trans - BA","coal extraction and processing - Import, BIT, Underground",0.04568191522120244,0.19743576477639618,0.059925966631562376,0.03521767946978688,0.8307457690561373,0.6426729146624366,0.03830582751553219,0.5201923322113633,0.009664158904063825,0.4839725547688027,0.11896475260786928,9.413106288878351,1.3070729635224088,0.010206425781922457,0.02479479461767546,0.14249770554121297,0.06077573623008814,0.09929315102543508,0.06267903046053609,1.103529397948817,0.11983519042386556,0.3499278994014366,1.6812734724570841,2.505,0.0,0.0,0.0016522523142184476,0.00013247307507827872,1.0847720112313894e-08,0.03836132320481837,2.5383,2.6459,2.5403,mca
Electricity; at grid; consumption mix - LG&E and KU Services Company as agent for Louisville Gas and Electric Company and Kentucky Utilities Company - BA,"Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","rolling, slab","steelmaking, basic oxygen converter","Electricity; at grid; consumption mix - Southern Company Services, Inc. - Trans - BA","ironmaking, direct reduction, MIDREX","Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA",natural gas extraction and processing - South Oklahoma,"Electricity; at grid; consumption mix - Puget Sound Energy, Inc. - BA","ironmaking, blast furnace","Electricity; at grid; consumption mix - Southern Company Services, Inc. - Trans - BA","coal extraction and processing - Import, BIT, Underground",0.042996876594998915,0.19430943591494937,0.05934781308726411,0.036518842135993636,0.989190921268954,0.7623055700451205,0.016267771504075226,0.5254018151096644,0.009758599179306403,0.4865158780379365,0.1235142377003783,9.825082296148567,1.3324767262340136,0.009757275900181593,0.032156909392416694,0.14794584056581928,0.14267381747795874,0.06242438051591076,0.09003014828945373,1.0608396517901872,0.13110050562349412,0.3472930333918396,1.12876652222563,2.637,0.0,0.0,0.0017700677210902528,0.00014216288881745126,1.123875667441196e-08,0.04157436019046225,2.6742,2.7943,2.6765,mca
"Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA","Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","rolling, slab","steelmaking, basic oxygen converter","Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA","ironmaking, blast furnace","Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA",natural gas extraction and processing - Appalachian,"Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA","ironmaking, blast furnace","Electricity; at grid; consumption mix - Electric Reliability Council of Texas, Inc. - BA","coal extraction and processing - West/Northwest, BIT, Underground",0.06202045407525302,0.2020737515156242,0.045060493491706606,0.03477278844660974,0.9075147187039397,0.6857388203601078,0.01387408511906194,0.39093106766210917,0.009742110945580276,0.48281085945347685,0.12558231436355724,9.811027736799693,1.3058718934086495,0.010482327210221807,0.022740908026094978,0.1526769478738076,0.05591605343142825,0.05522307087748206,0.059918523179497946,1.3671323264657402,0.1131303314622126,0.39697999790856825,1.7281950725862898,2.6089,0.0,0.0,0.001878781556199072,0.0001392401354618471,1.206825482228633e-08,0.04348209063267748,2.6282,2.6881,2.6285,mca
