elec120V_readymix_plant,natgas_readymix_plant,electricity_120V,trans_truck,natgas_clinker,naturalgas,coal,"concrete, 34.5 Mpa - national avg, A1-A3 total_cementitious","concrete, 34.5 Mpa - national avg, A1-A3 q_electricity","concrete, 34.5 Mpa - national avg, A1-A3 q_NG","concrete, 34.5 Mpa - national avg, A1-A3 percent_SCM_replacement","concrete, 34.5 Mpa - national avg, A1-A3 plc_boolean","concrete, 34.5 Mpa - national avg, A1-A3 msw",Portland cement q_electricity,Portland limestone cement production q_electricity,market for Portland cement t_km,market for sand t_km,"market for gravel, crushed t_km",clinker production - North American q_coal,"A5, construction d_vol",gwp,ap,ep,odp,pocp,gwp_IPCC,gwp_EF2,gwp_CML
"Electricity; at user; consumption mix - Southern Company Services, Inc. - Trans - BA",natural gas extraction and processing - Appalachian,Electricity; at user; consumption mix - Tennessee Valley Authority - BA,"market for transport, freight, lorry 16-32 metric ton, EURO5 | transport, freight, lorry 16-32 metric ton, EURO5 | Cutoff, U",natural gas extraction and processing - Appalachian,natural gas extraction and processing - Appalachian,"coal extraction and processing - Central Appalachia, BIT, Processing",409.18441985231476,4.708233080027406,0.564019506306626,0.0,0.0,0.0,0.11682704622455728,0.13838127941676434,0.12271939071633792,0.06022544272691943,0.06566542467519476,0.0868440092972571,0.0,391.6678,1.0983735870091755,0.12992159197611175,1.1088900839672243e-05,13.722145695667939,392.676,394.4271,391.8813
"Electricity; at user; consumption mix - Southern Company Services, Inc. - Trans - BA",natural gas extraction and processing - Appalachian,Electricity; at user; consumption mix - Tennessee Valley Authority - BA,"market for transport, freight, lorry 16-32 metric ton, EURO5 | transport, freight, lorry 16-32 metric ton, EURO5 | Cutoff, U",natural gas extraction and processing - Appalachian,natural gas extraction and processing - Appalachian,"coal extraction and processing - Central Appalachia, BIT, Processing",424.31490965029695,3.8711346626103005,0.4151750243315799,0.3,0.0,0.0,0.11088336080222445,0.17352841239884914,0.10898991622494866,0.06978991484187097,0.058951636209937985,0.11527901626208607,0.0,320.9853,1.0188651999827465,0.11927777013191257,1.0841103982715233e-05,12.370550056087685,321.869,323.4065,321.1319
"Electricity; at user; consumption mix - Southern Company Services, Inc. - Trans - BA",natural gas extraction and processing - Appalachian,Electricity; at user; consumption mix - Tennessee Valley Authority - BA,"market for transport, freight, lorry 16-32 metric ton, EURO5 | transport, freight, lorry 16-32 metric ton, EURO5 | Cutoff, U",natural gas extraction and processing - Appalachian,natural gas extraction and processing - Appalachian,"coal extraction and processing - Central Appalachia, BIT, Processing",467.8390052266722,4.428148701088986,0.2089446546361048,0.1,0.0,0.0,0.16713494306298915,0.1280530160569015,0.12994600410643456,0.07061530894201858,0.06210804171110643,0.10185223224432415,0.0,429.9255,1.2437361768729374,0.13508218547922124,1.2376269150659655e-05,14.202078807372455,430.9336,432.9535,430.1191
"Electricity; at user; consumption mix - Southern Company Services, Inc. - Trans - BA",natural gas extraction and processing - Appalachian,Electricity; at user; consumption mix - Tennessee Valley Authority - BA,"market for transport, freight, lorry 16-32 metric ton, EURO5 | transport, freight, lorry 16-32 metric ton, EURO5 | Cutoff, U",natural gas extraction and processing - Appalachian,natural gas extraction and processing - Appalachian,"coal extraction and processing - Central Appalachia, BIT, Processing",382.70663194780343,4.1566345997929375,0.7446322666316199,0.1,0.0,0.0,0.14179447178471022,0.1283914277655245,0.11963049594105357,0.06501224124475387,0.06602405725828242,0.10425245912932095,0.0,361.9709,1.115061957192482,0.12598336341188382,1.0979009161234313e-05,14.314033694851938,362.9826,364.7415,362.1733
"Electricity; at user; consumption mix - Southern Company Services, Inc. - Trans - BA",natural gas extraction and processing - Appalachian,Electricity; at user; consumption mix - Tennessee Valley Authority - BA,"market for transport, freight, lorry 16-32 metric ton, EURO5 | transport, freight, lorry 16-32 metric ton, EURO5 | Cutoff, U",natural gas extraction and processing - Appalachian,natural gas extraction and processing - Appalachian,"coal extraction and processing - Central Appalachia, BIT, Processing",421.29786540942354,3.955603930447408,2.817665200443726,0.0,0.0,0.0,0.15885122689309455,0.0860845744982146,0.10544465856374495,0.07553059637129697,0.05990038077977501,0.09271419430787646,0.0,445.7979,1.4553316537446155,0.1491287853066938,1.1625771437717691e-05,23.581568419892,447.3458,449.6894,446.1731
"Electricity; at user; consumption mix - Southern Company Services, Inc. - Trans - BA",natural gas extraction and processing - Appalachian,Electricity; at user; consumption mix - Tennessee Valley Authority - BA,"market for transport, freight, lorry 16-32 metric ton, EURO5 | transport, freight, lorry 16-32 metric ton, EURO5 | Cutoff, U",natural gas extraction and processing - Appalachian,natural gas extraction and processing - Appalachian,"coal extraction and processing - Central Appalachia, BIT, Processing",424.56956509829695,5.017244377162006,0.4379686104710727,0.4,0.0,0.0,0.17876510554773048,0.10904183949383413,0.09147458686898893,0.0674402415603038,0.07373533351948061,0.09109553581738052,0.0,275.7728,0.811767382011541,0.11508720440364392,1.0753335194067476e-05,10.917961453165187,276.6842,278.074,276.0149
"Electricity; at user; consumption mix - Southern Company Services, Inc. - Trans - BA",natural gas extraction and processing - Appalachian,Electricity; at user; consumption mix - Tennessee Valley Authority - BA,"market for transport, freight, lorry 16-32 metric ton, EURO5 | transport, freight, lorry 16-32 metric ton, EURO5 | Cutoff, U",natural gas extraction and processing - Appalachian,natural gas extraction and processing - Appalachian,"coal extraction and processing - Central Appalachia, BIT, Processing",455.0686014140752,4.259413144274406,0.405192203263521,0.5,0.0,0.0,0.10300597428038455,0.12936812600439954,0.11070724568909579,0.05603975877491392,0.05972020104963125,0.10899169980029226,0.0,252.6411,0.8041502766531967,0.1103196905967967,1.0212911133404593e-05,10.434395030339685,253.4673,254.7071,252.8125
"Electricity; at user; consumption mix - Southern Company Services, Inc. - Trans - BA",natural gas extraction and processing - Appalachian,Electricity; at user; consumption mix - Tennessee Valley Authority - BA,"market for transport, freight, lorry 16-32 metric ton, EURO5 | transport, freight, lorry 16-32 metric ton, EURO5 | Cutoff, U",natural gas extraction and processing - Appalachian,natural gas extraction and processing - Appalachian,"coal extraction and processing - Central Appalachia, BIT, Processing",431.76040477888955,4.437723238391333,1.5068626245274936,0.5,1.0,0.0,0.107142061026197,0.11679303309980461,0.10119940360879483,0.07365967101291672,0.06780364643233405,0.12322308052909506,0.0,251.3384,0.923661798942288,0.11835661694962599,1.0868567957034435e-05,14.831846876288278,252.4128,253.84,251.5852
"Electricity; at user; consumption mix - Southern Company Services, Inc. - Trans - BA",natural gas extraction and processing - Appalachian,Electricity; at user; consumption mix - Tennessee Valley Authority - BA,"market for transport, freight, lorry 16-32 metric ton, EURO5 | transport, freight, lorry 16-32 metric ton, EURO5 | Cutoff, U",natural gas extraction and processing - Appalachian,natural gas extraction and processing - Appalachian,"coal extraction and processing - Central Appalachia, BIT, Processing",418.4720127685212,3.870625023153133,1.0880750616559491,0.0,1.0,0.0,0.09408850203166477,0.11205525017554348,0.1334134241486233,0.07630921476934097,0.07102609272187374,0.09534525810701261,0.0,385.4023,1.1712808620195774,0.13364305851947406,1.1617108524683888e-05,15.939682426995809,386.5203,388.3578,385.6363
Electricity; at user; consumption mix - Duke Energy Carolinas - BA,natural gas extraction and processing - Gulf,Electricity; at user; consumption mix - Los Angeles Department of Water and Power - BA,"market for transport, freight, lorry 7.5-16 metric ton, EURO5 | transport, freight, lorry 7.5-16 metric ton, EURO5 | Cutoff, U",natural gas extraction and processing - Appalachian,natural gas extraction and processing - Arkla,"coal extraction and processing - Northern Appalachia, WC, Underground",452.43328194095335,4.130169400519439,-0.9188366186195781,0.4,1.0,0.0,0.11429121042882412,0.12574799625556207,0.104142734800959,0.06093255180763996,0.07479647006741949,0.08807786208799055,0.0,257.3287,0.6280079660722395,0.1130949780609056,1.1873990321683889e-05,5.819312603620161,258.621,261.8463,258.1919
