elec_steel_fab,elec_steel_rolling,steel_plate,steel_slab,elec_EAF,iron_forEAF,elec_DRI,natgas_DRI,elec_BOF,iron_forBOF,elec,coal,"fabrication, plate.wf","fabrication, plate.elec","fabrication, plate.trans_co2","rolling, slab.elec","rolling, slab.heat","steelmaking, electric arc furnace.scrap_pct","steelmaking, electric arc furnace.wf","steelmaking, electric arc furnace.kWh_EAF","steelmaking, electric arc furnace.trans_co2","ironmaking, direct reduction, MIDREX.co2_kg","ironmaking, direct reduction, MIDREX.elec","ironmaking, direct reduction, MIDREX.ng_mj","ironmaking, direct reduction, MIDREX.ore_kg","ironmaking, direct reduction, MIDREX.trans_co2","steelmaking, basic oxygen converter.elec","steelmaking, basic oxygen converter.scrap_pct","steelmaking, basic oxygen converter.wf","steelmaking, basic oxygen converter.co2_kg","ironmaking, blast furnace.elec","ironmaking, blast furnace.co2_kg",coking.co2_kg,sintering.co2_kg,zinc production.co2_kg,gwp,gwp_be,gep_bu,ap,ep,odp,pocp,gwp_AR5,gwp_EF2,gwp_CML,sim_type
"Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA",Electricity; at grid; consumption mix - Southwest Power Pool - BA,"rolling, slab","steelmaking, basic oxygen converter",Electricity; at grid; consumption mix - California Independent System Operator - BA,"ironmaking, blast furnace",Electricity; at grid; consumption mix - New York Independent System Operator - BA,natural gas extraction and processing - Strawn,Electricity; at grid; consumption mix - ISO-NE - BA,"ironmaking, blast furnace","Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA","coal extraction and processing - Rocky Mountain, BIT, Processing",0.05012749106932401,0.1957474458151702,0.04850667780941492,0.03312244649827304,0.8865932847351654,0.6987729962611439,0.025375379011488834,0.4697877907805576,0.010046362169153986,0.4832397357938819,0.1207258925466659,9.959064270269106,1.2394772801746108,0.009715188759335552,0.03438316444324879,0.020301499823081496,0.1436481863942506,0.05750491540799277,0.10649174885283001,1.2222812088480195,0.1347171132615572,0.28627362597431794,1.2791091582907363,2.7546,0.0,0.0,0.001994187573876658,0.00015958828698453288,1.9299483176547764e-08,0.04379028233997623,2.7751,2.7967,2.7713,mca
"Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA",Electricity; at grid; consumption mix - Southwest Power Pool - BA,"rolling, slab","steelmaking, basic oxygen converter",Electricity; at grid; consumption mix - California Independent System Operator - BA,"ironmaking, blast furnace",Electricity; at grid; consumption mix - New York Independent System Operator - BA,natural gas extraction and processing - Strawn,Electricity; at grid; consumption mix - ISO-NE - BA,"ironmaking, blast furnace","Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA","coal extraction and processing - Rocky Mountain, BIT, Processing",0.03273927772358025,0.20396898402594094,0.047903278767115184,0.03575261509000334,0.9716086627852702,0.6027664547470328,0.028573214579094876,0.5234107393936261,0.009930153057231952,0.5096042290322811,0.12553567384036246,9.722799523045722,1.359836307525144,0.009768944776771109,0.046570412698157086,0.20616169271226115,0.11045278229749542,0.05307631029578712,0.04408839756028006,1.2570998902135062,0.10487704539282275,0.34529472613517886,2.2379634648378537,2.3091,0.0,0.0,0.0017165012564405143,0.00013397058385232995,1.7020235598599628e-08,0.03731806017003044,2.3259,2.3434,2.3227,mca
"Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA",Electricity; at grid; consumption mix - Southwest Power Pool - BA,"rolling, slab","steelmaking, basic oxygen converter",Electricity; at grid; consumption mix - California Independent System Operator - BA,"ironmaking, blast furnace",Electricity; at grid; consumption mix - New York Independent System Operator - BA,natural gas extraction and processing - Strawn,Electricity; at grid; consumption mix - ISO-NE - BA,"ironmaking, blast furnace","Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA","coal extraction and processing - Rocky Mountain, BIT, Processing",0.03412447684231202,0.17144172953853637,0.059030645907810944,0.041983361717006756,0.9105300804046408,0.6351224281504664,0.01827568363304604,0.4912689610412553,0.009600500346759295,0.48540161904554874,0.12032265141199161,9.858918581765733,1.2852719587948307,0.010245223457148464,0.032421253912277403,0.24954066108194978,0.14155196949735077,0.07798907737818198,0.08337676303590319,1.3683084853916954,0.09916958717155784,0.27380431721565957,1.5236500459034126,2.2895,0.0,0.0,0.0016594633250549037,0.00013102705792577825,1.6690186578766068e-08,0.03621773713759834,2.3058,2.3228,2.3026,mca
"Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA",Electricity; at grid; consumption mix - Southwest Power Pool - BA,"rolling, slab","steelmaking, basic oxygen converter",Electricity; at grid; consumption mix - California Independent System Operator - BA,"ironmaking, blast furnace",Electricity; at grid; consumption mix - New York Independent System Operator - BA,natural gas extraction and processing - Strawn,Electricity; at grid; consumption mix - ISO-NE - BA,"ironmaking, blast furnace","Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA","coal extraction and processing - Rocky Mountain, BIT, Processing",0.06420121641883278,0.20257334840906932,0.04274135201408561,0.043632085844902885,0.9773274458263855,0.6414920867826895,0.03988641032693893,0.515196529086964,0.009782448969563973,0.4875245385845178,0.12067381040110248,9.747570003700078,1.266589321090358,0.009890006484816033,0.024570357207047998,0.11699020690675423,0.1270862927079583,0.0417373934226722,0.08279333435221259,0.898754548560518,0.10763527322007502,0.3189914610675303,2.140169761116495,2.2188,0.0,0.0,0.0019097553111993447,0.00015056210425673657,1.8645688493878806e-08,0.04175834445902212,2.2379,2.2579,2.2343,mca
"Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA",Electricity; at grid; consumption mix - Southwest Power Pool - BA,"rolling, slab","steelmaking, basic oxygen converter",Electricity; at grid; consumption mix - California Independent System Operator - BA,"ironmaking, blast furnace",Electricity; at grid; consumption mix - New York Independent System Operator - BA,natural gas extraction and processing - Strawn,Electricity; at grid; consumption mix - ISO-NE - BA,"ironmaking, blast furnace","Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA","coal extraction and processing - Rocky Mountain, BIT, Processing",0.0762096579737477,0.17507593838665192,0.05078150343595695,0.0370043429962086,0.8074436167454685,0.7684209611825482,0.03723214477319818,0.5758052231498523,0.010110469882193837,0.5171244261134862,0.11405153790515689,9.845737835562845,1.321093615178494,0.010003330205376386,0.04136243257176245,0.2055842683831017,0.11847255086251159,0.048387224228235194,0.08951203690378695,1.090823471735788,0.12217441694115816,0.40619324645693033,1.6149497773417356,2.3133,0.0,0.0,0.0017364039599889111,0.00013806271369069136,1.752531120796475e-08,0.037843997649574294,2.3305,2.3485,2.3272,mca
"Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA",Electricity; at grid; consumption mix - Southwest Power Pool - BA,"rolling, slab","steelmaking, basic oxygen converter",Electricity; at grid; consumption mix - California Independent System Operator - BA,"ironmaking, blast furnace",Electricity; at grid; consumption mix - New York Independent System Operator - BA,natural gas extraction and processing - Strawn,Electricity; at grid; consumption mix - ISO-NE - BA,"ironmaking, blast furnace","Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA","coal extraction and processing - Rocky Mountain, BIT, Processing",0.06425438573322553,0.18670478411550803,0.054248399227099314,0.04064521955743681,0.8027049038313809,0.685452461193065,0.017327913281190117,0.5425219088175603,0.010204954262015656,0.4837356550973352,0.1198623422925198,9.558808111479054,1.2654963254161349,0.00963060250301301,0.02531296354943941,0.10824012791079426,0.0984628828060458,0.07282237502037285,0.048045883396501524,1.1075544910970023,0.14673307682171355,0.4235895735700595,1.6193676189661144,2.5212,0.0,0.0,0.0018141747568820757,0.0001440325527647991,1.8008320781026106e-08,0.039356937546522995,2.5395,2.5587,2.536,mca
"Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA",Electricity; at grid; consumption mix - Southwest Power Pool - BA,"rolling, slab","steelmaking, basic oxygen converter",Electricity; at grid; consumption mix - California Independent System Operator - BA,"ironmaking, blast furnace",Electricity; at grid; consumption mix - New York Independent System Operator - BA,natural gas extraction and processing - Strawn,Electricity; at grid; consumption mix - ISO-NE - BA,"ironmaking, blast furnace","Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA","coal extraction and processing - Rocky Mountain, BIT, Processing",0.05818534927223392,0.16701219206159348,0.04385283018039555,0.03620522924397987,0.715841008984717,0.7466532214894452,0.01693701824797406,0.6078467464647024,0.010074454664336468,0.5034799765618796,0.12505897158881116,10.09471708172657,1.3572626517898654,0.010422960321406315,0.04453312332310721,0.11651230196382778,0.05939003556461704,0.10283073984106075,0.08181861034884261,1.1194898285670958,0.15046782415135296,0.45448378811233714,1.4122200839955026,2.4446,0.0,0.0,0.0017291784070992688,0.00013841706830477083,1.7454387869047595e-08,0.03759446115320679,2.462,2.4802,2.4587,mca
"Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA",Electricity; at grid; consumption mix - Southwest Power Pool - BA,"rolling, slab","steelmaking, basic oxygen converter",Electricity; at grid; consumption mix - California Independent System Operator - BA,"ironmaking, blast furnace",Electricity; at grid; consumption mix - New York Independent System Operator - BA,natural gas extraction and processing - Strawn,Electricity; at grid; consumption mix - ISO-NE - BA,"ironmaking, blast furnace","Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA","coal extraction and processing - Rocky Mountain, BIT, Processing",0.04383660694079684,0.20505282019590976,0.04424535517642543,0.03291537697062318,0.7979864977016126,0.5981961036014063,0.043306795694053254,0.45024346721448716,0.00995829733301747,0.4904564467881827,0.1167028472343102,9.730863873363033,1.3489134892515569,0.0099772032133256,0.03224497997571126,0.16709221065749483,0.09469931119737979,0.1131029193456859,0.09314939052643724,1.4165937544020843,0.134728836834673,0.3875853864785346,1.722334620571609,2.6044,0.0,0.0,0.001766594149882675,0.0001387844513274763,1.7663542045933814e-08,0.03836236103426892,2.6217,2.6397,2.6184,mca
"Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA",Electricity; at grid; consumption mix - Southwest Power Pool - BA,"rolling, slab","steelmaking, basic oxygen converter",Electricity; at grid; consumption mix - California Independent System Operator - BA,"ironmaking, blast furnace",Electricity; at grid; consumption mix - New York Independent System Operator - BA,natural gas extraction and processing - Strawn,Electricity; at grid; consumption mix - ISO-NE - BA,"ironmaking, blast furnace","Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA","coal extraction and processing - Rocky Mountain, BIT, Processing",0.046461107008005105,0.18626770773587367,0.04552474878794123,0.04271562206491817,0.8599266297105213,0.5715170760421907,0.028169257362664173,0.6096315270748057,0.009578549205162748,0.5167540095577654,0.11704854063114918,9.583089938363736,1.3561323680682293,0.009767352015624134,0.03552869275991633,0.21460603401418887,0.1251061820430106,0.09231947749431488,0.08765302712641643,1.273260246494184,0.11322170721726693,0.26416416455353237,2.1779436045412957,2.2759,0.0,0.0,0.001727435389142562,0.00013593947170899415,1.7319793852127254e-08,0.037583517005336735,2.2928,2.3104,2.2895,mca
Electricity; at grid; consumption mix - Southwest Power Pool - BA,Electricity; at grid; consumption mix - PacifiCorp West - BA,"rolling, slab","steelmaking, electric arc furnace","Electricity; at grid; consumption mix - Associated Electric Cooperative, Inc. - BA","ironmaking, direct reduction, MIDREX","Electricity; at grid; consumption mix - Electric Reliability Council of Texas, Inc. - BA",natural gas extraction and processing - Appalachian,"Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","ironmaking, blast furnace","Electricity; at grid; consumption mix - Electric Reliability Council of Texas, Inc. - BA","coal extraction and processing - Central Interior, LIG, Surface",0.029607395848444386,0.18543904924439744,0.054595023395541994,0.036380079160754,0.8113731632129662,0.8472851566448726,0.03810008728871825,0.4692443143229736,0.009558482482790837,0.4984699749423708,0.12109315778374746,9.605764686082585,1.2606598532174198,0.00964611282193442,0.03406485917905293,0.0847831578744618,0.059385379330315596,0.054451435550635335,0.111041648584212,1.111289334298727,0.14567277257180575,0.5245783156939811,1.9692103724381238,0.9222,0.0,0.0,0.0023625183641348296,0.00013164135015018185,2.0341661476789084e-08,0.04594862404714571,0.9302,0.9374,0.9277,mca
