elec_steel_fab,elec_steel_rolling,steel_plate,steel_slab,elec_EAF,iron_forEAF,elec_DRI,natgas_DRI,elec_BOF,iron_forBOF,elec,coal,"fabrication, plate.wf","fabrication, plate.elec","fabrication, plate.trans_co2","rolling, slab.elec","rolling, slab.heat","steelmaking, electric arc furnace.scrap_pct","steelmaking, electric arc furnace.wf","steelmaking, electric arc furnace.kWh_EAF","steelmaking, electric arc furnace.trans_co2","ironmaking, direct reduction, MIDREX.co2_kg","ironmaking, direct reduction, MIDREX.elec","ironmaking, direct reduction, MIDREX.ng_mj","ironmaking, direct reduction, MIDREX.ore_kg","ironmaking, direct reduction, MIDREX.trans_co2","steelmaking, basic oxygen converter.elec","steelmaking, basic oxygen converter.scrap_pct","steelmaking, basic oxygen converter.wf","steelmaking, basic oxygen converter.co2_kg","ironmaking, blast furnace.elec","ironmaking, blast furnace.co2_kg",coking.co2_kg,sintering.co2_kg,zinc production.co2_kg,gwp,gwp_be,gep_bu,ap,ep,odp,pocp,gwp_AR5,gwp_EF2,gwp_CML,sim_type
"Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","rolling, slab","steelmaking, electric arc furnace","Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","ironmaking, blast furnace","Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA",natural gas extraction and processing - Appalachian,"Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","ironmaking, blast furnace","Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","coal extraction and processing - Central Appalachia, BIT, Underground",0.0771,0.193,0.046,0.04,0.874,0.61,0.03,0.5,0.01,0.507,0.12,9.9,1.3,0.01,0.027,0.15,0.1,0.071,0.074,1.093,0.124,0.26,1.72,1.5199,0.0,0.0,0.0017146396249910155,0.00012327228115139067,1.7075163377865214e-08,0.03253082917620114,1.5499,1.5825,1.5455,base
Electricity; at grid; consumption mix - Duke Energy Progress East - BA,Electricity; at grid; consumption mix - New York Independent System Operator - BA,"rolling, slab","steelmaking, electric arc furnace",Electricity; at grid; consumption mix - Tampa Electric Company - BA,"ironmaking, direct reduction, MIDREX","Electricity; at grid; consumption mix - Electric Reliability Council of Texas, Inc. - BA",natural gas extraction and processing - Permian,"Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA","ironmaking, blast furnace",Electricity; at grid; consumption mix - Tennessee Valley Authority - BA,"coal extraction and processing - Lignite, LIG, Surface",0.05150015189183015,0.19628240035677266,0.04130991089263653,0.03219834206410461,0.7493305513426507,0.6582865074237065,0.02640698118641039,0.6591127848083546,0.010447461064954934,0.49405483485362167,0.11650591074905668,10.015440286411303,1.2787256125136552,0.010281539697074071,0.026638265463844322,0.1520169477588177,0.0673338245215819,0.05948012183811652,0.06456179852891285,1.2200882996890803,0.152740206053376,0.5393230324083906,1.9595338967107812,1.1712,0.0,0.0,0.002132030192486015,0.00014706629229774146,1.6092471721337944e-08,0.050602855315818,1.1847,1.1977,1.1814,mca
Electricity; at grid; consumption mix - Idaho Power Company - BA,Electricity; at grid; consumption mix - ISO-NE - BA,"rolling, slab","steelmaking, basic oxygen converter",Electricity; at grid; consumption mix - Bonneville Power Administration - BA,"ironmaking, blast furnace",Electricity; at grid; consumption mix - Duke Energy Carolinas - BA,natural gas extraction and processing - Uinta,"Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","ironmaking, blast furnace","Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA","coal extraction and processing - Powder River Basin, BIT, Surface",0.041856502736216286,0.1975659740525007,0.057596424297672755,0.044473504621247564,0.9254918128769766,0.6635387271242529,0.022179556217209268,0.5908149844469859,0.009988618940736096,0.5232950469538606,0.11773397938905802,10.14176206933525,1.2740073175540705,0.009694603294177458,0.028962793943391674,0.17689604614383686,0.14230661745146478,0.07754230984172503,0.08766944198549378,1.146634404640616,0.13068417661286233,0.3743533399332028,1.963674301549383,2.2209,0.0,0.0,0.0014891664179705357,0.00012899433228858348,1.4138948483918516e-08,0.033535278819643626,2.2299,2.2385,2.2275,mca
Electricity; at grid; consumption mix - Idaho Power Company - BA,Electricity; at grid; consumption mix - ISO-NE - BA,"rolling, slab","steelmaking, basic oxygen converter",Electricity; at grid; consumption mix - Bonneville Power Administration - BA,"ironmaking, blast furnace",Electricity; at grid; consumption mix - Duke Energy Carolinas - BA,natural gas extraction and processing - Uinta,"Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","ironmaking, blast furnace","Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA","coal extraction and processing - Powder River Basin, BIT, Surface",0.04032270865795717,0.22039517574163034,0.050145419331804206,0.032897990436488084,0.8734928813396841,0.8101533105615948,0.010931234830553884,0.5630632367088496,0.00978427899988868,0.5226170242855461,0.12507872376073598,9.44075536212816,1.3626284958673673,0.01037344044589401,0.03332364291957178,0.24300572332437714,0.10602055899615179,0.06539877435670138,0.09380157411662562,0.996375762149538,0.11446673274297531,0.23348008699883474,1.5896373892111058,1.7362,0.0,0.0,0.001377501271109569,0.00011929632824007357,1.3375230355064005e-08,0.031006685404808228,1.7445,1.7524,1.7422,mca
Electricity; at grid; consumption mix - Idaho Power Company - BA,Electricity; at grid; consumption mix - ISO-NE - BA,"rolling, slab","steelmaking, basic oxygen converter",Electricity; at grid; consumption mix - Bonneville Power Administration - BA,"ironmaking, blast furnace",Electricity; at grid; consumption mix - Duke Energy Carolinas - BA,natural gas extraction and processing - Uinta,"Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","ironmaking, blast furnace","Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA","coal extraction and processing - Powder River Basin, BIT, Surface",0.05828604363229073,0.19287076158143468,0.05395445238000836,0.04127000693912923,0.7815800584772206,0.8351866491852243,0.029967221854346103,0.42872277117324425,0.009809279857584507,0.485255630937969,0.11426557689935543,10.094921045337701,1.3619780806842705,0.01000744616971308,0.027637229381055704,0.10398859065663037,0.11186934906484008,0.07411376180808202,0.0821904242994688,1.4231171653857095,0.11978925897202557,0.42174264657954985,2.083800167697619,2.6856,0.0,0.0,0.0015431478096484435,0.00013418088872458117,1.4690758507108257e-08,0.03449480054626739,2.6947,2.7034,2.6922,mca
Electricity; at grid; consumption mix - Idaho Power Company - BA,Electricity; at grid; consumption mix - ISO-NE - BA,"rolling, slab","steelmaking, basic oxygen converter",Electricity; at grid; consumption mix - Bonneville Power Administration - BA,"ironmaking, blast furnace",Electricity; at grid; consumption mix - Duke Energy Carolinas - BA,natural gas extraction and processing - Uinta,"Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","ironmaking, blast furnace","Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA","coal extraction and processing - Powder River Basin, BIT, Surface",0.05075277623399941,0.18182392043359624,0.0455503219141366,0.039715759264202566,1.0014066985764947,0.7485785915410955,0.04760648304990848,0.5882399505819802,0.010428913549854634,0.48369199900424015,0.12465411560794085,10.325555255814956,1.2378845889705559,0.009928237941445463,0.02721354200434532,0.19124767925470187,0.14182416098345657,0.07425083463011586,0.07032880419702411,1.147685371566995,0.1262187906518915,0.3036695745111004,1.5767487961091784,2.1115,0.0,0.0,0.0014673025209911723,0.0001276228113658112,1.397816549019554e-08,0.03321610324277741,2.1204,2.1289,2.118,mca
Electricity; at grid; consumption mix - Idaho Power Company - BA,Electricity; at grid; consumption mix - ISO-NE - BA,"rolling, slab","steelmaking, basic oxygen converter",Electricity; at grid; consumption mix - Bonneville Power Administration - BA,"ironmaking, blast furnace",Electricity; at grid; consumption mix - Duke Energy Carolinas - BA,natural gas extraction and processing - Uinta,"Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","ironmaking, blast furnace","Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA","coal extraction and processing - Powder River Basin, BIT, Surface",0.07747388206223141,0.198595811670766,0.04360494848090007,0.04369125707359631,0.7202008866007494,0.6169855539511224,0.03337996360249212,0.6289887784459542,0.009548880297907661,0.5024832798921679,0.12253786361526922,9.980410765525917,1.2822403603307817,0.010335776250097734,0.023856460790494666,0.14558452685387793,0.11643058402679278,0.048660950782218174,0.11306511793828107,1.1799315927919434,0.12839560034640496,0.3637530045920695,1.1238896553688642,2.3268,0.0,0.0,0.0015551226593686703,0.00013402158834774553,1.4896043064353155e-08,0.03451576679700865,2.3359,2.3448,2.3335,mca
Electricity; at grid; consumption mix - Idaho Power Company - BA,Electricity; at grid; consumption mix - ISO-NE - BA,"rolling, slab","steelmaking, basic oxygen converter",Electricity; at grid; consumption mix - Bonneville Power Administration - BA,"ironmaking, blast furnace",Electricity; at grid; consumption mix - Duke Energy Carolinas - BA,natural gas extraction and processing - Uinta,"Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","ironmaking, blast furnace","Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA","coal extraction and processing - Powder River Basin, BIT, Surface",0.023982101716062736,0.1712604303566833,0.04812146793486266,0.03251164225028024,0.7716018463353463,0.7660685759266181,0.03427523429369172,0.5281189984188486,0.00956407168914306,0.5274769811590315,0.1251646204801904,9.566851091168488,1.2771618135647813,0.009913656536567502,0.026089619190609946,0.12200894411544694,0.13158569724290692,0.035753499842211385,0.10180144792559069,1.1945969135371453,0.13474926543440918,0.3182674067660155,2.082505951392771,2.2542,0.0,0.0,0.0015013152225330066,0.00012970050079166092,1.4268939368815176e-08,0.033359392724175235,2.263,2.2716,2.2607,mca
Electricity; at grid; consumption mix - Idaho Power Company - BA,Electricity; at grid; consumption mix - ISO-NE - BA,"rolling, slab","steelmaking, basic oxygen converter",Electricity; at grid; consumption mix - Bonneville Power Administration - BA,"ironmaking, blast furnace",Electricity; at grid; consumption mix - Duke Energy Carolinas - BA,natural gas extraction and processing - Uinta,"Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","ironmaking, blast furnace","Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA","coal extraction and processing - Powder River Basin, BIT, Surface",0.047841928742501524,0.20980393955607562,0.0441570539176081,0.038862334762352964,1.0116841077496361,0.7523645330837578,0.013678946481230265,0.4934460802033735,0.009507789069204648,0.5098329600447519,0.120615353293646,10.284957300901635,1.342481509956865,0.010123431947774994,0.029133370830116006,0.10069689244412461,0.05349583415007606,0.04882492746653927,0.09019794080244502,1.3653677244169151,0.11236207032782408,0.25705636473327276,1.49773333198124,2.3216,0.0,0.0,0.001518018699620933,0.00013124989803333173,1.4258210457173985e-08,0.0343004684283648,2.3308,2.3397,2.3284,mca
Electricity; at grid; consumption mix - Idaho Power Company - BA,Electricity; at grid; consumption mix - ISO-NE - BA,"rolling, slab","steelmaking, basic oxygen converter",Electricity; at grid; consumption mix - Bonneville Power Administration - BA,"ironmaking, blast furnace",Electricity; at grid; consumption mix - Duke Energy Carolinas - BA,natural gas extraction and processing - Uinta,"Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","ironmaking, blast furnace","Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA","coal extraction and processing - Powder River Basin, BIT, Surface",0.04936864803752074,0.18839401732586103,0.045241983732680985,0.03655425114479931,0.8578886885713043,0.726078966485017,0.04553957515337975,0.4791946346497078,0.00981091119030096,0.4904419229754968,0.12566596413884765,9.537106703143438,1.2389837128172823,0.009823471176934362,0.031017055246003702,0.09634682618837308,0.1356219486922159,0.07271543772204864,0.05893951513462492,1.3988792871846212,0.12398864896539674,0.2773922712516492,1.7050728698197337,2.5205,0.0,0.0,0.0015394149949003158,0.00013475301496271497,1.4565370376620894e-08,0.0346366021057466,2.5295,2.5383,2.5271,mca
Electricity; at grid; consumption mix - Idaho Power Company - BA,Electricity; at grid; consumption mix - ISO-NE - BA,"rolling, slab","steelmaking, basic oxygen converter",Electricity; at grid; consumption mix - Bonneville Power Administration - BA,"ironmaking, blast furnace",Electricity; at grid; consumption mix - Duke Energy Carolinas - BA,natural gas extraction and processing - Uinta,"Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","ironmaking, blast furnace","Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA","coal extraction and processing - Powder River Basin, BIT, Surface",0.04808146837343581,0.19570944404021512,0.059796598951494695,0.044220402157792604,1.0248363461636631,0.6511819001405698,0.03962706901241591,0.451036501058652,0.009807318954803341,0.48786071268897435,0.11872471173938526,10.134625453061767,1.2800377241971257,0.009896969910434967,0.04316209324902529,0.18688255764994013,0.0749380062916027,0.0375276891598385,0.08797006329234518,1.411170916326792,0.13758269770048964,0.36080764221174083,1.6195876171428043,2.3462,0.0,0.0,0.0014403634171669105,0.00012456130709390757,1.3756720801471638e-08,0.03262719308532966,2.3549,2.3634,2.3526,mca
