elec_steel_fab,elec_steel_rolling,steel_plate,steel_slab,elec_EAF,iron_forEAF,elec_DRI,natgas_DRI,elec_BOF,iron_forBOF,elec,coal,"fabrication, plate.wf","fabrication, plate.elec","fabrication, plate.trans_co2","rolling, slab.elec","rolling, slab.heat","steelmaking, electric arc furnace.scrap_pct","steelmaking, electric arc furnace.wf","steelmaking, electric arc furnace.kWh_EAF","steelmaking, electric arc furnace.trans_co2","ironmaking, direct reduction, MIDREX.co2_kg","ironmaking, direct reduction, MIDREX.elec","ironmaking, direct reduction, MIDREX.ng_mj","ironmaking, direct reduction, MIDREX.ore_kg","ironmaking, direct reduction, MIDREX.trans_co2","steelmaking, basic oxygen converter.elec","steelmaking, basic oxygen converter.scrap_pct","steelmaking, basic oxygen converter.wf","steelmaking, basic oxygen converter.co2_kg","ironmaking, blast furnace.elec","ironmaking, blast furnace.co2_kg",coking.co2_kg,sintering.co2_kg,zinc production.co2_kg,gwp,gwp_be,gep_bu,ap,ep,odp,pocp,gwp_AR5,gwp_EF2,gwp_CML,sim_type
"Electricity; at grid; consumption mix - Duke Energy Florida, Inc. - BA","Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","rolling, slab","steelmaking, electric arc furnace","Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA","ironmaking, blast furnace",Electricity; at grid; consumption mix - Tennessee Valley Authority - BA,natural gas extraction and processing - Piceance,"Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","ironmaking, blast furnace","Electricity; at grid; consumption mix - Duke Energy Florida, Inc. - BA","coal extraction and processing - Northern Appalachia, WC, Surface",0.07559350882668882,0.1846158764548019,0.04181432019609081,0.03953938743002371,0.9577331878668923,0.6807783748124138,0.04069152689614724,0.5342652294964008,0.010402302712657293,0.48488984400695057,0.11894236677963142,9.44550845200749,1.2672965858647562,0.010046370303403,0.02195755112159373,0.19428950129547182,0.07141873449201522,0.09023084517140773,0.052900803487176816,1.001176003737804,0.10969454164025175,0.37315510345865877,2.2529129473018785,1.5879,0.0,0.0,0.0022165301290937335,0.00014494140961844864,2.208880122418968e-08,0.04579507534492137,1.6178,1.6499,1.6131,mca
"Electricity; at grid; consumption mix - Duke Energy Florida, Inc. - BA","Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","rolling, slab","steelmaking, electric arc furnace","Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA","ironmaking, blast furnace",Electricity; at grid; consumption mix - Tennessee Valley Authority - BA,natural gas extraction and processing - Piceance,"Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","ironmaking, blast furnace","Electricity; at grid; consumption mix - Duke Energy Florida, Inc. - BA","coal extraction and processing - Northern Appalachia, WC, Surface",0.05319151841913663,0.1865740008969351,0.04183347070992443,0.0327122355734042,0.7805774393502649,0.7351036764212465,0.04323334211201056,0.45713898517093876,0.009798236677284782,0.4966955738397056,0.11771056561669015,9.931229713134474,1.2455716214589194,0.009961254679233082,0.02468508699026389,0.14280596408315577,0.0680109273724134,0.06366853351481576,0.10498031783205844,1.0669103567083598,0.12707835467690293,0.45020986538940927,1.5364055728217232,1.4224,0.0,0.0,0.0019551793276712057,0.00012911287242251153,2.0169606271957085e-08,0.04027641027465236,1.4475,1.4742,1.4433,mca
"Electricity; at grid; consumption mix - Duke Energy Florida, Inc. - BA","Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","rolling, slab","steelmaking, electric arc furnace","Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA","ironmaking, blast furnace",Electricity; at grid; consumption mix - Tennessee Valley Authority - BA,natural gas extraction and processing - Piceance,"Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","ironmaking, blast furnace","Electricity; at grid; consumption mix - Duke Energy Florida, Inc. - BA","coal extraction and processing - Northern Appalachia, WC, Surface",0.024634486076555863,0.18104182931445562,0.05500180016648782,0.03638008864853354,0.8966755699295944,0.699038280778144,0.012385748546838632,0.6423963720506987,0.00987621272607871,0.5268959907544787,0.11820771119109677,9.93675999024594,1.2642094901175447,0.01012199701720894,0.027938413039316375,0.15513177367828163,0.14395672986817049,0.08243291961391454,0.08751168803847742,1.0866861161464887,0.0977182950789773,0.33542420407221113,1.7440600595893068,1.5654,0.0,0.0,0.0022920647638996253,0.0001450929583882554,2.2634533300828444e-08,0.04682110932495696,1.5929,1.6222,1.5884,mca
"Electricity; at grid; consumption mix - Duke Energy Florida, Inc. - BA","Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","rolling, slab","steelmaking, electric arc furnace","Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA","ironmaking, blast furnace",Electricity; at grid; consumption mix - Tennessee Valley Authority - BA,natural gas extraction and processing - Piceance,"Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","ironmaking, blast furnace","Electricity; at grid; consumption mix - Duke Energy Florida, Inc. - BA","coal extraction and processing - Northern Appalachia, WC, Surface",0.04039055075579525,0.19322496826022206,0.052915212235934546,0.04286129592613824,0.8946871591182949,0.7280195336441196,0.031324138230087034,0.5528807032020152,0.009539244843656047,0.5055071152058133,0.11897878032535049,10.124587896208334,1.299855430799968,0.009575905729502395,0.037418036406055316,0.13291578372506227,0.10687836829856323,0.06562256509112765,0.09949080981263335,1.1026678193119772,0.09954355634264783,0.27404744554332966,1.2861695055655384,1.4664,0.0,0.0,0.0021537045376061477,0.0001384663934550732,2.156793396710479e-08,0.04424727563836465,1.4924,1.52,1.488,mca
"Electricity; at grid; consumption mix - Duke Energy Florida, Inc. - BA","Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","rolling, slab","steelmaking, electric arc furnace","Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA","ironmaking, blast furnace",Electricity; at grid; consumption mix - Tennessee Valley Authority - BA,natural gas extraction and processing - Piceance,"Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","ironmaking, blast furnace","Electricity; at grid; consumption mix - Duke Energy Florida, Inc. - BA","coal extraction and processing - Northern Appalachia, WC, Surface",0.0602445478357872,0.18188849113957806,0.05813467156113346,0.040039758032672845,0.882818130521468,0.6809660009314762,0.016585392349024262,0.5823261082805261,0.009719521610758359,0.4848545501389319,0.11894281218223379,9.824125698191185,1.267295575947555,0.010226651190684227,0.04255522615118788,0.17148692576719504,0.08260149284933786,0.07026570951762895,0.051218716343451175,1.1941191976269379,0.15771604916206092,0.2923165469420435,2.297243524965404,1.6401,0.0,0.0,0.002259512719225606,0.0001457072933734369,2.249088801406098e-08,0.046361870568357444,1.6693,1.7005,1.6646,mca
"Electricity; at grid; consumption mix - Duke Energy Florida, Inc. - BA","Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","rolling, slab","steelmaking, electric arc furnace","Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA","ironmaking, blast furnace",Electricity; at grid; consumption mix - Tennessee Valley Authority - BA,natural gas extraction and processing - Piceance,"Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","ironmaking, blast furnace","Electricity; at grid; consumption mix - Duke Energy Florida, Inc. - BA","coal extraction and processing - Northern Appalachia, WC, Surface",0.04878846086843513,0.16916612838665104,0.05365546377546162,0.03326676803929722,0.8483952544967783,0.6976450554173531,0.022897367105227745,0.5637603210570037,0.009704169528341085,0.5242848387628493,0.12268697331130904,9.573326713231452,1.2368868560051383,0.010080070895676618,0.02550267662696449,0.21235102635777298,0.07345621224917531,0.09757627143626386,0.05775811937192836,1.101430760246892,0.140000911340135,0.386627001917093,2.2136164890436554,1.5587,0.0,0.0,0.00215927744738352,0.00013967331990949006,2.1762283610906546e-08,0.04424002071414057,1.5863,1.6158,1.5818,mca
"Electricity; at grid; consumption mix - Duke Energy Florida, Inc. - BA","Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","rolling, slab","steelmaking, electric arc furnace","Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA","ironmaking, blast furnace",Electricity; at grid; consumption mix - Tennessee Valley Authority - BA,natural gas extraction and processing - Piceance,"Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","ironmaking, blast furnace","Electricity; at grid; consumption mix - Duke Energy Florida, Inc. - BA","coal extraction and processing - Northern Appalachia, WC, Surface",0.05328873887825211,0.16974674652013413,0.041003368468114525,0.039599701821515385,0.8162573581118014,0.6362086989004645,0.027901796882757318,0.6256417020939127,0.00972255783960655,0.4949381818767622,0.12488735016556446,10.121915596145557,1.303441659047844,0.009567087566621012,0.029069900991246615,0.15488067381071502,0.090891659303437,0.059939578542322444,0.07645936457785299,1.0248525208202217,0.12879405128126414,0.2860536198557867,1.6016993060415217,1.6721,0.0,0.0,0.002369796873152943,0.0001523512005193373,2.3319822706140672e-08,0.04835139533145837,1.7044,1.7391,1.6993,mca
"Electricity; at grid; consumption mix - Duke Energy Florida, Inc. - BA","Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","rolling, slab","steelmaking, electric arc furnace","Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA","ironmaking, blast furnace",Electricity; at grid; consumption mix - Tennessee Valley Authority - BA,natural gas extraction and processing - Piceance,"Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","ironmaking, blast furnace","Electricity; at grid; consumption mix - Duke Energy Florida, Inc. - BA","coal extraction and processing - Northern Appalachia, WC, Surface",0.060077538489445054,0.1796975463263819,0.04619708119028218,0.039194888498180536,0.8425507907716245,0.5761581274092673,0.03500895108980206,0.6275822274675766,0.01038327321072081,0.5307595662931972,0.11932112428935591,9.45878155979609,1.2818188556012942,0.01012331240291166,0.044048770123740366,0.27756401918265183,0.1145721154971432,0.0907222570017977,0.07590340507447282,0.9344150621915158,0.13544400581664895,0.49334062552216423,2.0775103160997808,1.8949,0.0,0.0,0.0024760386571667037,0.00016066629908941877,2.3951290981186764e-08,0.05073185444333962,1.9315,1.9712,1.926,mca
"Electricity; at grid; consumption mix - Duke Energy Florida, Inc. - BA","Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","rolling, slab","steelmaking, electric arc furnace","Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA","ironmaking, blast furnace",Electricity; at grid; consumption mix - Tennessee Valley Authority - BA,natural gas extraction and processing - Piceance,"Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","ironmaking, blast furnace","Electricity; at grid; consumption mix - Duke Energy Florida, Inc. - BA","coal extraction and processing - Northern Appalachia, WC, Surface",0.026906043576428493,0.18725095160199617,0.055942404942608395,0.037086404499978694,0.7468617941979645,0.7568672429244915,0.012199078102364877,0.5827229821810953,0.010110914320000818,0.5191132545118851,0.12452390171190744,10.182389984617874,1.274578650836083,0.01025956949038866,0.04571909283418657,0.18059288332705037,0.12347281804166814,0.06746317602070376,0.0724644885546132,1.0010640774231132,0.12914885110471402,0.3355014849557171,1.6727976867710765,1.3781,0.0,0.0,0.0021063906729246774,0.0001337270047239649,2.1424856711292277e-08,0.04290170055768358,1.4015,1.4261,1.3974,mca
"Electricity; at grid; consumption mix - Electric Reliability Council of Texas, Inc. - BA","Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","rolling, slab","steelmaking, basic oxygen converter",Electricity; at grid; consumption mix - Duke Energy Carolinas - BA,"ironmaking, blast furnace",Electricity; at grid; consumption mix - Public Service Company of New Mexico - BA,natural gas extraction and processing - Strawn,"Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","ironmaking, blast furnace",Electricity; at grid; consumption mix - Florida Power & Light Co. - BA,"coal extraction and processing - Central Appalachia, BIT, Underground",0.02956752667497005,0.17022798125732597,0.05880348230124163,0.04306823607939851,0.7953668656097651,0.5913750148900269,0.0472706175210266,0.5871639049520931,0.009924221706885937,0.5221631713373661,0.1230324615485662,10.014604996108792,1.24773553718142,0.009582449912363084,0.03224327279777178,0.18800431576782514,0.0642786741134499,0.07848302185926158,0.05102076637525312,1.0919110899924587,0.12419548134551278,0.40169713608109386,1.1469670222736543,2.2311,0.0,0.0,0.0015258402686758649,0.000128904683476181,1.140781173093982e-08,0.035537277360819367,2.276,2.3258,2.2704,mca
