elec_steel_fab,elec_steel_rolling,steel_plate,steel_slab,elec_EAF,iron_forEAF,elec_DRI,natgas_DRI,elec_BOF,iron_forBOF,elec,coal,"fabrication, plate.wf","fabrication, plate.elec","fabrication, plate.trans_co2","rolling, slab.elec","rolling, slab.heat","steelmaking, electric arc furnace.scrap_pct","steelmaking, electric arc furnace.wf","steelmaking, electric arc furnace.kWh_EAF","steelmaking, electric arc furnace.trans_co2","ironmaking, direct reduction, MIDREX.co2_kg","ironmaking, direct reduction, MIDREX.elec","ironmaking, direct reduction, MIDREX.ng_mj","ironmaking, direct reduction, MIDREX.ore_kg","ironmaking, direct reduction, MIDREX.trans_co2","steelmaking, basic oxygen converter.elec","steelmaking, basic oxygen converter.scrap_pct","steelmaking, basic oxygen converter.wf","steelmaking, basic oxygen converter.co2_kg","ironmaking, blast furnace.elec","ironmaking, blast furnace.co2_kg",coking.co2_kg,sintering.co2_kg,zinc production.co2_kg,gwp,gwp_be,gep_bu,ap,ep,odp,pocp,gwp_AR5,gwp_EF2,gwp_CML,sim_type
"Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA",Electricity; at grid; consumption mix - Duke Energy Carolinas - BA,"rolling, slab","steelmaking, electric arc furnace",Electricity; at grid; consumption mix - Ohio Valley Electric Corporation - BA,"ironmaking, blast furnace",Electricity; at grid; consumption mix - Salt River Project Agricultural Improvement and Power District - BA,natural gas extraction and processing - Strawn,"Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","ironmaking, blast furnace",Electricity; at grid; consumption mix - Ohio Valley Electric Corporation - BA,"coal extraction and processing - Rocky Mountain, SUB, Surface",0.022118030222663572,0.1733646628601444,0.05327993940722324,0.041357951899083,0.9631672179811952,0.704852869930696,0.029495148801024385,0.5220990009229792,0.009852821741001813,0.517377305677249,0.12035699135922166,10.166534364135108,1.2765851064028062,0.010010095069902398,0.029551335814121036,0.15268474004892044,0.057418949004213696,0.0939396712606842,0.08373095321637927,1.1100683414190506,0.10403567019038028,0.28516154500884233,1.5292138962911765,1.5852,0.0,0.0,0.0022409475755640926,0.00012152560648583695,2.3151736559559507e-08,0.04355509681843329,1.5938,1.6217,1.5937,mca
"Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA",Electricity; at grid; consumption mix - Duke Energy Carolinas - BA,"rolling, slab","steelmaking, electric arc furnace",Electricity; at grid; consumption mix - Ohio Valley Electric Corporation - BA,"ironmaking, blast furnace",Electricity; at grid; consumption mix - Salt River Project Agricultural Improvement and Power District - BA,natural gas extraction and processing - Strawn,"Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","ironmaking, blast furnace",Electricity; at grid; consumption mix - Ohio Valley Electric Corporation - BA,"coal extraction and processing - Rocky Mountain, SUB, Surface",0.031052097531469786,0.17575176867562067,0.041509012397051445,0.04470006479310039,0.8728961960498747,0.7099367017902029,0.02580961452652588,0.42526317777700484,0.009644770662366058,0.49898034851861905,0.12482893713286354,9.471173703606823,1.3292730185212156,0.009551744644133928,0.023113968085350763,0.15181397368351315,0.11123628507059669,0.10107015579101707,0.04677743341680751,1.2969222671507004,0.14152795376070448,0.4425702638320695,1.3456367592590113,1.5639,0.0,0.0,0.0020050854918791613,0.00011181628735219613,2.0821864019795076e-08,0.03911124940102069,1.5716,1.5965,1.5715,mca
"Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA",Electricity; at grid; consumption mix - Duke Energy Carolinas - BA,"rolling, slab","steelmaking, electric arc furnace",Electricity; at grid; consumption mix - Ohio Valley Electric Corporation - BA,"ironmaking, blast furnace",Electricity; at grid; consumption mix - Salt River Project Agricultural Improvement and Power District - BA,natural gas extraction and processing - Strawn,"Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","ironmaking, blast furnace",Electricity; at grid; consumption mix - Ohio Valley Electric Corporation - BA,"coal extraction and processing - Rocky Mountain, SUB, Surface",0.07376352531845823,0.15957845149666278,0.0549609493087792,0.03434512708393301,0.894731037267922,0.650218284304842,0.014393923649109155,0.5153720060423809,0.009638052735945937,0.5024747580839468,0.11997095010090035,9.763085470734865,1.2787054871053607,0.010296782763885178,0.02867449130567574,0.14665961756390006,0.11044070296357948,0.0572725257449386,0.08068954478008239,1.0189291708004493,0.11702228808323398,0.2818359203109775,1.484520662804564,1.6995,0.0,0.0,0.002356994920558042,0.0001296000555462962,2.4390478882107214e-08,0.04586946094130388,1.7085,1.7379,1.7085,mca
"Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA",Electricity; at grid; consumption mix - Duke Energy Carolinas - BA,"rolling, slab","steelmaking, electric arc furnace",Electricity; at grid; consumption mix - Ohio Valley Electric Corporation - BA,"ironmaking, blast furnace",Electricity; at grid; consumption mix - Salt River Project Agricultural Improvement and Power District - BA,natural gas extraction and processing - Strawn,"Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","ironmaking, blast furnace",Electricity; at grid; consumption mix - Ohio Valley Electric Corporation - BA,"coal extraction and processing - Rocky Mountain, SUB, Surface",0.06495822670388995,0.18945318116036497,0.055848860820503596,0.04375445144492631,0.8272966001607793,0.7037154041331599,0.039308098520790015,0.5053071972628237,0.010069377181444595,0.4919964696355704,0.11841423886205266,9.740350115066988,1.2880566550968673,0.009688752584894853,0.030311805614847937,0.14942610834725156,0.08546362524409913,0.07327275882690928,0.07954770983267806,1.1115476155838597,0.13481035121721263,0.4852480284588891,1.3672509021473165,1.711,0.0,0.0,0.002291133160060935,0.00012466927748043527,2.378861600391736e-08,0.04431370695570533,1.7197,1.7481,1.7197,mca
"Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA",Electricity; at grid; consumption mix - Duke Energy Carolinas - BA,"rolling, slab","steelmaking, electric arc furnace",Electricity; at grid; consumption mix - Ohio Valley Electric Corporation - BA,"ironmaking, blast furnace",Electricity; at grid; consumption mix - Salt River Project Agricultural Improvement and Power District - BA,natural gas extraction and processing - Strawn,"Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","ironmaking, blast furnace",Electricity; at grid; consumption mix - Ohio Valley Electric Corporation - BA,"coal extraction and processing - Rocky Mountain, SUB, Surface",0.04407324215345674,0.2018687405679831,0.04443948426251925,0.03923051754267272,0.8709522115599714,0.6881858450440254,0.04116364236981778,0.6243197261190073,0.010061948952318624,0.531859134844769,0.11613815378125221,9.612661771310712,1.3608874190507407,0.010115224195212205,0.02836116658686884,0.14456292435084667,0.05494065385151389,0.03202676797301372,0.07430671943395806,1.0802257341528831,0.1349379211598838,0.31450846867857074,1.994389301187907,1.7824,0.0,0.0,0.002566888860539162,0.00013590541080455923,2.6556913163473398e-08,0.049392067094963896,1.7921,1.8241,1.7922,mca
"Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA",Electricity; at grid; consumption mix - Duke Energy Carolinas - BA,"rolling, slab","steelmaking, electric arc furnace",Electricity; at grid; consumption mix - Ohio Valley Electric Corporation - BA,"ironmaking, blast furnace",Electricity; at grid; consumption mix - Salt River Project Agricultural Improvement and Power District - BA,natural gas extraction and processing - Strawn,"Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","ironmaking, blast furnace",Electricity; at grid; consumption mix - Ohio Valley Electric Corporation - BA,"coal extraction and processing - Rocky Mountain, SUB, Surface",0.07209432471989716,0.1920379208193458,0.054012981345048644,0.04309341068742438,0.8071915768010199,0.6739159976562462,0.022589810601779715,0.596691921793025,0.009758598993344103,0.4947642533945425,0.12420026442113886,9.547823723852828,1.2431008284801184,0.009758108339845875,0.03162001977662891,0.15432201294042916,0.11656514800213123,0.07506858529773525,0.07383730426825824,1.1714120100152299,0.1288770080406439,0.25816060613580655,1.5167099763197065,1.8188,0.0,0.0,0.002555411784252,0.0001364656661355231,2.6538332342432533e-08,0.04918627009054583,1.8285,1.8602,1.8285,mca
"Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA",Electricity; at grid; consumption mix - Duke Energy Carolinas - BA,"rolling, slab","steelmaking, electric arc furnace",Electricity; at grid; consumption mix - Ohio Valley Electric Corporation - BA,"ironmaking, blast furnace",Electricity; at grid; consumption mix - Salt River Project Agricultural Improvement and Power District - BA,natural gas extraction and processing - Strawn,"Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","ironmaking, blast furnace",Electricity; at grid; consumption mix - Ohio Valley Electric Corporation - BA,"coal extraction and processing - Rocky Mountain, SUB, Surface",0.06963987823178469,0.18947672363676313,0.057619045584317394,0.0338104813202111,0.9125131776880471,0.5998909722854456,0.04719344132403802,0.6247341210461184,0.009622947348361216,0.49390110884708294,0.11871014428191214,9.774966538548174,1.3152655091880519,0.009841094623901644,0.033887563789544696,0.14821281552452856,0.11040147610674295,0.05206540280693858,0.061882992670682216,1.1159296474118725,0.11779899017729344,0.2508647870138682,1.9192349935085617,1.9898,0.0,0.0,0.0027145387411932464,0.00014695494503722754,2.7847962447994902e-08,0.05259804986052162,2.0002,2.034,2.0002,mca
"Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA",Electricity; at grid; consumption mix - Duke Energy Carolinas - BA,"rolling, slab","steelmaking, electric arc furnace",Electricity; at grid; consumption mix - Ohio Valley Electric Corporation - BA,"ironmaking, blast furnace",Electricity; at grid; consumption mix - Salt River Project Agricultural Improvement and Power District - BA,natural gas extraction and processing - Strawn,"Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","ironmaking, blast furnace",Electricity; at grid; consumption mix - Ohio Valley Electric Corporation - BA,"coal extraction and processing - Rocky Mountain, SUB, Surface",0.05307913195054204,0.1935347842368404,0.05929825357071154,0.04026121874146559,0.8961489501676057,0.6812689129901336,0.010996240498330447,0.43870590793435016,0.010264347564441464,0.5034979651040556,0.11840134621290818,10.017459444567244,1.3451858645524444,0.009821178478745684,0.02554385259233648,0.15437312112774784,0.07223192940132217,0.0492385827170662,0.054691802286697205,1.1611612416261092,0.1243296433352505,0.26436728259039793,1.4157514472616954,1.5812,0.0,0.0,0.002125715405849663,0.00011861847935887141,2.191238904050971e-08,0.04146672596085964,1.5894,1.6158,1.5894,mca
"Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA",Electricity; at grid; consumption mix - Duke Energy Carolinas - BA,"rolling, slab","steelmaking, electric arc furnace",Electricity; at grid; consumption mix - Ohio Valley Electric Corporation - BA,"ironmaking, blast furnace",Electricity; at grid; consumption mix - Salt River Project Agricultural Improvement and Power District - BA,natural gas extraction and processing - Strawn,"Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","ironmaking, blast furnace",Electricity; at grid; consumption mix - Ohio Valley Electric Corporation - BA,"coal extraction and processing - Rocky Mountain, SUB, Surface",0.07449689835476213,0.16943600700802247,0.053092319257899534,0.03573260894252863,0.7581423671569509,0.7537240399936582,0.014096183645501529,0.548172795997556,0.010217493019630822,0.4892864781395296,0.11423128785394607,9.76587232064729,1.2550342277280437,0.009837876314333848,0.02912074125155871,0.14183931623458917,0.11874527239302073,0.07377072975026126,0.04573725918422289,1.2324887174178976,0.1101574134426555,0.524944568066454,1.4567650497021953,1.6661,0.0,0.0,0.002302044595906099,0.00012185062377176973,2.4348645895419305e-08,0.04419924672625353,1.6749,1.7034,1.6749,mca
Electricity; at grid; consumption mix - Duke Energy Progress East - BA,Electricity; at grid; consumption mix - Duke Energy Progress East - BA,"rolling, slab","steelmaking, basic oxygen converter","Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA","ironmaking, blast furnace",Electricity; at grid; consumption mix - Public Service Company of New Mexico - BA,natural gas extraction and processing - San Juan,Electricity; at grid; consumption mix - Southwest Power Pool - BA,"ironmaking, blast furnace",Electricity; at grid; consumption mix - Arizona Public Service Company - BA,"coal extraction and processing - West/Northwest, BIT, Underground",0.06812834832319924,0.1922231226297526,0.04388561291515687,0.03915703922422221,0.8741178023030661,0.8192972178603438,0.039908382915713005,0.5010311588416496,0.00961740773908457,0.506690082442713,0.125414791236053,10.115404296569363,1.3419544635726028,0.009715482361114905,0.0391005437107859,0.14422254225590023,0.13293874579148598,0.06760191555464695,0.07510988208184699,1.17890846817681,0.12805790704876643,0.35337633553007297,2.110061382744618,2.3568,0.0,0.0,0.0016255715792729206,0.00013488090674327908,1.2065405942701283e-08,0.04010959194712523,2.3617,2.3757,2.3611,mca
