elec_steel_fab,elec_steel_rolling,steel_plate,steel_slab,elec_EAF,iron_forEAF,elec_DRI,natgas_DRI,elec_BOF,iron_forBOF,elec,coal,"fabrication, plate.wf","fabrication, plate.elec","fabrication, plate.trans_co2","rolling, slab.elec","rolling, slab.heat","steelmaking, electric arc furnace.scrap_pct","steelmaking, electric arc furnace.wf","steelmaking, electric arc furnace.kWh_EAF","steelmaking, electric arc furnace.trans_co2","ironmaking, direct reduction, MIDREX.co2_kg","ironmaking, direct reduction, MIDREX.elec","ironmaking, direct reduction, MIDREX.ng_mj","ironmaking, direct reduction, MIDREX.ore_kg","ironmaking, direct reduction, MIDREX.trans_co2","steelmaking, basic oxygen converter.elec","steelmaking, basic oxygen converter.scrap_pct","steelmaking, basic oxygen converter.wf","steelmaking, basic oxygen converter.co2_kg","ironmaking, blast furnace.elec","ironmaking, blast furnace.co2_kg",coking.co2_kg,sintering.co2_kg,zinc production.co2_kg,gwp,gwp_be,gep_bu,ap,ep,odp,pocp,gwp_AR5,gwp_EF2,gwp_CML,sim_type
"Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","Electricity; at grid; consumption mix - Electric Reliability Council of Texas, Inc. - BA","rolling, slab","steelmaking, basic oxygen converter","Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","ironmaking, direct reduction, MIDREX","Electricity; at grid; consumption mix - Southern Company Services, Inc. - Trans - BA",natural gas extraction and processing - Appalachian,Electricity; at grid; consumption mix - California Independent System Operator - BA,"ironmaking, blast furnace",Electricity; at grid; consumption mix - Southwest Power Pool - BA,"coal extraction and processing - Northern Appalachia, BIT, Underground",0.05668507265471297,0.17387123851955733,0.0473944417785264,0.03711492933916354,0.8813582504018572,0.5877720684061779,0.04525371415926108,0.4924697787873415,0.00991518192932291,0.5138729621274577,0.12028948324189187,10.03496377905052,1.2979555072627298,0.009566069803915063,0.027566391425494864,0.18551754418529637,0.11929775253378506,0.05705668527140858,0.10953101583188835,1.0204304864723037,0.1158305491977073,0.2681166193271956,1.9071176729772037,2.3022,0.0,0.0,0.0017244351450219526,0.00013793020421733892,1.5103770201196603e-08,0.03754674150881179,2.368,2.4418,2.3604,mca
"Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","Electricity; at grid; consumption mix - Electric Reliability Council of Texas, Inc. - BA","rolling, slab","steelmaking, basic oxygen converter","Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","ironmaking, direct reduction, MIDREX","Electricity; at grid; consumption mix - Southern Company Services, Inc. - Trans - BA",natural gas extraction and processing - Appalachian,Electricity; at grid; consumption mix - California Independent System Operator - BA,"ironmaking, blast furnace",Electricity; at grid; consumption mix - Southwest Power Pool - BA,"coal extraction and processing - Northern Appalachia, BIT, Underground",0.06250406393352809,0.16731702203812637,0.048195478909491704,0.04379804610926273,0.8725440121193073,0.6064462967917535,0.016102580885364655,0.5748301823874105,0.01045083239546508,0.5253841064689003,0.12407273553139442,9.846385868667225,1.2562187031646852,0.009618505594005617,0.03238207542963138,0.21238625797836266,0.1106609026149951,0.07368910391637745,0.05374698092125135,0.8687824192373913,0.13781971259436893,0.29297145417096304,2.160543557728145,2.1161,0.0,0.0,0.0016540707103712949,0.00013231344242305428,1.4822007966897844e-08,0.0353110839826576,2.1794,2.2503,2.1721,mca
"Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","Electricity; at grid; consumption mix - Electric Reliability Council of Texas, Inc. - BA","rolling, slab","steelmaking, basic oxygen converter","Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","ironmaking, direct reduction, MIDREX","Electricity; at grid; consumption mix - Southern Company Services, Inc. - Trans - BA",natural gas extraction and processing - Appalachian,Electricity; at grid; consumption mix - California Independent System Operator - BA,"ironmaking, blast furnace",Electricity; at grid; consumption mix - Southwest Power Pool - BA,"coal extraction and processing - Northern Appalachia, BIT, Underground",0.053261445540422156,0.18990957968998334,0.059498409991696644,0.038045354165753,0.815616341744189,0.7522434062323377,0.017599433250796968,0.5680655966893147,0.009716917745169763,0.4841618252232307,0.12141122439840468,10.324467948127847,1.2612528237841012,0.009995176719859786,0.030306368644100957,0.19423461820611032,0.09135945784171236,0.07241940644688372,0.09746181371975199,1.2995059286733863,0.13122944335343023,0.33537801676209866,2.087551670694988,2.5762,0.0,0.0,0.0016845157485126329,0.00013410627025631051,1.4927127327546045e-08,0.03631909799218925,2.6396,2.7106,2.6323,mca
"Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","Electricity; at grid; consumption mix - Electric Reliability Council of Texas, Inc. - BA","rolling, slab","steelmaking, basic oxygen converter","Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","ironmaking, direct reduction, MIDREX","Electricity; at grid; consumption mix - Southern Company Services, Inc. - Trans - BA",natural gas extraction and processing - Appalachian,Electricity; at grid; consumption mix - California Independent System Operator - BA,"ironmaking, blast furnace",Electricity; at grid; consumption mix - Southwest Power Pool - BA,"coal extraction and processing - Northern Appalachia, BIT, Underground",0.06784090681642563,0.18367432226933114,0.04507620030458892,0.03670441134276954,0.8106539839695076,0.6985109036617518,0.04456662382577017,0.5901483572947375,0.01040317167003701,0.5158614025797846,0.11549677448857469,10.346333209360314,1.3229750140359258,0.010060050450853794,0.03825023868793462,0.04966294500203685,0.14808827710495137,0.07261705413745265,0.07454758777378145,1.0011293748725025,0.13221729966435905,0.33895302156585644,1.3961499635358003,2.7512,0.0,0.0,0.0019223500250622973,0.00015457378105014372,1.654559827171047e-08,0.041165262389183714,2.8295,2.9175,2.8207,mca
"Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","Electricity; at grid; consumption mix - Electric Reliability Council of Texas, Inc. - BA","rolling, slab","steelmaking, basic oxygen converter","Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","ironmaking, direct reduction, MIDREX","Electricity; at grid; consumption mix - Southern Company Services, Inc. - Trans - BA",natural gas extraction and processing - Appalachian,Electricity; at grid; consumption mix - California Independent System Operator - BA,"ironmaking, blast furnace",Electricity; at grid; consumption mix - Southwest Power Pool - BA,"coal extraction and processing - Northern Appalachia, BIT, Underground",0.06973792723965226,0.18597842703456693,0.0590137431687468,0.04251424869822559,0.7281062977139855,0.8032464976636258,0.02219095577504325,0.42646708432330416,0.009994362954151167,0.4957837752893593,0.11540545031496624,9.446562907586582,1.3056937063496212,0.01048024111415406,0.03384461641129944,0.11387238008761351,0.06345979866035642,0.052838340100802045,0.08486229990320135,1.1833261369451862,0.1307127630156211,0.48229902484556164,1.7038542821224498,2.7997,0.0,0.0,0.001764611545340267,0.00014095522107412294,1.558013045057586e-08,0.03778648081584267,2.8681,2.9448,2.8602,mca
"Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","Electricity; at grid; consumption mix - Electric Reliability Council of Texas, Inc. - BA","rolling, slab","steelmaking, basic oxygen converter","Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","ironmaking, direct reduction, MIDREX","Electricity; at grid; consumption mix - Southern Company Services, Inc. - Trans - BA",natural gas extraction and processing - Appalachian,Electricity; at grid; consumption mix - California Independent System Operator - BA,"ironmaking, blast furnace",Electricity; at grid; consumption mix - Southwest Power Pool - BA,"coal extraction and processing - Northern Appalachia, BIT, Underground",0.0470185822599126,0.17695672758761283,0.04752521373072757,0.034371233897339364,0.9269340399075279,0.6564891880041537,0.01927884456252111,0.4730029550656579,0.01028652649907086,0.5241186377208696,0.11456894128372296,10.30972074685584,1.3328361964759539,0.009540845220852546,0.03139722910005329,0.20407475543998949,0.0672561306920645,0.05475112221848369,0.06870546565945646,0.9239026427283057,0.13411123788101814,0.3846981161464048,1.8549748621946258,2.1834,0.0,0.0,0.001614755859594589,0.0001289889411883773,1.4466687132909698e-08,0.03466993991882953,2.2443,2.3126,2.2373,mca
"Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","Electricity; at grid; consumption mix - Electric Reliability Council of Texas, Inc. - BA","rolling, slab","steelmaking, basic oxygen converter","Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","ironmaking, direct reduction, MIDREX","Electricity; at grid; consumption mix - Southern Company Services, Inc. - Trans - BA",natural gas extraction and processing - Appalachian,Electricity; at grid; consumption mix - California Independent System Operator - BA,"ironmaking, blast furnace",Electricity; at grid; consumption mix - Southwest Power Pool - BA,"coal extraction and processing - Northern Appalachia, BIT, Underground",0.07428141346809203,0.20805278338803784,0.040700603711385896,0.03276905121616065,0.9871082126972258,0.7056403742067304,0.04955561683321775,0.5117052866821958,0.00962213195070118,0.5020374787609457,0.1183111255651136,9.61232032824042,1.2524036385800599,0.010350882617388929,0.02310549455805254,0.24703704233824264,0.14880213094483283,0.06219041606846375,0.08091247126121642,1.0512049217943598,0.14048413396139442,0.32288990398475537,1.7309874511302255,2.3453,0.0,0.0,0.0017174049962281317,0.00013630659123753283,1.5152472291907866e-08,0.0370002411262711,2.4092,2.4809,2.4018,mca
"Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","Electricity; at grid; consumption mix - Electric Reliability Council of Texas, Inc. - BA","rolling, slab","steelmaking, basic oxygen converter","Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","ironmaking, direct reduction, MIDREX","Electricity; at grid; consumption mix - Southern Company Services, Inc. - Trans - BA",natural gas extraction and processing - Appalachian,Electricity; at grid; consumption mix - California Independent System Operator - BA,"ironmaking, blast furnace",Electricity; at grid; consumption mix - Southwest Power Pool - BA,"coal extraction and processing - Northern Appalachia, BIT, Underground",0.062393321105493435,0.16707879018768274,0.052163229283233706,0.033631366350942576,1.0187432313957756,0.7546818088890275,0.030058201412705578,0.5110931148116291,0.009919835704925703,0.48901880006127624,0.11728342602025095,9.881368003803267,1.2720216134921274,0.009563656503554249,0.03327835016320889,0.1547566897952759,0.06973536705209671,0.05855628428533993,0.08064730270750103,0.8974435792628902,0.11682822028117995,0.38318117453258593,1.7477935657372026,2.3004,0.0,0.0,0.001706209134854322,0.00013685745016989902,1.499827826696201e-08,0.037009994565309685,2.366,2.4395,2.3584,mca
"Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","Electricity; at grid; consumption mix - Electric Reliability Council of Texas, Inc. - BA","rolling, slab","steelmaking, basic oxygen converter","Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","ironmaking, direct reduction, MIDREX","Electricity; at grid; consumption mix - Southern Company Services, Inc. - Trans - BA",natural gas extraction and processing - Appalachian,Electricity; at grid; consumption mix - California Independent System Operator - BA,"ironmaking, blast furnace",Electricity; at grid; consumption mix - Southwest Power Pool - BA,"coal extraction and processing - Northern Appalachia, BIT, Underground",0.030559636380342606,0.15777951128932108,0.05541481490669518,0.04416490261893006,0.8459574017116043,0.6150577136371459,0.049260031772219666,0.6079766842964253,0.00966908262462177,0.5286121336280094,0.12310576073171192,9.431928352277781,1.323280619701105,0.010180673879664308,0.025242762745285093,0.06001839411626046,0.14637318397222035,0.07050424854310383,0.06270272692398558,1.341376153119437,0.13318440214295713,0.36743788304789804,1.4439960332971917,3.0446,0.0,0.0,0.0018265185779995877,0.00014714179741166322,1.5767685485855397e-08,0.03909543743241288,3.1192,3.203,3.1107,mca
"Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA","Electricity; at grid; consumption mix - Electric Reliability Council of Texas, Inc. - BA","rolling, slab","steelmaking, basic oxygen converter",Electricity; at grid; consumption mix - Bonneville Power Administration - BA,"ironmaking, direct reduction, MIDREX",Electricity; at grid; consumption mix - New York Independent System Operator - BA,natural gas extraction and processing - Appalachian,"Electricity; at grid; consumption mix - Electric Reliability Council of Texas, Inc. - BA","ironmaking, blast furnace",Electricity; at grid; consumption mix - Western Area Power Administration - Desert Southwest Region - BA,"coal extraction and processing - West/Northwest, BIT, Surface",0.053361083801075106,0.19818249383818792,0.04106493442132319,0.04459038178993951,0.8493345624536253,0.6775975912145461,0.013430424517122747,0.4328546041564071,0.009758291648363488,0.4956700387599424,0.11725490706835859,10.268186411891547,1.3648547168303482,0.010447960985486681,0.03789580769826916,0.10326405437294753,0.12257879962544362,0.06111155975968898,0.07637762521470595,1.0829633225715056,0.11009187935255141,0.3507643488662625,1.80112105075036,2.2933,0.0,0.0,0.0016950165540407975,0.0001420020983324044,1.493288578000315e-08,0.04009166520904655,2.3025,2.3114,2.3,mca
