elec_steel_fab,elec_steel_rolling,steel_plate,steel_slab,elec_EAF,iron_forEAF,elec_DRI,natgas_DRI,elec_BOF,iron_forBOF,elec,coal,"fabrication, plate.wf","fabrication, plate.elec","fabrication, plate.trans_co2","rolling, slab.elec","rolling, slab.heat","steelmaking, electric arc furnace.scrap_pct","steelmaking, electric arc furnace.wf","steelmaking, electric arc furnace.kWh_EAF","steelmaking, electric arc furnace.trans_co2","ironmaking, direct reduction, MIDREX.co2_kg","ironmaking, direct reduction, MIDREX.elec","ironmaking, direct reduction, MIDREX.ng_mj","ironmaking, direct reduction, MIDREX.ore_kg","ironmaking, direct reduction, MIDREX.trans_co2","steelmaking, basic oxygen converter.elec","steelmaking, basic oxygen converter.scrap_pct","steelmaking, basic oxygen converter.wf","steelmaking, basic oxygen converter.co2_kg","ironmaking, blast furnace.elec","ironmaking, blast furnace.co2_kg",coking.co2_kg,sintering.co2_kg,zinc production.co2_kg,gwp,gwp_be,gep_bu,ap,ep,odp,pocp,gwp_AR5,gwp_EF2,gwp_CML,sim_type
"Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA",Electricity; at grid; consumption mix - Southwest Power Pool - BA,"rolling, slab","steelmaking, basic oxygen converter","Electricity; at grid; consumption mix - Gila River Power, LLC - BA","ironmaking, blast furnace","Electricity; at grid; consumption mix - Electric Reliability Council of Texas, Inc. - BA",natural gas extraction and processing - East Texas,Electricity; at grid; consumption mix - Duke Energy Carolinas - BA,"ironmaking, blast furnace","Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA","coal extraction and processing - Central Appalachia, BIT, Processing",0.03407555331314002,0.17860220276522318,0.048283030769542074,0.041978863862275,0.8643052505651259,0.6601476892723515,0.04559869922090289,0.5219885276224058,0.010084139828099825,0.5049642180384393,0.11868720301447473,9.658513301438113,1.3131443373225293,0.010060472885213662,0.03890937887427605,0.13999459719874022,0.1481882221729715,0.08220505132160112,0.09005944295052194,1.059468752735877,0.15060448495549109,0.28342809667415836,1.0790092417085715,2.1739,0.0,0.0,0.0015524559256753472,0.00012728575497147993,1.6991934695055923e-08,0.03316816391753656,2.1797,2.1847,2.1776,mca
"Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA",Electricity; at grid; consumption mix - Southwest Power Pool - BA,"rolling, slab","steelmaking, basic oxygen converter","Electricity; at grid; consumption mix - Gila River Power, LLC - BA","ironmaking, blast furnace","Electricity; at grid; consumption mix - Electric Reliability Council of Texas, Inc. - BA",natural gas extraction and processing - East Texas,Electricity; at grid; consumption mix - Duke Energy Carolinas - BA,"ironmaking, blast furnace","Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA","coal extraction and processing - Central Appalachia, BIT, Processing",0.05723781593547863,0.2086670551443474,0.04065898073844822,0.032963817270286085,0.8714978033499665,0.5925071822673776,0.04193911374945207,0.5482036445550855,0.010332039518886907,0.49447425201369494,0.11642362155182488,10.024529030463794,1.2416484840551227,0.009566535982638966,0.02212274329068542,0.15299176126737604,0.14261859367819024,0.03141047199440915,0.08772986415412282,1.310981134694352,0.1376787051391779,0.3445986880675964,2.4744793941631653,2.5102,0.0,0.0,0.0016042342037137257,0.0001301131615464164,1.7482083931818713e-08,0.03421929808367708,2.5161,2.5214,2.514,mca
"Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA",Electricity; at grid; consumption mix - Southwest Power Pool - BA,"rolling, slab","steelmaking, basic oxygen converter","Electricity; at grid; consumption mix - Gila River Power, LLC - BA","ironmaking, blast furnace","Electricity; at grid; consumption mix - Electric Reliability Council of Texas, Inc. - BA",natural gas extraction and processing - East Texas,Electricity; at grid; consumption mix - Duke Energy Carolinas - BA,"ironmaking, blast furnace","Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA","coal extraction and processing - Central Appalachia, BIT, Processing",0.07686967623497264,0.192885830502262,0.05965252338855327,0.04440086069955698,0.7921673062049471,0.6002381836764934,0.04402242287877717,0.4154976907443353,0.009719851891863954,0.5188970460376486,0.1191881603458638,10.355752610476749,1.2891973940606722,0.010307896608297288,0.03258803584322845,0.19374288545407897,0.060261246084990595,0.07357244157274306,0.09556956560345009,1.363124812115178,0.12058154384333336,0.40917649951755625,1.9594212021116455,2.4326,0.0,0.0,0.0015221665079554996,0.00012257063641136795,1.6938920870573122e-08,0.032257585420101646,2.4383,2.4433,2.4362,mca
"Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA",Electricity; at grid; consumption mix - Southwest Power Pool - BA,"rolling, slab","steelmaking, basic oxygen converter","Electricity; at grid; consumption mix - Gila River Power, LLC - BA","ironmaking, blast furnace","Electricity; at grid; consumption mix - Electric Reliability Council of Texas, Inc. - BA",natural gas extraction and processing - East Texas,Electricity; at grid; consumption mix - Duke Energy Carolinas - BA,"ironmaking, blast furnace","Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA","coal extraction and processing - Central Appalachia, BIT, Processing",0.07449188690467838,0.198429309268667,0.05167606823730691,0.03439991770405236,1.0028204953289899,0.7122244463600528,0.032289990556014066,0.6310216590666924,0.010395385978071433,0.5131659522372745,0.11782402642471537,10.051998517609318,1.3351294913843663,0.01000620950818162,0.027998318702733966,0.21332474016696545,0.10909064306579705,0.05288778770290147,0.06616302409594585,1.0969900044763166,0.13283927695909414,0.3673767271884677,1.9299845634783843,2.1759,0.0,0.0,0.0015380079790651034,0.00012420548666539582,1.682912176783233e-08,0.033008855101760416,2.1819,2.1872,2.1798,mca
"Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA",Electricity; at grid; consumption mix - Southwest Power Pool - BA,"rolling, slab","steelmaking, basic oxygen converter","Electricity; at grid; consumption mix - Gila River Power, LLC - BA","ironmaking, blast furnace","Electricity; at grid; consumption mix - Electric Reliability Council of Texas, Inc. - BA",natural gas extraction and processing - East Texas,Electricity; at grid; consumption mix - Duke Energy Carolinas - BA,"ironmaking, blast furnace","Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA","coal extraction and processing - Central Appalachia, BIT, Processing",0.0424078268881503,0.20335063372341416,0.0559630462055872,0.03897162543097087,0.9765635925467808,0.7132989711839851,0.04849711897452363,0.5100488142698145,0.009758984124866591,0.5108195373021743,0.12384827768954267,10.095299691396262,1.2671958588157495,0.010368965620480716,0.028738778190958925,0.1775099086679664,0.058344635089592194,0.0904337303682647,0.057586071728047444,1.2207670673021567,0.15567859223739086,0.31918364782768016,1.714280875303233,2.1949,0.0,0.0,0.0015099702051389584,0.00012104946589462964,1.6507472417003298e-08,0.03227262030125298,2.2007,2.2058,2.1986,mca
"Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA",Electricity; at grid; consumption mix - Southwest Power Pool - BA,"rolling, slab","steelmaking, basic oxygen converter","Electricity; at grid; consumption mix - Gila River Power, LLC - BA","ironmaking, blast furnace","Electricity; at grid; consumption mix - Electric Reliability Council of Texas, Inc. - BA",natural gas extraction and processing - East Texas,Electricity; at grid; consumption mix - Duke Energy Carolinas - BA,"ironmaking, blast furnace","Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA","coal extraction and processing - Central Appalachia, BIT, Processing",0.04746846577825573,0.20479084184005353,0.049250764547766626,0.03997348338256654,0.8892300233431799,0.8299944534177321,0.03132507967328602,0.5024652163836326,0.010444225265940481,0.5027072931116595,0.12436025425607329,10.357840408554294,1.2714811413379163,0.009962405002604067,0.040338394623436906,0.2020399906549812,0.10762968534163625,0.0692880746898345,0.07193788253785723,1.1897201232324297,0.1154116093719924,0.2911518727772369,1.0682238236162263,2.147,0.0,0.0,0.0015265554817889006,0.0001225045578668797,1.6760674103473183e-08,0.032485305123972394,2.1528,2.1578,2.1507,mca
"Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA",Electricity; at grid; consumption mix - Southwest Power Pool - BA,"rolling, slab","steelmaking, basic oxygen converter","Electricity; at grid; consumption mix - Gila River Power, LLC - BA","ironmaking, blast furnace","Electricity; at grid; consumption mix - Electric Reliability Council of Texas, Inc. - BA",natural gas extraction and processing - East Texas,Electricity; at grid; consumption mix - Duke Energy Carolinas - BA,"ironmaking, blast furnace","Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA","coal extraction and processing - Central Appalachia, BIT, Processing",0.06624401966187728,0.17421094752040933,0.05658743869370013,0.03474442187190714,0.8948732723670088,0.6102107889263508,0.04771494329799893,0.5332318424450265,0.010460219707486786,0.5119608930881826,0.1252956821154769,10.11561355541137,1.2528734873889473,0.009630228695300832,0.03405377206052892,0.09993285088570657,0.13052677326605067,0.0904087211540724,0.05882658784102669,1.0163550688014438,0.11188238853030577,0.33818577161920615,1.36037352301287,2.2753,0.0,0.0,0.001578338075204444,0.0001310831148773959,1.7305993559373746e-08,0.033889790357109595,2.2811,2.2862,2.2789,mca
"Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA",Electricity; at grid; consumption mix - Southwest Power Pool - BA,"rolling, slab","steelmaking, basic oxygen converter","Electricity; at grid; consumption mix - Gila River Power, LLC - BA","ironmaking, blast furnace","Electricity; at grid; consumption mix - Electric Reliability Council of Texas, Inc. - BA",natural gas extraction and processing - East Texas,Electricity; at grid; consumption mix - Duke Energy Carolinas - BA,"ironmaking, blast furnace","Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA","coal extraction and processing - Central Appalachia, BIT, Processing",0.06363828703039971,0.17925548033376706,0.04493815981563036,0.03577450217160234,0.9018955771608205,0.6410033516419207,0.013166731326422992,0.5148676017867537,0.010302090838394652,0.4931821063515465,0.12326239794224368,10.330650504728728,1.2408866467471371,0.009915353910159757,0.04260813284310008,0.24375955302829072,0.08952673535894753,0.042573418496413634,0.06816093676288625,0.9168978927463074,0.12959493424952154,0.3775147070144468,1.2724293455837,1.8893,0.0,0.0,0.0014444007510159243,0.0001171072839987513,1.6102932436496863e-08,0.03087778529264706,1.8949,1.8998,1.8929,mca
"Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA",Electricity; at grid; consumption mix - Southwest Power Pool - BA,"rolling, slab","steelmaking, basic oxygen converter","Electricity; at grid; consumption mix - Gila River Power, LLC - BA","ironmaking, blast furnace","Electricity; at grid; consumption mix - Electric Reliability Council of Texas, Inc. - BA",natural gas extraction and processing - East Texas,Electricity; at grid; consumption mix - Duke Energy Carolinas - BA,"ironmaking, blast furnace","Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA","coal extraction and processing - Central Appalachia, BIT, Processing",0.06902044555718036,0.18091514737013645,0.05146147560706667,0.03562726625865576,0.8492782356557169,0.7187866635059381,0.02956489928307906,0.5651602889648425,0.009539085897773554,0.5128639260952141,0.12146549449494766,9.696772199291873,1.263369725321025,0.010364419228044807,0.018221806766419962,0.0367653380962896,0.10343215937611772,0.07762088096190585,0.06592912884522219,1.1432796132645633,0.1197625627781061,0.4060079619505574,1.3182900070796237,2.592,0.0,0.0,0.0016288622603082513,0.00013536052438531477,1.7802098381298162e-08,0.03488870788541649,2.5978,2.603,2.5957,mca
Electricity; at grid; consumption mix - Western Area Power Administration - Desert Southwest Region - BA,"Electricity; at grid; consumption mix - Southern Company Services, Inc. - Trans - BA","rolling, slab","steelmaking, basic oxygen converter","Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","ironmaking, direct reduction, MIDREX","Electricity; at grid; consumption mix - Southern Company Services, Inc. - Trans - BA",natural gas extraction and processing - Arkla,"Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA","ironmaking, blast furnace",Electricity; at grid; consumption mix - Florida Municipal Power Pool - BA,"coal extraction and processing - Central Appalachia, BIT, Surface",0.054164602871502786,0.22858052620831934,0.05177559684664074,0.035163450598574356,0.8718841778862076,0.78115973922971,0.0454814972250162,0.5166731273550422,0.009735196826850092,0.5165857660734527,0.11687178441220362,10.318108944433334,1.2882638965395847,0.010325744186256649,0.04487847921818652,0.05937774072781253,0.0982765274114493,0.058338424911050964,0.06238251644880698,0.9537402175370255,0.11960425177449177,0.4692389603459481,1.4917382009211209,2.4004,0.0,0.0,0.0017175763203096128,0.0002244901376327891,1.448063640675384e-08,0.04048392753573634,2.4111,2.422,2.4086,mca
