Category,e.open_xpd_uuid,label,Plant,Manufacturer,gwp.a1a2a3_mean,gwp.a1a2a3_unit,ap.a1a2a3_mean,ap.a1a2a3_unit,ep_marine.a1a2a3_mean,ep_marine.a1a2a3_unit,odp.a1a2a3_mean,odp.a1a2a3_unit,pocp.a1a2a3_mean,pocp.a1a2a3_unit,rgwp.method,source,geography
Concrete>>ReadyMix,EC3KUG3Q,"Central Concrete, Stockton (wet)",Stockton (wet),Central Concrete,439,kgCO2,1.38,kgSO2,0.55,kgN,0.000011,kgCFC11,30.7,kgO3,TRACI 2.1,Product EPDs,US
Concrete>>ReadyMix,EC3JHRAK,"Central Concrete, Stockton (wet)",Stockton (wet),Central Concrete,518,kgCO2,1.58,kgSO2,0.64,kgN,0.000013,kgCFC11,34.5,kgO3,TRACI 2.1,Product EPDs,US
Concrete>>ReadyMix,EC3AD3FB,"Concrete Supply Co., North",North,Concrete Supply Co.,273,kgCO2,0.84,kgSO2,0.34,kgN,0.0000067,kgCFC11,17.9,kgO3,TRACI 2.1,Product EPDs,US
Concrete>>ReadyMix,EC3J05PG,"Central Concrete, South San Francisco",South San Francisco,Central Concrete,348,kgCO2e,1.82,kgSO2e,2001,kgNe,0.0000095,kgCFC11e,43.6,kgO3e,TRACI 2.1,Product EPDs,US
Concrete>>ReadyMix,EC3G4K9P,"Central Concrete, Stockton (wet)",Stockton (wet),Central Concrete,255,kgCO2,0.99,kgSO2,0.32,kgN,0.0000064,kgCFC11,22.1,kgO3,TRACI 2.1,Product EPDs,US
Concrete>>ReadyMix,EC3XKDPC,"Central Concrete, Queens Lane (wet)",Queens Lane (wet),Central Concrete,257,kgCO2,1.03,kgSO2,0.33,kgN,0.0000065,kgCFC11,23.3,kgO3,TRACI 2.1,Product EPDs,US
Concrete>>ReadyMix,EC30PQ2E,"CEMEX, Pier 92 Amador",Pier 92 Amador,CEMEX,281,kgCO2,1.58,kgSO2,0.33,kgN,0.00001,kgCFC11,32.5,kgO3,TRACI 2.1,Product EPDs,US
Concrete>>ReadyMix,EC3WJJRQ,"CEMEX, Berkeley",Berkeley,CEMEX,289,kgCO2,1.56,kgSO2,0.39,kgN,0.0000082,kgCFC11,35.4,kgO3,TRACI 2.1,Product EPDs,US
Concrete>>ReadyMix,EC35KU95,"CEMEX, Santa Clara",Santa Clara,CEMEX,321,kgCO2,1.51,kgSO2,0.42,kgN,0.000009,kgCFC11,32.9,kgO3,TRACI 2.1,Product EPDs,US
Concrete>>ReadyMix,EC31B3E0,"CEMEX, Oakland",Oakland,CEMEX,343,kgCO2,1.11,kgSO2,0.44,kgN,0.0000085,kgCFC11,23.6,kgO3,TRACI 2.1,Product EPDs,US
Concrete>>ReadyMix,EC37H0XP,"National Ready Mix, Vernon",Vernon,National Ready Mix,367,kgCO2,2.12,kgSO2,0.44,kgN,0.000013,kgCFC11,45,kgO3,TRACI 2.1,Product EPDs,US
Concrete>>ReadyMix,EC3RZR6N,"CEMEX, Tracy.",Tracy.,CEMEX,298,kgCO2,1.64,kgSO2,0.37,kgN,0.0000082,kgCFC11,38.6,kgO3,TRACI 2.1,Product EPDs,US
Concrete>>ReadyMix,EC39QDK0,"CEMEX, Merced",Merced,CEMEX,303,kgCO2,1.66,kgSO2,0.37,kgN,0.0000082,kgCFC11,38.8,kgO3,TRACI 2.1,Product EPDs,US
Concrete>>ReadyMix,EC3X8H7K,"Eastern Concrete, Roseland",Roseland,Eastern Concrete,397,kgCO2,2.22,kgSO2,0.47,kgN,0.0000084,kgCFC11,55.3,kgO3,TRACI 2.1,Product EPDs,US
Concrete>>ReadyMix,EC32F034,"CalPortland, Tumwater Washington",Tumwater Washington,CalPortland,306.17,kgCO2e,1.72,kgSO2e,null,null,0.00000461,kgCFC11e,40.72,kgO3e,TRACI 2.1,Product EPDs,US
Concrete>>ReadyMix,EC3NBFEJ,"Platte River Concrete, Chalco",Chalco,Platte River Concrete,250,kgCO2,0.87,kgSO2,0.31,kgN,0.0000062,kgCFC11,18.3,kgO3,TRACI 2.1,Product EPDs,US
Concrete>>ReadyMix,EC3QPW1P,"Platte River Concrete, Chalco",Chalco,Platte River Concrete,249,kgCO2,0.86,kgSO2,0.31,kgN,0.0000062,kgCFC11,18.1,kgO3,TRACI 2.1,Product EPDs,US
Concrete>>ReadyMix,EC3UAMQ1,"Platte River Concrete, Chalco",Chalco,Platte River Concrete,250,kgCO2,0.87,kgSO2,0.31,kgN,0.0000063,kgCFC11,18.2,kgO3,TRACI 2.1,Product EPDs,US
