Category,e.open_xpd_uuid,label,Plant,Manufacturer,gwp.a1a2a3_mean,gwp.a1a2a3_unit,ap.a1a2a3_mean,ap.a1a2a3_unit,ep_marine.a1a2a3_mean,ep_marine.a1a2a3_unit,odp.a1a2a3_mean,odp.a1a2a3_unit,pocp.a1a2a3_mean,pocp.a1a2a3_unit,rgwp.method,source,geography
Concrete>>ReadyMix,EC328R3N,"CEMEX, Inglewood",Inglewood,CEMEX,398,kgCO2,1.58,kgSO2,0.47,kgN,0.00001,kgCFC11,34.4,kgO3,TRACI 2.1,Product EPDs,US
Concrete>>ReadyMix,EC3P6U7S,"National Ready Mix, Sun Valley",Sun Valley,National Ready Mix,286,kgCO2,0.81,kgSO2,0.32,kgN,0.0000066,kgCFC11,17.8,kgO3,TRACI 2.1,Product EPDs,US
Concrete>>ReadyMix,EC3H3SGJ,"CEMEX, Irvine",Irvine,CEMEX,301,kgCO2,1.6,kgSO2,0.36,kgN,0.0000086,kgCFC11,36,kgO3,TRACI 2.1,Product EPDs,US
Concrete>>ReadyMix,EC3YK9TH,"National Ready Mix, Vernon",Vernon,National Ready Mix,302,kgCO2,0.97,kgSO2,0.36,kgN,0.0000076,kgCFC11,20.7,kgO3,TRACI 2.1,Product EPDs,US
Concrete>>ReadyMix,EC3ETZF6,"CEMEX, Inglewood",Inglewood,CEMEX,373,kgCO2e,1.51,kgSO2,0.44,kgN,0.0000098,kgCFC11,33,kgO3,TRACI 2.1,Product EPDs,US
Concrete>>ReadyMix,EC33FW2E,"CEMEX, Pier 92 Amador",Pier 92 Amador,CEMEX,321,kgCO2,1.98,kgSO2,0.4,kgN,0.000012,kgCFC11,41.2,kgO3,TRACI 2.1,Product EPDs,US
Concrete>>ReadyMix,EC3344QD,"National Ready Mix, Vernon",Vernon,National Ready Mix,365,kgCO2,1.11,kgSO2,0.43,kgN,0.0000092,kgCFC11,23.1,kgO3,TRACI 2.1,Product EPDs,US
Concrete>>ReadyMix,EC3GKT5C,"National Ready Mix, Vernon",Vernon,National Ready Mix,302,kgCO2,0.97,kgSO2,0.36,kgN,0.0000076,kgCFC11,20.7,kgO3,TRACI 2.1,Product EPDs,US
Concrete>>ReadyMix,EC38HQEG,"CEMEX, Hollywood",Hollywood,CEMEX,310,kgCO2,1.67,kgSO2,0.38,kgN,0.000009,kgCFC11,37.5,kgO3,TRACI 2.1,Product EPDs,US
Concrete>>ReadyMix,EC3RUNS7,"Eastern Concrete, Newark",Newark,Eastern Concrete,355,kgCO2,1.83,kgSO2,0.43,kgN,0.000008,kgCFC11,44.4,kgO3,TRACI 2.1,Product EPDs,US
Concrete>>ReadyMix,EC3F66P0,"National Ready Mix, Artesia",Artesia,National Ready Mix,285,kgCO2,0.99,kgSO2,0.34,kgN,0.0000072,kgCFC11,21.5,kgO3,TRACI 2.1,Product EPDs,US
Concrete>>ReadyMix,EC3BMSTE,"CEMEX, Santa Clara",Santa Clara,CEMEX,264,kgCO2,1.28,kgSO2,0.36,kgN,0.0000074,kgCFC11,28.1,kgO3,TRACI 2.1,Product EPDs,US
Concrete>>ReadyMix,EC3R04D3,"CEMEX, San Juan Capistrano",San Juan Capistrano,CEMEX,330,kgCO2,1.95,kgSO2,0.39,kgN,0.0000087,kgCFC11,44.8,kgO3,TRACI 2.1,Product EPDs,US
Concrete>>ReadyMix,EC3N3NPJ,"CEMEX, San Carlos",San Carlos,CEMEX,257,kgCO2,1.78,kgSO2,0.33,kgN,0.00001,kgCFC11,37.3,kgO3,TRACI 2.1,Product EPDs,US
Concrete>>ReadyMix,EC3KK32T,"CEMEX, Los Angeles",Los Angeles,CEMEX,299,kgCO2,1.49,kgSO2,0.37,kgN,0.0000086,kgCFC11,33.4,kgO3,TRACI 2.1,Product EPDs,US
Concrete>>ReadyMix,EC38F00Y,"CEMEX, Irvine",Irvine,CEMEX,360,kgCO2,1.13,kgSO2,0.42,kgN,0.000009,kgCFC11,24,kgO3,TRACI 2.1,Product EPDs,US
Concrete>>ReadyMix,EC30NCNW,"CEMEX, Irvine",Irvine,CEMEX,301,kgCO2,1.6,kgSO2,0.36,kgN,0.0000086,kgCFC11,36,kgO3,TRACI 2.1,Product EPDs,US
Concrete>>ReadyMix,EC30DWG4,"CEMEX, Hollywood",Hollywood,CEMEX,301,kgCO2,1.5,kgSO2,0.37,kgN,0.0000086,kgCFC11,33.5,kgO3,TRACI 2.1,Product EPDs,US
Concrete>>ReadyMix,EC3U78FD,"CEMEX, Compton",Compton,CEMEX,314,kgCO2,1.62,kgSO2,0.38,kgN,0.0000087,kgCFC11,36.5,kgO3,TRACI 2.1,Product EPDs,US
Concrete>>ReadyMix,EC3FNEJ9,"CEMEX, Orange",Orange,CEMEX,318,kgCO2,1.78,kgSO2,0.38,kgN,0.0000088,kgCFC11,40.4,kgO3,TRACI 2.1,Product EPDs,US
Concrete>>ReadyMix,EC32H2TH,"CEMEX, San Juan Capistrano",San Juan Capistrano,CEMEX,390,kgCO2,1.48,kgSO2,0.45,kgN,0.0000091,kgCFC11,32.8,kgO3,TRACI 2.1,Product EPDs,US
Concrete>>ReadyMix,EC3PH9FN,"CEMEX, Santa Clara",Santa Clara,CEMEX,326,kgCO2,1.04,kgSO2,0.42,kgN,0.0000081,kgCFC11,21.7,kgO3,TRACI 2.1,Product EPDs,US
Concrete>>ReadyMix,EC3DCP9E,"CEMEX, Inglewood",Inglewood,CEMEX,390,kgCO2,1.34,kgSO2,0.45,kgN,0.0000095,kgCFC11,29.1,kgO3,TRACI 2.1,Product EPDs,US
Concrete>>ReadyMix,EC3ZP0MB,"CEMEX, San Juan Capistrano",San Juan Capistrano,CEMEX,320,kgCO2,1.77,kgSO2,0.38,kgN,0.0000082,kgCFC11,40.7,kgO3,TRACI 2.1,Product EPDs,US
Concrete>>ReadyMix,EC3EC40W,"CEMEX, Irvine",Irvine,CEMEX,291,kgCO2,1.44,kgSO2,0.35,kgN,0.0000081,kgCFC11,32.1,kgO3,TRACI 2.1,Product EPDs,US
Concrete>>ReadyMix,EC3PR295,"CEMEX, Tracy.",Tracy.,CEMEX,350,kgCO2,1.38,kgSO2,0.42,kgN,0.0000085,kgCFC11,32.4,kgO3,TRACI 2.1,Product EPDs,US
Concrete>>ReadyMix,EC3WQUZ5,"CEMEX, West Sacramento Terminal",West Sacramento Terminal,CEMEX,302,kgCO2,1.06,kgSO2,0.36,kgN,0.0000075,kgCFC11,23.4,kgO3,TRACI 2.1,Product EPDs,US
Concrete>>ReadyMix,EC3QZRS2,"CEMEX, Mission Valley",Mission Valley,CEMEX,280,kgCO2,1.29,kgSO2,0.35,kgN,0.0000079,kgCFC11,28.1,kgO3,TRACI 2.1,Product EPDs,US
Concrete>>ReadyMix,EC3NJQUQ,"CEMEX, Mission Valley",Mission Valley,CEMEX,254,kgCO2,1.69,kgSO2,0.33,kgN,0.0000079,kgCFC11,37.8,kgO3,TRACI 2.1,Product EPDs,US
Concrete>>ReadyMix,EC3YP8DR,"CEMEX, Inglewood",Inglewood,CEMEX,306,kgCO2,1.57,kgSO2,0.37,kgN,0.0000085,kgCFC11,35.3,kgO3,TRACI 2.1,Product EPDs,US
Concrete>>ReadyMix,EC3FZ6BW,"CEMEX, Oakland",Oakland,CEMEX,331,kgCO2,1.08,kgSO2,0.43,kgN,0.0000082,kgCFC11,23,kgO3,TRACI 2.1,Product EPDs,US
Concrete>>ReadyMix,EC3CFGS2,"Central Concrete, Bode C",Bode C,Central Concrete,288,kgCO2,1.1,kgSO2,0.37,kgN,0.0000082,kgCFC11,23.7,kgO3,TRACI 2.1,Product EPDs,US
Concrete>>ReadyMix,EC30CFQG,"Central Concrete, Redwood City B",Redwood City B,Central Concrete,288,kgCO2,1.29,kgSO2,0.37,kgN,0.0000089,kgCFC11,27.8,kgO3,TRACI 2.1,Product EPDs,US
Concrete>>ReadyMix,EC3QB5P8,"CTI Ready Mix, CTI Ready Mix West Des Moines",CTI Ready Mix West Des Moines,CTI Ready Mix,244,kgCO2e,1.05,kgSO2,0.27,kgN,0.0000055,kgCFC11,23.5,kgO3,TRACI 2.1,Product EPDs,US
Concrete>>ReadyMix,EC30HW82,"CTI Ready Mix, CTI Ready Mix Elkhart",CTI Ready Mix Elkhart,CTI Ready Mix,227,kgCO2e,0.86,kgSO2,0.28,kgN,0.0000056,kgCFC11,18.4,kgO3,TRACI 2.1,Product EPDs,US
Concrete>>ReadyMix,EC37FFFU,"CTI Ready Mix, CTI Ready Mix Carlisle",CTI Ready Mix Carlisle,CTI Ready Mix,227,kgCO2e,0.87,kgSO2,0.27,kgN,0.0000055,kgCFC11,18.8,kgO3,TRACI 2.1,Product EPDs,US
Concrete>>ReadyMix,EC3G7ERU,"CEMEX, Pier 92 Amador",Pier 92 Amador,CEMEX,258,kgCO2e,1.8,kgSO2,0.32,kgN,0.00001,kgCFC11,37.7,kgO3,TRACI 2.1,Product EPDs,US
Concrete>>ReadyMix,EC398AEK,"Central Concrete, Queens Lane (wet)",Queens Lane (wet),Central Concrete,176,kgCO2e,1.37,kgSO2,0.25,kgN,0.0000053,kgCFC11,32.1,kgO3,TRACI 2.1,Product EPDs,US
Concrete>>ReadyMix,EC3QKPC3,"National Ready Mix, Sun Valley",Sun Valley,National Ready Mix,309,kgCO2,1.16,kgSO2,0.38,kgN,0.0000093,kgCFC11,22.8,kgO3,TRACI 2.1,Product EPDs,US
Concrete>>ReadyMix,EC3QT032,"CEMEX, South Fresno",South Fresno,CEMEX,340,kgCO2,1.11,kgSO2,0.4,kgN,0.0000085,kgCFC11,23.7,kgO3,TRACI 2.1,Product EPDs,US
Concrete>>ReadyMix,EC3TRKBN,"Thomas Concrete, Charlotte Graham Street",Charlotte Graham Street,Thomas Concrete,308,kgCO2,1.03,kgSO2,0.43,kgN,0.0000079,kgCFC11,21.5,kgO3,TRACI 2.1,Product EPDs,US
Concrete>>ReadyMix,EC3NXR4U,"National Ready Mix, Vernon",Vernon,National Ready Mix,364,kgCO2e,1.09,kgSO2,0.43,kgN,0.0000092,kgCFC11,22.8,kgO3,TRACI 2.1,Product EPDs,US
Concrete>>ReadyMix,EC3S4HZA,"National Ready Mix, Vernon",Vernon,National Ready Mix,365,kgCO2e,1.11,kgSO2,0.43,kgN,0.0000092,kgCFC11,23.2,kgO3,TRACI 2.1,Product EPDs,US
Concrete>>ReadyMix,EC36YZPD,"National Ready Mix, Vernon",Vernon,National Ready Mix,365,kgCO2e,1.11,kgSO2,0.43,kgN,0.0000092,kgCFC11,23.2,kgO3,TRACI 2.1,Product EPDs,US
Concrete>>ReadyMix,EC3K8PTA,"National Ready Mix, Vernon",Vernon,National Ready Mix,316,kgCO2e,1,kgSO2,0.37,kgN,0.0000079,kgCFC11,21.4,kgO3,TRACI 2.1,Product EPDs,US
Concrete>>ReadyMix,EC3GMEP3,"National Ready Mix, Vernon",Vernon,National Ready Mix,365,kgCO2e,1.11,kgSO2,0.43,kgN,0.0000092,kgCFC11,23.1,kgO3,TRACI 2.1,Product EPDs,US
Concrete>>ReadyMix,EC3N4PD2,"National Ready Mix, Vernon",Vernon,National Ready Mix,306,kgCO2e,0.99,kgSO2,0.36,kgN,0.0000077,kgCFC11,21.1,kgO3,TRACI 2.1,Product EPDs,US
Concrete>>ReadyMix,EC384B5Q,"National Ready Mix, Vernon",Vernon,National Ready Mix,316,kgCO2e,1.01,kgSO2,0.37,kgN,0.000008,kgCFC11,21.5,kgO3,TRACI 2.1,Product EPDs,US
Concrete>>ReadyMix,EC39PEMK,"National Ready Mix, Vernon",Vernon,National Ready Mix,365,kgCO2e,1.11,kgSO2,0.43,kgN,0.0000092,kgCFC11,23.1,kgO3,TRACI 2.1,Product EPDs,US
