Category,e.open_xpd_uuid,label,Plant,Manufacturer,gwp.a1a2a3_mean,gwp.a1a2a3_unit,ap.a1a2a3_mean,ap.a1a2a3_unit,ep_marine.a1a2a3_mean,ep_marine.a1a2a3_unit,odp.a1a2a3_mean,odp.a1a2a3_unit,pocp.a1a2a3_mean,pocp.a1a2a3_unit,rgwp.method,source,geography
Concrete>>ReadyMix,EC3THBK7,"Central Concrete, Stockton (wet)",Stockton (wet),Central Concrete,447,kgCO2,1.63,kgSO2,0.55,kgN,0.000012,kgCFC11,35.9,kgO3,TRACI 2.1,Product EPDs,US
Concrete>>ReadyMix,EC3JRNEB,"Central Concrete, Stockton (wet)",Stockton (wet),Central Concrete,454,kgCO2,1.85,kgSO2,0.55,kgN,0.000013,kgCFC11,40.2,kgO3,TRACI 2.1,Product EPDs,US
Concrete>>ReadyMix,EC3KHMZ5,"Central Concrete, Stockton (wet)",Stockton (wet),Central Concrete,393,kgCO2,1.3,kgSO2,0.5,kgN,0.0000094,kgCFC11,29.6,kgO3,TRACI 2.1,Product EPDs,US
Concrete>>ReadyMix,EC32D5C6,"Central Concrete, Stockton (wet)",Stockton (wet),Central Concrete,442,kgCO2,1.48,kgSO2,0.55,kgN,0.000011,kgCFC11,32.7,kgO3,TRACI 2.1,Product EPDs,US
Concrete>>ReadyMix,EC338SSY,"Central Concrete, Stockton (wet)",Stockton (wet),Central Concrete,401,kgCO2,1.53,kgSO2,0.49,kgN,0.00001,kgCFC11,34.3,kgO3,TRACI 2.1,Product EPDs,US
Concrete>>ReadyMix,EC35FH75,"Central Concrete, Bode C",Bode C,Central Concrete,431,kgCO2,1.65,kgSO2,0.53,kgN,0.000013,kgCFC11,34.3,kgO3,TRACI 2.1,Product EPDs,US
Concrete>>ReadyMix,EC3GQA8C,"Central Concrete, Bode C",Bode C,Central Concrete,392,kgCO2,1.61,kgSO2,0.49,kgN,0.000012,kgCFC11,34.2,kgO3,TRACI 2.1,Product EPDs,US
Concrete>>ReadyMix,EC3K55BD,"Central Concrete, Bode C",Bode C,Central Concrete,435,kgCO2,1.54,kgSO2,0.54,kgN,0.000012,kgCFC11,32.4,kgO3,TRACI 2.1,Product EPDs,US
Concrete>>ReadyMix,EC345EYZ,"National Ready Mix, Irwindale",Irwindale,National Ready Mix,343,kgCO2,0.99,kgSO2,0.39,kgN,0.0000079,kgCFC11,21.3,kgO3,TRACI 2.1,Product EPDs,US
Concrete>>ReadyMix,EC3P2AWD,"CEMEX, Fontana RM",Fontana RM,CEMEX,341,kgCO2,1.78,kgSO2,0.4,kgN,0.0000093,kgCFC11,40.1,kgO3,TRACI 2.1,Product EPDs,US
Concrete>>ReadyMix,EC3U6GTP,"CEMEX, Fontana RM",Fontana RM,CEMEX,328,kgCO2,1.79,kgSO2,0.39,kgN,0.000009,kgCFC11,40.6,kgO3,TRACI 2.1,Product EPDs,US
Concrete>>ReadyMix,EC38NUGG,"RiverBend Materials, Hilroy",Hilroy,RiverBend Materials,300,kgCO2,0.88,kgSO2,0.35,kgN,0.000007,kgCFC11,19.3,kgO3,TRACI 2.1,Product EPDs,US
Concrete>>ReadyMix,EC34BR9G,"National Ready Mix, Vernon",Vernon,National Ready Mix,375,kgCO2,0.95,kgSO2,0.42,kgN,0.0000086,kgCFC11,19.8,kgO3,TRACI 2.1,Product EPDs,US
Concrete>>ReadyMix,EC3S2ADX,"CEMEX, Pleasanton",Pleasanton,CEMEX,287,kgCO2,1.23,kgSO2,0.34,kgN,0.000008,kgCFC11,27.2,kgO3,TRACI 2.1,Product EPDs,US
Concrete>>ReadyMix,EC3ZGBAQ,"CEMEX, Pleasanton",Pleasanton,CEMEX,276,kgCO2,1.19,kgSO2,0.33,kgN,0.0000077,kgCFC11,26.2,kgO3,TRACI 2.1,Product EPDs,US
Concrete>>ReadyMix,EC3C13M1,"CEMEX, Oakland",Oakland,CEMEX,295,kgCO2,0.87,kgSO2,0.37,kgN,0.0000067,kgCFC11,19.1,kgO3,TRACI 2.1,Product EPDs,US
Concrete>>ReadyMix,EC3G6KWF,"Cadman Inc, Port of Portland",Port of Portland,Cadman Inc,320,kgCO2,0.99,kgSO2,0.38,kgN,0.0000077,kgCFC11,22.5,kgO3,TRACI 2.1,Product EPDs,US
Concrete>>ReadyMix,EC3E5CSB,"Cadman Inc, Orchards",Orchards,Cadman Inc,330,kgCO2,1.06,kgSO2,0.39,kgN,0.0000077,kgCFC11,24.2,kgO3,TRACI 2.1,Product EPDs,US
Concrete>>ReadyMix,EC3Z33RY,"Central Concrete, Queens Lane (wet)",Queens Lane (wet),Central Concrete,257,kgCO2,1.74,kgSO2,0.34,kgN,0.0000087,kgCFC11,38.4,kgO3,TRACI 2.1,Product EPDs,US
Concrete>>ReadyMix,EC3YDZU0,"National Ready Mix, Vernon",Vernon,National Ready Mix,458,kgCO2,1.34,kgSO2,0.54,kgN,0.000011,kgCFC11,27.7,kgO3,TRACI 2.1,Product EPDs,US
Concrete>>ReadyMix,EC3HBRYT,"CEMEX, Union City",Union City,CEMEX,300,kgCO2,2.15,kgSO2,0.38,kgN,0.000012,kgCFC11,45.7,kgO3,TRACI 2.1,Product EPDs,US
Concrete>>ReadyMix,EC3GFD8Q,"CEMEX, Santa Clara",Santa Clara,CEMEX,334,kgCO2,1.57,kgSO2,0.44,kgN,0.0000093,kgCFC11,34.1,kgO3,TRACI 2.1,Product EPDs,US
