Category,e.open_xpd_uuid,label,Plant,Manufacturer,gwp.a1a2a3_mean,gwp.a1a2a3_unit,ap.a1a2a3_mean,ap.a1a2a3_unit,ep_marine.a1a2a3_mean,ep_marine.a1a2a3_unit,odp.a1a2a3_mean,odp.a1a2a3_unit,pocp.a1a2a3_mean,pocp.a1a2a3_unit,rgwp.method,source,geography
Concrete>>ReadyMix,EC3JZPR4,"CEMEX, Mission Valley",Mission Valley,CEMEX,535,kgCO2,2.98,kgSO2,0.66,kgN,0.000015,kgCFC11,66.3,kgO3,TRACI 2.1,Product EPDs,US
Concrete>>ReadyMix,EC3NE4NJ,"CEMEX, Mission Valley",Mission Valley,CEMEX,540,kgCO2,2.99,kgSO2,0.66,kgN,0.000015,kgCFC11,66.4,kgO3,TRACI 2.1,Product EPDs,US
Concrete>>ReadyMix,EC3W1ZWQ,"Central Concrete, Stockton (wet)",Stockton (wet),Central Concrete,496,kgCO2,1.74,kgSO2,0.6,kgN,0.000013,kgCFC11,38.1,kgO3,TRACI 2.1,Product EPDs,US
Concrete>>ReadyMix,EC30SR2W,"Central Concrete, Stockton (wet)",Stockton (wet),Central Concrete,504,kgCO2,1.96,kgSO2,0.61,kgN,0.000014,kgCFC11,42.5,kgO3,TRACI 2.1,Product EPDs,US
Concrete>>ReadyMix,EC3B39U3,"Central Concrete, Stockton (wet)",Stockton (wet),Central Concrete,442,kgCO2,1.42,kgSO2,0.55,kgN,0.000011,kgCFC11,31.9,kgO3,TRACI 2.1,Product EPDs,US
Concrete>>ReadyMix,EC3GXZRE,"Central Concrete, Stockton (wet)",Stockton (wet),Central Concrete,441,kgCO2,1.42,kgSO2,0.55,kgN,0.000011,kgCFC11,31.9,kgO3,TRACI 2.1,Product EPDs,US
Concrete>>ReadyMix,EC3PTR9D,"Central Concrete, Stockton (wet)",Stockton (wet),Central Concrete,456,kgCO2,1.51,kgSO2,0.56,kgN,0.000011,kgCFC11,33.4,kgO3,TRACI 2.1,Product EPDs,US
Concrete>>ReadyMix,EC32GCYQ,"Central Concrete, Stockton (wet)",Stockton (wet),Central Concrete,523,kgCO2,1.81,kgSO2,0.64,kgN,0.000014,kgCFC11,39.3,kgO3,TRACI 2.1,Product EPDs,US
Concrete>>ReadyMix,EC3QC176,"Central Concrete, Stockton (wet)",Stockton (wet),Central Concrete,640,kgCO2e,3.5,kgSO2,0.78,kgN,0.000019,kgCFC11,76.3,kgO3,TRACI 2.1,Product EPDs,US
Concrete>>ReadyMix,EC3YQP0R,"Central Concrete, Stockton (wet)",Stockton (wet),Central Concrete,592,kgCO2,2.94,kgSO2,0.73,kgN,0.000017,kgCFC11,64.4,kgO3,TRACI 2.1,Product EPDs,US
Concrete>>ReadyMix,EC3BUCK9,"Central Concrete, Bode C",Bode C,Central Concrete,483,kgCO2,1.8,kgSO2,0.59,kgN,0.000014,kgCFC11,37.2,kgO3,TRACI 2.1,Product EPDs,US
Concrete>>ReadyMix,EC3DNT5U,"Central Concrete, Bode C",Bode C,Central Concrete,485,kgCO2,1.64,kgSO2,0.6,kgN,0.000013,kgCFC11,34.5,kgO3,TRACI 2.1,Product EPDs,US
Concrete>>ReadyMix,EC3UJ0PY,"Stoneway Concrete, Seattle",Seattle,Stoneway Concrete,181,kgCO2,0.85,kgSO2,0.19,kgN,0.000012,kgCFC11,17.7,kgO3,TRACI 2.1,Product EPDs,US
Concrete>>ReadyMix,EC3FDANJ,"National Ready Mix, Glendale",Glendale,National Ready Mix,271,kgCO2,2.15,kgSO2,0.33,kgN,0.000013,kgCFC11,42.5,kgO3,TRACI 2.1,Product EPDs,US
Concrete>>ReadyMix,EC3TFHNG,"National Ready Mix, Vernon",Vernon,National Ready Mix,264,kgCO2,2.06,kgSO2,0.33,kgN,0.000013,kgCFC11,40.3,kgO3,TRACI 2.1,Product EPDs,US
Concrete>>ReadyMix,EC32K55M,"CEMEX, Irvine",Irvine,CEMEX,408,kgCO2,2.23,kgSO2,0.46,kgN,0.0000099,kgCFC11,49.5,kgO3,TRACI 2.1,Product EPDs,US
Concrete>>ReadyMix,EC3MY62D,"National Ready Mix, Sun Valley",Sun Valley,National Ready Mix,337,kgCO2,0.93,kgSO2,0.38,kgN,0.0000077,kgCFC11,20.3,kgO3,TRACI 2.1,Product EPDs,US
Concrete>>ReadyMix,EC3URG39,"National Ready Mix, Sun Valley",Sun Valley,National Ready Mix,276,kgCO2,2.21,kgSO2,0.34,kgN,0.000013,kgCFC11,44,kgO3,TRACI 2.1,Product EPDs,US
Concrete>>ReadyMix,EC34PJPC,"Central Concrete, South San Francisco",South San Francisco,Central Concrete,370,kgCO2e,1.31,kgSO2e,2001,kgNe,0.000011,kgCFC11e,25.4,kgO3e,TRACI 2.1,Product EPDs,US
Concrete>>ReadyMix,EC39D3QX,"Central Concrete, Queens Lane (wet)",Queens Lane (wet),Central Concrete,236,kgCO2,1.4,kgSO2,0.3,kgN,0.0000075,kgCFC11,31,kgO3,TRACI 2.1,Product EPDs,US
Concrete>>ReadyMix,EC3DCZ63,"CEMEX, Santa Clara",Santa Clara,CEMEX,314,kgCO2,1.41,kgSO2,0.4,kgN,0.0000083,kgCFC11,30.9,kgO3,TRACI 2.1,Product EPDs,US
Concrete>>ReadyMix,EC3KM7FS,"CEMEX, Pier 92 Amador",Pier 92 Amador,CEMEX,308,kgCO2,2.03,kgSO2,0.37,kgN,0.000011,kgCFC11,43.1,kgO3,TRACI 2.1,Product EPDs,US
Concrete>>ReadyMix,EC3T4W5Z,"Cadman Inc, Port of Portland",Port of Portland,Cadman Inc,329,kgCO2,1.01,kgSO2,0.39,kgN,0.0000078,kgCFC11,22.8,kgO3,TRACI 2.1,Product EPDs,US
Concrete>>ReadyMix,EC3B8BJ0,"CEMEX, Berkeley",Berkeley,CEMEX,331,kgCO2,1.76,kgSO2,0.44,kgN,0.0000094,kgCFC11,39.9,kgO3,TRACI 2.1,Product EPDs,US
Concrete>>ReadyMix,EC3J8WRD,"CEMEX, Berkeley",Berkeley,CEMEX,331,kgCO2,1.76,kgSO2,0.44,kgN,0.0000094,kgCFC11,39.8,kgO3,TRACI 2.1,Product EPDs,US
Concrete>>ReadyMix,EC3ESBE0,"CEMEX, Santa Clara",Santa Clara,CEMEX,367,kgCO2,2.11,kgSO2,0.45,kgN,0.000013,kgCFC11,44,kgO3,TRACI 2.1,Product EPDs,US
Concrete>>ReadyMix,EC3F4JE9,"CEMEX, San Carlos",San Carlos,CEMEX,381,kgCO2,2.26,kgSO2,0.47,kgN,0.000014,kgCFC11,47.2,kgO3,TRACI 2.1,Product EPDs,US
Concrete>>ReadyMix,EC3GF50X,"CEMEX, Pier 92 Amador",Pier 92 Amador,CEMEX,381,kgCO2,2.28,kgSO2,0.47,kgN,0.000013,kgCFC11,47.7,kgO3,TRACI 2.1,Product EPDs,US
Concrete>>ReadyMix,EC3RXAKA,"Prairie Material, LLC, Yard 32",Yard 32,"Prairie Material, LLC",390,kgCO2,1.26,kgSO2,0.49,kgN,0.00001,kgCFC11,25.8,kgO3,TRACI 2.1,Product EPDs,US
Concrete>>ReadyMix,EC3BBB6H,"Prairie Material, LLC, Yard 32",Yard 32,"Prairie Material, LLC",390,kgCO2,1.27,kgSO2,0.49,kgN,0.00001,kgCFC11,25.9,kgO3,TRACI 2.1,Product EPDs,US
