Category,e.open_xpd_uuid,label,Plant,Manufacturer,gwp.a1a2a3_mean,gwp.a1a2a3_unit,ap.a1a2a3_mean,ap.a1a2a3_unit,ep_marine.a1a2a3_mean,ep_marine.a1a2a3_unit,odp.a1a2a3_mean,odp.a1a2a3_unit,pocp.a1a2a3_mean,pocp.a1a2a3_unit,rgwp.method,source,geography
Concrete>>ReadyMix,EC3AZSAN,"Central Concrete, Stockton (wet)",Stockton (wet),Central Concrete,278,kgCO2,2.23,kgSO2,0.36,kgN,0.0000098,kgCFC11,49.9,kgO3,TRACI 2.1,Product EPDs,US
Concrete>>ReadyMix,EC3KWMKP,"Central Concrete, Queens Lane (wet)",Queens Lane (wet),Central Concrete,475,kgCO2,1.87,kgSO2,0.57,kgN,0.000012,kgCFC11,40.7,kgO3,TRACI 2.1,Product EPDs,US
Concrete>>ReadyMix,EC3P9X4D,"CEMEX, Mission Valley",Mission Valley,CEMEX,817,kgCO2,2.37,kgSO2,0.97,kgN,0.00002,kgCFC11,47.9,kgO3,TRACI 2.1,Product EPDs,US
Concrete>>ReadyMix,EC32GEBY,"CEMEX, San Carlos",San Carlos,CEMEX,459,kgCO2,2.45,kgSO2,0.57,kgN,0.000015,kgCFC11,51.2,kgO3,TRACI 2.1,Product EPDs,US
Concrete>>ReadyMix,EC3NSN16,"CEMEX, Pier 92 Amador",Pier 92 Amador,CEMEX,531,kgCO2,1.97,kgSO2,0.64,kgN,0.000016,kgCFC11,39.5,kgO3,TRACI 2.1,Product EPDs,US
Concrete>>ReadyMix,EC3CF0Y4,"CEMEX, Mission Valley",Mission Valley,CEMEX,755,kgCO2,2.21,kgSO2,0.9,kgN,0.000019,kgCFC11,44.5,kgO3,TRACI 2.1,Product EPDs,US
Concrete>>ReadyMix,EC37G2BB,"CEMEX, Mission Valley",Mission Valley,CEMEX,771,kgCO2,2.25,kgSO2,0.92,kgN,0.000019,kgCFC11,45.3,kgO3,TRACI 2.1,Product EPDs,US
Concrete>>ReadyMix,EC351ABS,"CEMEX, Mission Valley",Mission Valley,CEMEX,754,kgCO2,2.2,kgSO2,0.9,kgN,0.000019,kgCFC11,44.5,kgO3,TRACI 2.1,Product EPDs,US
Concrete>>ReadyMix,EC3MZNDM,"CEMEX, Mission Valley",Mission Valley,CEMEX,585,kgCO2,2.98,kgSO2,0.72,kgN,0.000016,kgCFC11,65.2,kgO3,TRACI 2.1,Product EPDs,US
Concrete>>ReadyMix,EC3MTG9Y,"Eastern Concrete, Broadway",Broadway,Eastern Concrete,351,kgCO2,2.27,kgSO2,0.44,kgN,0.00001,kgCFC11,50.7,kgO3,TRACI 2.1,Product EPDs,US
Concrete>>ReadyMix,EC3P8GNJ,"Central Concrete, Queens Lane (wet)",Queens Lane (wet),Central Concrete,391,kgCO2,3.22,kgSO2,0.49,kgN,0.000013,kgCFC11,75,kgO3,TRACI 2.1,Product EPDs,US
Concrete>>ReadyMix,EC3FMSF5,"RiverBend Materials, Hilroy",Hilroy,RiverBend Materials,497,kgCO2,1.57,kgSO2,0.6,kgN,0.000012,kgCFC11,33.2,kgO3,TRACI 2.1,Product EPDs,US
Concrete>>ReadyMix,EC3FY4TM,"Central Concrete, Queens Lane (wet)",Queens Lane (wet),Central Concrete,391,kgCO2,2.46,kgSO2,0.49,kgN,0.000011,kgCFC11,56.9,kgO3,TRACI 2.1,Product EPDs,US
Concrete>>ReadyMix,EC3UCXWN,"Central Concrete, Bode",Bode,Central Concrete,375,kgCO2,3.77,kgSO2,0.27,kgN,0.0000099,kgCFC11,91.5,kgO3,TRACI 2.1,Product EPDs,US
Concrete>>ReadyMix,EC3Y9CSU,"Central Concrete, Bode",Bode,Central Concrete,358,kgCO2,3.68,kgSO2,0.27,kgN,0.0000096,kgCFC11,89.5,kgO3,TRACI 2.1,Product EPDs,US
Concrete>>ReadyMix,EC3CS5FQ,"CEMEX, Santa Clara",Santa Clara,CEMEX,449,kgCO2,2.56,kgSO2,0.56,kgN,0.000016,kgCFC11,53.3,kgO3,TRACI 2.1,Product EPDs,US
Concrete>>ReadyMix,EC3B4CG2,"RiverBend Materials, Wildish",Wildish,RiverBend Materials,460,kgCO2,1.41,kgSO2,0.55,kgN,0.000011,kgCFC11,28.7,kgO3,TRACI 2.1,Product EPDs,US
Concrete>>ReadyMix,EC307K29,"RiverBend Materials, Hilroy",Hilroy,RiverBend Materials,404,kgCO2e,2.49,kgSO2,0.51,kgN,0.000012,kgCFC11,55.3,kgO3,TRACI 2.1,Product EPDs,US
Concrete>>ReadyMix,EC3CAEAU,"Central Concrete, Queens Lane (wet)",Queens Lane (wet),Central Concrete,375,kgCO2e,2.67,kgSO2,0.48,kgN,0.000013,kgCFC11,58.5,kgO3,TRACI 2.1,Product EPDs,US
Concrete>>ReadyMix,EC33M703,"CEMEX, San Carlos",San Carlos,CEMEX,511,kgCO2e,2.36,kgSO2e,0.63,kgNe,0.000017,kgCFC11e,48.1,kgO3e,TRACI 2.1,Product EPDs,US
Concrete>>ReadyMix,EC31XD0S,"CalPortland, Duwamish Washington",Duwamish Washington,CalPortland,470.58,kgCO2e,null,null,null,null,null,null,null,null,null,Product EPDs,US
Concrete>>ReadyMix,EC3402T2,"Eastern Concrete, Newark",Newark,Eastern Concrete,351,kgCO2e,2.1,kgSO2,0.44,kgN,0.0000094,kgCFC11,47.8,kgO3,TRACI 2.1,Product EPDs,US
Concrete>>ReadyMix,EC3SZ72P,"Thomas Concrete, West Street",West Street,Thomas Concrete,583,kgCO2e,1.63,kgSO2,0.73,kgN,0.000015,kgCFC11,32.2,kgO3,TRACI 2.1,Product EPDs,US
Concrete>>ReadyMix,EC37D2BR,"Thomas Concrete, Pooler",Pooler,Thomas Concrete,571,kgCO2,1.62,kgSO2,0.74,kgN,0.000015,kgCFC11,31.8,kgO3,TRACI 2.1,Product EPDs,US
Concrete>>ReadyMix,EC31PCYQ,"Thomas Concrete, Doraville",Doraville,Thomas Concrete,566,kgCO2,1.53,kgSO2,0.75,kgN,0.000015,kgCFC11,29.3,kgO3,TRACI 2.1,Product EPDs,US
Concrete>>ReadyMix,EC3RZPSA,"Thomas Concrete, Savannah East",Savannah East,Thomas Concrete,574,kgCO2,1.66,kgSO2,0.72,kgN,0.000015,kgCFC11,33.5,kgO3,TRACI 2.1,Product EPDs,US
Concrete>>ReadyMix,EC33WX2F,"Thomas Concrete, Charleston",Charleston,Thomas Concrete,571,kgCO2,1.6,kgSO2,0.73,kgN,0.000015,kgCFC11,31.3,kgO3,TRACI 2.1,Product EPDs,US
Concrete>>ReadyMix,EC3NAFZK,"Thomas Concrete, Buckhead",Buckhead,Thomas Concrete,367,kgCO2,1.41,kgSO2,0.52,kgN,0.000013,kgCFC11,24.1,kgO3,TRACI 2.1,Product EPDs,US
Concrete>>ReadyMix,EC3J59G2,"Thomas Concrete, Buckhead",Buckhead,Thomas Concrete,367,kgCO2,1.43,kgSO2,0.5,kgN,0.000012,kgCFC11,25.1,kgO3,TRACI 2.1,Product EPDs,US
Concrete>>ReadyMix,EC3G9MS2,"Thomas Concrete, Buckhead",Buckhead,Thomas Concrete,564,kgCO2,1.52,kgSO2,0.73,kgN,0.000015,kgCFC11,29.1,kgO3,TRACI 2.1,Product EPDs,US
Concrete>>ReadyMix,EC3U0ZAZ,"Thomas Concrete, Atlanta",Atlanta,Thomas Concrete,569,kgCO2,1.56,kgSO2,0.75,kgN,0.000015,kgCFC11,30.1,kgO3,TRACI 2.1,Product EPDs,US
Concrete>>ReadyMix,EC3SGK1P,"Thomas Concrete, Atlanta",Atlanta,Thomas Concrete,371,kgCO2e,1.46,kgSO2,0.52,kgN,0.000013,kgCFC11,26,kgO3,TRACI 2.1,Product EPDs,US
Concrete>>ReadyMix,EC3K5GRM,"Stoneway Concrete, Houser",Houser,Stoneway Concrete,490,kgCO2,1.42,kgSO2,0.59,kgN,0.000014,kgCFC11,25.9,kgO3,TRACI 2.1,Product EPDs,US
Concrete>>ReadyMix,EC3U1SAT,"Stoneway Concrete, Houser",Houser,Stoneway Concrete,491,kgCO2,1.42,kgSO2,0.59,kgN,0.000014,kgCFC11,25.9,kgO3,TRACI 2.1,Product EPDs,US
Concrete>>ReadyMix,EC3DEP1W,"National Ready Mix, Vernon",Vernon,National Ready Mix,347,kgCO2e,2.32,kgSO2,0.43,kgN,0.000014,kgCFC11,45.8,kgO3,TRACI 2.1,Product EPDs,US
Concrete>>ReadyMix,EC3Y54A5,"National Ready Mix, Vernon",Vernon,National Ready Mix,344,kgCO2e,2.31,kgSO2,0.43,kgN,0.000014,kgCFC11,45.8,kgO3,TRACI 2.1,Product EPDs,US
Concrete>>ReadyMix,EC3JCHK1,"National Ready Mix, Van Nuys",Van Nuys,National Ready Mix,506,kgCO2e,1.45,kgSO2,0.6,kgN,0.000012,kgCFC11,29.1,kgO3,TRACI 2.1,Product EPDs,US
Concrete>>ReadyMix,EC3J6PQX,"National Ready Mix, Santa Clarita",Santa Clarita,National Ready Mix,522,kgCO2e,1.65,kgSO2,0.61,kgN,0.000013,kgCFC11,34.4,kgO3,TRACI 2.1,Product EPDs,US
Concrete>>ReadyMix,EC353FQH,"National Ready Mix, Moorpark",Moorpark,National Ready Mix,508,kgCO2,1.49,kgSO2,0.59,kgN,0.000012,kgCFC11,30.2,kgO3,TRACI 2.1,Product EPDs,US
Concrete>>ReadyMix,EC3XMTHS,"National Ready Mix, Vernon",Vernon,National Ready Mix,425,kgCO2e,1.31,kgSO2,0.5,kgN,0.00001,kgCFC11,27.7,kgO3,TRACI 2.1,Product EPDs,US
Concrete>>ReadyMix,EC3XUHC1,"National Ready Mix, Vernon",Vernon,National Ready Mix,511,kgCO2e,1.52,kgSO2,0.6,kgN,0.000012,kgCFC11,30.8,kgO3,TRACI 2.1,Product EPDs,US
Concrete>>ReadyMix,EC3ZUEKY,"National Ready Mix, Irvine",Irvine,National Ready Mix,564,kgCO2e,1.75,kgSO2,0.66,kgN,0.000014,kgCFC11,36.7,kgO3,TRACI 2.1,Product EPDs,US
Concrete>>ReadyMix,EC3XT0SM,"National Ready Mix, Glendale",Glendale,National Ready Mix,513,kgCO2e,1.54,kgSO2,0.6,kgN,0.000012,kgCFC11,31.4,kgO3,TRACI 2.1,Product EPDs,US
