"sim_type","n","mean_gwp","sd_gwp","min_gwp","max_gwp","median_gwp","q1_gwp","q3_gwp","rsd_gwp"
"BFBOF",75,0.763937333333333,0.00552744438610118,0.7511,0.7778,0.7642,0.75985,0.76785,0.00723546833610416
"DRI",75,0.7589,0,0.7589,0.7589,0.7589,0.7589,0.7589,0
"EAF",75,0.7997,0.117411869191437,0.5569,1.0965,0.81,0.72135,0.88395,0.146819893949527
"fabrication",75,0.768041333333333,0.045655774606888,0.6648,0.8632,0.7766,0.7522,0.79585,0.0594444239201813
"rolling",75,0.764696,0.0193905482687355,0.7149,0.8045,0.7684,0.75655,0.77595,0.0253571985059887
"supply chain",75,0.756194666666667,0.00522201403968149,0.7505,0.7686,0.7545,0.7516,0.76065,0.00690564780455318
