elec_steel_fab,elec_steel_rolling,steel_billet,elec_EAF,iron_forEAF,elec_DRI,natgas_DRI,elec_BOF,iron_forBOF,elec,coal,"fabrication, rebar.wf","fabrication, rebar.elec","fabrication, rebar.trans_co2","rolling, billet.elec","rolling, billet.heat","steelmaking, electric arc furnace.scrap_pct","steelmaking, electric arc furnace.wf","steelmaking, electric arc furnace.kWh_EAF","steelmaking, electric arc furnace.trans_co2","ironmaking, direct reduction, MIDREX.co2_kg","ironmaking, direct reduction, MIDREX.elec","ironmaking, direct reduction, MIDREX.ng_mj","ironmaking, direct reduction, MIDREX.ore_kg","ironmaking, direct reduction, MIDREX.trans_co2","steelmaking, basic oxygen converter.elec","steelmaking, basic oxygen converter.scrap_pct","steelmaking, basic oxygen converter.wf","steelmaking, basic oxygen converter.co2_kg","ironmaking, blast furnace.elec","ironmaking, blast furnace.co2_kg",coking.co2_kg,sintering.co2_kg,gwp,gwp_be,gep_bu,ap,ep,odp,pocp,gwp_AR5,gwp_EF2,gwp_CML,sim_type
"Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA",Electricity; at grid; consumption mix - New York Independent System Operator - BA,"steel production, EAF",Electricity; at grid; consumption mix - California Independent System Operator - BA,"ironmaking, direct reduction, MIDREX",Electricity; at grid; consumption mix - Bonneville Power Administration - BA,natural gas extraction and processing - Anadarko,"Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","ironmaking, blast furnace",Electricity; at grid; consumption mix - New York Independent System Operator - BA,"coal extraction and processing - Import, BIT, Underground",0.03723637023569186,0.20746906948977556,0.05242890958710425,0.14050021934160853,0.9181072895762143,0.9854058050865473,0.01427425749679506,0.5519304750610704,0.010473793503686187,0.5257466796487765,0.11961164785710389,9.476392740407002,1.2677167500918798,0.009592706048111297,0.025260337572652773,0.07492931007216364,0.13520945609279733,0.051645231103775904,0.07663731053367731,0.8439211223752952,0.14235079317110225,0.23458389325860418,0.4705,0.0,0.0,0.0023535362585099954,0.0009491695504419525,1.0299154133799494e-08,0.032408422761041715,0.478,0.4882,0.4751,mca
"Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA",Electricity; at grid; consumption mix - New York Independent System Operator - BA,"steel production, EAF",Electricity; at grid; consumption mix - California Independent System Operator - BA,"ironmaking, direct reduction, MIDREX",Electricity; at grid; consumption mix - Bonneville Power Administration - BA,natural gas extraction and processing - Anadarko,"Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","ironmaking, blast furnace",Electricity; at grid; consumption mix - New York Independent System Operator - BA,"coal extraction and processing - Import, BIT, Underground",0.04163467273211303,0.17511877011939708,0.04255852587040366,0.1646714644520884,0.9706471591233948,0.9737741586359762,0.04297561556887464,0.47325229840138683,0.009584101774262473,0.484933785695202,0.11735406834743646,9.974202839682574,1.264656370884474,0.009699162108132368,0.01906148583309819,0.11767150833878173,0.08642007349976867,0.09230236053623031,0.03876594974815252,1.1504591727487943,0.14712161866889326,0.25551063562324583,0.4562,0.0,0.0,0.0023500861836505006,0.0009531434708661221,1.0130779459377707e-08,0.03259443570298686,0.4637,0.4736,0.4607,mca
"Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA",Electricity; at grid; consumption mix - New York Independent System Operator - BA,"steel production, EAF",Electricity; at grid; consumption mix - California Independent System Operator - BA,"ironmaking, direct reduction, MIDREX",Electricity; at grid; consumption mix - Bonneville Power Administration - BA,natural gas extraction and processing - Anadarko,"Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","ironmaking, blast furnace",Electricity; at grid; consumption mix - New York Independent System Operator - BA,"coal extraction and processing - Import, BIT, Underground",0.04657697883547844,0.1624929960462011,0.057105337412085795,0.14741829422508923,0.8313651071764734,0.9782392335038042,0.03275763864186735,0.5417283453704465,0.010383295476424583,0.4891564529486575,0.11467120748074748,10.105031118256557,1.315733941686633,0.010088086957333545,0.035502582596274646,0.17003048217230599,0.12858498007734692,0.030449294599543694,0.09860093546306216,1.0562763160578472,0.10671583549170485,0.2618497089675663,0.4497,0.0,0.0,0.0023169005812429494,0.0009547969413709814,1.006621472467419e-08,0.03157685342475372,0.457,0.4664,0.4541,mca
"Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA",Electricity; at grid; consumption mix - New York Independent System Operator - BA,"steel production, EAF",Electricity; at grid; consumption mix - California Independent System Operator - BA,"ironmaking, direct reduction, MIDREX",Electricity; at grid; consumption mix - Bonneville Power Administration - BA,natural gas extraction and processing - Anadarko,"Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","ironmaking, blast furnace",Electricity; at grid; consumption mix - New York Independent System Operator - BA,"coal extraction and processing - Import, BIT, Underground",0.014208801921706291,0.21575062509887785,0.04534205868504518,0.1515470960064295,0.859050378274572,0.9696166031575624,0.03885108439152018,0.6482798163576439,0.010461287578831012,0.519360119798859,0.11604209247500731,9.971166143739413,1.2529867546383213,0.009830631290605067,0.025139934316221975,0.14495674531848174,0.13187375239382154,0.08025879325121243,0.07698250403750079,1.2770799435456555,0.10976108626916849,0.44453540567177124,0.4602,0.0,0.0,0.002315814767025162,0.0009288509688819566,1.017210538479065e-08,0.03188101239626913,0.4676,0.4775,0.4647,mca
"Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA",Electricity; at grid; consumption mix - New York Independent System Operator - BA,"steel production, EAF",Electricity; at grid; consumption mix - California Independent System Operator - BA,"ironmaking, direct reduction, MIDREX",Electricity; at grid; consumption mix - Bonneville Power Administration - BA,natural gas extraction and processing - Anadarko,"Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","ironmaking, blast furnace",Electricity; at grid; consumption mix - New York Independent System Operator - BA,"coal extraction and processing - Import, BIT, Underground",0.020268481566470552,0.22177997779150296,0.04408419579683815,0.16291631330689205,0.8424220448336578,0.9719381351668158,0.04804844297453073,0.5223242736817828,0.010385372896465838,0.5263619981999064,0.11792837459476743,10.13821162927534,1.2777545714834282,0.00972249179776144,0.026029917001180944,0.102062567946476,0.05880430115816918,0.05392577572044166,0.07971781772915099,1.025886219977634,0.10433424217997121,0.3677967100117887,0.4663,0.0,0.0,0.002340577042356177,0.0009350990877270759,1.0277216541162467e-08,0.03229517275882189,0.4737,0.4838,0.4708,mca
"Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA",Electricity; at grid; consumption mix - New York Independent System Operator - BA,"steel production, EAF",Electricity; at grid; consumption mix - California Independent System Operator - BA,"ironmaking, direct reduction, MIDREX",Electricity; at grid; consumption mix - Bonneville Power Administration - BA,natural gas extraction and processing - Anadarko,"Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","ironmaking, blast furnace",Electricity; at grid; consumption mix - New York Independent System Operator - BA,"coal extraction and processing - Import, BIT, Underground",0.0296519544920871,0.18236181873841698,0.04667067422817243,0.14788777554765653,0.8589123413472198,0.9710057880070734,0.010223355144756776,0.5230691496837263,0.009956102867009672,0.48513258917315827,0.11675725435653365,9.719155750400336,1.256046198786615,0.009554348087273892,0.032499748561446454,0.12641518142552008,0.0664081145241605,0.06188253267639991,0.09869897406391334,1.047837450465252,0.11290829774315864,0.2763747983801344,0.4471,0.0,0.0,0.0023080157900985127,0.0009408301922398037,1.0063467220840082e-08,0.03161284041138372,0.4544,0.464,0.4515,mca
"Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA",Electricity; at grid; consumption mix - New York Independent System Operator - BA,"steel production, EAF",Electricity; at grid; consumption mix - California Independent System Operator - BA,"ironmaking, direct reduction, MIDREX",Electricity; at grid; consumption mix - Bonneville Power Administration - BA,natural gas extraction and processing - Anadarko,"Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","ironmaking, blast furnace",Electricity; at grid; consumption mix - New York Independent System Operator - BA,"coal extraction and processing - Import, BIT, Underground",0.019690619928843994,0.17579017431369018,0.043301675750881986,0.13689018128396915,0.9757708963969965,0.9658492861032889,0.027073606327119706,0.6285113733246919,0.009747481768735291,0.505270869802418,0.12594268992985833,10.367895125251211,1.2438519351194297,0.010326324320000342,0.032288509500335086,0.20771805499726698,0.1273157312924905,0.08263122360374078,0.07369417932409798,1.1022469080320847,0.10109830734408057,0.47400926794909704,0.4423,0.0,0.0,0.0022871765358153033,0.000931909141850465,9.921968462934461e-09,0.03151045743924535,0.4496,0.4593,0.4467,mca
"Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA",Electricity; at grid; consumption mix - New York Independent System Operator - BA,"steel production, EAF",Electricity; at grid; consumption mix - California Independent System Operator - BA,"ironmaking, direct reduction, MIDREX",Electricity; at grid; consumption mix - Bonneville Power Administration - BA,natural gas extraction and processing - Anadarko,"Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","ironmaking, blast furnace",Electricity; at grid; consumption mix - New York Independent System Operator - BA,"coal extraction and processing - Import, BIT, Underground",0.037661221383798876,0.1968743461088441,0.04124350881239821,0.15668103695590924,0.8144685839723723,0.9616147851359753,0.042828714607913536,0.5096368614114054,0.009512961324278563,0.4854242559003691,0.11427349567061187,10.105800600437906,1.258650605376604,0.009630969130671048,0.034648575319318024,0.20377753413854482,0.10089338750589277,0.07132103778026008,0.048296434721735594,1.0222815800856753,0.11873557304313387,0.2950249546526243,0.4513,0.0,0.0,0.002340992231025767,0.000948924701088377,1.0242922598467112e-08,0.032074796219773695,0.4587,0.4685,0.4558,mca
"Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA",Electricity; at grid; consumption mix - New York Independent System Operator - BA,"steel production, EAF",Electricity; at grid; consumption mix - California Independent System Operator - BA,"ironmaking, direct reduction, MIDREX",Electricity; at grid; consumption mix - Bonneville Power Administration - BA,natural gas extraction and processing - Anadarko,"Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","ironmaking, blast furnace",Electricity; at grid; consumption mix - New York Independent System Operator - BA,"coal extraction and processing - Import, BIT, Underground",0.01530827087945392,0.2229081533476076,0.04941361830395617,0.13837365210847252,0.8106980703443039,0.9690094744778998,0.0401510020455701,0.6317997705320778,0.010423794978303886,0.5196231546275114,0.11960606545042596,9.998148649120933,1.2675071260702384,0.009830882039141701,0.04369019382480985,0.04924444633046317,0.13292996897391113,0.06378079205644821,0.04004852947746003,0.8241788033382277,0.1315296861035079,0.35696939006558814,0.4609,0.0,0.0,0.002311203721807175,0.000929138774590869,1.0219645470293622e-08,0.0316063471883569,0.4683,0.4781,0.4654,mca
"Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA",Electricity; at grid; consumption mix - New York Independent System Operator - BA,"steel production, EAF",Electricity; at grid; consumption mix - California Independent System Operator - BA,"ironmaking, direct reduction, MIDREX",Electricity; at grid; consumption mix - Bonneville Power Administration - BA,natural gas extraction and processing - Anadarko,"Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","ironmaking, blast furnace",Electricity; at grid; consumption mix - New York Independent System Operator - BA,"coal extraction and processing - Import, BIT, Underground",0.01600325508922819,0.21984120902659726,0.0444640325668211,0.16288893898355364,0.8875720934556788,0.9844729242016667,0.03081801668457517,0.5047942148323521,0.010025431610710987,0.48938282566812036,0.12150674192398662,9.74832206646095,1.3312528440602946,0.00978769342327001,0.02505748361191086,0.1322184674822488,0.08372209835863251,0.10300834814890576,0.06323550771137337,1.1570606409829853,0.13762082277230703,0.32854896208718937,0.4676,0.0,0.0,0.0023351467048888432,0.0009315217119767514,1.0227194572492354e-08,0.03232997249482027,0.475,0.4852,0.4721,mca
Electricity; at grid; consumption mix - Duke Energy Carolinas - BA,Electricity; at grid; consumption mix - California Independent System Operator - BA,"steel production, EAF",Electricity; at grid; consumption mix - Tennessee Valley Authority - BA,"ironmaking, blast furnace",Electricity; at grid; consumption mix - Tennessee Valley Authority - BA,natural gas extraction and processing - Appalachian,Electricity; at grid; consumption mix - Los Angeles Department of Water and Power - BA,"ironmaking, blast furnace","Electricity; at grid; consumption mix - Southern Company Services, Inc. - Trans - BA","coal extraction and processing - Northern Appalachia, BIT, Processing",0.01712708166990497,0.2040932262030421,0.05227652799481679,0.1563346214176783,0.7362245240073657,0.975368236362581,0.02604253654046567,0.5517936590732462,0.009692255739273833,0.5272703115065595,0.12375825889212179,10.13397420746354,1.2752593042207294,0.009678462680654509,0.024887452344285153,0.2005678291477919,0.10041893015305864,0.09204079998481239,0.0909018794583108,0.8264817169409796,0.13454061633252107,0.4049661071407442,0.4274,0.0,0.0,0.002207047159285422,0.0009282884310441136,9.802107675611384e-09,0.03229785302149004,0.4344,0.4433,0.4315,mca
