"percentile_list","decile_gwps","Product"
0.1,0.77469,"fabrication, plate"
0.2,0.91816,"fabrication, plate"
0.3,1.09991,"fabrication, plate"
0.4,1.32464,"fabrication, plate"
0.5,1.92355,"fabrication, plate"
0.6,2.1345,"fabrication, plate"
0.7,2.22803,"fabrication, plate"
0.8,2.33092,"fabrication, plate"
0.9,2.50237,"fabrication, plate"
