"sim_type","n","mean_gwp","sd_gwp","rsd_gwp","min_gwp","max_gwp","median_gwp","p10","p20","p30","p40","p50","p60","p70","p80","p90"
"BFBOF",150,0.7225,0,0,0.7225,0.7225,0.7225,0.7225,0.7225,0.7225,0.7225,0.7225,0.7225,0.7225,0.7225,0.7225
"DRI",150,0.723251333333333,0.00139681981402082,0.00193130624119714,0.7202,0.7265,0.7229,0.72179,0.7221,0.7224,0.7227,0.7229,0.7232,0.72373,0.7245,0.7255
"EAF",150,0.796396666666667,0.132646971757108,0.166558923849223,0.4551,1.2142,0.7797,0.64663,0.71536,0.74195,0.7609,0.7797,0.81292,0.85974,0.90028,0.95951
"fabrication",150,0.733396666666667,0.0319223584448281,0.0435267296617494,0.6385,0.8241,0.7343,0.69411,0.7111,0.72133,0.7291,0.7343,0.74036,0.74635,0.7553,0.76841
"rolling",150,0.730053333333333,0.0245286291205285,0.0335984071307966,0.6754,0.7986,0.72915,0.6989,0.71264,0.71871,0.72284,0.72915,0.7345,0.73888,0.74352,0.76339
"supply chain",150,0.7225,0,0,0.7225,0.7225,0.7225,0.7225,0.7225,0.7225,0.7225,0.7225,0.7225,0.7225,0.7225,0.7225
