"sim_type","n","mean_gwp","sd_gwp","rsd_gwp","min_gwp","max_gwp","median_gwp","p10","p20","p30","p40","p50","p60","p70","p80","p90"
"BFBOF",75,2.42579466666667,0.206807038861163,0.0852533158321024,1.9799,2.9838,2.4271,2.14942,2.26756,2.29908,2.37382,2.4271,2.46498,2.5071,2.61838,2.65778
"DRI",75,2.2853,0,0,2.2853,2.2853,2.2853,2.2853,2.2853,2.2853,2.2853,2.2853,2.2853,2.2853,2.2853,2.2853
"EAF",75,2.2853,0,0,2.2853,2.2853,2.2853,2.2853,2.2853,2.2853,2.2853,2.2853,2.2853,2.2853,2.2853,2.2853
"fabrication",75,2.283548,0.0419592864443489,0.0183746023487787,2.1928,2.3668,2.2824,2.23252,2.25002,2.25834,2.27166,2.2824,2.29002,2.3022,2.32088,2.34936
"rolling",75,2.28583466666667,0.0210258302746583,0.00919831630050453,2.2413,2.3307,2.2866,2.25476,2.26558,2.2794,2.28376,2.2866,2.28988,2.2953,2.30258,2.31406
"supply chain",75,2.130012,0.0922956895716886,0.0433310655393907,2.0509,2.3554,2.1158,2.05456,2.06232,2.06754,2.07274,2.1158,2.12162,2.13158,2.15902,2.33918
