"sim_type","n","mean_gwp","sd_gwp","rsd_gwp","min_gwp","max_gwp","median_gwp","p10","p20","p30","p40","p50","p60","p70","p80","p90"
"BFBOF",75,0.763937333333333,0.00552744438610118,0.00723546833610416,0.7511,0.7778,0.7642,0.75722,0.75878,0.76054,0.76224,0.7642,0.76594,0.7672,0.7691,0.77068
"DRI",75,0.7589,0,0,0.7589,0.7589,0.7589,0.7589,0.7589,0.7589,0.7589,0.7589,0.7589,0.7589,0.7589,0.7589
"EAF",75,0.7997,0.117411869191437,0.146819893949527,0.5569,1.0965,0.81,0.66854,0.7085,0.7315,0.748,0.81,0.82388,0.8584,0.89436,0.9604
"fabrication",75,0.768041333333333,0.045655774606888,0.0594444239201813,0.6648,0.8632,0.7766,0.68512,0.73438,0.75966,0.77164,0.7766,0.78684,0.79152,0.79696,0.80938
"rolling",75,0.764696,0.0193905482687355,0.0253571985059887,0.7149,0.8045,0.7684,0.73276,0.75404,0.75912,0.76442,0.7684,0.7712,0.77314,0.78,0.7862
"supply chain",75,0.756194666666667,0.00522201403968149,0.00690564780455318,0.7505,0.7686,0.7545,0.7512,0.7515,0.7517,0.75196,0.7545,0.75834,0.75918,0.76102,0.7617
