elec_steel_fab,elec_steel_rolling,steel_bloom,elec_EAF,iron_forEAF,elec_DRI,natgas_DRI,elec_BOF,iron_forBOF,elec,coal,"fabrication, heavy sections.wf","fabrication, heavy sections.elec","fabrication, heavy sections.trans_co2","rolling, bloom.elec","rolling, bloom.heat","steelmaking, electric arc furnace.scrap_pct","steelmaking, electric arc furnace.wf","steelmaking, electric arc furnace.kWh_EAF","steelmaking, electric arc furnace.trans_co2","ironmaking, direct reduction, MIDREX.co2_kg","ironmaking, direct reduction, MIDREX.elec","ironmaking, direct reduction, MIDREX.ng_mj","ironmaking, direct reduction, MIDREX.ore_kg","ironmaking, direct reduction, MIDREX.trans_co2","steelmaking, basic oxygen converter.elec","steelmaking, basic oxygen converter.scrap_pct","steelmaking, basic oxygen converter.wf","steelmaking, basic oxygen converter.co2_kg","ironmaking, blast furnace.elec","ironmaking, blast furnace.co2_kg",coking.co2_kg,sintering.co2_kg,gwp,gwp_be,gep_bu,ap,ep,odp,pocp,gwp_AR5,gwp_EF2,gwp_CML,sim_type
Electricity; at grid; consumption mix - ISO-NE - BA,Electricity; at grid; consumption mix - Southwest Power Pool - BA,"steelmaking, electric arc furnace","Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","ironmaking, blast furnace",Electricity; at grid; consumption mix - Florida Power & Light Co. - BA,natural gas extraction and processing - Permian,Electricity; at grid; consumption mix - Turlock Irrigation District - BA,"ironmaking, blast furnace",Electricity; at grid; consumption mix - Tennessee Valley Authority - BA,"coal extraction and processing - Northern Appalachia, WC, Surface",0.0721815571355683,0.17836308118980765,0.04618474942431263,0.0420550918466525,1.0127374510310896,0.8603292878147034,0.029693982995845934,0.530368159734084,0.009734109005681377,0.5142443974589814,0.11983502071312517,10.071821413122903,1.2730545527707804,0.010311438088908659,0.026755446440558762,0.14502569741575577,0.11108891032087931,0.06960899085916178,0.07601987084198633,1.0108327850641559,0.09380257858352775,0.2910506851441637,1.0097,0.0,0.0,0.0014349318339913074,0.00012233304700672406,1.9397702304233433e-08,0.02853971020288212,1.0283,1.0485,1.0189,mca
Electricity; at grid; consumption mix - ISO-NE - BA,Electricity; at grid; consumption mix - Southwest Power Pool - BA,"steelmaking, electric arc furnace","Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","ironmaking, blast furnace",Electricity; at grid; consumption mix - Florida Power & Light Co. - BA,natural gas extraction and processing - Permian,Electricity; at grid; consumption mix - Turlock Irrigation District - BA,"ironmaking, blast furnace",Electricity; at grid; consumption mix - Tennessee Valley Authority - BA,"coal extraction and processing - Northern Appalachia, WC, Surface",0.05285959057275969,0.19899692114306214,0.04249659793526981,0.03934689340377311,0.9480282261925075,0.8511015242205593,0.015930945429187535,0.489008336813528,0.010491765987564508,0.4829088630413204,0.12273060063511784,10.198797817953793,1.3004109264511143,0.009899662897367678,0.038522164642180265,0.13435346152749172,0.09540365240388199,0.06581353360886588,0.055815125938099855,1.2231199715862748,0.11506298027345307,0.3836581622353365,1.0333,0.0,0.0,0.0013691647646146402,0.00011880485661094522,1.889197306320701e-08,0.02736228655706188,1.0516,1.0715,1.0423,mca
Electricity; at grid; consumption mix - ISO-NE - BA,Electricity; at grid; consumption mix - Southwest Power Pool - BA,"steelmaking, electric arc furnace","Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","ironmaking, blast furnace",Electricity; at grid; consumption mix - Florida Power & Light Co. - BA,natural gas extraction and processing - Permian,Electricity; at grid; consumption mix - Turlock Irrigation District - BA,"ironmaking, blast furnace",Electricity; at grid; consumption mix - Tennessee Valley Authority - BA,"coal extraction and processing - Northern Appalachia, WC, Surface",0.028589754950976307,0.1746223123993994,0.04647914130123945,0.03458208538441661,0.9521004890037418,0.8568335893381859,0.04922698116265533,0.4422510487614025,0.010320772803507164,0.5302182080094103,0.12320820420707979,10.227214014216374,1.2908088463927996,0.010040637462416355,0.024118870953436344,0.08880030891558448,0.06852255083409221,0.0759161964126374,0.09207331340797406,1.1619628894430427,0.12514636013848426,0.2668799269582258,0.9499,0.0,0.0,0.0012675478408013024,0.00011230003279973089,1.7918379154913668e-08,0.025496139892273884,0.9673,0.9862,0.9585,mca
Electricity; at grid; consumption mix - ISO-NE - BA,Electricity; at grid; consumption mix - Southwest Power Pool - BA,"steelmaking, electric arc furnace","Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","ironmaking, blast furnace",Electricity; at grid; consumption mix - Florida Power & Light Co. - BA,natural gas extraction and processing - Permian,Electricity; at grid; consumption mix - Turlock Irrigation District - BA,"ironmaking, blast furnace",Electricity; at grid; consumption mix - Tennessee Valley Authority - BA,"coal extraction and processing - Northern Appalachia, WC, Surface",0.046298890216214035,0.18932572999648883,0.047693519505218315,0.04090637750559044,0.8115483833684081,0.8759283088184635,0.033852159135329386,0.6177417892342317,0.009580567058079423,0.5050666336036909,0.12000550330442197,9.83352663762343,1.2754062815735498,0.010257471856264792,0.026149170634931638,0.10305666503026034,0.07097032761280483,0.04646742464489628,0.10549890204930991,1.1846228500212928,0.13284837442676,0.26934994995004147,1.0211,0.0,0.0,0.0014707802462524083,0.00012206223403917911,1.9573036374952532e-08,0.028687629976278804,1.0388,1.058,1.0297,mca
Electricity; at grid; consumption mix - ISO-NE - BA,Electricity; at grid; consumption mix - Southwest Power Pool - BA,"steelmaking, electric arc furnace","Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","ironmaking, blast furnace",Electricity; at grid; consumption mix - Florida Power & Light Co. - BA,natural gas extraction and processing - Permian,Electricity; at grid; consumption mix - Turlock Irrigation District - BA,"ironmaking, blast furnace",Electricity; at grid; consumption mix - Tennessee Valley Authority - BA,"coal extraction and processing - Northern Appalachia, WC, Surface",0.027094957211296018,0.18652741079762158,0.04533239738732524,0.03994730090234467,0.8168818909056703,0.8120200615299559,0.041001926962300136,0.5474134386108344,0.009962672861405794,0.49987773644116634,0.11915776528701336,10.013732343560008,1.331208147931746,0.010236119442073597,0.04059993657067605,0.17754784296169035,0.13596206204699415,0.0886825907724462,0.10719742780505678,1.3950897431474742,0.13782862658471942,0.3540506820819297,1.1656,0.0,0.0,0.0014339590022991045,0.00012205686071187514,1.908006340688666e-08,0.028370756020262355,1.1865,1.2094,1.176,mca
Electricity; at grid; consumption mix - ISO-NE - BA,Electricity; at grid; consumption mix - Southwest Power Pool - BA,"steelmaking, electric arc furnace","Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","ironmaking, blast furnace",Electricity; at grid; consumption mix - Florida Power & Light Co. - BA,natural gas extraction and processing - Permian,Electricity; at grid; consumption mix - Turlock Irrigation District - BA,"ironmaking, blast furnace",Electricity; at grid; consumption mix - Tennessee Valley Authority - BA,"coal extraction and processing - Northern Appalachia, WC, Surface",0.07707120901433265,0.1889480437370452,0.046862544955437915,0.038468042126235884,0.8804180340442032,0.8355604857849919,0.01684978329556676,0.48019586030176376,0.009684940960338135,0.48846092462547613,0.12579940485164198,10.19243255593839,1.3465111424096925,0.010155613551473121,0.02824625520046686,0.19998193911708415,0.059616706917429034,0.07489904237820652,0.0778989584050393,1.0975525274272837,0.11123539972535255,0.40001385595132594,1.0625,0.0,0.0,0.0013902140152971117,0.00012122797591140549,1.9250881274140658e-08,0.027694840163424987,1.082,1.1033,1.0722,mca
Electricity; at grid; consumption mix - ISO-NE - BA,Electricity; at grid; consumption mix - Southwest Power Pool - BA,"steelmaking, electric arc furnace","Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","ironmaking, blast furnace",Electricity; at grid; consumption mix - Florida Power & Light Co. - BA,natural gas extraction and processing - Permian,Electricity; at grid; consumption mix - Turlock Irrigation District - BA,"ironmaking, blast furnace",Electricity; at grid; consumption mix - Tennessee Valley Authority - BA,"coal extraction and processing - Northern Appalachia, WC, Surface",0.024768912791870774,0.1993429770894635,0.04407768294426548,0.03726938916602107,0.8825729663826967,0.8701890652137293,0.039676892767795915,0.6063930056756671,0.010491189442624784,0.49175688913970067,0.11442473260242383,9.483840435775404,1.2775908348664027,0.010405147154864316,0.026478101754372353,0.1357991286475338,0.05531373190868624,0.10114512979672843,0.06317426584979749,1.1810897829200662,0.1377754750468191,0.5003077333217741,1.0462,0.0,0.0,0.0014422728410652065,0.00012032016943559533,1.9155407052139397e-08,0.028328609203789854,1.0639,1.0831,1.0549,mca
Electricity; at grid; consumption mix - ISO-NE - BA,Electricity; at grid; consumption mix - Southwest Power Pool - BA,"steelmaking, electric arc furnace","Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","ironmaking, blast furnace",Electricity; at grid; consumption mix - Florida Power & Light Co. - BA,natural gas extraction and processing - Permian,Electricity; at grid; consumption mix - Turlock Irrigation District - BA,"ironmaking, blast furnace",Electricity; at grid; consumption mix - Tennessee Valley Authority - BA,"coal extraction and processing - Northern Appalachia, WC, Surface",0.01501178710760975,0.17148273813100637,0.04842261070412793,0.04022787196103235,0.7069486924237384,0.8839748547810726,0.021858180916184182,0.4551948513527106,0.009652426008388804,0.48619345989039886,0.11666070846658792,10.184931541394485,1.3250662017637505,0.010412636548855258,0.031096028125258465,0.24776905989099876,0.08736740269587061,0.09655212894022522,0.08735008935655875,0.8666669543874173,0.1332433720391737,0.28771502687160144,0.8351,0.0,0.0,0.0012112549769279122,0.00010695186519543365,1.7671002075294794e-08,0.023792461960823724,0.8501,0.8663,0.8424,mca
Electricity; at grid; consumption mix - ISO-NE - BA,Electricity; at grid; consumption mix - Southwest Power Pool - BA,"steelmaking, electric arc furnace","Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","ironmaking, blast furnace",Electricity; at grid; consumption mix - Florida Power & Light Co. - BA,natural gas extraction and processing - Permian,Electricity; at grid; consumption mix - Turlock Irrigation District - BA,"ironmaking, blast furnace",Electricity; at grid; consumption mix - Tennessee Valley Authority - BA,"coal extraction and processing - Northern Appalachia, WC, Surface",0.06102421637813164,0.19016215672814965,0.051035108505562615,0.038648723387873216,0.999138626955412,0.8564691961585691,0.031333895282110134,0.5139004692497964,0.009918162497939226,0.49930813274663416,0.1203303175982588,9.92248779617186,1.32394884613772,0.01032398418061993,0.05029557164086771,0.25747627553265423,0.06751757280090734,0.07113776406870403,0.10813859471521019,1.2687627257606868,0.12570651231949623,0.5398534305891519,1.0932,0.0,0.0,0.0014101698679327133,0.00012113233303232113,1.9139639639132316e-08,0.02823406266894462,1.1118,1.132,1.1024,mca
Electricity; at grid; consumption mix - ISO-NE - BA,Electricity; at grid; consumption mix - Southwest Power Pool - BA,"steelmaking, electric arc furnace","Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","ironmaking, blast furnace",Electricity; at grid; consumption mix - Florida Power & Light Co. - BA,natural gas extraction and processing - Permian,Electricity; at grid; consumption mix - Turlock Irrigation District - BA,"ironmaking, blast furnace",Electricity; at grid; consumption mix - Tennessee Valley Authority - BA,"coal extraction and processing - Northern Appalachia, WC, Surface",0.05971962184175708,0.20617420774794157,0.05726541567799187,0.04340644391879915,0.9901010623780551,0.8642463272483861,0.04118187534635699,0.5452793778606928,0.00990219739805106,0.4825438411957323,0.1250986091702232,10.038118583137507,1.3095424120754915,0.009533992371013843,0.024489434029069765,0.16974298521930675,0.05437093189226784,0.06343128467411382,0.08577160114100371,0.9827158805693126,0.12312308951797438,0.2653434925962457,1.0184,0.0,0.0,0.0014527397154954916,0.0001231270182438298,1.9485271832526104e-08,0.028953801437554945,1.0369,1.0569,1.0275,mca
Electricity; at grid; consumption mix - ISO-NE - BA,Electricity; at grid; consumption mix - ISO-NE - BA,"steelmaking, electric arc furnace",Electricity; at grid; consumption mix - Salt River Project Agricultural Improvement and Power District - BA,"ironmaking, direct reduction, MIDREX",Electricity; at grid; consumption mix - Western Area Power Administration - Rocky Mountain Region - BA,natural gas extraction and processing - Permian,Electricity; at grid; consumption mix - Arizona Public Service Company - BA,"ironmaking, blast furnace",Electricity; at grid; consumption mix - PacifiCorp West - BA,"coal extraction and processing - Rocky Mountain, WC, Surface",0.04110470721412893,0.17764671183267408,0.05160409955559531,0.04261137673196874,0.8369547064375656,0.9091661666805038,0.025251072307491934,0.5489222006438608,0.009948107273510167,0.5225996316147519,0.12428970056843883,9.618123294434366,1.2729740392621016,0.010441185599237212,0.027835710154307837,0.12233121187454804,0.06819467183754623,0.09124480014918826,0.05873564909745596,0.9826334768038827,0.09847294184568312,0.3772985134975081,0.7228,0.0,0.0,0.001110510190959008,0.00011318568313453786,1.7760465116112925e-08,0.02932302899453372,0.7313,0.74,0.7266,mca
