elec_steel_fab,elec_steel_rolling,steel_bloom,elec_EAF,iron_forEAF,elec_DRI,natgas_DRI,elec_BOF,iron_forBOF,elec,coal,"fabrication, heavy sections.wf","fabrication, heavy sections.elec","fabrication, heavy sections.trans_co2","rolling, bloom.elec","rolling, bloom.heat","steelmaking, electric arc furnace.scrap_pct","steelmaking, electric arc furnace.wf","steelmaking, electric arc furnace.kWh_EAF","steelmaking, electric arc furnace.trans_co2","ironmaking, direct reduction, MIDREX.co2_kg","ironmaking, direct reduction, MIDREX.elec","ironmaking, direct reduction, MIDREX.ng_mj","ironmaking, direct reduction, MIDREX.ore_kg","ironmaking, direct reduction, MIDREX.trans_co2","steelmaking, basic oxygen converter.elec","steelmaking, basic oxygen converter.scrap_pct","steelmaking, basic oxygen converter.wf","steelmaking, basic oxygen converter.co2_kg","ironmaking, blast furnace.elec","ironmaking, blast furnace.co2_kg",coking.co2_kg,sintering.co2_kg,gwp,gwp_be,gep_bu,ap,ep,odp,pocp,gwp_AR5,gwp_EF2,gwp_CML,sim_type
Electricity; at grid; consumption mix - Tennessee Valley Authority - BA,"Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA","steelmaking, electric arc furnace","Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","ironmaking, blast furnace",Electricity; at grid; consumption mix - LG&E and KU Services Company as agent for Louisville Gas and Electric Company and Kentucky Utilities Company - BA,natural gas extraction and processing - Appalachian,"Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","ironmaking, blast furnace","Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","coal extraction and processing - Northern Appalachia, WC, Underground",0.07422818714981255,0.20428489454882615,0.048163674665785396,0.03809397213423778,0.8333939552243945,0.830107767839436,0.01046353327919002,0.4041357928806358,0.01003698806901328,0.4871785183653186,0.11772223152431067,9.703095832501406,1.2984142678996624,0.009975335318911814,0.0338217435053013,0.1363531302419567,0.11379105941008959,0.03962861340669645,0.0634293690595566,1.1112956508220273,0.12197389625806164,0.2772342109834769,1.0367,0.0,0.0,0.0014076113693340562,0.00011659715582892303,1.906498554416544e-08,0.026475839532671516,1.056,1.0771,1.0463,mca
Electricity; at grid; consumption mix - Tennessee Valley Authority - BA,"Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA","steelmaking, electric arc furnace","Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","ironmaking, blast furnace",Electricity; at grid; consumption mix - LG&E and KU Services Company as agent for Louisville Gas and Electric Company and Kentucky Utilities Company - BA,natural gas extraction and processing - Appalachian,"Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","ironmaking, blast furnace","Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","coal extraction and processing - Northern Appalachia, WC, Underground",0.07817988391959477,0.21236920881068821,0.051159682098395234,0.043793280940297004,0.887762544760126,0.8263310981585754,0.028685049313660532,0.46793572620023927,0.009803999368885773,0.5028450568633662,0.1257612387810805,9.434323873867678,1.36267100629123,0.009799791750162415,0.03986294727126265,0.17871511779855415,0.14975646256258873,0.05497791401982138,0.07150960641844596,1.2393011987022402,0.14776634335689717,0.3293989500037061,1.1458,0.0,0.0,0.0015241950157813045,0.00012281752919278652,1.9826185038388917e-08,0.028626106156885992,1.1664,1.1889,1.156,mca
Electricity; at grid; consumption mix - Tennessee Valley Authority - BA,"Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA","steelmaking, electric arc furnace","Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","ironmaking, blast furnace",Electricity; at grid; consumption mix - LG&E and KU Services Company as agent for Louisville Gas and Electric Company and Kentucky Utilities Company - BA,natural gas extraction and processing - Appalachian,"Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","ironmaking, blast furnace","Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","coal extraction and processing - Northern Appalachia, WC, Underground",0.05749984354733605,0.20297884955799206,0.055420620493391984,0.03773941417786325,0.7822704269770308,0.8237483937550891,0.0359486448379418,0.4848802633598409,0.009521882511939181,0.4901240488646159,0.11738431962955677,9.825488522821162,1.2946109418191216,0.009861197629657611,0.03860382893909829,0.2520142596767006,0.14088610121301987,0.03439948337572557,0.06975078286639218,1.1162084594743256,0.1350136280984594,0.39668941289794624,1.1212,0.0,0.0,0.001487984705581107,0.000120042232016486,1.9457939405148926e-08,0.027722873264299095,1.1415,1.1638,1.1313,mca
Electricity; at grid; consumption mix - Tennessee Valley Authority - BA,"Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA","steelmaking, electric arc furnace","Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","ironmaking, blast furnace",Electricity; at grid; consumption mix - LG&E and KU Services Company as agent for Louisville Gas and Electric Company and Kentucky Utilities Company - BA,natural gas extraction and processing - Appalachian,"Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","ironmaking, blast furnace","Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","coal extraction and processing - Northern Appalachia, WC, Underground",0.0752625622872408,0.18174861367453926,0.051077136971770194,0.035209959741284595,0.7471193140782809,0.8259491915800377,0.022658899205513686,0.5189342673939253,0.010305207929771019,0.48288036985782434,0.11583043939739107,9.59300041957473,1.3386375040191911,0.010021101840773684,0.02874191434818136,0.10323490645853131,0.05367525934610712,0.04538688595386346,0.057984383080343524,1.1261949604561574,0.14867270118077916,0.4062511313506626,1.1319,0.0,0.0,0.001510296632531797,0.00012177225928048315,1.977042663557333e-08,0.028053899871816303,1.1524,1.1749,1.1421,mca
Electricity; at grid; consumption mix - Tennessee Valley Authority - BA,"Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA","steelmaking, electric arc furnace","Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","ironmaking, blast furnace",Electricity; at grid; consumption mix - LG&E and KU Services Company as agent for Louisville Gas and Electric Company and Kentucky Utilities Company - BA,natural gas extraction and processing - Appalachian,"Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","ironmaking, blast furnace","Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","coal extraction and processing - Northern Appalachia, WC, Underground",0.04079040967278662,0.19927922382306762,0.05423857875894958,0.041353893174417615,0.9561305875434439,0.8485375927300965,0.011926218226236455,0.6124732453149736,0.009928633897891066,0.5282917449648669,0.11841939960359349,10.220117839117863,1.3167338488066458,0.01026430693240238,0.0327305455050275,0.1794932597866862,0.1438778418339789,0.07609501625885443,0.06713995616375203,1.159295529869056,0.11168657407073225,0.23913767499337102,1.1027,0.0,0.0,0.0016075932536933962,0.00012442459159126067,1.996326155650303e-08,0.02998698908311662,1.1223,1.1437,1.1124,mca
Electricity; at grid; consumption mix - Tennessee Valley Authority - BA,"Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA","steelmaking, electric arc furnace","Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","ironmaking, blast furnace",Electricity; at grid; consumption mix - LG&E and KU Services Company as agent for Louisville Gas and Electric Company and Kentucky Utilities Company - BA,natural gas extraction and processing - Appalachian,"Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","ironmaking, blast furnace","Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","coal extraction and processing - Northern Appalachia, WC, Underground",0.027137866051727404,0.19206780176420882,0.0453965793498329,0.03694843163510868,0.8631522033099254,0.8409933748103784,0.047774091797993856,0.5207552566925029,0.010258817796950405,0.509468660697938,0.12296659056279688,10.254362176112924,1.2837432608060704,0.010111099374305743,0.029933394281884216,0.12405632494354764,0.07156618350452915,0.032954824794381846,0.08000243449989514,0.8943002620314118,0.13272894756549344,0.3827190905066298,1.0293,0.0,0.0,0.0014742118933647964,0.00011763506845495075,1.9025847288662904e-08,0.027531046770112297,1.0485,1.0694,1.0388,mca
Electricity; at grid; consumption mix - Tennessee Valley Authority - BA,"Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA","steelmaking, electric arc furnace","Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","ironmaking, blast furnace",Electricity; at grid; consumption mix - LG&E and KU Services Company as agent for Louisville Gas and Electric Company and Kentucky Utilities Company - BA,natural gas extraction and processing - Appalachian,"Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","ironmaking, blast furnace","Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","coal extraction and processing - Northern Appalachia, WC, Underground",0.06812829086997592,0.185005618263499,0.054431366844624386,0.04245443329333563,0.8365120142753767,0.8555725223455921,0.01439858712154865,0.4827249409307931,0.010214463388940078,0.4995631783558772,0.11552420853025003,9.495693340205442,1.2415910907231176,0.009527375293517815,0.027516637268677337,0.26402213724862356,0.10284965743464716,0.08165525132322442,0.11003374345933034,0.843163283650036,0.13174401303292538,0.32949842077758695,0.9957,0.0,0.0,0.0014628470339310617,0.00011807462515419972,1.9378741551342657e-08,0.027331253425016244,1.014,1.0339,1.0047,mca
Electricity; at grid; consumption mix - Tennessee Valley Authority - BA,"Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA","steelmaking, electric arc furnace","Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","ironmaking, blast furnace",Electricity; at grid; consumption mix - LG&E and KU Services Company as agent for Louisville Gas and Electric Company and Kentucky Utilities Company - BA,natural gas extraction and processing - Appalachian,"Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","ironmaking, blast furnace","Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","coal extraction and processing - Northern Appalachia, WC, Underground",0.05837216732083005,0.1808005826873273,0.040630146858465895,0.0361737804954709,0.8490462184651019,0.8600581550750189,0.0202011408052832,0.54001673309839,0.009692661776305263,0.4945823445310541,0.11527509484344597,10.336779922562517,1.3481487033131303,0.010071888820709704,0.04042565098087765,0.09393131477704449,0.08575868552375474,0.07358747535812149,0.07323098322072161,1.2473089978731344,0.14885346608330016,0.25401824223310965,1.0401,0.0,0.0,0.0014929325811128382,0.00011904162516653986,1.9448845667921764e-08,0.027810053946822805,1.0584,1.0784,1.0491,mca
Electricity; at grid; consumption mix - Tennessee Valley Authority - BA,"Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA","steelmaking, electric arc furnace","Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","ironmaking, blast furnace",Electricity; at grid; consumption mix - LG&E and KU Services Company as agent for Louisville Gas and Electric Company and Kentucky Utilities Company - BA,natural gas extraction and processing - Appalachian,"Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","ironmaking, blast furnace","Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","coal extraction and processing - Northern Appalachia, WC, Underground",0.028371085266313732,0.1985778810596494,0.05790260351964832,0.038537647235249134,0.7754041575869326,0.8099341076718769,0.04755735325722273,0.6210202156320801,0.010258794929090945,0.5229855617455331,0.11794163821470548,10.020287122665568,1.3086349866258424,0.009544374596353506,0.0220037338466314,0.12547018581644714,0.058802486722590044,0.03077532432698144,0.10934775210356455,1.351772352828705,0.14218737871417264,0.2929871039224872,1.2367,0.0,0.0,0.0016300001399462694,0.00012624777634948176,2.0093217060708436e-08,0.030108700992017616,1.2587,1.2828,1.2477,mca
Electricity; at grid; consumption mix - Bonneville Power Administration - BA,"Electricity; at grid; consumption mix - Southern Company Services, Inc. - Trans - BA","steelmaking, electric arc furnace",Electricity; at grid; consumption mix - Florida Power & Light Co. - BA,"ironmaking, direct reduction, MIDREX","Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA",natural gas extraction and processing - Gulf,Electricity; at grid; consumption mix - Idaho Power Company - BA,"ironmaking, blast furnace","Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA","coal extraction and processing - Central Appalachia, BIT, Underground",0.015230950207573788,0.20219830457052967,0.04834229862855206,0.037899559525999056,0.7921413208912383,0.892601828196561,0.017362722955621322,0.38271518170337576,0.009639371388836296,0.49130899910174275,0.12056260834169481,10.350500655450842,1.2357931317455497,0.010367931583016039,0.04825726870538153,0.09205476251453566,0.07412592965622611,0.03879365573447156,0.046198008292172466,0.9833245507942066,0.1210490846672766,0.24828900406172588,0.594,0.0,0.0,0.0011122124253642772,0.00011214195268214583,1.2771100661080886e-08,0.03167342988143312,0.6016,0.6093,0.5974,mca
