elec_steel_fab,elec_steel_rolling,steel_bloom,elec_EAF,iron_forEAF,elec_DRI,natgas_DRI,elec_BOF,iron_forBOF,elec,coal,"fabrication, heavy sections.wf","fabrication, heavy sections.elec","fabrication, heavy sections.trans_co2","rolling, bloom.elec","rolling, bloom.heat","steelmaking, electric arc furnace.scrap_pct","steelmaking, electric arc furnace.wf","steelmaking, electric arc furnace.kWh_EAF","steelmaking, electric arc furnace.trans_co2","ironmaking, direct reduction, MIDREX.co2_kg","ironmaking, direct reduction, MIDREX.elec","ironmaking, direct reduction, MIDREX.ng_mj","ironmaking, direct reduction, MIDREX.ore_kg","ironmaking, direct reduction, MIDREX.trans_co2","steelmaking, basic oxygen converter.elec","steelmaking, basic oxygen converter.scrap_pct","steelmaking, basic oxygen converter.wf","steelmaking, basic oxygen converter.co2_kg","ironmaking, blast furnace.elec","ironmaking, blast furnace.co2_kg",coking.co2_kg,sintering.co2_kg,gwp,gwp_be,gep_bu,ap,ep,odp,pocp,gwp_AR5,gwp_EF2,gwp_CML,sim_type
"Electricity; at grid; consumption mix - Electric Reliability Council of Texas, Inc. - BA",Electricity; at grid; consumption mix - California Independent System Operator - BA,"steelmaking, electric arc furnace",Electricity; at grid; consumption mix - Arizona Public Service Company - BA,"ironmaking, blast furnace",Electricity; at grid; consumption mix - Duke Energy Carolinas - BA,natural gas extraction and processing - Permian,"Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","ironmaking, blast furnace","Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA","coal extraction and processing - Central Interior, BIT, Underground",0.04355395558700428,0.16708125951301778,0.05036107393130503,0.03744725215576204,0.8993805268198862,0.8052914202978856,0.022824930507047834,0.5614537827314974,0.009651500107292365,0.5280611091042123,0.12353589089261283,9.893151885040549,1.3517976458773846,0.009885531489225434,0.030363464932964452,0.06264103659418367,0.14128436404300815,0.05002538811795143,0.08792243213066898,1.384393942189144,0.12217109601551437,0.27880964785997003,1.3756,0.0,0.0,0.002108168293438628,0.0001636332677033079,2.1958434018403425e-08,0.05438471722388152,1.3932,1.4123,1.3841,mca
"Electricity; at grid; consumption mix - Electric Reliability Council of Texas, Inc. - BA",Electricity; at grid; consumption mix - California Independent System Operator - BA,"steelmaking, electric arc furnace",Electricity; at grid; consumption mix - Arizona Public Service Company - BA,"ironmaking, blast furnace",Electricity; at grid; consumption mix - Duke Energy Carolinas - BA,natural gas extraction and processing - Permian,"Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","ironmaking, blast furnace","Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA","coal extraction and processing - Central Interior, BIT, Underground",0.06650610418792159,0.20521675642258644,0.047871381517050136,0.0380098341629411,0.7809674540433731,0.8973799761952869,0.04940009319195112,0.5638300180192839,0.009666324327867584,0.5140702972500572,0.12440621967371192,10.227327867297255,1.3605146285828296,0.009832086513271034,0.04412178911001855,0.11095855168188772,0.06336216864639985,0.08023912538116229,0.1016711191404649,1.2256187969140013,0.11922667220682982,0.358832463068133,1.1938,0.0,0.0,0.0020842337368703165,0.00016025954317800707,2.1933931513316793e-08,0.05413907991663922,1.2082,1.2237,1.2006,mca
"Electricity; at grid; consumption mix - Electric Reliability Council of Texas, Inc. - BA",Electricity; at grid; consumption mix - California Independent System Operator - BA,"steelmaking, electric arc furnace",Electricity; at grid; consumption mix - Arizona Public Service Company - BA,"ironmaking, blast furnace",Electricity; at grid; consumption mix - Duke Energy Carolinas - BA,natural gas extraction and processing - Permian,"Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","ironmaking, blast furnace","Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA","coal extraction and processing - Central Interior, BIT, Underground",0.06677460440545128,0.2033524368309672,0.050380715981866914,0.04343883950255793,0.9401292260460935,0.8820128967880667,0.034976364762887,0.5903526059418523,0.010213115485777318,0.5290524199487122,0.12564739009150314,10.030633011775391,1.2406721774110632,0.009518522158909738,0.03235385354297855,0.1514034028948097,0.08856849616423142,0.03949858176049625,0.08891008604540318,1.4441547753123947,0.14702347828675863,0.3090172328507604,1.2878,0.0,0.0,0.002172903860940345,0.0001660955903842763,2.2356420838929218e-08,0.056677682377466725,1.3033,1.32,1.2951,mca
"Electricity; at grid; consumption mix - Electric Reliability Council of Texas, Inc. - BA",Electricity; at grid; consumption mix - California Independent System Operator - BA,"steelmaking, electric arc furnace",Electricity; at grid; consumption mix - Arizona Public Service Company - BA,"ironmaking, blast furnace",Electricity; at grid; consumption mix - Duke Energy Carolinas - BA,natural gas extraction and processing - Permian,"Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","ironmaking, blast furnace","Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA","coal extraction and processing - Central Interior, BIT, Underground",0.06494452219701484,0.1759145862644374,0.057285130820383647,0.03478463777912688,1.013054493243444,0.8107043691200901,0.026870333011331612,0.4931867133861555,0.009584926762067377,0.5222313110040782,0.12563579769068192,10.038406688547898,1.3347066092505542,0.01021465766071514,0.030431389260617104,0.17887946474349997,0.09819460169051616,0.04441498257403845,0.06360743735614216,1.2650955281707723,0.13286312877066495,0.3242389915267626,1.3359,0.0,0.0,0.0020352105795785787,0.00016039021849355528,2.1584683065291794e-08,0.0524142054524665,1.3533,1.3721,1.3443,mca
"Electricity; at grid; consumption mix - Electric Reliability Council of Texas, Inc. - BA",Electricity; at grid; consumption mix - California Independent System Operator - BA,"steelmaking, electric arc furnace",Electricity; at grid; consumption mix - Arizona Public Service Company - BA,"ironmaking, blast furnace",Electricity; at grid; consumption mix - Duke Energy Carolinas - BA,natural gas extraction and processing - Permian,"Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","ironmaking, blast furnace","Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA","coal extraction and processing - Central Interior, BIT, Underground",0.0775548509893184,0.18265008650806872,0.05526476429198673,0.03318590710883867,0.7796971361223048,0.8026065871354872,0.035418273248043496,0.5026401417327581,0.010385951189422964,0.506502175313788,0.11427298887143016,9.529790745126551,1.2395596513256566,0.009793179372436112,0.030380422623619282,0.25272119018538847,0.14273700494853486,0.07463290879093556,0.1108392888918514,0.8730271385439091,0.13387922317307943,0.29535194909551193,1.2777,0.0,0.0,0.002078473222704648,0.00016309111912042373,2.2139822534820618e-08,0.053085707856558896,1.2955,1.3148,1.2864,mca
"Electricity; at grid; consumption mix - Electric Reliability Council of Texas, Inc. - BA",Electricity; at grid; consumption mix - California Independent System Operator - BA,"steelmaking, electric arc furnace",Electricity; at grid; consumption mix - Arizona Public Service Company - BA,"ironmaking, blast furnace",Electricity; at grid; consumption mix - Duke Energy Carolinas - BA,natural gas extraction and processing - Permian,"Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","ironmaking, blast furnace","Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA","coal extraction and processing - Central Interior, BIT, Underground",0.03322095321294632,0.20047231189734724,0.046371657742310696,0.036210520813379256,0.8825614515354772,0.8023308737805035,0.03903280049575558,0.5082736831176091,0.009527212124328017,0.5265546770299326,0.12207895805942767,10.112246538169751,1.245080405599618,0.010222995274560314,0.017749428052610566,0.07629615035126107,0.1134525998419546,0.04900688118604414,0.10198304827515509,0.9953441528214063,0.1312580649441839,0.29070681296961987,1.272,0.0,0.0,0.0020619684061618532,0.00016035700958307213,2.147792400275597e-08,0.05273056539726314,1.2895,1.3085,1.2804,mca
"Electricity; at grid; consumption mix - Electric Reliability Council of Texas, Inc. - BA",Electricity; at grid; consumption mix - California Independent System Operator - BA,"steelmaking, electric arc furnace",Electricity; at grid; consumption mix - Arizona Public Service Company - BA,"ironmaking, blast furnace",Electricity; at grid; consumption mix - Duke Energy Carolinas - BA,natural gas extraction and processing - Permian,"Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","ironmaking, blast furnace","Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA","coal extraction and processing - Central Interior, BIT, Underground",0.028229611696615003,0.21599655949476174,0.05872910654885288,0.03494921751245275,0.9025703663393143,0.8989553881595287,0.029407287526894754,0.635469809808876,0.010252905583054561,0.5017353381319927,0.12325115960468104,9.571832769965603,1.2681935836469487,0.009963345281974787,0.035023005171043134,0.18492865793595364,0.1390793177649255,0.05041621257291595,0.07570252562878615,1.2206161960172155,0.13253663426247736,0.3645843104335471,1.2324,0.0,0.0,0.002173778161470667,0.00016382499424973026,2.2014279751751843e-08,0.0567369119102365,1.2471,1.2628,1.2393,mca
"Electricity; at grid; consumption mix - Electric Reliability Council of Texas, Inc. - BA",Electricity; at grid; consumption mix - California Independent System Operator - BA,"steelmaking, electric arc furnace",Electricity; at grid; consumption mix - Arizona Public Service Company - BA,"ironmaking, blast furnace",Electricity; at grid; consumption mix - Duke Energy Carolinas - BA,natural gas extraction and processing - Permian,"Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","ironmaking, blast furnace","Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA","coal extraction and processing - Central Interior, BIT, Underground",0.07547041459597628,0.2016752706219029,0.05146984777243621,0.03303949157622515,0.939130573873582,0.8754577070319131,0.019868456910906114,0.5357229656019064,0.00995944982138332,0.5039241302001071,0.12305440230140434,10.172437466610122,1.2792818866381832,0.009756860515029362,0.029438056074536655,0.11679297756287346,0.08059537691336327,0.07000586408411308,0.07433775060311562,1.002634757423399,0.12903424774708208,0.316720204654551,1.1968,0.0,0.0,0.002078618808723024,0.00016109383190970653,2.1891248261472904e-08,0.05393083415501158,1.2121,1.2285,1.2041,mca
"Electricity; at grid; consumption mix - Electric Reliability Council of Texas, Inc. - BA",Electricity; at grid; consumption mix - California Independent System Operator - BA,"steelmaking, electric arc furnace",Electricity; at grid; consumption mix - Arizona Public Service Company - BA,"ironmaking, blast furnace",Electricity; at grid; consumption mix - Duke Energy Carolinas - BA,natural gas extraction and processing - Permian,"Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","ironmaking, blast furnace","Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA","coal extraction and processing - Central Interior, BIT, Underground",0.06452693417415234,0.20286278714280231,0.058906572423271034,0.04177593514567957,0.7539749480765996,0.852960464845058,0.03384382917297986,0.6332457842744306,0.00972844380582351,0.5288999327779067,0.11820370407973088,9.686908553733847,1.2644988868964377,0.009810850701825611,0.031494293291729966,0.1981832704508178,0.1167707567442691,0.06918347804284097,0.08056142477430421,1.286741586686083,0.11893790345574891,0.2976160968399136,1.3577,0.0,0.0,0.0022608054451781754,0.00017149359482943738,2.30467265697219e-08,0.058662378392393626,1.3743,1.3924,1.3656,mca
"Electricity; at grid; consumption mix - Duke Energy Florida, Inc. - BA",Electricity; at grid; consumption mix - ISO-NE - BA,"steelmaking, electric arc furnace","Electricity; at grid; consumption mix - Electric Reliability Council of Texas, Inc. - BA","ironmaking, blast furnace",Electricity; at grid; consumption mix - Tucson Electric Power - BA,natural gas extraction and processing - Gulf,"Electricity; at grid; consumption mix - Electric Reliability Council of Texas, Inc. - BA","ironmaking, blast furnace","Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","coal extraction and processing - Rocky Mountain, WC, Surface",0.038319641277363786,0.18572934381789893,0.0483271917797984,0.036491127651921834,0.8383399236078978,0.8403690560997127,0.04851589261696316,0.4037217984509736,0.009871021807254484,0.4843430402829336,0.1197825731084128,9.602002303434125,1.3052695131024277,0.010110397490493014,0.027371687374799426,0.2716146755482055,0.12077870093495979,0.06738281801559037,0.04672045237237446,0.8461274456326584,0.12353553972258302,0.5104010254980359,1.0137,0.0,0.0,0.0016576706199114186,0.00013540299288853383,1.770818049390277e-08,0.03874081877784951,1.0242,1.0344,1.0183,mca
