elec_steel_fab,elec_steel_rolling,steel_bloom,elec_EAF,iron_forEAF,elec_DRI,natgas_DRI,elec_BOF,iron_forBOF,elec,coal,"fabrication, heavy sections.wf","fabrication, heavy sections.elec","fabrication, heavy sections.trans_co2","rolling, bloom.elec","rolling, bloom.heat","steelmaking, electric arc furnace.scrap_pct","steelmaking, electric arc furnace.wf","steelmaking, electric arc furnace.kWh_EAF","steelmaking, electric arc furnace.trans_co2","ironmaking, direct reduction, MIDREX.co2_kg","ironmaking, direct reduction, MIDREX.elec","ironmaking, direct reduction, MIDREX.ng_mj","ironmaking, direct reduction, MIDREX.ore_kg","ironmaking, direct reduction, MIDREX.trans_co2","steelmaking, basic oxygen converter.elec","steelmaking, basic oxygen converter.scrap_pct","steelmaking, basic oxygen converter.wf","steelmaking, basic oxygen converter.co2_kg","ironmaking, blast furnace.elec","ironmaking, blast furnace.co2_kg",coking.co2_kg,sintering.co2_kg,zinc production.co2_kg,gwp,gwp_be,gep_bu,ap,ep,odp,pocp,gwp_AR5,gwp_EF2,gwp_CML,sim_type
"Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA","Electricity; at grid; consumption mix - Duke Energy Florida, Inc. - BA","steelmaking, electric arc furnace",Electricity; at grid; consumption mix - Tampa Electric Company - BA,"ironmaking, direct reduction, MIDREX",Electricity; at grid; consumption mix - Florida Power & Light Co. - BA,natural gas extraction and processing - Gulf,"Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA","ironmaking, blast furnace","Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA","coal extraction and processing - Central Interior, LIG, Surface",0.06634829101485146,0.1795516551334688,0.05974123751458267,0.033652065413876976,0.7415502886323264,0.8238955720637646,0.04591427879614863,0.50456910924861,0.009753626591864878,0.5242117048745842,0.12137522013876087,10.18139023357367,1.30180188892828,0.010224005290314924,0.05278290562899255,0.14987774291202985,0.07575085731514283,0.04785188207602466,0.0813999621763691,1.1099846050762099,0.10621988038433709,0.3420250710227061,1.185156372809061,0.9944,0.0,0.0,0.0020852954500173073,0.00014901243358992104,1.5181436536049107e-08,0.05093755057787719,1.0008,1.0181,0.9998,mca
"Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA","Electricity; at grid; consumption mix - Duke Energy Florida, Inc. - BA","steelmaking, electric arc furnace",Electricity; at grid; consumption mix - Tampa Electric Company - BA,"ironmaking, direct reduction, MIDREX",Electricity; at grid; consumption mix - Florida Power & Light Co. - BA,natural gas extraction and processing - Gulf,"Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA","ironmaking, blast furnace","Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA","coal extraction and processing - Central Interior, LIG, Surface",0.07792957020177155,0.20523438684221515,0.04531395125265882,0.040617730070898146,0.9502950410967477,0.8004287236123998,0.04687891765771214,0.5358695791094616,0.010212667006441495,0.5218841359040436,0.12360094299334451,9.639755116855156,1.2371381470338552,0.009571480010943401,0.024330529142113446,0.14680421696130577,0.13067089694319872,0.08002436939776927,0.05034038645124943,1.234375369559632,0.12914977889516535,0.2540653497053776,1.6314773474539788,1.073,0.0,0.0,0.00227708581792449,0.00016059948474931465,1.6023534997156106e-08,0.05584855194596015,1.08,1.0991,1.0789,mca
"Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA","Electricity; at grid; consumption mix - Duke Energy Florida, Inc. - BA","steelmaking, electric arc furnace",Electricity; at grid; consumption mix - Tampa Electric Company - BA,"ironmaking, direct reduction, MIDREX",Electricity; at grid; consumption mix - Florida Power & Light Co. - BA,natural gas extraction and processing - Gulf,"Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA","ironmaking, blast furnace","Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA","coal extraction and processing - Central Interior, LIG, Surface",0.06513042335246776,0.1942735103710351,0.04805991742770682,0.034679854214752115,0.8252315262969577,0.8167946231102579,0.01718805119998046,0.6414826743872801,0.009643157833936126,0.5124360119998752,0.12129212908891529,10.125196286915633,1.2687660341536653,0.009587294192712273,0.02537644701557027,0.13999278041104002,0.06464051269376961,0.10706483592353763,0.08525441324613886,1.0225312380547145,0.11657422496812855,0.2931616617602549,1.281068622681679,1.1072,0.0,0.0,0.0023432754201317164,0.00016231176106501418,1.6404278871839692e-08,0.056597487888228645,1.1143,1.1335,1.1131,mca
"Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA","Electricity; at grid; consumption mix - Duke Energy Florida, Inc. - BA","steelmaking, electric arc furnace",Electricity; at grid; consumption mix - Tampa Electric Company - BA,"ironmaking, direct reduction, MIDREX",Electricity; at grid; consumption mix - Florida Power & Light Co. - BA,natural gas extraction and processing - Gulf,"Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA","ironmaking, blast furnace","Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA","coal extraction and processing - Central Interior, LIG, Surface",0.07347536732171987,0.19720254161915377,0.059518758374738655,0.03927170582288549,0.7807660059592215,0.8040027746824827,0.010004744902475356,0.5654180693841123,0.009794584769958698,0.521907212998169,0.11610574023861739,10.115017938985936,1.2650883849685883,0.010266754940141168,0.02788113984131883,0.15078438504245534,0.08931935638490732,0.0732443086915554,0.06708030634941065,1.2090872408136635,0.14408014460772445,0.3544180603269233,1.0253968052133928,1.0793,0.0,0.0,0.002271571180737823,0.0001594842515218266,1.6042265253971474e-08,0.05539145142554702,1.0862,1.105,1.0851,mca
"Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA","Electricity; at grid; consumption mix - Duke Energy Florida, Inc. - BA","steelmaking, electric arc furnace",Electricity; at grid; consumption mix - Tampa Electric Company - BA,"ironmaking, direct reduction, MIDREX",Electricity; at grid; consumption mix - Florida Power & Light Co. - BA,natural gas extraction and processing - Gulf,"Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA","ironmaking, blast furnace","Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA","coal extraction and processing - Central Interior, LIG, Surface",0.07119849108018565,0.2068211857388798,0.04554548658761298,0.0375186998476016,0.8180766010477024,0.8534543535287904,0.027449016620112107,0.5543918451349409,0.009526838238145796,0.5198982183704735,0.12141476345103011,9.57980267121704,1.2660796094592708,0.01004095749046485,0.03152915877327256,0.15083330916696838,0.06978067866903927,0.07462114779453691,0.07239304947365262,1.0925670774933067,0.1450339679220865,0.29906740262498627,1.0589867136660018,1.0179,0.0,0.0,0.00212773941744441,0.00014913860450328987,1.5957760188094154e-08,0.05054248755951491,1.0243,1.0416,1.0233,mca
"Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA","Electricity; at grid; consumption mix - Duke Energy Florida, Inc. - BA","steelmaking, electric arc furnace",Electricity; at grid; consumption mix - Tampa Electric Company - BA,"ironmaking, direct reduction, MIDREX",Electricity; at grid; consumption mix - Florida Power & Light Co. - BA,natural gas extraction and processing - Gulf,"Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA","ironmaking, blast furnace","Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA","coal extraction and processing - Central Interior, LIG, Surface",0.046319709702216855,0.19693795410052414,0.059201279031335596,0.04113088647336304,0.9070623632177497,0.9179251307287097,0.022687656497066895,0.6072960577024998,0.009821992744682493,0.5080120987140938,0.12568622361737666,10.250641575718085,1.281517717290933,0.01026104021573629,0.036605897430649334,0.15990776189749023,0.09017379541274673,0.07168139749157057,0.06821798595168958,1.2549756188945238,0.1549177458325559,0.29879867332231097,1.909581568755986,0.9991,0.0,0.0,0.0020177378629868273,0.00013948498706462976,1.5772794735001387e-08,0.04645438680078947,1.0051,1.0212,1.0041,mca
"Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA","Electricity; at grid; consumption mix - Duke Energy Florida, Inc. - BA","steelmaking, electric arc furnace",Electricity; at grid; consumption mix - Tampa Electric Company - BA,"ironmaking, direct reduction, MIDREX",Electricity; at grid; consumption mix - Florida Power & Light Co. - BA,natural gas extraction and processing - Gulf,"Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA","ironmaking, blast furnace","Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA","coal extraction and processing - Central Interior, LIG, Surface",0.048693690256552055,0.18953881492921626,0.045721678091129654,0.04223889570308112,0.8568265019771114,0.8446894347818152,0.010233521633979241,0.3955373090255028,0.010027125994495964,0.488624689410886,0.11734109455872682,10.337138327571807,1.3134558763433406,0.00990194050582474,0.03507256194710776,0.15034205298568495,0.06311263426752894,0.05923748967114749,0.09174468983973892,1.174004762407975,0.14003189115151637,0.495524408555498,1.325258159525747,0.8743,0.0,0.0,0.0018634595103303494,0.00013570289875597147,1.4327402165702854e-08,0.045423818606199165,0.88,0.8956,0.8791,mca
"Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA","Electricity; at grid; consumption mix - Duke Energy Florida, Inc. - BA","steelmaking, electric arc furnace",Electricity; at grid; consumption mix - Tampa Electric Company - BA,"ironmaking, direct reduction, MIDREX",Electricity; at grid; consumption mix - Florida Power & Light Co. - BA,natural gas extraction and processing - Gulf,"Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA","ironmaking, blast furnace","Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA","coal extraction and processing - Central Interior, LIG, Surface",0.029893555817060324,0.20332500759333724,0.047364148526472395,0.03750439923258311,0.8246346015647046,0.8141501649833818,0.01843412998155887,0.4653861349979262,0.010297515744098531,0.526334948103462,0.11699517448026454,9.442552686937487,1.2358272645422905,0.009913979680824412,0.030250339473481987,0.15025317637983443,0.06453472713344463,0.05517171209086323,0.09447115394600507,1.0552888585160665,0.11363458796672837,0.42483893865518707,1.7707839926292765,0.9515,0.0,0.0,0.0020032895482982246,0.0001430314389094833,1.4848418532842982e-08,0.048701998981028734,0.9576,0.9741,0.9566,mca
"Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA","Electricity; at grid; consumption mix - Duke Energy Florida, Inc. - BA","steelmaking, electric arc furnace",Electricity; at grid; consumption mix - Tampa Electric Company - BA,"ironmaking, direct reduction, MIDREX",Electricity; at grid; consumption mix - Florida Power & Light Co. - BA,natural gas extraction and processing - Gulf,"Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA","ironmaking, blast furnace","Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA","coal extraction and processing - Central Interior, LIG, Surface",0.07110550547345865,0.19609385986262165,0.050028289376278456,0.034625389343513134,0.7611223901850656,0.7916759050559828,0.048245921293861044,0.49066031230494744,0.00987910741985181,0.48586270077412647,0.11990362797472884,9.879230931768127,1.353750788898369,0.010066386263674143,0.0425276442499525,0.14944806745542888,0.13786576259674732,0.10281360676340896,0.06094155991546106,1.1530657553507178,0.13709701257204712,0.3057325395473135,1.2623939412214609,1.0116,0.0,0.0,0.0021821979345810214,0.00015602368328900408,1.5487141678273538e-08,0.05391049926302385,1.0183,1.0364,1.0172,mca
Electricity; at grid; consumption mix - Salt River Project Agricultural Improvement and Power District - BA,"Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA","steelmaking, electric arc furnace","Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","ironmaking, blast furnace","Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA",natural gas extraction and processing - Arkoma,Electricity; at grid; consumption mix - South Carolina Public Service Authority - BA,"ironmaking, blast furnace",Electricity; at grid; consumption mix - Bonneville Power Administration - BA,"coal extraction and processing - Powder River Basin, BIT, Surface",0.06840253590838057,0.1804194299593176,0.058647320999559695,0.03493606491760067,0.9058734895233649,0.7976213817456413,0.012271181112791778,0.6057104785174541,0.010335943574725719,0.5040340751152704,0.12436915343032007,9.4834569280832,1.3041274813995696,0.009535178584097267,0.02757947375343282,0.1538241042138891,0.09706706831559375,0.04023008342371462,0.04646058563160765,1.1240384014976226,0.12553452157082146,0.24128731039220186,2.1342760009270942,1.0642,0.0,0.0,0.001479584675063174,0.00011679028811509829,1.558390211520242e-08,0.029930095072193824,1.0699,1.0868,1.0694,mca
