"sim_type","n","mean_gwp","sd_gwp","rsd_gwp","min_gwp","max_gwp","median_gwp","p10","p20","p30","p40","p50","p60","p70","p80","p90"
"BFBOF",150,2.62446066666667,0.236985991967488,0.0902989307393525,2.0252,3.2913,2.61815,2.32429,2.41204,2.49384,2.56352,2.61815,2.68322,2.72694,2.81872,2.93184
"DRI",150,2.482,0,0,2.482,2.482,2.482,2.482,2.482,2.482,2.482,2.482,2.482,2.482,2.482,2.482
"EAF",150,2.482,0,0,2.482,2.482,2.482,2.482,2.482,2.482,2.482,2.482,2.482,2.482,2.482,2.482
"fabrication",150,2.44530133333333,0.0441713214177953,0.0180637538677423,2.3152,2.5316,2.449,2.38338,2.4046,2.4199,2.4374,2.449,2.46188,2.47252,2.48652,2.50002
"rolling",150,2.48161266666667,0.0491886674576978,0.0198212509624915,2.3443,2.5906,2.4824,2.41907,2.4441,2.45255,2.4667,2.4824,2.49376,2.50959,2.52322,2.54632
"supply chain",150,2.380316,0.185823723599407,0.0780668296139704,2.2067,2.7989,2.3009,2.23363,2.24786,2.25477,2.27552,2.3009,2.3108,2.36681,2.54508,2.77363
