"sim_type","n","mean_gwp","sd_gwp","min_gwp","max_gwp","median_gwp","q1_gwp","q3_gwp","rsd_gwp"
"BFBOF",75,0.933565333333333,0.00913772242799983,0.914,0.9524,0.9318,0.9273,0.9403,0.00978798387400828
"DRI",75,0.9275,0,0.9275,0.9275,0.9275,0.9275,0.9275,0
"EAF",75,0.971309333333333,0.115194977102084,0.727,1.1888,0.9734,0.8946,1.0594,0.118597621940642
"fabrication",75,0.911902666666667,0.0414906370855614,0.8539,1.0643,0.9018,0.88875,0.92405,0.045498975496173
"rolling",75,0.936917333333333,0.0420103795840122,0.8443,1.0319,0.9343,0.89925,0.96375,0.0448389394553617
"supply chain",75,0.916134666666667,0.00426920124605052,0.9128,0.9313,0.9149,0.9141,0.91625,0.00466001495346083
