elec_steel_fab,elec_rolling_hss,steel_sheet,elec_steel_rolling,steel_slab_toHSS,elec_EAF,iron_forEAF,elec_DRI,natgas_DRI,elec_BOF,iron_forBOF,elec,coal,"fabrication, hollow section.wf","fabrication, hollow section.elec","fabrication, hollow section.trans_co2","rolling, hollow sections.elec","rolling, hollow sections.heat","rolling, hollow sections.trans_co2","rolling, slab.elec","rolling, slab.heat","steelmaking, electric arc furnace.scrap_pct","steelmaking, electric arc furnace.wf","steelmaking, electric arc furnace.kWh_EAF","steelmaking, electric arc furnace.trans_co2","ironmaking, direct reduction, MIDREX.co2_kg","ironmaking, direct reduction, MIDREX.elec","ironmaking, direct reduction, MIDREX.ng_mj","ironmaking, direct reduction, MIDREX.ore_kg","ironmaking, direct reduction, MIDREX.trans_co2","steelmaking, basic oxygen converter.elec","steelmaking, basic oxygen converter.scrap_pct","steelmaking, basic oxygen converter.wf","steelmaking, basic oxygen converter.co2_kg","ironmaking, blast furnace.elec","ironmaking, blast furnace.co2_kg",coking.co2_kg,sintering.co2_kg,gwp,gwp_be,gep_bu,ap,ep,odp,pocp,gwp_AR5,gwp_EF2,gwp_CML,sim_type
Electricity; at grid; consumption mix - Duke Energy Carolinas - BA,"Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA","rolling, slab","Electricity; at grid; consumption mix - Duke Energy Florida, Inc. - BA","steelmaking, electric arc furnace","Electricity; at grid; consumption mix - Puget Sound Energy, Inc. - BA","ironmaking, blast furnace",Electricity; at grid; consumption mix - Public Service Company of Colorado - BA,natural gas extraction and processing - Arkla,Electricity; at grid; consumption mix - PacifiCorp East - BA,"ironmaking, blast furnace",Electricity; at grid; consumption mix - Duke Energy Carolinas - BA,"coal extraction and processing - Central Appalachia, BIT, Surface",0.05169890769265224,0.2291068177131575,0.05181612144852148,0.22795050747907078,0.4634626448548893,0.010244024527054769,0.03215907810185359,0.9757815572021211,0.962711204522666,0.013817227772625899,0.4456551222628571,0.00959038443931903,0.49470848375128984,0.11458569325849288,10.369295770833688,1.2797274309582911,0.010276673818325406,0.028254243272483548,0.15300605672395692,0.07699582100077468,0.07944246525797016,0.08857613308526625,1.337525727947321,0.14694610077875092,0.4871303089530832,0.759,0.0,0.0,0.001308306746194861,0.00010207003652839368,9.37822794492713e-09,0.03241930624161208,0.7631,0.774,0.7624,mca
Electricity; at grid; consumption mix - Duke Energy Carolinas - BA,"Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA","rolling, slab","Electricity; at grid; consumption mix - Duke Energy Florida, Inc. - BA","steelmaking, electric arc furnace","Electricity; at grid; consumption mix - Puget Sound Energy, Inc. - BA","ironmaking, blast furnace",Electricity; at grid; consumption mix - Public Service Company of Colorado - BA,natural gas extraction and processing - Arkla,Electricity; at grid; consumption mix - PacifiCorp East - BA,"ironmaking, blast furnace",Electricity; at grid; consumption mix - Duke Energy Carolinas - BA,"coal extraction and processing - Central Appalachia, BIT, Surface",0.04378632330244192,0.16883004284156472,0.04236149564127505,0.21776784038300878,0.8497936419628522,0.009880388462834493,0.039722295614195005,0.8268542410365183,0.951866865344756,0.011634542584929686,0.44974838778872633,0.01035390825894733,0.5126622281436418,0.11636220762812684,10.08800690002129,1.2610276336566741,0.009555176972923601,0.05107846496073822,0.1281312453081193,0.08341409920854168,0.08239622942915148,0.08458508343651883,1.0156325354360707,0.1109977195377106,0.3247223489859472,0.7392,0.0,0.0,0.001298533547809802,0.00010279388823129787,8.99035140704459e-09,0.03267043881051235,0.7434,0.7547,0.7428,mca
Electricity; at grid; consumption mix - Duke Energy Carolinas - BA,"Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA","rolling, slab","Electricity; at grid; consumption mix - Duke Energy Florida, Inc. - BA","steelmaking, electric arc furnace","Electricity; at grid; consumption mix - Puget Sound Energy, Inc. - BA","ironmaking, blast furnace",Electricity; at grid; consumption mix - Public Service Company of Colorado - BA,natural gas extraction and processing - Arkla,Electricity; at grid; consumption mix - PacifiCorp East - BA,"ironmaking, blast furnace",Electricity; at grid; consumption mix - Duke Energy Carolinas - BA,"coal extraction and processing - Central Appalachia, BIT, Surface",0.0670634349333972,0.20968835383646867,0.04909469359315141,0.295011630106364,0.8211330966107498,0.009833219589792802,0.03584987559148151,0.9928533214041337,0.9577016311824891,0.015773462713686962,0.5693935921012815,0.010000425668971526,0.524760677784369,0.11930831639528564,9.60818290980364,1.2545080179192574,0.009871766883713834,0.0301161679078949,0.018878994962331648,0.0632350135363207,0.08887683076634144,0.07137052010217955,1.1908278352105182,0.11587675474564298,0.31492068591546146,0.8776,0.0,0.0,0.001588189124627676,0.00012087021871292457,1.0694512035376477e-08,0.03951533914864999,0.8825,0.8959,0.8817,mca
Electricity; at grid; consumption mix - Duke Energy Carolinas - BA,"Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA","rolling, slab","Electricity; at grid; consumption mix - Duke Energy Florida, Inc. - BA","steelmaking, electric arc furnace","Electricity; at grid; consumption mix - Puget Sound Energy, Inc. - BA","ironmaking, blast furnace",Electricity; at grid; consumption mix - Public Service Company of Colorado - BA,natural gas extraction and processing - Arkla,Electricity; at grid; consumption mix - PacifiCorp East - BA,"ironmaking, blast furnace",Electricity; at grid; consumption mix - Duke Energy Carolinas - BA,"coal extraction and processing - Central Appalachia, BIT, Surface",0.041190804713785674,0.20399654431612652,0.04455389848221873,0.21570173274612267,0.9564367455473078,0.009754561682273583,0.044665333845214386,0.8306475253664314,0.9604021647748786,0.04486712342207488,0.5349549653504778,0.010465298279326386,0.501655522187852,0.12187490541083096,10.297498318628056,1.3547112965959358,0.00994166866541968,0.03080702909256436,0.17682240647996014,0.08822712898125705,0.05905418751460635,0.08178143399547366,0.8801133304433837,0.1230154506854137,0.25435821761021493,0.7691,0.0,0.0,0.00138305256647967,0.0001091424293821381,9.203381536187207e-09,0.03518244978595707,0.7736,0.7857,0.7729,mca
Electricity; at grid; consumption mix - Duke Energy Carolinas - BA,"Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA","rolling, slab","Electricity; at grid; consumption mix - Duke Energy Florida, Inc. - BA","steelmaking, electric arc furnace","Electricity; at grid; consumption mix - Puget Sound Energy, Inc. - BA","ironmaking, blast furnace",Electricity; at grid; consumption mix - Public Service Company of Colorado - BA,natural gas extraction and processing - Arkla,Electricity; at grid; consumption mix - PacifiCorp East - BA,"ironmaking, blast furnace",Electricity; at grid; consumption mix - Duke Energy Carolinas - BA,"coal extraction and processing - Central Appalachia, BIT, Surface",0.055615027816955244,0.16507605224010544,0.05240518124020204,0.2932292712628122,0.7265956878107915,0.010440986551753706,0.042746220307109256,0.9951813060215476,0.9869325237705837,0.01937395911642346,0.39845027684669854,0.00985644370030038,0.5179924027561715,0.11992653139757045,9.970709626753491,1.3590532567564095,0.009768780545226586,0.03525518297437806,0.11960089980013022,0.12517279265478515,0.04782070229847533,0.04358474660204506,0.9056757789356482,0.10661379865854609,0.4228842417793499,0.7385,0.0,0.0,0.0013928251839428394,0.00010191692326229441,9.98165997339577e-09,0.03412073681350445,0.7428,0.7545,0.7421,mca
Electricity; at grid; consumption mix - Duke Energy Carolinas - BA,"Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA","rolling, slab","Electricity; at grid; consumption mix - Duke Energy Florida, Inc. - BA","steelmaking, electric arc furnace","Electricity; at grid; consumption mix - Puget Sound Energy, Inc. - BA","ironmaking, blast furnace",Electricity; at grid; consumption mix - Public Service Company of Colorado - BA,natural gas extraction and processing - Arkla,Electricity; at grid; consumption mix - PacifiCorp East - BA,"ironmaking, blast furnace",Electricity; at grid; consumption mix - Duke Energy Carolinas - BA,"coal extraction and processing - Central Appalachia, BIT, Surface",0.07002664527179138,0.20292124581985196,0.04278611310667222,0.23457437477470894,0.9372267227801424,0.009652508561371514,0.041397446734416345,0.8799399208224202,0.9597683926031256,0.04407290012364691,0.5021510228342333,0.010075438014689584,0.5049922723803687,0.12049609560945931,9.556438112666072,1.3392002235662623,0.010188038451252369,0.038526789652009744,0.17856000665720773,0.06504766601501272,0.03373390858082327,0.053545869397487,1.1832856460549845,0.10053111088923519,0.34418372782514994,0.8049,0.0,0.0,0.0014292555481112102,0.00011154762201260346,9.644210562397949e-09,0.03606639622287042,0.8095,0.822,0.8088,mca
Electricity; at grid; consumption mix - Duke Energy Carolinas - BA,"Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA","rolling, slab","Electricity; at grid; consumption mix - Duke Energy Florida, Inc. - BA","steelmaking, electric arc furnace","Electricity; at grid; consumption mix - Puget Sound Energy, Inc. - BA","ironmaking, blast furnace",Electricity; at grid; consumption mix - Public Service Company of Colorado - BA,natural gas extraction and processing - Arkla,Electricity; at grid; consumption mix - PacifiCorp East - BA,"ironmaking, blast furnace",Electricity; at grid; consumption mix - Duke Energy Carolinas - BA,"coal extraction and processing - Central Appalachia, BIT, Surface",0.07324980264722482,0.18140782576369108,0.0550736953918023,0.1494955539600202,0.5263251486070182,0.009973377852845466,0.04015129481704865,0.9928339990023076,0.9452017117240916,0.04910145870748333,0.5917080462631528,0.009667098761197741,0.502432865954142,0.11450656454745806,10.281261773806682,1.2751970227808485,0.01013940814775749,0.03413701051080121,0.15277761380147029,0.12831303323653453,0.04640105364208567,0.0763089417886805,0.9845133975270606,0.1288477533050879,0.3342228038559306,0.7727,0.0,0.0,0.001294317803383824,0.00010886124939308951,8.42276907827833e-09,0.03367520765516024,0.777,0.7884,0.7763,mca
Electricity; at grid; consumption mix - Duke Energy Carolinas - BA,"Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA","rolling, slab","Electricity; at grid; consumption mix - Duke Energy Florida, Inc. - BA","steelmaking, electric arc furnace","Electricity; at grid; consumption mix - Puget Sound Energy, Inc. - BA","ironmaking, blast furnace",Electricity; at grid; consumption mix - Public Service Company of Colorado - BA,natural gas extraction and processing - Arkla,Electricity; at grid; consumption mix - PacifiCorp East - BA,"ironmaking, blast furnace",Electricity; at grid; consumption mix - Duke Energy Carolinas - BA,"coal extraction and processing - Central Appalachia, BIT, Surface",0.06658813382231177,0.2141951361555767,0.04703764357563279,0.27139336776192613,0.7162694570162988,0.009682321879132995,0.03853485237116686,0.8513441610545177,0.940541619567024,0.030325574222936677,0.4730964371388637,0.010130630512838816,0.5211472612663656,0.11516281141507685,10.248831361951195,1.353291081014421,0.01002082637993604,0.028327548817850545,0.11258152524235963,0.09664867087199241,0.06491823757752488,0.07704237645544701,1.1094308467218341,0.10552104575912265,0.4571329322565578,0.8496,0.0,0.0,0.0014683768207289162,0.00011398443178040222,1.0338764119519196e-08,0.03610573030189902,0.8541,0.8663,0.8534,mca
Electricity; at grid; consumption mix - Duke Energy Carolinas - BA,"Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA","rolling, slab","Electricity; at grid; consumption mix - Duke Energy Florida, Inc. - BA","steelmaking, electric arc furnace","Electricity; at grid; consumption mix - Puget Sound Energy, Inc. - BA","ironmaking, blast furnace",Electricity; at grid; consumption mix - Public Service Company of Colorado - BA,natural gas extraction and processing - Arkla,Electricity; at grid; consumption mix - PacifiCorp East - BA,"ironmaking, blast furnace",Electricity; at grid; consumption mix - Duke Energy Carolinas - BA,"coal extraction and processing - Central Appalachia, BIT, Surface",0.05683024111559832,0.19868255456770925,0.04581489276471224,0.2448479593269849,0.6255863656038358,0.01018385935804169,0.038193248293959516,0.8556621752837699,0.9844019152340224,0.049387654647339754,0.4372139578450984,0.010261597204043755,0.4915085599395298,0.11712135637351734,10.181304894152696,1.3082929149383475,0.010044206186133518,0.04206601768796339,0.13000404248577282,0.12112121856518125,0.11335615374218741,0.09711951250118248,1.1431640355051906,0.1160904214105977,0.3390129029456206,0.7083,0.0,0.0,0.0013149835316716412,9.954608590529102e-05,9.43785538070113e-09,0.03252552774775505,0.7124,0.7234,0.7117,mca
Electricity; at grid; consumption mix - Western Area Power Administration - Desert Southwest Region - BA,Electricity; at grid; consumption mix - Bonneville Power Administration - BA,"rolling, slab",Electricity; at grid; consumption mix - Tennessee Valley Authority - BA,"steelmaking, electric arc furnace","Electricity; at grid; consumption mix - Public Utility District No. 2 of Grant County, Washington - BA","ironmaking, blast furnace","Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA",natural gas extraction and processing - Piceance,Electricity; at grid; consumption mix - Florida Power & Light Co. - BA,"ironmaking, blast furnace","Electricity; at grid; consumption mix - Southern Company Services, Inc. - Trans - BA","coal extraction and processing - Illinois Basin, BIT, Processing",0.050538213898017964,0.2072885610140846,0.041917921672021116,0.2035902737015669,1.020167115113429,0.009890817902460472,0.03609755243818559,0.9045512179540721,0.9208630571296597,0.022289403380137303,0.5208228778866082,0.010460597947439828,0.5187333064872961,0.12018517877325831,9.554532991001984,1.2375538365689953,0.01044641184617787,0.023959981899581463,0.17759229424274126,0.0796527055808526,0.10281087922923263,0.07511909531109336,1.0436279111725515,0.12483405803577913,0.27834889855042094,0.5139,0.0,0.0,0.0006759588738785778,5.723659759414952e-05,5.960308593485105e-09,0.018519038603449743,0.5172,0.5267,0.5169,mca
