providers_electricity,providers_heat,providers_slab_steel,providers_iron_forEAF,providers_iron_forBOF,providers_naturalgas,providers_coal,"galvanizing, continuous e_elec","galvanizing, continuous w_zinc","galvanizing, continuous w_steel","hot rolling, slab elec","steel production, EAF scrap_pct","steel production, EAF wf","steel production, EAF kWh_EAF","steel production, BOF scrap_pct","steel production, BOF wf","iron production, blast furnace co2_kg",gwp,ap,ep,odp,pocp
Electricity; at grid; generation mix - LG&E and KU Services Company as agent for Louisville Gas and Electric Company and Kentucky Utilities Company,"heat generation, natural gas","steel production, EAF","iron production, direct reduction, other","iron production, blast furnace",natural gas extraction and processing - Anadarko,"coal extraction and processing - Rocky Mountain, SUB, Surface",0.3186194324865368,0.275,2.97,0.03399199877089211,0.5997150643323401,0.012185734787024477,0.6631441457007526,0.1538901403181664,0.1396602390449022,0.9777114843312422,2.1302,0.007623433416249158,0.004603074313529114,5.497957651895424e-08,0.12035954315879777
"Electricity; at grid; generation mix - Midcontinent Independent System Operator, Inc.","heat generation, natural gas","steel production, EAF","iron production, direct reduction, other","iron production, blast furnace",natural gas extraction and processing - Appalachian,"coal extraction and processing - Rocky Mountain, BIT, Processing",0.32638168314887783,0.472,3.57,0.04454959379157763,0.5927095537180036,0.010739416828428135,0.5478179732404831,0.15581064231678987,0.09911493659866155,0.765292411254758,1.9018,0.009396480515325382,0.005871166802377515,6.448710588182191e-08,0.14237747607194476
"Electricity; at grid; generation mix - Southern Company Services, Inc. - Trans","heat generation, natural gas","steel production, EAF","iron production, blast furnace","iron production, blast furnace",natural gas extraction and processing - Green River,"coal extraction and processing - Lignite, LIG, Surface",0.2990819107629109,0.183,7.15,0.033712251276165346,0.8184579528909827,0.04460865018847458,0.5892454566814215,0.15187702943024559,0.12356261887146644,0.9122408345882732,1.6758,0.005182283347744385,0.0022859920328893147,4.114653460652935e-08,0.10231875274176166
"Electricity; at grid; generation mix - Southern Company Services, Inc. - Trans","heat generation, natural gas","steel production, BOF","iron production, blast furnace","iron production, blast furnace",natural gas extraction and processing - Appalachian,"coal extraction and processing - West/Northwest, WC, Surface",0.35510555240326636,0.472,3.57,0.036378474384301675,0.5823959261546668,0.042196719963516864,0.5848749225142265,0.14849587135541598,0.07452320958874271,0.8211783247585416,2.3899,0.011385408104966488,0.007776828246050391,8.575569493577044e-08,0.1598904663486883
"Electricity; at grid; generation mix - Midcontinent Independent System Operator, Inc.","heat generation, natural gas","steel production, BOF","iron production, direct reduction, other","iron production, blast furnace",natural gas extraction and processing - Gulf,"coal extraction and processing - Central Interior, BIT, Processing",0.4119584509768883,0.183,3.57,0.03300029053419222,0.7614265229772361,0.016891215402601453,0.5149612608606815,0.14544835305336842,0.05477930769158776,0.8490040082359961,2.329,0.009496910763109188,0.005287645392462725,8.04392604900237e-08,0.14882494013062048
"Electricity; at grid; generation mix - Electric Reliability Council of Texas, Inc.","heat generation, natural gas","steel production, BOF","iron production, direct reduction, ENERGIRON","iron production, blast furnace",natural gas extraction and processing - Appalachian,"coal extraction and processing - Rocky Mountain, WC, Surface",0.3232475511672223,0.183,3.57,0.0421730376210211,0.6994106156299589,0.03175322487731734,0.5490380998333722,0.1604816185856167,0.12148193740552314,1.019087177580214,2.4452,0.009263105455922899,0.0053198427146404015,7.74238489535345e-08,0.14360017019689192
Electricity; at grid; generation mix - Nevada Power Company,"heat generation, natural gas","steel production, BOF","iron production, direct reduction, other","iron production, blast furnace",natural gas extraction and processing - Green River,"coal extraction and processing - Rocky Mountain, BIT, Processing",0.41385386778310174,0.275,3.57,0.03601838036770358,0.7530046393186247,0.025454207750954236,0.4934799347361717,0.1410078712096287,0.12108429683576595,0.8181586796730507,2.2988,0.009728617582315462,0.006149915267764908,7.819390345802941e-08,0.15437869305946203
"Electricity; at grid; generation mix - PJM Interconnection, LLC","heat generation, natural gas","steel production, BOF","iron production, direct reduction, ENERGIRON","iron production, blast furnace",natural gas extraction and processing - Permian,"coal extraction and processing - West/Northwest, SUB, Underground",0.3120812916274703,0.472,4.76,0.03510846860110385,0.5562964522585356,0.012701429695128122,0.6332346143625727,0.144113443961733,0.06572981177683128,0.8573646539162121,2.2909,0.010318364269889482,0.0067827800101412745,8.168242986237439e-08,0.14350914300534795
Electricity; at grid; generation mix - Tennessee Valley Authority,"heat generation, natural gas","steel production, BOF","iron production, blast furnace","iron production, blast furnace",natural gas extraction and processing - Fort Worth,"coal extraction and processing - Import, BIT, Surface",0.32505634086914204,0.275,7.15,0.044006456589516414,0.5467679944802895,0.016890202026919654,0.5045056246677261,0.14530496253185304,0.10945195408321301,0.8751162071833897,2.1758,0.008281800873687217,0.004853607839766071,7.573333149566202e-08,0.12271712531604878
Electricity; at grid; generation mix - Bonneville Power Administration,"heat generation, natural gas","steel production, BOF","iron production, blast furnace","iron production, blast furnace",natural gas extraction and processing - Anadarko,"coal extraction and processing - Northern Appalachia, BIT, Surface",0.42013456853997044,0.183,7.15,0.04103166929267035,0.8342434755369448,0.012824460714113065,0.6780599874140651,0.1510386975116792,0.05998944031567315,0.8236379923113702,1.8257,0.007238766907902444,0.004351886979732106,6.845498006658263e-08,0.11110142337221805
"Electricity; at grid; generation mix - PJM Interconnection, LLC","heat generation, natural gas","steel production, BOF","iron production, blast furnace","iron production, blast furnace",natural gas extraction and processing - Appalachian,"coal extraction and processing - Central Interior, BIT, Surface",0.3795620880708665,0.472,4.76,0.039822545165940824,0.6867312598272582,0.02018247440810298,0.4515190291309082,0.1527181011479685,0.06261415949882881,0.9606233886333867,2.3812,0.010333096992009868,0.006778785393050653,8.136379008168965e-08,0.14388433191086084
"Electricity; at grid; generation mix - PJM Interconnection, LLC","heat generation, natural gas","steel production, EAF","iron production, direct reduction, other","iron production, blast furnace",natural gas extraction and processing - Anadarko,"coal extraction and processing - Southern Appalachia, BIT, Underground",0.39699381322203575,0.275,7.15,0.03356991656132889,0.5643417661940773,0.03531023290335743,0.48167043758472117,0.1437107296056559,0.07558349306578376,1.0379841783601038,1.3582,0.005090393959360674,0.0027352398100389417,3.9459353557198786e-08,0.08971892487788895
Electricity; at grid; generation mix - Portland General Electric Company,"heat generation, natural gas","steel production, BOF","iron production, direct reduction, other","iron production, blast furnace",natural gas extraction and processing - Appalachian,"coal extraction and processing - Central Interior, BIT, Surface",0.3410112428701866,0.183,7.15,0.03767407006308547,0.6282395814469603,0.011324262177643846,0.4765949237063022,0.14873568304079732,0.061615170875586045,0.8832855145063092,2.0052,0.007535320361305647,0.004375212130605137,6.729684878401633e-08,0.12278069431629864
"Electricity; at grid; generation mix - PJM Interconnection, LLC","heat generation, natural gas","steel production, EAF","iron production, direct reduction, other","iron production, blast furnace",natural gas extraction and processing - Appalachian,"coal extraction and processing - Central Interior, BIT, Processing",0.34717678740460656,0.472,2.97,0.04269359114962877,0.7544827472954928,0.03819800986153568,0.5331645100015706,0.1522336795372203,0.12518638980900898,0.8895757652116223,1.7251,0.009198617759550113,0.006562409567604581,5.635780070707438e-08,0.1289562247655819
"Electricity; at grid; generation mix - PJM Interconnection, LLC","heat generation, natural gas","steel production, EAF","iron production, direct reduction, ENERGIRON","iron production, blast furnace",natural gas extraction and processing - Green River,"coal extraction and processing - Central Appalachia, BIT, Processing",0.3887932448292009,0.472,4.76,0.04195295583338803,0.6213905582240224,0.010115129371473493,0.5573969894165115,0.14785563355359724,0.056963309107378984,0.918785063138435,1.5753,0.0073121886560660754,0.004779934899863777,4.921362019403486e-08,0.11078877878737978
"Electricity; at grid; generation mix - Midcontinent Independent System Operator, Inc.","heat generation, natural gas","steel production, EAF","iron production, blast furnace","iron production, blast furnace",natural gas extraction and processing - San Juan,"coal extraction and processing - Powder River Basin, SUB, Surface",0.4256185376791073,0.472,2.97,0.032907469250094794,0.7459431843558899,0.03918902454644919,0.512266252835331,0.15755203311148883,0.08109267113960845,0.9340079832087558,2.2779,0.011169407811854059,0.0067491408592990415,7.417916493729302e-08,0.16532038567317478
Electricity; at grid; generation mix - Seminole Electric Cooperative,"heat generation, natural gas","steel production, EAF","iron production, blast furnace","iron production, blast furnace",natural gas extraction and processing - Appalachian,"coal extraction and processing - Illinois Basin, BIT, Surface",0.3570760993575395,0.183,4.76,0.03373465607334478,0.579605126995298,0.019825372846455226,0.4253302012269112,0.14373660168665023,0.09354359198753773,1.0046149552767596,2.2876,0.007073903978979158,0.0029941227291313405,6.111849349232299e-08,0.11638652207268453
Electricity; at grid; generation mix - JEA,"heat generation, natural gas","steel production, EAF","iron production, blast furnace","iron production, blast furnace",natural gas extraction and processing - Appalachian,"coal extraction and processing - Import, SUB, Surface",0.38993384270610404,0.472,5.96,0.03672612556982817,0.7027396118377538,0.04976297581279585,0.5467884803341869,0.1398068194809566,0.07338599698416895,0.9944197340340881,2.4889,0.008989181295261613,0.004331002242981349,6.363806565940796e-08,0.14839152227268626
Electricity; at grid; generation mix - California Independent System Operator,"heat generation, natural gas","steel production, BOF","iron production, direct reduction, other","iron production, blast furnace",natural gas extraction and processing - Green River,"coal extraction and processing - Lignite, LIG, Surface",0.363904990293471,0.472,2.97,0.039372216552853834,0.6508397337793099,0.04363593952509099,0.5328182268701668,0.1572311237965666,0.09634156278710412,0.888306620721309,2.3606,0.012091596932652476,0.008544533493563418,8.610778043329121e-08,0.17258177020087098
"Electricity; at grid; generation mix - PJM Interconnection, LLC","heat generation, natural gas","steel production, BOF","iron production, blast furnace","iron production, blast furnace",natural gas extraction and processing - Arkla,"coal extraction and processing - West/Northwest, SUB, Surface",0.40350849315518544,0.472,7.15,0.035603302157125545,0.5536714420778708,0.038890850850762534,0.6134423332896302,0.14198325148766275,0.09568033699121228,0.9398721998982259,2.3203,0.009344228976811449,0.005769929482407789,7.863776376154658e-08,0.1346208157683543
