"sim_type","n","mean_gwp","sd_gwp","rsd_gwp","min_gwp","max_gwp","median_gwp","p10","p20","p30","p40","p50","p60","p70","p80","p90"
"BFBOF",50,1.696452,0.0855390237713472,0.0504223071276683,1.5323,1.8951,1.6889,1.59918,1.62612,1.66316,1.68438,1.6889,1.703,1.73447,1.75482,1.80777
"DRI",50,1.6502,0,0,1.6502,1.6502,1.6502,1.6502,1.6502,1.6502,1.6502,1.6502,1.6502,1.6502,1.6502,1.6502
"EAF",50,1.4903,0.273442741086797,0.183481675559818,0.8353,1.9118,1.5492,1.08394,1.24656,1.41245,1.5003,1.5492,1.6088,1.64666,1.73396,1.77375
"fabrication",50,1.647512,0.0184231181300195,0.0111823878248046,1.613,1.6876,1.65,1.62559,1.6293,1.63477,1.64204,1.65,1.6527,1.65525,1.66264,1.67011
"galvanizing",50,1.656056,0.0781947964237717,0.0472174832395594,1.4959,1.8711,1.66165,1.57028,1.60616,1.62876,1.64582,1.66165,1.67846,1.68695,1.70016,1.73388
"product",50,1.656218,0.0124196304457163,0.00749878967968969,1.6397,1.6794,1.6528,1.64365,1.6439,1.6464,1.6514,1.6528,1.65644,1.6608,1.66468,1.6794
"rolling",50,1.647742,0.0168913465346935,0.0102512083412898,1.6106,1.6763,1.64965,1.6196,1.6369,1.64429,1.64756,1.64965,1.65396,1.65739,1.65988,1.66569
"supply chain",50,1.590162,0.0788346523051991,0.0495764911406505,1.4952,1.7992,1.559,1.52458,1.5346,1.54323,1.55106,1.559,1.5701,1.59286,1.63184,1.72274
