"sim_type","n","mean_gwp","sd_gwp","rsd_gwp","min_gwp","max_gwp","median_gwp","p10","p20","p30","p40","p50","p60","p70","p80","p90"
"BFBOF",150,1.1449,0,0,1.1449,1.1449,1.1449,1.1449,1.1449,1.1449,1.1449,1.1449,1.1449,1.1449,1.1449,1.1449
"DRI",150,1.14925933333333,0.0139750693490573,0.0121600660040096,1.1216,1.1906,1.14695,1.1316,1.13748,1.14207,1.14438,1.14695,1.15098,1.15469,1.1593,1.169
"EAF",150,1.35868466666667,0.270165489362549,0.19884340788607,0.8848,1.9502,1.33575,1.04684,1.10568,1.17239,1.23174,1.33575,1.40254,1.52682,1.63312,1.73885
"fabrication",150,1.14652333333333,0.0144291856391929,0.0125851652728622,1.1153,1.1847,1.14555,1.12819,1.13256,1.13612,1.143,1.14555,1.14988,1.15514,1.16072,1.16479
"galvanizing",150,1.166536,0.0560814332170448,0.048075184320968,1.0262,1.2997,1.1705,1.08226,1.11906,1.13812,1.15278,1.1705,1.1835,1.20113,1.22166,1.23659
"product",150,1.150816,0.0270329405820023,0.0234902369987924,1.1185,1.2182,1.1479,1.12237,1.1292,1.1292,1.1355,1.1479,1.1514,1.1615,1.17258,1.2001
"rolling",150,1.14612666666667,0.0360010899660997,0.031411091821817,1.055,1.2193,1.1513,1.09742,1.11816,1.1378,1.14482,1.1513,1.1566,1.16166,1.16952,1.1922
"supply chain",150,1.143402,0.0209751481904357,0.0183445089220027,1.1025,1.1881,1.14185,1.11529,1.12406,1.13197,1.13732,1.14185,1.14714,1.15536,1.16244,1.17139
