"sim_type","n","mean_gwp","sd_gwp","rsd_gwp","min_gwp","max_gwp","median_gwp","p10","p20","p30","p40","p50","p60","p70","p80","p90"
"fabrication",150,1.144744,0.0156538370620465,0.0136745307789746,1.1061,1.1808,1.145,1.12518,1.1305,1.13582,1.14066,1.145,1.1482,1.15446,1.15824,1.16512
"mill",150,1.939242,0.582118101242893,0.300178163036327,0.7929,3.216,2.1082,1.13991,1.26466,1.4861,1.73248,2.1082,2.27228,2.38011,2.44522,2.5643
"product",150,1.15417266666667,0.0262076091636773,0.0227068357452674,1.1185,1.2182,1.1479,1.1228,1.1292,1.1355,1.1449,1.1479,1.1599,1.1615,1.1716,1.2001
"supply chain",150,1.15315666666667,0.0276826028198476,0.0240059339897564,1.0952,1.229,1.15325,1.11969,1.12702,1.13735,1.14382,1.15325,1.16008,1.16666,1.17592,1.19261
