source,manufacturer,plant,name,geography,fabricated,ec3id,gwp.a1a2a3_mean,ap,ep,odp,pocp,label
Product EPDs,Commercial Metals Company,"Seguin, TX",Light structural shapes,US,FALSE,cqd.io/e/ec3ywn8g42,0.73,,,,,"Commercial Metals Company, Light structural shapes"
Product EPDs,Commercial Metals Company,"Magnolia, AR",Light structural shapes,US,FALSE,cqd.io/e/ec3tk1qd97,0.73,,,,,"Commercial Metals Company, Light structural shapes"
Product EPDs,Commercial Metals Company,CMC Steel Texas,Light Structural Shapes (at Mill),US,FALSE,cqd.io/e/ec3yg1td9b,0.67,,,,,"Commercial Metals Company, Light Structural Shapes (at Mill)"
Product EPDs,Commercial Metals Company,CMC Steel South Carolina,Light Structural Shapes (at Mill),US,FALSE,cqd.io/e/ec3xtpzwse,0.59,,,,,"Commercial Metals Company, Light Structural Shapes (at Mill)"
Product EPDs,Commercial Metals Company,CMC Steel Arkansas,Light Structural Shapes (at Mill),US,FALSE,cqd.io/e/ec3za230c0,0.84,,,,,"Commercial Metals Company, Light Structural Shapes (at Mill)"
Product EPDs,Commercial Metals Company,CMC Steel Alabama,Light Structural Shapes (at Mill),US,FALSE,cqd.io/e/ec3yswcq5g,0.85,,,,,"Commercial Metals Company, Light Structural Shapes (at Mill)"
Product EPDs,Nucor,Nucor Steel - Berkeley- Beam Mill,Hot-Rolled Structural Steel (Not Fabricated),US,FALSE,cqd.io/e/ec32qrdx3p,1.6,,,,,"Nucor, Hot-Rolled Structural Steel (Not Fabricated)"
Product EPDs,Nucor,Nucor-Yamato Steel - Beam Mill,Hot-Rolled Structural Steel (Not Fabricated),US,FALSE,cqd.io/e/ec3u4qwy0f,0.82,,,,,"Nucor, Hot-Rolled Structural Steel (Not Fabricated)"
Product EPDs,Nucor,Nucor-Yamato Steel - Beam Mill,Fabricated Hot-Rolled Structural Steel Sections,US,TRUE,cqd.io/e/ec39x9dk94,1,,,,,"Nucor, Fabricated Hot-Rolled Structural Steel Sections"
Product EPDs,Hilti,Unspecified Hilti Plant(s),CFS-BL firestop blocks and CFS-PL,RoW,FALSE,cqd.io/e/ec3huksxm0,3.53,,,,,"Hilti, CFS-BL firestop blocks and CFS-PL"
Product EPDs,Deacero,Unspecified DEACERO S.A.P.I de C.V Plant(s),Steel Pre-Stressed Rope manufactured from steel scrap,RoW,FALSE,cqd.io/e/ec394d193y,0.66,,,,,"Deacero, Steel Pre-Stressed Rope manufactured from steel scrap"
Product EPDs,OneSteel,"Whyalla, Laverton, Rooty Hill",Hot Rolled Structural Products,RoW,FALSE,cqd.io/e/ec3yr33jtj,3.6,,,,,"OneSteel, Hot Rolled Structural Products"
Product EPDs,Commercial Metals Company,Unspecified Plant,Pedestrian area Access Covers,RoW,FALSE,cqd.io/e/ec3xse08rj,1.65,,,,,"Commercial Metals Company, Pedestrian area Access Covers"
Product EPDs,Izmir Demir Celik Sanayi A.S,Izmir Demir Celik Sanayi A.S,Non-Alloy Structural Steel,RoW,FALSE,cqd.io/e/ec3yuuhwcm,0.98,,,,,"Izmir Demir Celik Sanayi A.S, Non-Alloy Structural Steel"
Product EPDs,Deacero,Unspecified DEACERO S.A.P.I de C.V Plant(s),Steel Wide Flange Beam manufactured from steel scrap,RoW,FALSE,cqd.io/e/ec3m1fq8qa,0.86,,,,,"Deacero, Steel Wide Flange Beam manufactured from steel scrap"
Product EPDs,Tokyo Steel Manufacturing,Japan - Unspecified,H Beam,RoW,FALSE,cqd.io/e/ec3np7pzbt,0.83,,,,,"Tokyo Steel Manufacturing, H Beam"
Product EPDs,Duferdofin - Nucor,Pallanzeno Rolling Mill,Beams and Angles,RoW,FALSE,cqd.io/e/ec3q9bkzw0,0.98,,,,,"Duferdofin - Nucor, Beams and Angles"
Product EPDs,ArcelorMittal,Differdange Plant,HISTAR® grade structural steel,RoW,FALSE,cqd.io/e/ec3yb1td4b,0.52,,,,,"ArcelorMittal, HISTAR® grade structural steel"
Product EPDs,Celsa Steel UK,Section Mill,Steel Products manufactured at the Section Mill,RoW,FALSE,cqd.io/e/ec30jq0eh4,0.68,,,,,"Celsa Steel UK, Steel Products manufactured at the Section Mill"
Product EPDs,Colakoglu Metalurji A.S,Colakoglu Metalurji A.S,Hot Rolled Flat Steel (secondary production route - scrap),RoW,FALSE,cqd.io/e/ec3bak37c4,1.04,,,,,"Colakoglu Metalurji A.S, Hot Rolled Flat Steel (secondary production route - scrap)"
Product EPDs,Gerdau Long Steel,Gerdau Cambridge Steel Mill,Fabricated Merchant Bar Quality (mbq) Steel.,RoW,FALSE,cqd.io/e/ec3bdfj4xx,0.73,,,,,"Gerdau Long Steel, Fabricated Merchant Bar Quality (mbq) Steel."
Product EPDs,ArcelorMittal,Europe - Multiple Plants,Structural Steel Sections and Merchant Bar,RoW,FALSE,cqd.io/e/ec3tfr8apu,1.14,,,,,"ArcelorMittal, Structural Steel Sections and Merchant Bar"
