providers_electricity,providers_heat,providers_bloom_steel,providers_iron_forEAF,providers_naturalgas,providers_iron_forBOF,providers_coal,"fabrication, heavy section wf","fabrication, heavy section elec","hot rolling, blooms elec","steel production, EAF scrap_pct","steel production, EAF wf","steel production, EAF kWh_EAF","steel production, BOF scrap_pct","steel production, BOF wf","iron production, blast furnace co2_kg",gwp,ap,ep,odp,pocp
Electricity; at grid; generation mix - Duke Energy Progress East,"heat generation, natural gas","steel production, EAF","iron production, direct reduction, other",natural gas extraction and processing - Green River,"iron production, blast furnace","coal extraction and processing - Powder River Basin, SUB, Surface",0.07775313,0.077556757,0.037862905,0.815415967,0.04393636,0.48591843,0.150426168,0.065478506,1.029627504,0.7986,0.002287062,0.00110501,2.28E-08,0.052683204
Electricity; at grid; generation mix - South Carolina Electric & Gas Company,"heat generation, natural gas","steel production, EAF","iron production, blast furnace",natural gas extraction and processing - Permian,"iron production, blast furnace","coal extraction and processing - Northern Appalachia, BIT, Surface",0.056862396,0.073810286,0.043930714,0.885015877,0.047379091,0.482657572,0.148626972,0.093889267,0.794144805,1.0155,0.002771908,0.001130446,2.48E-08,0.058611407
"Electricity; at grid; generation mix - PJM Interconnection, LLC","heat generation, natural gas","steel production, EAF","iron production, direct reduction, ENERGIRON",natural gas extraction and processing - Appalachian,"iron production, blast furnace","coal extraction and processing - Southern Appalachia, BIT, Surface",0.056605186,0.076850488,0.041433643,0.835243352,0.044276614,0.420804148,0.150122443,0.07399722,0.984483692,0.8397,0.002365488,0.001077689,2.12E-08,0.05127519
"Electricity; at grid; generation mix - Electric Reliability Council of Texas, Inc.","heat generation, natural gas","steel production, EAF","iron production, blast furnace",natural gas extraction and processing - Gulf,"iron production, blast furnace","coal extraction and processing - Powder River Basin, BIT, Surface",0.051404433,0.076147752,0.033816974,0.871128549,0.031187719,0.495818484,0.155232825,0.050825549,0.938148933,1.17,0.004034254,0.001204747,2.64E-08,0.095009387
Electricity; at grid; generation mix - Nevada Power Company,"heat generation, natural gas","steel production, EAF","iron production, blast furnace",natural gas extraction and processing - San Juan,"iron production, blast furnace","coal extraction and processing - West/Northwest, BIT, Underground",0.066548752,0.074619177,0.033017365,0.855828368,0.029993583,0.504597411,0.15178333,0.062452488,0.924628188,1.1266,0.003128848,0.001189418,2.35E-08,0.084378327
Electricity; at grid; generation mix - South Carolina Public Service Authority,"heat generation, natural gas","steel production, EAF","iron production, blast furnace",natural gas extraction and processing - Appalachian,"iron production, blast furnace","coal extraction and processing - Northern Appalachia, BIT, Surface",0.066156656,0.074984733,0.039126739,0.898921336,0.030430999,0.620227568,0.150477323,0.076152049,0.939050692,1.4977,0.00311215,0.001146859,3.68E-08,0.065243452
"Electricity; at grid; generation mix - Midcontinent Independent System Operator, Inc.","heat generation, natural gas","steel production, EAF","iron production, direct reduction, other",natural gas extraction and processing - East Texas,"iron production, blast furnace","coal extraction and processing - Gulf Lignite, LIG, Surface",0.05342296,0.073935093,0.036545428,0.850931748,0.013372657,0.482426558,0.150097391,0.076425507,1.02191506,1.0124,0.002971578,0.001087104,2.77E-08,0.064144115
Electricity; at grid; generation mix - Southwest Power Pool,"heat generation, natural gas","steel production, EAF","iron production, blast furnace",natural gas extraction and processing - Anadarko,"iron production, blast furnace","coal extraction and processing - Central Appalachia, BIT, Processing",0.081288166,0.077657507,0.043156913,0.888641215,0.02033954,0.476836095,0.147170404,0.109604858,0.892347211,1.1635,0.003366707,0.001168059,3.15E-08,0.066957749
Electricity; at grid; generation mix - JEA,"heat generation, natural gas","steel production, EAF","iron production, blast furnace",natural gas extraction and processing - Green River,"iron production, blast furnace","coal extraction and processing - Rocky Mountain, SUB, Surface",0.057262275,0.075959369,0.041040566,0.79185769,0.015733777,0.654640665,0.146134387,0.052868222,0.890165538,1.7204,0.004588086,0.001289479,3.80E-08,0.092244283
Electricity; at grid; generation mix - El Paso Electric Company,"heat generation, natural gas","steel production, EAF","iron production, blast furnace",natural gas extraction and processing - Appalachian,"iron production, blast furnace","coal extraction and processing - Central Interior, BIT, Underground",0.087214096,0.075437357,0.042158036,0.898629538,0.017156128,0.591284578,0.148235854,0.125961504,0.775114894,1.217,0.003346824,0.001197296,2.09E-08,0.086297605
"Electricity; at grid; generation mix - Midcontinent Independent System Operator, Inc.","heat generation, natural gas","steel production, EAF","iron production, direct reduction, other",natural gas extraction and processing - Anadarko,"iron production, blast furnace","coal extraction and processing - Import, BIT, Surface",0.050563991,0.076752981,0.038107581,0.823171044,0.043146081,0.612147483,0.151951638,0.069587329,0.908393867,1.124,0.003320421,0.001115136,3.02E-08,0.070973096
Electricity; at grid; generation mix - Los Angeles Department of Water and Power,"heat generation, natural gas","steel production, EAF","iron production, direct reduction, other",natural gas extraction and processing - Gulf,"iron production, blast furnace","coal extraction and processing - Rocky Mountain, BIT, Underground",0.083726457,0.076194045,0.043022644,0.854357713,0.046988371,0.465699987,0.152872921,0.097614226,0.848733967,1.0525,0.002969799,0.001137005,2.36E-08,0.080826018
"Electricity; at grid; generation mix - Tallahassee, City of","heat generation, natural gas","steel production, EAF","iron production, blast furnace",natural gas extraction and processing - Anadarko,"iron production, blast furnace","coal extraction and processing - Southern Appalachia, BIT, Surface",0.058743589,0.076418434,0.040507234,0.877830621,0.02019479,0.535142615,0.159803605,0.103504261,0.958230466,1.1183,0.002940781,0.001161429,2.11E-08,0.071919985
"Electricity; at grid; generation mix - Electric Reliability Council of Texas, Inc.","heat generation, natural gas","steel production, EAF","iron production, blast furnace",natural gas extraction and processing - Anadarko,"iron production, blast furnace","coal extraction and processing - Central Interior, BIT, Surface",0.069198333,0.07744826,0.039257438,0.911675073,0.017860621,0.557841717,0.152190096,0.103341201,0.899796858,1.1304,0.003505008,0.001150849,2.52E-08,0.078851525
Electricity; at grid; generation mix - Western Area Power Administration - Rocky Mountain Region,"heat generation, natural gas","steel production, EAF","iron production, direct reduction, other",natural gas extraction and processing - San Juan,"iron production, blast furnace","coal extraction and processing - Central Appalachia, BIT, Processing",0.074411311,0.07570116,0.041734446,0.823317258,0.030971243,0.575341691,0.150840619,0.12162441,0.96883905,1.3419,0.002837706,0.001116563,3.00E-08,0.065267216
"Electricity; at grid; generation mix - Midcontinent Independent System Operator, Inc.","heat generation, natural gas","steel production, EAF","iron production, direct reduction, ENERGIRON",natural gas extraction and processing - Appalachian,"iron production, blast furnace","coal extraction and processing - Central Interior, BIT, Surface",0.050300237,0.077531665,0.043604188,0.779735701,0.034017397,0.623237638,0.148616268,0.145125798,0.983380982,1.1322,0.003351863,0.001139522,3.11E-08,0.070987104
Electricity; at grid; generation mix - Los Angeles Department of Water and Power,"heat generation, natural gas","steel production, EAF","iron production, blast furnace",natural gas extraction and processing - Strawn,"iron production, blast furnace","coal extraction and processing - Lignite, LIG, Surface",0.050590777,0.076243284,0.033105145,0.86538878,0.044355798,0.511532343,0.155056307,0.079697703,0.886236574,1.2021,0.003074746,0.001165398,2.86E-08,0.071153309
"Electricity; at grid; generation mix - Electric Reliability Council of Texas, Inc.","heat generation, natural gas","steel production, EAF","iron production, blast furnace",natural gas extraction and processing - Gulf,"iron production, blast furnace","coal extraction and processing - Northern Appalachia, WC, Underground",0.079189202,0.074690291,0.033112603,0.825814117,0.015725933,0.530761622,0.154120002,0.057505742,0.971974719,1.3326,0.004487861,0.001294543,2.99E-08,0.103196797
Electricity; at grid; generation mix - Southwest Power Pool,"heat generation, natural gas","steel production, EAF","iron production, direct reduction, ENERGIRON",natural gas extraction and processing - Appalachian,"iron production, blast furnace","coal extraction and processing - West/Northwest, BIT, Underground",0.08989118,0.076292755,0.042251425,0.849853401,0.045541679,0.508488675,0.154575309,0.084556437,0.75367541,1.0229,0.002890872,0.001122931,2.82E-08,0.060018476
Electricity; at grid; generation mix - Duke Energy Progress East,"heat generation, natural gas","steel production, EAF","iron production, blast furnace",natural gas extraction and processing - Appalachian,"iron production, blast furnace","coal extraction and processing - Central Interior, BIT, Processing",0.082584158,0.076111816,0.035723505,0.822556644,0.011230773,0.536770652,0.152453675,0.145558886,0.939988251,1.102,0.003243246,0.001239081,3.04E-08,0.066698631
Electricity; at grid; generation mix - Salt River Project Agricultural Improvement and Power District,"heat generation, natural gas","steel production, EAF","iron production, blast furnace",natural gas extraction and processing - South Oklahoma,"iron production, blast furnace","coal extraction and processing - Gulf Lignite, LIG, Surface",0.086675863,0.074928784,0.033505264,0.820631694,0.047689306,0.580983832,0.148090954,0.070829382,0.832368358,1.1541,0.003602785,0.001271967,3.01E-08,0.082719349
Electricity; at grid; generation mix - Tucson Electric Power,"heat generation, natural gas","steel production, EAF","iron production, blast furnace",natural gas extraction and processing - Green River,"iron production, blast furnace","coal extraction and processing - Northern Appalachia, BIT, Surface",0.06356807,0.076782018,0.037385641,0.785963812,0.048302118,0.475031771,0.156411141,0.124786201,1.08249425,1.5806,0.003999105,0.001280747,4.39E-08,0.077295504
Electricity; at grid; generation mix - PacifiCorp East,"heat generation, natural gas","steel production, EAF","iron production, blast furnace",natural gas extraction and processing - Permian,"iron production, blast furnace","coal extraction and processing - Central Interior, BIT, Surface",0.070872924,0.074819149,0.039742875,0.832361091,0.030899065,0.501921858,0.151682467,0.087763709,0.930877859,1.3904,0.003748275,0.001229721,3.75E-08,0.077146472
Electricity; at grid; generation mix - ISO-NE,"heat generation, natural gas","steel production, EAF","iron production, direct reduction, ENERGIRON",natural gas extraction and processing - Anadarko,"iron production, blast furnace","coal extraction and processing - Rocky Mountain, WC, Surface",0.065874225,0.075243417,0.04021217,0.835985139,0.020976016,0.577960439,0.156106825,0.135713893,0.962844272,0.8496,0.002283893,0.001094544,2.27E-08,0.05735248
Electricity; at grid; generation mix - California Independent System Operator,"heat generation, natural gas","steel production, EAF","iron production, blast furnace",natural gas extraction and processing - Gulf,"iron production, blast furnace","coal extraction and processing - Rocky Mountain, SUB, Surface",0.081366934,0.076687526,0.040483894,0.859880635,0.021167644,0.607436903,0.155242218,0.098590677,0.936197678,1.0607,0.003537997,0.001232793,2.33E-08,0.096883326
"Electricity; at grid; generation mix - Midcontinent Independent System Operator, Inc.","heat generation, natural gas","steel production, EAF","iron production, direct reduction, ENERGIRON",natural gas extraction and processing - Appalachian,"iron production, blast furnace","coal extraction and processing - Gulf Lignite, LIG, Surface",0.057172762,0.076106164,0.037662093,0.83933254,0.04542941,0.477727475,0.157221432,0.130930884,0.914513878,1.0138,0.002998118,0.001102529,2.79E-08,0.064433023
"Electricity; at grid; generation mix - Midcontinent Independent System Operator, Inc.","heat generation, natural gas","steel production, EAF","iron production, direct reduction, other",natural gas extraction and processing - Appalachian,"iron production, blast furnace","coal extraction and processing - Gulf Lignite, LIG, Surface",0.075491411,0.074095335,0.038776504,0.86162844,0.010585484,0.55266639,0.152746899,0.123108064,0.849040721,1.0854,0.00316643,0.001115173,2.93E-08,0.067738845
Electricity; at grid; generation mix - NorthWestern Corporation,"heat generation, natural gas","steel production, EAF","iron production, direct reduction, ENERGIRON",natural gas extraction and processing - Arkla,"iron production, blast furnace","coal extraction and processing - Central Interior, BIT, Surface",0.078595859,0.076078547,0.036650852,0.861753195,0.047066098,0.506649076,0.153999544,0.112139578,0.831475124,1.1739,0.002921533,0.001090024,3.24E-08,0.059757952
"Electricity; at grid; generation mix - PJM Interconnection, LLC","heat generation, natural gas","steel production, EAF","iron production, blast furnace",natural gas extraction and processing - Appalachian,"iron production, blast furnace","coal extraction and processing - West/Northwest, BIT, Surface",0.076645056,0.075476862,0.038814693,0.840277761,0.015614316,0.441832369,0.151107997,0.071550619,0.882144294,1.0979,0.003212689,0.001208338,2.81E-08,0.063587331
"Electricity; at grid; generation mix - PJM Interconnection, LLC","heat generation, natural gas","steel production, EAF","iron production, blast furnace",natural gas extraction and processing - Anadarko,"iron production, blast furnace","coal extraction and processing - Rocky Mountain, BIT, Processing",0.074289424,0.074852894,0.040687396,0.888550664,0.044315404,0.509701704,0.142031387,0.14752073,1.000021046,1.0935,0.003062984,0.001152127,2.60E-08,0.062247821
"Electricity; at grid; generation mix - Southern Company Services, Inc. - Trans","heat generation, natural gas","steel production, EAF","iron production, blast furnace",natural gas extraction and processing - Permian,"iron production, blast furnace","coal extraction and processing - Northern Appalachia, BIT, Underground",0.057088733,0.07598892,0.038135403,0.875726498,0.020561618,0.578387745,0.15631395,0.136528136,1.003677351,1.2048,0.003129613,0.001161684,2.66E-08,0.069617407
"Electricity; at grid; generation mix - PJM Interconnection, LLC","heat generation, natural gas","steel production, EAF","iron production, blast furnace",natural gas extraction and processing - Appalachian,"iron production, blast furnace","coal extraction and processing - Northern Appalachia, WC, Processing",0.063615968,0.076104267,0.037592073,0.895778205,0.027595014,0.499696734,0.149661279,0.111093301,0.875077479,1.0503,0.002920011,0.001130963,2.53E-08,0.059109369
"Electricity; at grid; generation mix - PJM Interconnection, LLC","heat generation, natural gas","steel production, EAF","iron production, direct reduction, ENERGIRON",natural gas extraction and processing - Appalachian,"iron production, blast furnace","coal extraction and processing - Northern Appalachia, BIT, Underground",0.065510983,0.077308646,0.040099486,0.846090865,0.028971772,0.573412738,0.149299984,0.123501142,0.877407419,0.9312,0.002548004,0.001089019,2.24E-08,0.05443257
"Electricity; at grid; generation mix - Midcontinent Independent System Operator, Inc.","heat generation, natural gas","steel production, EAF","iron production, direct reduction, other",natural gas extraction and processing - San Juan,"iron production, blast furnace","coal extraction and processing - West/Northwest, BIT, Surface",0.066442963,0.073415127,0.040072576,0.846265291,0.046236718,0.485699488,0.156365255,0.117330397,0.782111602,1.0587,0.003123727,0.001110825,2.82E-08,0.068851339
"Electricity; at grid; generation mix - Southern Company Services, Inc. - Trans","heat generation, natural gas","steel production, EAF","iron production, direct reduction, ENERGIRON",natural gas extraction and processing - Appalachian,"iron production, blast furnace","coal extraction and processing - Import, BIT, Surface",0.056952476,0.07687997,0.042599834,0.878267697,0.030976116,0.541130641,0.154539407,0.149536307,0.762324592,0.9647,0.002457325,0.001074438,2.13E-08,0.059952505
"Electricity; at grid; generation mix - Electric Reliability Council of Texas, Inc.","heat generation, natural gas","steel production, EAF","iron production, blast furnace",natural gas extraction and processing - Gulf,"iron production, blast furnace","coal extraction and processing - Illinois Basin, BIT, Underground",0.085011374,0.077784332,0.033424231,0.853869199,0.03218384,0.592646004,0.152330352,0.063080658,0.904531078,1.3069,0.004479812,0.001275657,2.91E-08,0.104252182
"Electricity; at grid; generation mix - Puget Sound Energy, Inc.","heat generation, natural gas","steel production, EAF","iron production, blast furnace",natural gas extraction and processing - Appalachian,"iron production, blast furnace","coal extraction and processing - Powder River Basin, BIT, Surface",0.089689239,0.076498399,0.03966276,0.831052082,0.014973275,0.495488818,0.155751963,0.060828395,0.886044603,1.1001,0.003233082,0.001266259,2.44E-08,0.075629415
Electricity; at grid; generation mix - Los Angeles Department of Water and Power,"heat generation, natural gas","steel production, EAF","iron production, direct reduction, other",natural gas extraction and processing - San Juan,"iron production, blast furnace","coal extraction and processing - Northern Appalachia, WC, Underground",0.082395176,0.076410819,0.03781955,0.879148234,0.029509318,0.613982717,0.141454891,0.10912266,0.853306325,1.1445,0.002663407,0.001104664,2.47E-08,0.070029168
"Electricity; at grid; generation mix - PJM Interconnection, LLC","heat generation, natural gas","steel production, EAF","iron production, direct reduction, other",natural gas extraction and processing - Permian,"iron production, blast furnace","coal extraction and processing - Southern Appalachia, BIT, Surface",0.068317386,0.076437122,0.041236147,0.874423642,0.040373596,0.495453727,0.152989534,0.064093088,0.837755431,0.8841,0.002440381,0.001069056,2.14E-08,0.052303672
"Electricity; at grid; generation mix - Electric Reliability Council of Texas, Inc.","heat generation, natural gas","steel production, EAF","iron production, blast furnace",natural gas extraction and processing - Appalachian,"iron production, blast furnace","coal extraction and processing - Rocky Mountain, BIT, Processing",0.058490033,0.074846533,0.039698631,0.813025589,0.038102355,0.614275696,0.142796188,0.125023116,0.88886135,1.3118,0.004135017,0.001268987,3.08E-08,0.088110802
Electricity; at grid; generation mix - Imperial Irrigation District,"heat generation, natural gas","steel production, EAF","iron production, blast furnace",natural gas extraction and processing - Appalachian,"iron production, blast furnace","coal extraction and processing - West/Northwest, WC, Surface",0.053069739,0.076562216,0.042110294,0.83295077,0.015477204,0.597404129,0.154588552,0.127532482,0.767758275,0.9505,0.002707291,0.001169368,2.31E-08,0.057478597
Electricity; at grid; generation mix - Tennessee Valley Authority,"heat generation, natural gas","steel production, EAF","iron production, blast furnace",natural gas extraction and processing - East Texas,"iron production, blast furnace","coal extraction and processing - West/Northwest, WC, Surface",0.054045847,0.07542017,0.039295848,0.834894797,0.0363146,0.573949676,0.148517107,0.119798734,0.837943585,1.1284,0.003314284,0.001190279,2.94E-08,0.064622127
"Electricity; at grid; generation mix - Midcontinent Independent System Operator, Inc.","heat generation, natural gas","steel production, EAF","iron production, direct reduction, other",natural gas extraction and processing - Fort Worth,"iron production, blast furnace","coal extraction and processing - Powder River Basin, BIT, Surface",0.064259516,0.074053583,0.041423414,0.807066544,0.025468947,0.458618392,0.148411527,0.134239094,1.045485495,1.0161,0.003048367,0.001121824,2.83E-08,0.066287848
"Electricity; at grid; generation mix - Midcontinent Independent System Operator, Inc.","heat generation, natural gas","steel production, EAF","iron production, direct reduction, other",natural gas extraction and processing - Anadarko,"iron production, blast furnace","coal extraction and processing - Southern Appalachia, BIT, Underground",0.082910233,0.074921276,0.037991977,0.855310168,0.0103809,0.616167212,0.140643658,0.055877288,0.932303678,1.1541,0.00337898,0.001130904,3.07E-08,0.072359657
"Electricity; at grid; generation mix - Midcontinent Independent System Operator, Inc.","heat generation, natural gas","steel production, EAF","iron production, blast furnace",natural gas extraction and processing - Anadarko,"iron production, blast furnace","coal extraction and processing - Central Interior, BIT, Surface",0.080728492,0.076516715,0.03485981,0.813604923,0.043911531,0.498241337,0.146794466,0.149483672,0.958463711,1.3664,0.00416158,0.001278656,3.69E-08,0.082508396
Electricity; at grid; generation mix - Balancing Authority of Northern California,"heat generation, natural gas","steel production, EAF","iron production, direct reduction, other",natural gas extraction and processing - Appalachian,"iron production, blast furnace","coal extraction and processing - Illinois Basin, BIT, Processing",0.061448917,0.075645001,0.037563238,0.863944394,0.011884549,0.453763791,0.152359554,0.148020047,0.826292144,0.7702,0.002074775,0.001062716,1.63E-08,0.054595523
"Electricity; at grid; generation mix - Midcontinent Independent System Operator, Inc.","heat generation, natural gas","steel production, EAF","iron production, blast furnace",natural gas extraction and processing - Arkla,"iron production, blast furnace","coal extraction and processing - Illinois Basin, BIT, Underground",0.067068432,0.077432067,0.038843705,0.796512518,0.021943905,0.520794191,0.154447394,0.103878679,0.921157149,1.3852,0.004217912,0.001279777,3.79E-08,0.082657712
Electricity; at grid; generation mix - Florida Municipal Power Pool,"heat generation, natural gas","steel production, EAF","iron production, blast furnace",natural gas extraction and processing - Permian,"iron production, blast furnace","coal extraction and processing - Illinois Basin, BIT, Underground",0.088456865,0.075238123,0.041585563,0.849422131,0.01606449,0.628294286,0.149181503,0.096284111,0.831717601,1.3631,0.003413377,0.001225197,3.04E-08,0.074121824
"Electricity; at grid; generation mix - Electric Reliability Council of Texas, Inc.","heat generation, natural gas","steel production, EAF","iron production, direct reduction, other",natural gas extraction and processing - Appalachian,"iron production, blast furnace","coal extraction and processing - Central Interior, BIT, Surface",0.074809368,0.074616003,0.040180526,0.84021099,0.010691487,0.595620836,0.154895655,0.104524699,1.017336622,1.0254,0.003173966,0.00113542,2.30E-08,0.074469403
"Electricity; at grid; generation mix - Electric Reliability Council of Texas, Inc.","heat generation, natural gas","steel production, EAF","iron production, blast furnace",natural gas extraction and processing - Appalachian,"iron production, blast furnace","coal extraction and processing - Southern Appalachia, BIT, Surface",0.050706021,0.07609415,0.034411391,0.873836619,0.010214064,0.494755037,0.149567232,0.094665755,0.805473767,1.1015,0.003491726,0.0011703,2.62E-08,0.076443934
"Electricity; at grid; generation mix - Southern Company Services, Inc. - Trans","heat generation, natural gas","steel production, EAF","iron production, blast furnace",natural gas extraction and processing - Appalachian,"iron production, blast furnace","coal extraction and processing - Powder River Basin, SUB, Surface",0.055260837,0.075404378,0.042986258,0.904312098,0.037253471,0.537512482,0.159044385,0.056930314,0.837702113,1.0928,0.002892595,0.00112687,2.47E-08,0.06585932
Electricity; at grid; generation mix - New York Independent System Operator,"heat generation, natural gas","steel production, EAF","iron production, blast furnace",natural gas extraction and processing - East Texas,"iron production, blast furnace","coal extraction and processing - Central Interior, BIT, Processing",0.067467739,0.076192607,0.039454006,0.874191155,0.045452056,0.51687544,0.150087481,0.101623313,0.987091104,0.9478,0.002801372,0.001159118,2.19E-08,0.062743049
Electricity; at grid; generation mix - Southwest Power Pool,"heat generation, natural gas","steel production, EAF","iron production, blast furnace",natural gas extraction and processing - Arkla,"iron production, blast furnace","coal extraction and processing - Gulf Lignite, LIG, Surface",0.070982019,0.07646852,0.033727111,0.894197355,0.039136931,0.568149201,0.158037741,0.053613844,0.821370643,1.1876,0.003429115,0.001156754,3.22E-08,0.067373938
Electricity; at grid; generation mix - ISO-NE,"heat generation, natural gas","steel production, EAF","iron production, direct reduction, other",natural gas extraction and processing - Anadarko,"iron production, blast furnace","coal extraction and processing - Northern Appalachia, BIT, Underground",0.086505518,0.077103567,0.039444373,0.86790764,0.014033457,0.520608662,0.162598717,0.144710631,0.856016114,0.8353,0.002243365,0.001095141,2.22E-08,0.056474318
Electricity; at grid; generation mix - Seminole Electric Cooperative,"heat generation, natural gas","steel production, EAF","iron production, direct reduction, other",natural gas extraction and processing - Strawn,"iron production, blast furnace","coal extraction and processing - West/Northwest, BIT, Surface",0.050976563,0.076809774,0.043144544,0.864390378,0.039756349,0.482080824,0.146632245,0.056901406,0.992645031,1.1092,0.002537823,0.001056992,2.59E-08,0.053857181
"Electricity; at grid; generation mix - Midcontinent Independent System Operator, Inc.","heat generation, natural gas","steel production, EAF","iron production, blast furnace",natural gas extraction and processing - Green River,"iron production, blast furnace","coal extraction and processing - West/Northwest, SUB, Surface",0.068651408,0.076070123,0.04004116,0.841840535,0.03193354,0.497337674,0.150183794,0.076350637,0.971057921,1.2889,0.003846188,0.001222348,3.50E-08,0.07665202
Electricity; at grid; generation mix - PacifiCorp East,"heat generation, natural gas","steel production, EAF","iron production, direct reduction, other",natural gas extraction and processing - Permian,"iron production, blast furnace","coal extraction and processing - Powder River Basin, SUB, Surface",0.076777421,0.074582947,0.042952453,0.886506484,0.040772513,0.552847089,0.149428898,0.058186844,0.880117296,1.1759,0.002932245,0.001090744,3.11E-08,0.066065049
"Electricity; at grid; generation mix - PJM Interconnection, LLC","heat generation, natural gas","steel production, EAF","iron production, direct reduction, other",natural gas extraction and processing - Uinta,"iron production, blast furnace","coal extraction and processing - Northern Appalachia, BIT, Surface",0.071131167,0.075253667,0.039369509,0.836241338,0.010558504,0.574335243,0.147873648,0.085510913,0.952519164,0.9433,0.002561739,0.001094202,2.26E-08,0.054771187
"Electricity; at grid; generation mix - Midcontinent Independent System Operator, Inc.","heat generation, natural gas","steel production, EAF","iron production, direct reduction, other",natural gas extraction and processing - Green River,"iron production, blast furnace","coal extraction and processing - Import, SUB, Surface",0.055389079,0.0765747,0.038348611,0.818801335,0.03294376,0.592528587,0.157227019,0.142211943,0.97415306,1.1023,0.0032306,0.001115992,3.01E-08,0.068665068
"Electricity; at grid; generation mix - Electric Reliability Council of Texas, Inc.","heat generation, natural gas","steel production, EAF","iron production, blast furnace",natural gas extraction and processing - Appalachian,"iron production, blast furnace","coal extraction and processing - Illinois Basin, BIT, Processing",0.053861655,0.075488903,0.033386512,0.824300698,0.020704716,0.543799941,0.150545168,0.113372703,1.001537246,1.2574,0.003912159,0.001240125,2.95E-08,0.083518162
"Electricity; at grid; generation mix - Midcontinent Independent System Operator, Inc.","heat generation, natural gas","steel production, EAF","iron production, blast furnace",natural gas extraction and processing - San Juan,"iron production, blast furnace","coal extraction and processing - Powder River Basin, SUB, Surface",0.069974702,0.078514072,0.041806038,0.886843732,0.011096497,0.410890245,0.145333035,0.135685148,1.030196571,1.186,0.003500945,0.001165267,3.11E-08,0.073417706
Electricity; at grid; generation mix - California Independent System Operator,"heat generation, natural gas","steel production, EAF","iron production, blast furnace",natural gas extraction and processing - Gulf,"iron production, blast furnace","coal extraction and processing - Illinois Basin, BIT, Underground",0.079211,0.074646382,0.033467712,0.874606042,0.020785042,0.589713933,0.143832734,0.14316409,0.886109902,1.026,0.003436804,0.001211147,2.26E-08,0.09466244
Electricity; at grid; generation mix - Public Utility District No. 1 of Chelan County,"heat generation, natural gas","steel production, EAF","iron production, blast furnace",natural gas extraction and processing - Appalachian,"iron production, blast furnace","coal extraction and processing - Central Appalachia, BIT, Underground",0.06493962,0.07389446,0.036960077,0.835219564,0.033449357,0.550324817,0.156739625,0.059473153,0.914296263,0.7517,0.002459232,0.001166828,2.32E-08,0.050593751
"Electricity; at grid; generation mix - Midcontinent Independent System Operator, Inc.","heat generation, natural gas","steel production, EAF","iron production, direct reduction, other",natural gas extraction and processing - East Texas,"iron production, blast furnace","coal extraction and processing - West/Northwest, SUB, Surface",0.068010801,0.076105273,0.034772712,0.834158037,0.018265022,0.524201784,0.148331109,0.109320585,0.91908846,1.0606,0.003116008,0.001114808,2.90E-08,0.066957757
Electricity; at grid; generation mix - PacifiCorp West,"heat generation, natural gas","steel production, EAF","iron production, blast furnace",natural gas extraction and processing - Appalachian,"iron production, blast furnace","coal extraction and processing - West/Northwest, SUB, Underground",0.063867381,0.0774106,0.043862336,0.836701746,0.034812935,0.435647023,0.148578773,0.136571317,0.878621817,0.9234,0.002746303,0.001189761,2.43E-08,0.060340938
"Electricity; at grid; generation mix - PJM Interconnection, LLC","heat generation, natural gas","steel production, EAF","iron production, blast furnace",natural gas extraction and processing - Appalachian,"iron production, blast furnace","coal extraction and processing - Rocky Mountain, SUB, Surface",0.087802888,0.074807306,0.043701163,0.804214895,0.039018716,0.480925654,0.147662482,0.096316565,0.826958471,1.1876,0.003548749,0.001272951,3.09E-08,0.068865258
"Electricity; at grid; generation mix - PJM Interconnection, LLC","heat generation, natural gas","steel production, EAF","iron production, direct reduction, other",natural gas extraction and processing - Appalachian,"iron production, blast furnace","coal extraction and processing - Powder River Basin, SUB, Surface",0.076448995,0.07564377,0.033828503,0.840127061,0.033084555,0.533806557,0.160451328,0.059058153,1.012270057,0.9139,0.002524768,0.001100755,2.23E-08,0.054169505
"Electricity; at grid; generation mix - Midcontinent Independent System Operator, Inc.","heat generation, natural gas","steel production, EAF","iron production, blast furnace",natural gas extraction and processing - Appalachian,"iron production, blast furnace","coal extraction and processing - Central Interior, LIG, Surface",0.07329727,0.075782568,0.036037402,0.862697317,0.020400174,0.511161823,0.144299634,0.097556417,0.856721154,1.2535,0.003772983,0.001207007,3.41E-08,0.075865793
Electricity; at grid; generation mix - Southwest Power Pool,"heat generation, natural gas","steel production, EAF","iron production, direct reduction, ENERGIRON",natural gas extraction and processing - Green River,"iron production, blast furnace","coal extraction and processing - Central Interior, BIT, Underground",0.06890362,0.075536615,0.037077181,0.885538433,0.026560028,0.503204091,0.154602375,0.105692298,0.749596391,0.9897,0.002756966,0.001075762,2.70E-08,0.057345934
"Electricity; at grid; generation mix - Midcontinent Independent System Operator, Inc.","heat generation, natural gas","steel production, EAF","iron production, blast furnace",natural gas extraction and processing - Uinta,"iron production, blast furnace","coal extraction and processing - Central Appalachia, BIT, Surface",0.073487589,0.075843972,0.037938899,0.824105897,0.043995449,0.486364361,0.15068964,0.100105961,0.929291267,1.32,0.003983438,0.001260263,3.59E-08,0.078844767
