providers_electricity,providers_heat,providers_bloom_steel,providers_iron_forEAF,providers_naturalgas,providers_iron_forBOF,providers_coal,"fabrication, heavy section wf","fabrication, heavy section elec","hot rolling, blooms elec","steel production, EAF scrap_pct","steel production, EAF wf","steel production, EAF kWh_EAF","steel production, BOF scrap_pct","steel production, BOF wf","iron production, blast furnace co2_kg",gwp,ap,ep,odp,pocp
Electricity; at grid; generation mix - Duke Energy Progress East,"heat generation, natural gas","steel production, EAF","iron production, direct reduction, ENERGIRON",natural gas extraction and processing - Appalachian,"iron production, blast furnace","coal extraction and processing - Rocky Mountain, SUB, Surface",0.067903187,0.076117409,0.040442051,0.865094079,0.020745295,0.556456521,0.150506059,0.124393486,0.781054356,0.818,0.002283359,0.001076886,2.25E-08,0.052781497
Electricity; at grid; generation mix - Public Service Company of New Mexico,"heat generation, natural gas","steel production, EAF","iron production, direct reduction, other",natural gas extraction and processing - Gulf,"iron production, blast furnace","coal extraction and processing - West/Northwest, WC, Surface",0.088283086,0.074917156,0.036734112,0.848563543,0.011247847,0.472556045,0.15613674,0.098712575,0.949153533,1.2029,0.00306731,0.001147426,3.02E-08,0.083213695
"Electricity; at grid; generation mix - Electric Reliability Council of Texas, Inc.","heat generation, natural gas","steel production, EAF","iron production, direct reduction, ENERGIRON",natural gas extraction and processing - San Juan,"iron production, blast furnace","coal extraction and processing - Northern Appalachia, BIT, Surface",0.060481565,0.075160233,0.040011,0.879747814,0.013888266,0.665371912,0.16057811,0.140963522,0.790071415,1.0843,0.003310103,0.001108646,2.27E-08,0.079358464
Electricity; at grid; generation mix - Western Area Power Administration - Rocky Mountain Region,"heat generation, natural gas","steel production, EAF","iron production, blast furnace",natural gas extraction and processing - Appalachian,"iron production, blast furnace","coal extraction and processing - Illinois Basin, BIT, Underground",0.074994024,0.075879732,0.038913772,0.865247536,0.038309974,0.550857372,0.152831302,0.145014993,0.824487819,1.4816,0.003362169,0.001190259,3.47E-08,0.069797888
"Electricity; at grid; generation mix - PJM Interconnection, LLC","heat generation, natural gas","steel production, EAF","iron production, blast furnace",natural gas extraction and processing - Anadarko,"iron production, blast furnace","coal extraction and processing - Northern Appalachia, BIT, Underground",0.053671774,0.075887885,0.039768542,0.864644143,0.046019289,0.467016803,0.153750092,0.134726157,0.80320423,1.0838,0.003118939,0.001158036,2.66E-08,0.062640189
"Electricity; at grid; generation mix - Midcontinent Independent System Operator, Inc.","heat generation, natural gas","steel production, EAF","iron production, blast furnace",natural gas extraction and processing - Appalachian,"iron production, blast furnace","coal extraction and processing - West/Northwest, SUB, Underground",0.077448386,0.075206384,0.041822603,0.844933309,0.03805828,0.45190148,0.147766178,0.107700227,0.869563513,1.2444,0.003789041,0.001230723,3.44E-08,0.07577418
Electricity; at grid; generation mix - California Independent System Operator,"heat generation, natural gas","steel production, EAF","iron production, blast furnace",natural gas extraction and processing - Green River,"iron production, blast furnace","coal extraction and processing - Central Appalachia, BIT, Surface",0.060309796,0.077014762,0.036952381,0.827758139,0.038353761,0.561504761,0.154304401,0.149704814,0.836725562,1.0166,0.003117466,0.001222405,2.46E-08,0.077964027
Electricity; at grid; generation mix - Florida Power & Light Co.,"heat generation, natural gas","steel production, EAF","iron production, direct reduction, ENERGIRON",natural gas extraction and processing - San Juan,"iron production, blast furnace","coal extraction and processing - Rocky Mountain, BIT, Underground",0.052418255,0.075784662,0.03827507,0.85162076,0.037905189,0.682285686,0.144016689,0.126433452,0.860554757,0.8994,0.002477471,0.001087212,1.65E-08,0.066480266
"Electricity; at grid; generation mix - Southern Company Services, Inc. - Trans","heat generation, natural gas","steel production, EAF","iron production, blast furnace",natural gas extraction and processing - East Texas,"iron production, blast furnace","coal extraction and processing - Northern Appalachia, WC, Processing",0.060318379,0.076311541,0.035282546,0.847777703,0.028786474,0.517037511,0.146901282,0.136374868,0.875995541,1.2033,0.003231491,0.0011953,2.78E-08,0.070934333
Electricity; at grid; generation mix - Southwest Power Pool,"heat generation, natural gas","steel production, EAF","iron production, direct reduction, other",natural gas extraction and processing - East Texas,"iron production, blast furnace","coal extraction and processing - Illinois Basin, BIT, Surface",0.072045403,0.076622177,0.040223527,0.848134143,0.046655981,0.536767253,0.15529936,0.093553472,0.963401782,1.0288,0.002890357,0.001103217,2.82E-08,0.060033863
