"sim_type","n","mean_gwp","sd_gwp","rsd_gwp","min_gwp","max_gwp","median_gwp","p10","p20","p30","p40","p50","p60","p70","p80","p90"
"BFBOF",75,2.44760533333333,0.250660290138371,0.102410419982621,1.8443,3.0512,2.4098,2.11082,2.25982,2.33284,2.36104,2.4098,2.47398,2.5783,2.64662,2.77026
"DRI",75,2.3165,0,0,2.3165,2.3165,2.3165,2.3165,2.3165,2.3165,2.3165,2.3165,2.3165,2.3165,2.3165,2.3165
"EAF",75,2.3165,0,0,2.3165,2.3165,2.3165,2.3165,2.3165,2.3165,2.3165,2.3165,2.3165,2.3165,2.3165,2.3165
"fabrication",75,2.275532,0.0496988720302693,0.0218405507065026,2.1677,2.3693,2.2789,2.2037,2.23922,2.2472,2.25886,2.2789,2.29176,2.3023,2.32014,2.3426
"rolling",75,2.316908,0.010239071431716,0.00441928269560813,2.285,2.3382,2.3188,2.30368,2.30984,2.31382,2.31624,2.3188,2.32122,2.32218,2.3253,2.32762
"supply chain",75,2.15073866666667,0.108659704226187,0.0505220396649093,2.0425,2.3917,2.0926,2.06196,2.07412,2.08032,2.08696,2.0926,2.13482,2.1474,2.20872,2.36992
