"sim_type","n","mean_gwp","sd_gwp","rsd_gwp","min_gwp","max_gwp","median_gwp","p10","p20","p30","p40","p50","p60","p70","p80","p90"
"BFBOF",150,0.864,0,0,0.864,0.864,0.864,0.864,0.864,0.864,0.864,0.864,0.864,0.864,0.864,0.864
"DRI",150,0.864783333333333,0.00193055323526274,0.00223241262967149,0.8607,0.8704,0.8644,0.8627,0.8633,0.8637,0.864,0.8644,0.8648,0.86546,0.8662,0.8676
"EAF",150,0.905430666666667,0.126152076089005,0.139328256412423,0.5039,1.2054,0.9024,0.77979,0.81756,0.85029,0.87752,0.9024,0.92288,0.96496,1.00386,1.05135
"fabrication",150,0.860353333333333,0.0319577734536737,0.0371449405906957,0.7426,0.9316,0.86165,0.82467,0.83792,0.8479,0.85598,0.86165,0.86944,0.87652,0.88636,0.89677
"rolling",150,0.880683333333333,0.0491624077706494,0.0558230250418986,0.7791,1.016,0.87875,0.82036,0.8374,0.85261,0.86248,0.87875,0.89338,0.90571,0.92062,0.94417
"supply chain",150,0.864,0,0,0.864,0.864,0.864,0.864,0.864,0.864,0.864,0.864,0.864,0.864,0.864,0.864
