elec_steel_fab,elec_steel_rolling,steel_plate,steel_slab,elec_EAF,iron_forEAF,elec_DRI,natgas_DRI,elec_BOF,iron_forBOF,elec,coal,"fabrication, plate.wf","fabrication, plate.elec","fabrication, plate.trans_co2","rolling, slab.elec","rolling, slab.heat","steelmaking, electric arc furnace.scrap_pct","steelmaking, electric arc furnace.wf","steelmaking, electric arc furnace.kWh_EAF","steelmaking, electric arc furnace.trans_co2","ironmaking, direct reduction, MIDREX.co2_kg","ironmaking, direct reduction, MIDREX.elec","ironmaking, direct reduction, MIDREX.ng_mj","ironmaking, direct reduction, MIDREX.ore_kg","ironmaking, direct reduction, MIDREX.trans_co2","steelmaking, basic oxygen converter.elec","steelmaking, basic oxygen converter.scrap_pct","steelmaking, basic oxygen converter.wf","steelmaking, basic oxygen converter.co2_kg","ironmaking, blast furnace.elec","ironmaking, blast furnace.co2_kg",sintering.co2_kg,coking.co2_kg,zinc production.co2_kg,gwp,gwp_be,gep_bu,ap,ep,odp,pocp,gwp_AR5,gwp_EF2,gwp_CML,sim_type
Electricity; at grid; consumption mix - Salt River Project Agricultural Improvement and Power District - BA,Electricity; at grid; consumption mix - Southwest Power Pool - BA,"steel, crude","steelmaking, basic oxygen converter",Electricity; at grid; consumption mix - Florida Power & Light Co. - BA,"ironmaking, direct reduction, MIDREX","Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA",natural gas extraction and processing - Appalachian,"Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA","ironmaking, blast furnace","Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","coal extraction and processing - Illinois Basin, BIT, Surface",0.06412862431261689,0.18376434609087638,0.04822733347000456,0.0429580582356485,0.7801867899171387,0.5822234960367226,0.03823143168788626,0.3840592827311455,0.010341474736187527,0.49478940358598483,0.11953307127462554,9.90189453736882,1.2724114744603456,0.009531428881471538,0.04913972558203217,0.1788084839292885,0.07406923962961567,0.07231168927350876,0.09228978808264107,0.9149814699666824,0.3260758142592798,0.11621907090501107,1.9176040443094393,1.648,0.0,0.0,0.000164784076975408,1.0389283921282379e-05,1.3585108713897567e-09,0.004255760429823031,nan,nan,nan,mca
Electricity; at grid; consumption mix - Salt River Project Agricultural Improvement and Power District - BA,Electricity; at grid; consumption mix - Southwest Power Pool - BA,"steel, crude","steelmaking, basic oxygen converter",Electricity; at grid; consumption mix - Florida Power & Light Co. - BA,"ironmaking, direct reduction, MIDREX","Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA",natural gas extraction and processing - Appalachian,"Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA","ironmaking, blast furnace","Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","coal extraction and processing - Illinois Basin, BIT, Surface",0.06917591231120022,0.19138130859359248,0.04294953221749179,0.03778824023541269,0.9428857016362978,0.611020786973981,0.0424808277050871,0.38702289037311444,0.009847489612968267,0.4823306532504471,0.11480680370146071,9.575386187599111,1.255132619558359,0.00973844748127075,0.033105492223140534,0.15164858857069158,0.10558868876495639,0.08004900681797218,0.046007883766484084,0.9461950460763711,0.3383532793211238,0.15138765568137805,1.7494985329728825,1.6534,0.0,0.0,0.00017100647385520388,1.079211422021243e-05,1.4092148619998438e-09,0.0044220659645456215,nan,nan,nan,mca
Electricity; at grid; consumption mix - Salt River Project Agricultural Improvement and Power District - BA,Electricity; at grid; consumption mix - Southwest Power Pool - BA,"steel, crude","steelmaking, basic oxygen converter",Electricity; at grid; consumption mix - Florida Power & Light Co. - BA,"ironmaking, direct reduction, MIDREX","Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA",natural gas extraction and processing - Appalachian,"Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA","ironmaking, blast furnace","Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","coal extraction and processing - Illinois Basin, BIT, Surface",0.038183835145211724,0.16770890796215893,0.051886473968319635,0.04443978388455873,0.8173431219060137,0.8001470169736247,0.023224491246051984,0.5488595909495066,0.010455271801696309,0.5269138354114242,0.11652747540290824,9.553476667280698,1.2534434756546478,0.00970805735467195,0.02207864115961257,0.20134063740280847,0.1209145805963155,0.07276631463710205,0.06786626770202996,1.2363707226699185,0.3197269345976195,0.12110883424704888,1.4310237659416054,1.6072,0.0,0.0,0.00015142999575709103,9.529282761415775e-06,1.2494376838618573e-09,0.0039012574052132176,nan,nan,nan,mca
Electricity; at grid; consumption mix - Salt River Project Agricultural Improvement and Power District - BA,Electricity; at grid; consumption mix - Southwest Power Pool - BA,"steel, crude","steelmaking, basic oxygen converter",Electricity; at grid; consumption mix - Florida Power & Light Co. - BA,"ironmaking, direct reduction, MIDREX","Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA",natural gas extraction and processing - Appalachian,"Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA","ironmaking, blast furnace","Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","coal extraction and processing - Illinois Basin, BIT, Surface",0.05262652572595984,0.20672175176181162,0.044107251603289786,0.04110283657742933,0.7976860128367351,0.6563992549280957,0.01837229609641576,0.5721586552909955,0.010310228821992782,0.5211626566538743,0.12467034455266117,10.33257422723964,1.3078153459950956,0.010318633315331142,0.03479755639681119,0.11796890675367458,0.14356397592215972,0.0806663399086973,0.05666878978038105,1.0325430760062912,0.270336700084702,0.10741658865252471,1.8313443912401457,1.6382,0.0,0.0,0.00018312256419403692,1.158439383977773e-05,1.5074979592720064e-09,0.004750099049276281,nan,nan,nan,mca
Electricity; at grid; consumption mix - Bonneville Power Administration - BA,"Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA","rolling, slab","steelmaking, basic oxygen converter","Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","ironmaking, blast furnace","Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA",natural gas extraction and processing - Uinta,"Electricity; at grid; consumption mix - Associated Electric Cooperative, Inc. - BA","ironmaking, blast furnace",Electricity; at grid; consumption mix - Public Service Company of Colorado - BA,"coal extraction and processing - West/Northwest, WC, Surface",0.07677483096873396,0.16533725823301823,0.04195969732463487,0.0407583236294536,0.8944010613889088,0.6169493338179568,0.020560943866810222,0.6313813274565989,0.010106392200402239,0.49689381727458404,0.1159810718715799,10.211912463481182,1.3248509772428119,0.0100312452601485,0.02469822974491596,0.15191135060417643,0.07155163870955385,0.08880264112725096,0.08234252854732599,1.0696079739884072,0.3164186673486964,0.09802132691354451,1.6519776984831431,2.052,0.0,0.0,0.0019103887498371486,0.00013344824335270874,1.2702138706483486e-08,0.04010989741508303,nan,nan,nan,mca
Electricity; at grid; consumption mix - Bonneville Power Administration - BA,"Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA","rolling, slab","steelmaking, basic oxygen converter","Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","ironmaking, blast furnace","Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA",natural gas extraction and processing - Uinta,"Electricity; at grid; consumption mix - Associated Electric Cooperative, Inc. - BA","ironmaking, blast furnace",Electricity; at grid; consumption mix - Public Service Company of Colorado - BA,"coal extraction and processing - West/Northwest, WC, Surface",0.07665618318748083,0.18922452571613124,0.04566124078857857,0.044847039590585405,0.8592348401043763,0.6469371340531611,0.02662162130393908,0.6059832745759691,0.009951810854710426,0.4953493734094524,0.11593518895504802,10.025864956405528,1.3215097863914433,0.00978090208139058,0.0250993818533256,0.20355502464201713,0.05599756647507777,0.04735670883656354,0.08055730442098274,1.1546501520701202,0.34526070362035993,0.1290195945579589,1.8107223488627922,2.0518,0.0,0.0,0.0018232445290585915,0.00012690690623312455,1.2252706144971904e-08,0.038261025808841824,nan,nan,nan,mca
Electricity; at grid; consumption mix - Bonneville Power Administration - BA,"Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA","rolling, slab","steelmaking, basic oxygen converter","Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","ironmaking, blast furnace","Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA",natural gas extraction and processing - Uinta,"Electricity; at grid; consumption mix - Associated Electric Cooperative, Inc. - BA","ironmaking, blast furnace",Electricity; at grid; consumption mix - Public Service Company of Colorado - BA,"coal extraction and processing - West/Northwest, WC, Surface",0.07698668550195636,0.19845025722756374,0.048759684065568944,0.03899561807289921,0.9535796151665086,0.6632778366328411,0.03250136683144023,0.5312632556397053,0.010171685406144174,0.49763087275527107,0.1149028607205295,9.685483245682503,1.330677689503953,0.009734587739896706,0.0317244300622621,0.09573966253951939,0.13346311712327447,0.10204690417854528,0.08586674063563976,1.229995181186033,0.34819508607893906,0.10613230159314253,1.6132842728813186,2.5048,0.0,0.0,0.0020928448808890483,0.00014686781779842367,1.3753647785807722e-08,0.04401577131627901,nan,nan,nan,mca
Electricity; at grid; consumption mix - Bonneville Power Administration - BA,"Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA","rolling, slab","steelmaking, basic oxygen converter","Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","ironmaking, blast furnace","Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA",natural gas extraction and processing - Uinta,"Electricity; at grid; consumption mix - Associated Electric Cooperative, Inc. - BA","ironmaking, blast furnace",Electricity; at grid; consumption mix - Public Service Company of Colorado - BA,"coal extraction and processing - West/Northwest, WC, Surface",0.05283934849631284,0.19774180688197296,0.04372087395098038,0.04060116342524396,0.908716157049644,0.7035154266638796,0.03599980911829789,0.48634590047667187,0.00997370442823448,0.5095157247153462,0.1173784361172692,10.266168594586222,1.3185792717215419,0.009789791177194375,0.033383191400028864,0.19416126755434404,0.08214279633659212,0.11235025482692669,0.0919165955417289,1.0154175152499272,0.28085179296159546,0.11231822702630784,2.197012776399624,1.8757,0.0,0.0,0.0018535835628084008,0.00012865988998854888,1.2352214310387508e-08,0.038914118492416286,nan,nan,nan,mca
Electricity; at grid; consumption mix - Bonneville Power Administration - BA,"Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA","rolling, slab","steelmaking, basic oxygen converter","Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","ironmaking, blast furnace","Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA",natural gas extraction and processing - Uinta,"Electricity; at grid; consumption mix - Associated Electric Cooperative, Inc. - BA","ironmaking, blast furnace",Electricity; at grid; consumption mix - Public Service Company of Colorado - BA,"coal extraction and processing - West/Northwest, WC, Surface",0.06978090570828044,0.16583869697679712,0.04595769303533343,0.037994854683054954,0.8745666296651267,0.7325144844717045,0.0149786014687011,0.5718520086829783,0.01015555782317042,0.49185663035113536,0.125787897740203,9.850493131362619,1.2600681977004968,0.010465882593184359,0.04442173326339957,0.10883785069399132,0.07241785745682758,0.05851447934744204,0.10027770266305289,1.282291703257749,0.33512231992333164,0.11106348685117734,1.614313536422334,2.3851,0.0,0.0,0.0020033396250311694,0.0001389373434726313,1.3242653701079536e-08,0.041866782027333724,nan,nan,nan,mca
Electricity; at grid; consumption mix - Southwest Power Pool - BA,"Electricity; at grid; consumption mix - Electric Reliability Council of Texas, Inc. - BA","rolling, slab","steelmaking, basic oxygen converter",Electricity; at grid; consumption mix - ISO-NE - BA,"ironmaking, direct reduction, MIDREX","Electricity; at grid; consumption mix - Southern Company Services, Inc. - Trans - BA",natural gas extraction and processing - East Texas,Electricity; at grid; consumption mix - New York Independent System Operator - BA,"ironmaking, blast furnace","Electricity; at grid; consumption mix - Electric Reliability Council of Texas, Inc. - BA","coal extraction and processing - Central Appalachia, BIT, Underground",0.045882730716410566,0.211594526558802,0.0536036855336208,0.033472174478949325,1.003649624385728,0.5973013843343454,0.012184030319907845,0.5162854132599295,0.009767346368557962,0.48857016815338977,0.11456256007486308,9.575530698086054,1.2966934660713503,0.010448793023959041,0.03167968863691965,0.14780014576331452,0.09245227885295534,0.039189139403314005,0.09263723380008992,0.7951024817427143,0.22330216604989922,0.11975179467178607,1.8065477678601614,1.8743,0.0,0.0,0.0015739715818054569,0.0001293803898337245,9.764232143883452e-09,0.03539285091772388,nan,nan,nan,mca
