"sim_type","n","mean_gwp","sd_gwp","rsd_gwp","min_gwp","max_gwp","median_gwp","p10","p20","p30","p40","p50","p60","p70","p80","p90"
"BFBOF",150,0.9581,0,0,0.9581,0.9581,0.9581,0.9581,0.9581,0.9581,0.9581,0.9581,0.9581,0.9581,0.9581,0.9581
"DRI",150,0.964172,0.0171212851553009,0.0177575008974549,0.9255,1.0163,0.9633,0.94139,0.95256,0.95641,0.95938,0.9633,0.96784,0.97123,0.97336,0.98911
"EAF",150,1.22795066666667,0.236346683351166,0.192472458191452,0.7159,1.7358,1.2222,0.92439,1.01898,1.08061,1.1521,1.2222,1.29418,1.36215,1.42738,1.55794
"fabrication",150,0.961401333333333,0.0322548554935265,0.0335498343669794,0.8787,1.0469,0.9618,0.92099,0.93258,0.94357,0.95512,0.9618,0.97044,0.97876,0.98874,1.00012
"rolling",150,0.958983333333333,0.00919828125662956,0.00959170085329557,0.9383,0.9869,0.95865,0.94799,0.95076,0.95374,0.95666,0.95865,0.9619,0.96383,0.96572,0.97081
"supply chain",150,0.9581,0,0,0.9581,0.9581,0.9581,0.9581,0.9581,0.9581,0.9581,0.9581,0.9581,0.9581,0.9581,0.9581
