"sim_type","n","mean_gwp","sd_gwp","rsd_gwp","min_gwp","max_gwp","median_gwp","p10","p20","p30","p40","p50","p60","p70","p80","p90"
"BFBOF",75,1.50036666666667,0.0826127343323889,0.0550616966957337,1.2886,1.7081,1.4919,1.40238,1.43584,1.47146,1.47672,1.4919,1.51432,1.54222,1.56796,1.6066
"DRI",75,1.4535,0,0,1.4535,1.4535,1.4535,1.4535,1.4535,1.4535,1.4535,1.4535,1.4535,1.4535,1.4535,1.4535
"EAF",75,1.153216,0.256667402324908,0.222566633072129,0.7093,1.6907,1.1211,0.8515,0.89116,0.94706,1.03558,1.1211,1.21826,1.3145,1.45232,1.52628
"fabrication",75,1.44685866666667,0.0308205709355423,0.0213017149812898,1.3786,1.5103,1.4499,1.41226,1.42106,1.42576,1.4357,1.4499,1.45956,1.46496,1.47166,1.48852
"rolling",75,1.45211333333333,0.00907062877127634,0.00624650195205815,1.4206,1.4753,1.4534,1.4409,1.44468,1.4483,1.45158,1.4534,1.45434,1.45626,1.45916,1.46174
"supply chain",75,1.39373733333333,0.0630111761286608,0.0452102233481542,1.3385,1.5868,1.378,1.35068,1.35334,1.35532,1.36304,1.378,1.3824,1.38418,1.40034,1.48116
